id,kind,rank,neednum,describe,objectid,number,bind,copyid,typeid,point,process,level
34,4,6,1,高级悟道,215513001,50,2,224000000,1,2,1,-1
35,4,7,1,仙盟捐献获得1000贡献,215513001,50,2,161010000,1,1,1,-1
36,3,13,1,狱山荒泽BOSS伤害第一,215513001,50,2,241014000,1,2,1,-1
37,3,14,1,3次狱山荒泽BOSS伤害第一,215513001,50,2,241014000,1,2,3,-1
38,3,15,1,6次狱山荒泽BOSS伤害第一,215513001,50,2,241014000,1,3,6,-1
39,1,8,1,升级技能,215513001,50,2,102000000,1,1,1,5
40,1,9,1,升级神通,215513001,50,2,102020000,1,1,1,1042
41,1,10,1,突破,215513001,50,2,103000000,1,1,1,2046
42,1,11,1,修炼,215513001,50,2,104000000,1,1,1,2046
43,1,12,1,法宝提升,215513001,50,2,107000000,1,1,1,3056
44,1,13,1,锤炼神兵,215513001,50,2,108000000,1,1,1,40
45,1,14,1,提升领域,215513001,50,2,109000000,1,1,1,2053
46,1,15,1,骑装合成,215513001,50,2,131010201,1,1,1,20
47,1,16,1,羽翼淬炼,215513001,50,2,131030000,1,1,1,1
48,1,17,1,足迹培养,215513001,50,2,131060000,1,1,1,36
49,1,18,1,玄兵培养,215513001,50,2,131050000,1,1,1,1047
50,1,19,1,仙器培养,215513001,50,2,131070000,1,1,1,3052
53,1,22,1,宝石合成,215513001,50,2,112011000,1,1,1,1048
54,1,23,1,套装打造,215513001,50,2,291000000,1,1,1,1050
57,1,26,1,符文升级,215513001,50,2,310000000,1,1,1,2051
58,1,27,1,仙盟技能升级,215513001,50,2,161012000,1,1,1,33
59,2,9,1,莲花幻境[单],215513001,50,2,206,2,1,1,36
60,2,10,1,莲花幻境[多],215513001,50,2,303,2,1,1,36
61,2,11,1,巫江仙府,215513001,50,2,401,2,1,1,3056
62,2,12,1,四象灵域,215513001,50,2,403,2,1,1,1050
63,2,13,1,妖魔冰谷,215513001,50,2,402,2,1,1,3052
64,2,14,1,战神殿,215513001,50,2,501,2,1,1,2047
65,2,15,1,轮回塔,215513001,50,2,248000000,1,1,1,1042
66,2,16,1,域外星门,215513001,50,2,249000000,1,1,1,2051
67,2,17,1,VIPBOSS,215513001,50,2,300000000,1,1,1,40
68,3,16,1,挖宝掘金,215513001,50,2,10018,3,1,1,45
69,3,17,1,平乱剿匪,215513001,50,2,10029,3,1,1,45
70,3,18,1,除暴安良,215513001,50,2,10017,3,1,1,45
71,3,19,1,女娲神石,215513001,50,2,10012,3,1,1,30
72,3,20,1,盗宝小妖,215513001,50,2,10013,3,1,1,15
73,3,21,1,荒古神域,215513001,50,2,10019,3,1,1,1042
74,3,22,1,秘殿夺宝,215513001,50,2,10014,3,1,1,2045
75,3,23,1,无间入侵,215513001,50,2,10003,3,1,1,30
76,3,24,1,仙盟运镖,215513001,50,2,10005,3,1,1,32
77,3,25,1,仙盟据点战,215513001,50,2,10023,3,1,1,30
78,3,26,1,绝地乱斗,215513001,50,2,10027,3,1,1,30
79,3,27,1,仙盟争霸,215513001,50,2,10010,3,1,1,30
80,3,28,1,巅峰竞技,215513001,50,2,10024,3,1,1,2053
81,3,29,1,异界虚空,215513001,50,2,10026,3,1,1,2050
82,3,17,1,神怒之地,215513001,50,2,241016000,1,1,1,2048
83,4,8,1,仙盟商店购买1次,215513001,50,2,161011000,1,1,1,33
84,4,9,1,功勋商店兑换1次,215513001,50,2,116010000,1,1,1,20
85,4,10,1,声望商店兑换1次,215513001,50,2,116011000,1,1,1,20
86,4,11,1,积分商店兑换1次,215513001,50,2,116012000,1,1,1,20
87,4,12,1,荣誉商店兑换1次,215513001,50,2,116013000,1,1,1,2053
