monsterid,monsterlevel,hp,mp,minattack,maxattack,mindef,maxdef,hitrate,dodgerate,crit,critresistrate,luckyValue,damageadd,damageless,hurtless,maxlevel,minlevel
209301,100,14000000,0,199770,199770,32744,32744,4216,11048,14901,5501,0,0,0,0,11100,11100
300005,35,43333,0,1333,1333,600,600,280,120,122,282,0,0,0,0,39,30
300005,40,66667,0,3167,3167,974,974,118,294,368,142,0,0,0,0,44,40
300005,45,141167,0,6616,6616,1349,1349,176,448,596,225,0,0,0,0,1049,45
300005,50,173433,0,9713,9713,1947,1947,267,693,960,356,0,0,0,0,2054,1050
300005,55,296333,0,14341,14341,2678,2678,371,968,1333,493,0,0,0,0,3059,2055
300005,60,381000,0,16546,16546,3839,3839,534,1397,1897,700,0,0,0,0,4064,3060
300005,65,423333,0,22860,22860,5000,5000,696,1825,2461,908,0,0,0,0,5069,4065
300005,70,594067,0,36029,36029,8901,8901,1167,3059,4125,1522,0,0,0,0,6074,5070
300005,75,772840,0,42193,42193,11979,11979,1542,4042,5451,2012,0,0,0,0,7079,6075
300005,80,1019333,0,44480,44480,13491,13491,1737,4552,6139,2266,0,0,0,0,8084,7080
300005,85,1350917,0,78280,78280,17787,17787,2290,6002,8095,2988,0,0,0,0,9089,8085
300005,90,1691667,0,90295,90295,24558,24558,3162,8286,11176,4126,0,0,0,0,10094,9090
300005,95,2000833,0,105939,105939,28651,28651,3689,9667,13039,4814,0,0,0,0,11099,10095
300005,100,2333333,0,121073,121073,32744,32744,4216,11048,14901,5501,0,0,0,0,11100,11100
300006,35,8667,0,1333,1333,3000,3000,280,120,122,282,0,0,0,0,39,30
300006,40,13333,0,3167,3167,4871,4871,118,294,368,142,0,0,0,0,44,40
300006,45,28233,0,6616,6616,6743,6743,176,448,596,225,0,0,0,0,1049,45
300006,50,34687,0,9713,9713,9737,9737,267,693,960,356,0,0,0,0,2054,1050
300006,55,59267,0,14341,14341,13388,13388,371,968,1333,493,0,0,0,0,3059,2055
300006,60,76200,0,16546,16546,19194,19194,534,1397,1897,700,0,0,0,0,4064,3060
300006,65,84667,0,22860,22860,25000,25000,696,1825,2461,908,0,0,0,0,5069,4065
300006,70,118813,0,36029,36029,44506,44506,1167,3059,4125,1522,0,0,0,0,6074,5070
300006,75,154568,0,42193,42193,59897,59897,1542,4042,5451,2012,0,0,0,0,7079,6075
300006,80,203867,0,44480,44480,67455,67455,1737,4552,6139,2266,0,0,0,0,8084,7080
300006,85,270183,0,78280,78280,88935,88935,2290,6002,8095,2988,0,0,0,0,9089,8085
300006,90,338333,0,90295,90295,122790,122790,3162,8286,11176,4126,0,0,0,0,10094,9090
300006,95,400167,0,105939,105939,143255,143255,3689,9667,13039,4814,0,0,0,0,11099,10095
300006,100,466667,0,121073,121073,163720,163720,4216,11048,14901,5501,0,0,0,0,11100,11100
300007,35,8667,0,0,0,600,600,280,120,122,282,0,0,0,0,39,30
300007,40,13333,0,0,0,974,974,118,294,368,142,0,0,0,0,44,40
300007,45,28233,0,0,0,1349,1349,176,448,596,225,0,0,0,0,1049,45
300007,50,34687,0,0,0,1947,1947,267,693,960,356,0,0,0,0,2054,1050
300007,55,59267,0,0,0,2678,2678,371,968,1333,493,0,0,0,0,3059,2055
300007,60,76200,0,0,0,3839,3839,534,1397,1897,700,0,0,0,0,4064,3060
300007,65,84667,0,0,0,5000,5000,696,1825,2461,908,0,0,0,0,5069,4065
300007,70,118813,0,0,0,8901,8901,1167,3059,4125,1522,0,0,0,0,6074,5070
300007,75,154568,0,0,0,11979,11979,1542,4042,5451,2012,0,0,0,0,7079,6075
300007,80,203867,0,0,0,13491,13491,1737,4552,6139,2266,0,0,0,0,8084,7080
300007,85,270183,0,0,0,17787,17787,2290,6002,8095,2988,0,0,0,0,9089,8085
300007,90,338333,0,0,0,24558,24558,3162,8286,11176,4126,0,0,0,0,10094,9090
300007,95,400167,0,0,0,28651,28651,3689,9667,13039,4814,0,0,0,0,11099,10095
300007,100,466667,0,0,0,32744,32744,4216,11048,14901,5501,0,0,0,0,11100,11100
300008,35,43333,0,692,692,600,600,280,120,122,282,0,0,0,0,39,30
300008,40,66667,0,1248,1248,974,974,118,294,368,142,0,0,0,0,44,40
300008,45,141167,0,2007,2007,1349,1349,176,448,596,225,0,0,0,0,1049,45
300008,50,173433,0,2918,2918,1947,1947,267,693,960,356,0,0,0,0,2054,1050
300008,55,296333,0,4136,4136,2678,2678,371,968,1333,493,0,0,0,0,3059,2055
300008,60,381000,0,5427,5427,3839,3839,534,1397,1897,700,0,0,0,0,4064,3060
300008,65,423333,0,7233,7233,5000,5000,696,1825,2461,908,0,0,0,0,5069,4065
300008,70,594067,0,12292,12292,8901,8901,1167,3059,4125,1522,0,0,0,0,6074,5070
300008,75,772840,0,15756,15756,11979,11979,1542,4042,5451,2012,0,0,0,0,7079,6075
300008,80,1019333,0,17365,17365,13491,13491,1737,4552,6139,2266,0,0,0,0,8084,7080
300008,85,1350917,0,25349,25349,17787,17787,2290,6002,8095,2988,0,0,0,0,9089,8085
300008,90,1691667,0,32775,32775,24558,24558,3162,8286,11176,4126,0,0,0,0,10094,9090
300008,95,2000833,0,38312,38312,28651,28651,3689,9667,13039,4814,0,0,0,0,11099,10095
300008,100,2333333,0,43785,43785,32744,32744,4216,11048,14901,5501,0,0,0,0,11100,11100
300009,35,43333,0,692,692,600,600,280,120,122,282,0,0,0,0,39,30
300009,40,66667,0,1248,1248,974,974,118,294,368,142,0,0,0,0,44,40
300009,45,141167,0,2007,2007,1349,1349,176,448,596,225,0,0,0,0,1049,45
300009,50,173433,0,2918,2918,1947,1947,267,693,960,356,0,0,0,0,2054,1050
300009,55,296333,0,4136,4136,2678,2678,371,968,1333,493,0,0,0,0,3059,2055
300009,60,381000,0,5427,5427,3839,3839,534,1397,1897,700,0,0,0,0,4064,3060
300009,65,423333,0,7233,7233,5000,5000,696,1825,2461,908,0,0,0,0,5069,4065
300009,70,594067,0,12292,12292,8901,8901,1167,3059,4125,1522,0,0,0,0,6074,5070
300009,75,772840,0,15756,15756,11979,11979,1542,4042,5451,2012,0,0,0,0,7079,6075
300009,80,1019333,0,17365,17365,13491,13491,1737,4552,6139,2266,0,0,0,0,8084,7080
300009,85,1350917,0,25349,25349,17787,17787,2290,6002,8095,2988,0,0,0,0,9089,8085
300009,90,1691667,0,32775,32775,24558,24558,3162,8286,11176,4126,0,0,0,0,10094,9090
300009,95,2000833,0,38312,38312,28651,28651,3689,9667,13039,4814,0,0,0,0,11099,10095
300009,100,2333333,0,43785,43785,32744,32744,4216,11048,14901,5501,0,0,0,0,11100,11100
300010,35,260,0,0,0,600,600,280,120,122,282,0,0,0,0,39,30
300010,40,400,0,0,0,974,974,118,294,368,142,0,0,0,0,44,40
300010,45,847,0,0,0,1349,1349,176,448,596,225,0,0,0,0,1049,45
300010,50,1041,0,0,0,1947,1947,267,693,960,356,0,0,0,0,2054,1050
300010,55,1778,0,0,0,2678,2678,371,968,1333,493,0,0,0,0,3059,2055
300010,60,2286,0,0,0,3839,3839,534,1397,1897,700,0,0,0,0,4064,3060
300010,65,2540,0,0,0,5000,5000,696,1825,2461,908,0,0,0,0,5069,4065
300010,70,3564,0,0,0,8901,8901,1167,3059,4125,1522,0,0,0,0,6074,5070
300010,75,4637,0,0,0,11979,11979,1542,4042,5451,2012,0,0,0,0,7079,6075
300010,80,6116,0,0,0,13491,13491,1737,4552,6139,2266,0,0,0,0,8084,7080
300010,85,8106,0,0,0,17787,17787,2290,6002,8095,2988,0,0,0,0,9089,8085
300010,90,10150,0,0,0,24558,24558,3162,8286,11176,4126,0,0,0,0,10094,9090
300010,95,12005,0,0,0,28651,28651,3689,9667,13039,4814,0,0,0,0,11099,10095
300010,100,14000,0,0,0,32744,32744,4216,11048,14901,5501,0,0,0,0,11100,11100
300011,35,1733,0,0,0,600,600,280,120,122,282,0,0,0,0,39,30
300011,40,2667,0,0,0,974,974,118,294,368,142,0,0,0,0,44,40
300011,45,5647,0,0,0,1349,1349,176,448,596,225,0,0,0,0,1049,45
300011,50,6937,0,0,0,1947,1947,267,693,960,356,0,0,0,0,2054,1050
300011,55,11853,0,0,0,2678,2678,371,968,1333,493,0,0,0,0,3059,2055
300011,60,15240,0,0,0,3839,3839,534,1397,1897,700,0,0,0,0,4064,3060
300011,65,16933,0,0,0,5000,5000,696,1825,2461,908,0,0,0,0,5069,4065
300011,70,23763,0,0,0,8901,8901,1167,3059,4125,1522,0,0,0,0,6074,5070
300011,75,30914,0,0,0,11979,11979,1542,4042,5451,2012,0,0,0,0,7079,6075
300011,80,40773,0,0,0,13491,13491,1737,4552,6139,2266,0,0,0,0,8084,7080
300011,85,54037,0,0,0,17787,17787,2290,6002,8095,2988,0,0,0,0,9089,8085
300011,90,67667,0,0,0,24558,24558,3162,8286,11176,4126,0,0,0,0,10094,9090
300011,95,80033,0,0,0,28651,28651,3689,9667,13039,4814,0,0,0,0,11099,10095
300011,100,93333,0,0,0,32744,32744,4216,11048,14901,5501,0,0,0,0,11100,11100
300012,35,15600,0,0,0,600,600,280,120,122,282,0,0,0,0,39,30
300012,40,24000,0,0,0,974,974,118,294,368,142,0,0,0,0,44,40
300012,45,50820,0,0,0,1349,1349,176,448,596,225,0,0,0,0,1049,45
300012,50,62436,0,0,0,1947,1947,267,693,960,356,0,0,0,0,2054,1050
300012,55,106680,0,0,0,2678,2678,371,968,1333,493,0,0,0,0,3059,2055
300012,60,137160,0,0,0,3839,3839,534,1397,1897,700,0,0,0,0,4064,3060
300012,65,152400,0,0,0,5000,5000,696,1825,2461,908,0,0,0,0,5069,4065
300012,70,213864,0,0,0,8901,8901,1167,3059,4125,1522,0,0,0,0,6074,5070
300012,75,278222,0,0,0,11979,11979,1542,4042,5451,2012,0,0,0,0,7079,6075
300012,80,366960,0,0,0,13491,13491,1737,4552,6139,2266,0,0,0,0,8084,7080
300012,85,486330,0,0,0,17787,17787,2290,6002,8095,2988,0,0,0,0,9089,8085
300012,90,609000,0,0,0,24558,24558,3162,8286,11176,4126,0,0,0,0,10094,9090
300012,95,720300,0,0,0,28651,28651,3689,9667,13039,4814,0,0,0,0,11099,10095
300012,100,840000,0,0,0,32744,32744,4216,11048,14901,5501,0,0,0,0,11100,11100
300013,35,86667,0,1333,1333,600,600,280,120,122,282,0,0,0,0,39,30
300013,40,133333,0,3167,3167,974,974,118,294,368,142,0,0,0,0,44,40
300013,45,282333,0,6616,6616,1349,1349,176,448,596,225,0,0,0,0,1049,45
300013,50,346867,0,9713,9713,1947,1947,267,693,960,356,0,0,0,0,2054,1050
300013,55,592667,0,14341,14341,2678,2678,371,968,1333,493,0,0,0,0,3059,2055
300013,60,762000,0,16546,16546,3839,3839,534,1397,1897,700,0,0,0,0,4064,3060
300013,65,846667,0,22860,22860,5000,5000,696,1825,2461,908,0,0,0,0,5069,4065
300013,70,1188133,0,36029,36029,8901,8901,1167,3059,4125,1522,0,0,0,0,6074,5070
300013,75,1545680,0,42193,42193,11979,11979,1542,4042,5451,2012,0,0,0,0,7079,6075
300013,80,2038667,0,44480,44480,13491,13491,1737,4552,6139,2266,0,0,0,0,8084,7080
300013,85,2701833,0,78280,78280,17787,17787,2290,6002,8095,2988,0,0,0,0,9089,8085
300013,90,3383333,0,90295,90295,24558,24558,3162,8286,11176,4126,0,0,0,0,10094,9090
300013,95,4001667,0,105939,105939,28651,28651,3689,9667,13039,4814,0,0,0,0,11099,10095
300013,100,4666667,0,121073,121073,32744,32744,4216,11048,14901,5501,0,0,0,0,11100,11100
300014,35,15000,0,0,0,600,600,280,120,122,282,0,0,0,0,39,30
300014,40,20000,0,0,0,974,974,118,294,368,142,0,0,0,0,44,40
300014,45,30000,0,0,0,1349,1349,176,448,596,225,0,0,0,0,1049,45
300014,50,46000,0,0,0,1947,1947,267,693,960,356,0,0,0,0,2054,1050
300014,55,60000,0,0,0,2678,2678,371,968,1333,493,0,0,0,0,3059,2055
300014,60,80000,0,0,0,3839,3839,534,1397,1897,700,0,0,0,0,4064,3060
300014,65,100000,0,0,0,5000,5000,696,1825,2461,908,0,0,0,0,5069,4065
300014,70,130000,0,0,0,8901,8901,1167,3059,4125,1522,0,0,0,0,6074,5070
300014,75,162000,0,0,0,11979,11979,1542,4042,5451,2012,0,0,0,0,7079,6075
300014,80,200000,0,0,0,13491,13491,1737,4552,6139,2266,0,0,0,0,8084,7080
300014,85,255000,0,0,0,17787,17787,2290,6002,8095,2988,0,0,0,0,9089,8085
300014,90,300000,0,0,0,24558,24558,3162,8286,11176,4126,0,0,0,0,10094,9090
300014,95,350000,0,0,0,28651,28651,3689,9667,13039,4814,0,0,0,0,11099,10095
300014,100,400000,0,0,0,32744,32744,4216,11048,14901,5501,0,0,0,0,11100,11100
505005,35,259998,0,6000,6000,600,600,280,120,122,282,0,0,0,0,39,30
505005,40,400000,0,14250,14250,974,974,118,294,368,142,0,0,0,0,44,40
505005,45,847000,0,29774,29774,1349,1349,176,448,596,225,0,0,0,0,1049,45
505005,50,1040600,0,43707,43707,1947,1947,267,693,960,356,0,0,0,0,2054,1050
505005,55,1778000,0,64536,64536,2678,2678,371,968,1333,493,0,0,0,0,3059,2055
505005,60,2286000,0,74455,74455,3839,3839,534,1397,1897,700,0,0,0,0,4064,3060
505005,65,2540000,0,102870,102870,5000,5000,696,1825,2461,908,0,0,0,0,5069,4065
505005,70,3564400,0,162131,162131,8901,8901,1167,3059,4125,1522,0,0,0,0,6074,5070
505005,75,4637040,0,189870,189870,11979,11979,1542,4042,5451,2012,0,0,0,0,7079,6075
505005,80,6116000,0,200160,200160,13491,13491,1737,4552,6139,2266,0,0,0,0,8084,7080
505005,85,8105500,0,352260,352260,17787,17787,2290,6002,8095,2988,0,0,0,0,9089,8085
505005,90,10150000,0,406326,406326,24558,24558,3162,8286,11176,4126,0,0,0,0,10094,9090
505005,95,12005000,0,476724,476724,28651,28651,3689,9667,13039,4814,0,0,0,0,11099,10095
505005,100,14000000,0,544827,544827,32744,32744,4216,11048,14901,5501,0,0,0,0,11100,11100
505006,35,433330,0,6000,6000,600,600,280,120,122,282,0,0,0,0,39,30
505006,40,666667,0,14250,14250,974,974,118,294,368,142,0,0,0,0,44,40
505006,45,1411667,0,29774,29774,1349,1349,176,448,596,225,0,0,0,0,1049,45
505006,50,1734333,0,43707,43707,1947,1947,267,693,960,356,0,0,0,0,2054,1050
505006,55,2963333,0,64536,64536,2678,2678,371,968,1333,493,0,0,0,0,3059,2055
505006,60,3810000,0,74455,74455,3839,3839,534,1397,1897,700,0,0,0,0,4064,3060
505006,65,4233333,0,102870,102870,5000,5000,696,1825,2461,908,0,0,0,0,5069,4065
505006,70,5940667,0,162131,162131,8901,8901,1167,3059,4125,1522,0,0,0,0,6074,5070
505006,75,7728400,0,189870,189870,11979,11979,1542,4042,5451,2012,0,0,0,0,7079,6075
505006,80,10193333,0,200160,200160,13491,13491,1737,4552,6139,2266,0,0,0,0,8084,7080
505006,85,13509167,0,352260,352260,17787,17787,2290,6002,8095,2988,0,0,0,0,9089,8085
505006,90,16916667,0,406326,406326,24558,24558,3162,8286,11176,4126,0,0,0,0,10094,9090
505006,95,20008333,0,476724,476724,28651,28651,3689,9667,13039,4814,0,0,0,0,11099,10095
505006,100,23333333,0,544827,544827,32744,32744,4216,11048,14901,5501,0,0,0,0,11100,11100
505007,35,866660,0,6000,6000,600,600,280,120,122,282,0,0,0,0,39,30
505007,40,1333333,0,14250,14250,974,974,118,294,368,142,0,0,0,0,44,40
505007,45,2823333,0,29774,29774,1349,1349,176,448,596,225,0,0,0,0,1049,45
505007,50,3468667,0,43707,43707,1947,1947,267,693,960,356,0,0,0,0,2054,1050
505007,55,5926667,0,64536,64536,2678,2678,371,968,1333,493,0,0,0,0,3059,2055
505007,60,7620000,0,74455,74455,3839,3839,534,1397,1897,700,0,0,0,0,4064,3060
505007,65,8466667,0,102870,102870,5000,5000,696,1825,2461,908,0,0,0,0,5069,4065
505007,70,11881333,0,162131,162131,8901,8901,1167,3059,4125,1522,0,0,0,0,6074,5070
505007,75,15456800,0,189870,189870,11979,11979,1542,4042,5451,2012,0,0,0,0,7079,6075
505007,80,20386667,0,200160,200160,13491,13491,1737,4552,6139,2266,0,0,0,0,8084,7080
505007,85,27018333,0,352260,352260,17787,17787,2290,6002,8095,2988,0,0,0,0,9089,8085
505007,90,33833333,0,406326,406326,24558,24558,3162,8286,11176,4126,0,0,0,0,10094,9090
505007,95,40016667,0,476724,476724,28651,28651,3689,9667,13039,4814,0,0,0,0,11099,10095
505008,100,46666667,0,544827,544827,32744,32744,4216,11048,14901,5501,0,0,0,0,11100,11100
505008,35,1299990,0,6000,6000,600,600,280,120,122,282,0,0,0,0,39,30
505008,40,2000000,0,14250,14250,974,974,118,294,368,142,0,0,0,0,44,40
505008,45,4235000,0,29774,29774,1349,1349,176,448,596,225,0,0,0,0,1049,45
505008,50,5203000,0,43707,43707,1947,1947,267,693,960,356,0,0,0,0,2054,1050
505008,55,8890000,0,64536,64536,2678,2678,371,968,1333,493,0,0,0,0,3059,2055
505008,60,11430000,0,74455,74455,3839,3839,534,1397,1897,700,0,0,0,0,4064,3060
505008,65,12700000,0,102870,102870,5000,5000,696,1825,2461,908,0,0,0,0,5069,4065
505008,70,17822000,0,162131,162131,8901,8901,1167,3059,4125,1522,0,0,0,0,6074,5070
505008,75,23185200,0,189870,189870,11979,11979,1542,4042,5451,2012,0,0,0,0,7079,6075
505008,80,30580000,0,200160,200160,13491,13491,1737,4552,6139,2266,0,0,0,0,8084,7080
505008,85,40527500,0,352260,352260,17787,17787,2290,6002,8095,2988,0,0,0,0,9089,8085
505008,90,50750000,0,406326,406326,24558,24558,3162,8286,11176,4126,0,0,0,0,10094,9090
505008,95,60025000,0,476724,476724,28651,28651,3689,9667,13039,4814,0,0,0,0,11099,10095
505008,100,70000000,0,544827,544827,32744,32744,4216,11048,14901,5501,0,0,0,0,11100,11100
505009,35,1733320,0,6000,6000,600,600,280,120,122,282,0,0,0,0,39,30
505009,40,2666667,0,14250,14250,974,974,118,294,368,142,0,0,0,0,44,40
505009,45,5646667,0,29774,29774,1349,1349,176,448,596,225,0,0,0,0,1049,45
505009,50,6937333,0,43707,43707,1947,1947,267,693,960,356,0,0,0,0,2054,1050
505009,55,11853333,0,64536,64536,2678,2678,371,968,1333,493,0,0,0,0,3059,2055
505009,60,15240000,0,74455,74455,3839,3839,534,1397,1897,700,0,0,0,0,4064,3060
505009,65,16933333,0,102870,102870,5000,5000,696,1825,2461,908,0,0,0,0,5069,4065
505009,70,23762667,0,162131,162131,8901,8901,1167,3059,4125,1522,0,0,0,0,6074,5070
505009,75,30913600,0,189870,189870,11979,11979,1542,4042,5451,2012,0,0,0,0,7079,6075
505009,80,40773333,0,200160,200160,13491,13491,1737,4552,6139,2266,0,0,0,0,8084,7080
505009,85,54036667,0,352260,352260,17787,17787,2290,6002,8095,2988,0,0,0,0,9089,8085
505009,90,67666667,0,406326,406326,24558,24558,3162,8286,11176,4126,0,0,0,0,10094,9090
505009,95,80033333,0,476724,476724,28651,28651,3689,9667,13039,4814,0,0,0,0,11099,10095
505009,100,93333333,0,544827,544827,32744,32744,4216,11048,14901,5501,0,0,0,0,11100,11100
