id,property,level,kind,arg,describe,name
75,4,15,0,2250,,攻击{0}级:+{1}
76,4,16,0,2400,,攻击{0}级:+{1}
77,4,17,0,2550,,攻击{0}级:+{1}
78,4,18,0,2700,,攻击{0}级:+{1}
79,4,19,0,2850,,攻击{0}级:+{1}
80,4,20,0,3000,,攻击{0}级:+{1}
81,5,1,0,150,1星专属,防御{0}级:+{1}
82,5,2,0,300,,防御{0}级:+{1}
83,5,3,0,450,,防御{0}级:+{1}
84,5,4,0,600,,防御{0}级:+{1}
85,5,5,0,750,,防御{0}级:+{1}
86,5,6,0,900,,防御{0}级:+{1}
87,5,7,0,1050,,防御{0}级:+{1}
88,5,8,0,1200,,防御{0}级:+{1}
89,5,9,0,1350,,防御{0}级:+{1}
90,5,10,0,1500,,防御{0}级:+{1}
91,5,11,0,1650,,防御{0}级:+{1}
92,5,12,0,1800,,防御{0}级:+{1}
93,5,13,0,1950,,防御{0}级:+{1}
94,5,14,0,2100,,防御{0}级:+{1}
95,5,15,0,2250,,防御{0}级:+{1}
96,5,16,0,2400,,防御{0}级:+{1}
97,5,17,0,2550,,防御{0}级:+{1}
98,5,18,0,2700,,防御{0}级:+{1}
99,5,19,0,2850,,防御{0}级:+{1}
100,5,20,0,3000,,防御{0}级:+{1}
101,6,1,0,5000,1星专属,生命{0}级:+{1}
102,6,2,0,7500,,生命{0}级:+{1}
103,6,3,0,10000,,生命{0}级:+{1}
104,6,4,0,12500,,生命{0}级:+{1}
105,6,5,0,15000,,生命{0}级:+{1}
106,6,6,0,17500,,生命{0}级:+{1}
107,6,7,0,20000,,生命{0}级:+{1}
108,6,8,0,22500,,生命{0}级:+{1}
109,6,9,0,25000,,生命{0}级:+{1}
110,6,10,0,27500,,生命{0}级:+{1}
111,6,11,0,30000,,生命{0}级:+{1}
112,6,12,0,32500,,生命{0}级:+{1}
113,6,13,0,35000,,生命{0}级:+{1}
114,6,14,0,37500,,生命{0}级:+{1}
115,6,15,0,40000,,生命{0}级:+{1}
116,6,16,0,42500,,生命{0}级:+{1}
117,6,17,0,45000,,生命{0}级:+{1}
118,6,18,0,47500,,生命{0}级:+{1}
119,6,19,0,50000,,生命{0}级:+{1}
120,6,20,0,52500,,生命{0}级:+{1}
121,7,1,1,20,3星、5星专属,伤害加成{0}级:+{1}%
122,7,2,1,40,,伤害加成{0}级:+{1}%
123,7,3,1,60,,伤害加成{0}级:+{1}%
124,7,4,1,80,,伤害加成{0}级:+{1}%
125,7,5,1,100,,伤害加成{0}级:+{1}%
126,7,6,1,120,,伤害加成{0}级:+{1}%
127,7,7,1,140,,伤害加成{0}级:+{1}%
128,7,8,1,160,,伤害加成{0}级:+{1}%
129,7,9,1,180,,伤害加成{0}级:+{1}%
130,7,10,1,200,,伤害加成{0}级:+{1}%
131,7,11,1,220,,伤害加成{0}级:+{1}%
132,7,12,1,240,,伤害加成{0}级:+{1}%
133,7,13,1,260,,伤害加成{0}级:+{1}%
134,7,14,1,280,,伤害加成{0}级:+{1}%
135,7,15,1,300,,伤害加成{0}级:+{1}%
136,7,16,1,320,,伤害加成{0}级:+{1}%
137,7,17,1,340,,伤害加成{0}级:+{1}%
138,7,18,1,360,,伤害加成{0}级:+{1}%
139,7,19,1,380,,伤害加成{0}级:+{1}%
140,7,20,1,400,,伤害加成{0}级:+{1}%
141,8,1,1,20,3星、5星专属,伤害减免{0}级:+{1}%
142,8,2,1,40,,伤害减免{0}级:+{1}%
143,8,3,1,60,,伤害减免{0}级:+{1}%
144,8,4,1,80,,伤害减免{0}级:+{1}%
145,8,5,1,100,,伤害减免{0}级:+{1}%
146,8,6,1,120,,伤害减免{0}级:+{1}%
147,8,7,1,140,,伤害减免{0}级:+{1}%
148,8,8,1,160,,伤害减免{0}级:+{1}%
149,8,9,1,180,,伤害减免{0}级:+{1}%
150,8,10,1,200,,伤害减免{0}级:+{1}%
151,8,11,1,220,,伤害减免{0}级:+{1}%
152,8,12,1,240,,伤害减免{0}级:+{1}%
153,8,13,1,260,,伤害减免{0}级:+{1}%
154,8,14,1,280,,伤害减免{0}级:+{1}%
155,8,15,1,300,,伤害减免{0}级:+{1}%
156,8,16,1,320,,伤害减免{0}级:+{1}%
157,8,17,1,340,,伤害减免{0}级:+{1}%
158,8,18,1,360,,伤害减免{0}级:+{1}%
159,8,19,1,380,,伤害减免{0}级:+{1}%
160,8,20,1,400,,伤害减免{0}级:+{1}%
161,9,1,1,50,3-5星专属,暴击伤害加成{0}级:+{1}%
162,9,2,1,100,,暴击伤害加成{0}级:+{1}%
163,9,3,1,150,,暴击伤害加成{0}级:+{1}%
164,9,4,1,200,,暴击伤害加成{0}级:+{1}%
165,9,5,1,250,,暴击伤害加成{0}级:+{1}%
166,9,6,1,300,,暴击伤害加成{0}级:+{1}%
167,9,7,1,350,,暴击伤害加成{0}级:+{1}%
168,9,8,1,400,,暴击伤害加成{0}级:+{1}%
169,9,9,1,450,,暴击伤害加成{0}级:+{1}%
170,9,10,1,500,,暴击伤害加成{0}级:+{1}%
171,9,11,1,550,,暴击伤害加成{0}级:+{1}%
172,9,12,1,600,,暴击伤害加成{0}级:+{1}%
173,9,13,1,650,,暴击伤害加成{0}级:+{1}%
174,9,14,1,700,,暴击伤害加成{0}级:+{1}%
175,9,15,1,750,,暴击伤害加成{0}级:+{1}%
176,9,16,1,800,,暴击伤害加成{0}级:+{1}%
177,9,17,1,850,,暴击伤害加成{0}级:+{1}%
178,9,18,1,900,,暴击伤害加成{0}级:+{1}%
179,9,19,1,950,,暴击伤害加成{0}级:+{1}%
180,9,20,1,1000,,暴击伤害加成{0}级:+{1}%
181,10,1,0,200,2-4星专属,暴击伤害{0}级:+{1}
182,10,2,0,400,,暴击伤害{0}级:+{1}
183,10,3,0,600,,暴击伤害{0}级:+{1}
184,10,4,0,800,,暴击伤害{0}级:+{1}
185,10,5,0,1000,,暴击伤害{0}级:+{1}
186,10,6,0,1200,,暴击伤害{0}级:+{1}
187,10,7,0,1400,,暴击伤害{0}级:+{1}
188,10,8,0,1600,,暴击伤害{0}级:+{1}
189,10,9,0,1800,,暴击伤害{0}级:+{1}
190,10,10,0,2000,,暴击伤害{0}级:+{1}
191,10,11,0,2200,,暴击伤害{0}级:+{1}
192,10,12,0,2400,,暴击伤害{0}级:+{1}
193,10,13,0,2600,,暴击伤害{0}级:+{1}
194,10,14,0,2800,,暴击伤害{0}级:+{1}
195,10,15,0,3000,,暴击伤害{0}级:+{1}
196,10,16,0,3200,,暴击伤害{0}级:+{1}
197,10,17,0,3400,,暴击伤害{0}级:+{1}
198,10,18,0,3600,,暴击伤害{0}级:+{1}
199,10,19,0,3800,,暴击伤害{0}级:+{1}
200,10,20,0,4000,,暴击伤害{0}级:+{1}
201,11,1,1,20,4星专属,暴击{0}级:+{1}%
202,11,2,1,40,,暴击{0}级:+{1}%
203,11,3,1,60,,暴击{0}级:+{1}%
204,11,4,1,80,,暴击{0}级:+{1}%
205,11,5,1,100,,暴击{0}级:+{1}%
206,11,6,1,120,,暴击{0}级:+{1}%
207,11,7,1,140,,暴击{0}级:+{1}%
208,11,8,1,160,,暴击{0}级:+{1}%
209,11,9,1,180,,暴击{0}级:+{1}%
210,11,10,1,200,,暴击{0}级:+{1}%
211,11,11,1,220,,暴击{0}级:+{1}%
212,11,12,1,240,,暴击{0}级:+{1}%
213,11,13,1,260,,暴击{0}级:+{1}%
214,11,14,1,280,,暴击{0}级:+{1}%
215,11,15,1,300,,暴击{0}级:+{1}%
216,11,16,1,320,,暴击{0}级:+{1}%
217,11,17,1,340,,暴击{0}级:+{1}%
218,11,18,1,360,,暴击{0}级:+{1}%
219,11,19,1,380,,暴击{0}级:+{1}%
220,11,20,1,400,,暴击{0}级:+{1}%
221,12,1,1,20,2星专属,闪避{0}级:+{1}%
222,12,2,1,40,,闪避{0}级:+{1}%
223,12,3,1,60,,闪避{0}级:+{1}%
224,12,4,1,80,,闪避{0}级:+{1}%
225,12,5,1,100,,闪避{0}级:+{1}%
226,12,6,1,120,,闪避{0}级:+{1}%
227,12,7,1,140,,闪避{0}级:+{1}%
228,12,8,1,160,,闪避{0}级:+{1}%
229,12,9,1,180,,闪避{0}级:+{1}%
230,12,10,1,200,,闪避{0}级:+{1}%
231,12,11,1,220,,闪避{0}级:+{1}%
232,12,12,1,240,,闪避{0}级:+{1}%
233,12,13,1,260,,闪避{0}级:+{1}%
234,12,14,1,280,,闪避{0}级:+{1}%
235,12,15,1,300,,闪避{0}级:+{1}%
236,12,16,1,320,,闪避{0}级:+{1}%
237,12,17,1,340,,闪避{0}级:+{1}%
238,12,18,1,360,,闪避{0}级:+{1}%
239,12,19,1,380,,闪避{0}级:+{1}%
240,12,20,1,400,,闪避{0}级:+{1}%
241,13,1,0,150,3-5星专属,攻击生命回复{0}级:+{1}
242,13,2,0,300,,攻击生命回复{0}级:+{1}
243,13,3,0,450,,攻击生命回复{0}级:+{1}
244,13,4,0,600,,攻击生命回复{0}级:+{1}
245,13,5,0,750,,攻击生命回复{0}级:+{1}
246,13,6,0,900,,攻击生命回复{0}级:+{1}
247,13,7,0,1050,,攻击生命回复{0}级:+{1}
248,13,8,0,1200,,攻击生命回复{0}级:+{1}
249,13,9,0,1350,,攻击生命回复{0}级:+{1}
250,13,10,0,1500,,攻击生命回复{0}级:+{1}
251,13,11,0,1650,,攻击生命回复{0}级:+{1}
252,13,12,0,1800,,攻击生命回复{0}级:+{1}
253,13,13,0,1950,,攻击生命回复{0}级:+{1}
254,13,14,0,2100,,攻击生命回复{0}级:+{1}
255,13,15,0,2250,,攻击生命回复{0}级:+{1}
256,13,16,0,2400,,攻击生命回复{0}级:+{1}
257,13,17,0,2550,,攻击生命回复{0}级:+{1}
258,13,18,0,2700,,攻击生命回复{0}级:+{1}
259,13,19,0,2850,,攻击生命回复{0}级:+{1}
260,13,20,0,3000,,攻击生命回复{0}级:+{1}
261,14,1,0,100,3-5星专属,毒属性攻击{0}级:+{1}
262,14,2,0,200,,毒属性攻击{0}级:+{1}
263,14,3,0,300,,毒属性攻击{0}级:+{1}
264,14,4,0,400,,毒属性攻击{0}级:+{1}
265,14,5,0,500,,毒属性攻击{0}级:+{1}
266,14,6,0,600,,毒属性攻击{0}级:+{1}
267,14,7,0,700,,毒属性攻击{0}级:+{1}
268,14,8,0,800,,毒属性攻击{0}级:+{1}
269,14,9,0,900,,毒属性攻击{0}级:+{1}
270,14,10,0,1000,,毒属性攻击{0}级:+{1}
271,14,11,0,1100,,毒属性攻击{0}级:+{1}
272,14,12,0,1200,,毒属性攻击{0}级:+{1}
273,14,13,0,1300,,毒属性攻击{0}级:+{1}
274,14,14,0,1400,,毒属性攻击{0}级:+{1}
275,14,15,0,1500,,毒属性攻击{0}级:+{1}
276,14,16,0,1600,,毒属性攻击{0}级:+{1}
277,14,17,0,1700,,毒属性攻击{0}级:+{1}
278,14,18,0,1800,,毒属性攻击{0}级:+{1}
279,14,19,0,1900,,毒属性攻击{0}级:+{1}
280,14,20,0,2000,,毒属性攻击{0}级:+{1}
281,15,1,0,100,3-5星专属,火属性攻击{0}级:+{1}
282,15,2,0,200,,火属性攻击{0}级:+{1}
283,15,3,0,300,,火属性攻击{0}级:+{1}
284,15,4,0,400,,火属性攻击{0}级:+{1}
285,15,5,0,500,,火属性攻击{0}级:+{1}
286,15,6,0,600,,火属性攻击{0}级:+{1}
287,15,7,0,700,,火属性攻击{0}级:+{1}
288,15,8,0,800,,火属性攻击{0}级:+{1}
289,15,9,0,900,,火属性攻击{0}级:+{1}
290,15,10,0,1000,,火属性攻击{0}级:+{1}
291,15,11,0,1100,,火属性攻击{0}级:+{1}
292,15,12,0,1200,,火属性攻击{0}级:+{1}
293,15,13,0,1300,,火属性攻击{0}级:+{1}
294,15,14,0,1400,,火属性攻击{0}级:+{1}
295,15,15,0,1500,,火属性攻击{0}级:+{1}
296,15,16,0,1600,,火属性攻击{0}级:+{1}
297,15,17,0,1700,,火属性攻击{0}级:+{1}
298,15,18,0,1800,,火属性攻击{0}级:+{1}
299,15,19,0,1900,,火属性攻击{0}级:+{1}
300,15,20,0,2000,,火属性攻击{0}级:+{1}
301,16,1,0,100,5星专属,冰属性攻击{0}级:+{1}
302,16,2,0,200,,冰属性攻击{0}级:+{1}
303,16,3,0,300,,冰属性攻击{0}级:+{1}
304,16,4,0,400,,冰属性攻击{0}级:+{1}
305,16,5,0,500,,冰属性攻击{0}级:+{1}
306,16,6,0,600,,冰属性攻击{0}级:+{1}
307,16,7,0,700,,冰属性攻击{0}级:+{1}
308,16,8,0,800,,冰属性攻击{0}级:+{1}
309,16,9,0,900,,冰属性攻击{0}级:+{1}
310,16,10,0,1000,,冰属性攻击{0}级:+{1}
311,16,11,0,1100,,冰属性攻击{0}级:+{1}
312,16,12,0,1200,,冰属性攻击{0}级:+{1}
313,16,13,0,1300,,冰属性攻击{0}级:+{1}
314,16,14,0,1400,,冰属性攻击{0}级:+{1}
315,16,15,0,1500,,冰属性攻击{0}级:+{1}
316,16,16,0,1600,,冰属性攻击{0}级:+{1}
317,16,17,0,1700,,冰属性攻击{0}级:+{1}
318,16,18,0,1800,,冰属性攻击{0}级:+{1}
319,16,19,0,1900,,冰属性攻击{0}级:+{1}
320,16,20,0,2000,,冰属性攻击{0}级:+{1}
321,17,1,0,100,4-5星专属,暗属性攻击{0}级:+{1}
322,17,2,0,200,,暗属性攻击{0}级:+{1}
323,17,3,0,300,,暗属性攻击{0}级:+{1}
324,17,4,0,400,,暗属性攻击{0}级:+{1}
325,17,5,0,500,,暗属性攻击{0}级:+{1}
326,17,6,0,600,,暗属性攻击{0}级:+{1}
327,17,7,0,700,,暗属性攻击{0}级:+{1}
328,17,8,0,800,,暗属性攻击{0}级:+{1}
329,17,9,0,900,,暗属性攻击{0}级:+{1}
330,17,10,0,1000,,暗属性攻击{0}级:+{1}
331,17,11,0,1100,,暗属性攻击{0}级:+{1}
332,17,12,0,1200,,暗属性攻击{0}级:+{1}
333,17,13,0,1300,,暗属性攻击{0}级:+{1}
334,17,14,0,1400,,暗属性攻击{0}级:+{1}
335,17,15,0,1500,,暗属性攻击{0}级:+{1}
336,17,16,0,1600,,暗属性攻击{0}级:+{1}
337,17,17,0,1700,,暗属性攻击{0}级:+{1}
338,17,18,0,1800,,暗属性攻击{0}级:+{1}
339,17,19,0,1900,,暗属性攻击{0}级:+{1}
340,17,20,0,2000,,暗属性攻击{0}级:+{1}
341,18,1,0,100,4-5星专属,风属性攻击{0}级:+{1}
342,18,2,0,200,,风属性攻击{0}级:+{1}
343,18,3,0,300,,风属性攻击{0}级:+{1}
344,18,4,0,400,,风属性攻击{0}级:+{1}
345,18,5,0,500,,风属性攻击{0}级:+{1}
346,18,6,0,600,,风属性攻击{0}级:+{1}
347,18,7,0,700,,风属性攻击{0}级:+{1}
348,18,8,0,800,,风属性攻击{0}级:+{1}
349,18,9,0,900,,风属性攻击{0}级:+{1}
350,18,10,0,1000,,风属性攻击{0}级:+{1}
351,18,11,0,1100,,风属性攻击{0}级:+{1}
352,18,12,0,1200,,风属性攻击{0}级:+{1}
353,18,13,0,1300,,风属性攻击{0}级:+{1}
354,18,14,0,1400,,风属性攻击{0}级:+{1}
355,18,15,0,1500,,风属性攻击{0}级:+{1}
356,18,16,0,1600,,风属性攻击{0}级:+{1}
357,18,17,0,1700,,风属性攻击{0}级:+{1}
358,18,18,0,1800,,风属性攻击{0}级:+{1}
359,18,19,0,1900,,风属性攻击{0}级:+{1}
360,18,20,0,2000,,风属性攻击{0}级:+{1}
361,19,1,0,50,3-5星专属,全属性抗性{0}级:+{1}
362,19,2,0,100,,全属性抗性{0}级:+{1}
363,19,3,0,150,,全属性抗性{0}级:+{1}
364,19,4,0,200,,全属性抗性{0}级:+{1}
365,19,5,0,250,,全属性抗性{0}级:+{1}
366,19,6,0,300,,全属性抗性{0}级:+{1}
367,19,7,0,350,,全属性抗性{0}级:+{1}
368,19,8,0,400,,全属性抗性{0}级:+{1}
369,19,9,0,450,,全属性抗性{0}级:+{1}
370,19,10,0,500,,全属性抗性{0}级:+{1}
371,19,11,0,550,,全属性抗性{0}级:+{1}
372,19,12,0,600,,全属性抗性{0}级:+{1}
373,19,13,0,650,,全属性抗性{0}级:+{1}
374,19,14,0,700,,全属性抗性{0}级:+{1}
375,19,15,0,750,,全属性抗性{0}级:+{1}
376,19,16,0,800,,全属性抗性{0}级:+{1}
377,19,17,0,850,,全属性抗性{0}级:+{1}
378,19,18,0,900,,全属性抗性{0}级:+{1}
379,19,19,0,950,,全属性抗性{0}级:+{1}
380,19,20,0,1000,,全属性抗性{0}级:+{1}
381,20,1,0,150,2-3星专属,最终伤害{0}级:+{1}
382,20,2,0,300,,最终伤害{0}级:+{1}
383,20,3,0,450,,最终伤害{0}级:+{1}
384,20,4,0,600,,最终伤害{0}级:+{1}
385,20,5,0,750,,最终伤害{0}级:+{1}
386,20,6,0,900,,最终伤害{0}级:+{1}
387,20,7,0,1050,,最终伤害{0}级:+{1}
388,20,8,0,1200,,最终伤害{0}级:+{1}
389,20,9,0,1350,,最终伤害{0}级:+{1}
390,20,10,0,1500,,最终伤害{0}级:+{1}
391,20,11,0,1650,,最终伤害{0}级:+{1}
392,20,12,0,1800,,最终伤害{0}级:+{1}
393,20,13,0,1950,,最终伤害{0}级:+{1}
394,20,14,0,2100,,最终伤害{0}级:+{1}
395,20,15,0,2250,,最终伤害{0}级:+{1}
396,20,16,0,2400,,最终伤害{0}级:+{1}
397,20,17,0,2550,,最终伤害{0}级:+{1}
398,20,18,0,2700,,最终伤害{0}级:+{1}
399,20,19,0,2850,,最终伤害{0}级:+{1}
400,20,20,0,3000,,最终伤害{0}级:+{1}
401,21,1,0,150,2-3星专属,最终伤害减免{0}级:+{1}
402,21,2,0,300,,最终伤害减免{0}级:+{1}
403,21,3,0,450,,最终伤害减免{0}级:+{1}
404,21,4,0,600,,最终伤害减免{0}级:+{1}
405,21,5,0,750,,最终伤害减免{0}级:+{1}
406,21,6,0,900,,最终伤害减免{0}级:+{1}
407,21,7,0,1050,,最终伤害减免{0}级:+{1}
408,21,8,0,1200,,最终伤害减免{0}级:+{1}
409,21,9,0,1350,,最终伤害减免{0}级:+{1}
410,21,10,0,1500,,最终伤害减免{0}级:+{1}
411,21,11,0,1650,,最终伤害减免{0}级:+{1}
412,21,12,0,1800,,最终伤害减免{0}级:+{1}
413,21,13,0,1950,,最终伤害减免{0}级:+{1}
414,21,14,0,2100,,最终伤害减免{0}级:+{1}
415,21,15,0,2250,,最终伤害减免{0}级:+{1}
416,21,16,0,2400,,最终伤害减免{0}级:+{1}
417,21,17,0,2550,,最终伤害减免{0}级:+{1}
418,21,18,0,2700,,最终伤害减免{0}级:+{1}
419,21,19,0,2850,,最终伤害减免{0}级:+{1}
420,21,20,0,3000,,最终伤害减免{0}级:+{1}
