id,level,difficult,exp,money
255,7072,3,3593994,20000
256,7073,1,1796997,10000
257,7073,2,2695496,15000
258,7073,3,3593994,20000
259,7074,1,1796997,10000
260,7074,2,2695496,15000
261,7074,3,3593994,20000
262,7075,1,1796997,10000
263,7075,2,2695496,15000
264,7075,3,3593994,20000
265,7076,1,1886847,10000
266,7076,2,2830271,15000
267,7076,3,3773694,20000
268,7077,1,1981189,10000
269,7077,2,2971784,15000
270,7077,3,3962378,20000
271,7078,1,2080249,10000
272,7078,2,3120374,15000
273,7078,3,4160498,20000
274,7079,1,2184261,10000
275,7079,2,3276392,15000
276,7079,3,4368522,20000
277,7080,1,2293474,10000
278,7080,2,3440211,15000
279,7080,3,4586948,20000
280,8075,1,2293474,10000
281,8075,2,3440211,15000
282,8075,3,4586948,20000
283,8076,1,2293474,10000
284,8076,2,3440211,15000
285,8076,3,4586948,20000
286,8077,1,2293474,10000
287,8077,2,3440211,15000
288,8077,3,4586948,20000
289,8078,1,2293474,10000
290,8078,2,3440211,15000
291,8078,3,4586948,20000
292,8079,1,2293474,10000
293,8079,2,3440211,15000
294,8079,3,4586948,20000
295,8080,1,2293474,10000
296,8080,2,3440211,15000
297,8080,3,4586948,20000
298,8081,1,2408148,10000
299,8081,2,3612222,15000
300,8081,3,4816296,20000
301,8082,1,2528555,10000
302,8082,2,3792833,15000
303,8082,3,5057110,20000
304,8083,1,2654983,10000
305,8083,2,3982475,15000
306,8083,3,5309966,20000
307,8084,1,2787732,10000
308,8084,2,4181598,15000
309,8084,3,5575464,20000
310,8085,1,2927119,10000
311,8085,2,4390679,15000
312,8085,3,5854238,20000
313,9080,1,2927119,10000
314,9080,2,4390679,15000
315,9080,3,5854238,20000
316,9081,1,2927119,10000
317,9081,2,4390679,15000
318,9081,3,5854238,20000
319,9082,1,2927119,10000
320,9082,2,4390679,15000
321,9082,3,5854238,20000
322,9083,1,2927119,10000
323,9083,2,4390679,15000
324,9083,3,5854238,20000
325,9084,1,2927119,10000
326,9084,2,4390679,15000
327,9084,3,5854238,20000
328,9085,1,2927119,10000
329,9085,2,4390679,15000
330,9085,3,5854238,20000
331,9086,1,3073475,10000
332,9086,2,4610213,15000
333,9086,3,6146950,20000
334,9087,1,3227148,10000
335,9087,2,4840722,15000
336,9087,3,6454296,20000
337,9088,1,3388506,10000
338,9088,2,5082759,15000
339,9088,3,6777012,20000
340,9089,1,3557931,10000
341,9089,2,5336897,15000
342,9089,3,7115862,20000
343,9090,1,3735828,10000
344,9090,2,5603742,15000
345,9090,3,7471656,20000
346,10085,1,3735828,10000
347,10085,2,5603742,15000
348,10085,3,7471656,20000
349,10086,1,3735828,10000
350,10086,2,5603742,15000
351,10086,3,7471656,20000
352,10087,1,3735828,10000
353,10087,2,5603742,15000
354,10087,3,7471656,20000
355,10088,1,3735828,10000
356,10088,2,5603742,15000
357,10088,3,7471656,20000
358,10089,1,3735828,10000
359,10089,2,5603742,15000
360,10089,3,7471656,20000
361,10090,1,3735828,10000
362,10090,2,5603742,15000
363,10090,3,7471656,20000
364,10091,1,3922619,10000
365,10091,2,5883929,15000
366,10091,3,7845238,20000
367,10092,1,4118750,10000
368,10092,2,6178125,15000
369,10092,3,8237500,20000
370,10093,1,4324687,10000
371,10093,2,6487031,15000
372,10093,3,8649374,20000
373,10094,1,4540922,10000
374,10094,2,6811383,15000
375,10094,3,9081844,20000
376,10095,1,4767968,10000
377,10095,2,7151952,15000
378,10095,3,9535936,20000
379,11090,1,4767968,10000
380,11090,2,7151952,15000
381,11090,3,9535936,20000
382,11091,1,4767968,10000
383,11091,2,7151952,15000
384,11091,3,9535936,20000
385,11092,1,4767968,10000
386,11092,2,7151952,15000
387,11092,3,9535936,20000
388,11093,1,4767968,10000
389,11093,2,7151952,15000
390,11093,3,9535936,20000
391,11094,1,4767968,10000
392,11094,2,7151952,15000
393,11094,3,9535936,20000
394,11095,1,4767968,10000
395,11095,2,7151952,15000
396,11095,3,9535936,20000
397,11096,1,5006366,10000
398,11096,2,7509549,15000
399,11096,3,10012732,20000
400,11097,1,5256685,10000
401,11097,2,7885028,15000
402,11097,3,10513370,20000
403,11098,1,5519519,10000
404,11098,2,8279279,15000
405,11098,3,11039038,20000
406,11099,1,5795495,10000
407,11099,2,8693243,15000
408,11099,3,11590990,20000
409,11100,1,6085269,10000
410,11100,2,9127904,15000
411,11100,3,12170538,20000
