id,fieldid,level,process,health,attack,defence,crit,toughness,hit,dodge,buffid,bufflv,describe
43,2,1,30,1050,35,0,0,0,0,0,-1,-1,在领域内的敌人防御降低百分比降低
44,2,2,50,1680,43,0,0,0,0,0,-1,-1,在领域内的敌人防御降低百分比降低
45,2,3,70,2415,54,0,0,0,0,0,-1,-1,在领域内的敌人防御降低百分比降低
46,2,4,90,3255,69,0,0,0,0,0,-1,-1,在领域内的敌人防御降低百分比降低
47,2,5,130,4200,87,0,0,0,0,0,800200,1,在领域内的敌人防御降低[008800]15%[-]
48,2,6,170,5250,109,0,0,0,0,0,800200,1,在领域内的敌人防御降低[008800]15%[-]
49,2,7,210,6405,134,0,0,0,0,0,800200,1,在领域内的敌人防御降低[008800]15%[-]
50,2,8,250,7665,163,0,0,0,0,0,800200,1,在领域内的敌人防御降低[008800]15%[-]
51,2,9,290,9030,195,0,0,0,0,0,800200,1,在领域内的敌人防御降低[008800]15%[-]
52,2,10,360,10500,231,0,0,0,0,0,800200,2,在领域内的敌人防御降低[008800]20%[-]
53,2,11,430,12075,270,0,0,0,0,0,800200,2,在领域内的敌人防御降低[008800]20%[-]
54,2,12,500,13755,313,0,0,0,0,0,800200,2,在领域内的敌人防御降低[008800]20%[-]
55,2,13,570,15540,359,0,0,0,0,0,800200,2,在领域内的敌人防御降低[008800]20%[-]
56,2,14,640,17430,409,0,0,0,0,0,800200,2,在领域内的敌人防御降低[008800]20%[-]
57,2,15,750,19425,462,0,0,0,0,0,800200,3,在领域内的敌人防御降低[008800]25%[-]
58,2,16,860,21525,519,0,0,0,0,0,800200,3,在领域内的敌人防御降低[008800]25%[-]
59,2,17,970,23730,579,0,0,0,0,0,800200,3,在领域内的敌人防御降低[008800]25%[-]
60,2,18,1080,26040,643,0,0,0,0,0,800200,3,在领域内的敌人防御降低[008800]25%[-]
61,2,19,1190,28455,710,0,0,0,0,0,800200,3,在领域内的敌人防御降低[008800]25%[-]
62,2,20,1350,30975,781,0,0,0,0,0,800200,4,在领域内的敌人防御降低[008800]30%[-]
63,2,21,1510,33600,855,0,0,0,0,0,800200,4,在领域内的敌人防御降低[008800]30%[-]
64,2,22,1670,36330,933,0,0,0,0,0,800200,4,在领域内的敌人防御降低[008800]30%[-]
65,2,23,1830,39165,1014,0,0,0,0,0,800200,4,在领域内的敌人防御降低[008800]30%[-]
66,2,24,1990,42105,1099,0,0,0,0,0,800200,4,在领域内的敌人防御降低[008800]30%[-]
67,2,25,2210,45150,1187,0,0,0,0,0,800200,5,在领域内的敌人防御降低[008800]35%[-]
68,2,26,2430,48300,1279,0,0,0,0,0,800200,5,在领域内的敌人防御降低[008800]35%[-]
69,2,27,2650,51555,1374,0,0,0,0,0,800200,5,在领域内的敌人防御降低[008800]35%[-]
70,2,28,2870,54915,1473,0,0,0,0,0,800200,5,在领域内的敌人防御降低[008800]35%[-]
71,2,29,3090,58380,1575,0,0,0,0,0,800200,5,在领域内的敌人防御降低[008800]35%[-]
72,2,30,3380,61950,1681,0,0,0,0,0,800200,6,在领域内的敌人防御降低[008800]40%[-]
73,2,31,3670,65625,1790,0,0,0,0,0,800200,6,在领域内的敌人防御降低[008800]40%[-]
74,2,32,3960,69405,1903,0,0,0,0,0,800200,6,在领域内的敌人防御降低[008800]40%[-]
75,2,33,4250,73290,2019,0,0,0,0,0,800200,6,在领域内的敌人防御降低[008800]40%[-]
76,2,34,4540,77280,2139,0,0,0,0,0,800200,6,在领域内的敌人防御降低[008800]40%[-]
77,2,35,4910,81375,2262,0,0,0,0,0,800200,7,在领域内的敌人防御降低[008800]45%[-]
78,2,36,5280,85575,2389,0,0,0,0,0,800200,7,在领域内的敌人防御降低[008800]45%[-]
79,2,37,5650,89880,2519,0,0,0,0,0,800200,7,在领域内的敌人防御降低[008800]45%[-]
80,2,38,6020,94290,2653,0,0,0,0,0,800200,7,在领域内的敌人防御降低[008800]45%[-]
81,2,39,6390,98805,2790,0,0,0,0,0,800200,7,在领域内的敌人防御降低[008800]45%[-]
82,2,40,-1,103425,2931,0,0,0,0,0,800200,8,在领域内的敌人防御降低[008800]50%[-]
83,3,0,0,0,0,0,0,0,0,0,-1,-1,在领域内的敌人有概率被冰冻
84,3,1,30,0,35,0,35,0,0,0,-1,-1,在领域内的敌人有概率被冰冻
85,3,2,50,0,43,0,41,0,0,0,-1,-1,在领域内的敌人有概率被冰冻
86,3,3,70,0,54,0,50,0,0,0,-1,-1,在领域内的敌人有概率被冰冻
87,3,4,90,0,69,0,62,0,0,0,-1,-1,在领域内的敌人有概率被冰冻
88,3,5,130,0,87,0,77,0,0,0,800300,1,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1[-]秒
89,3,6,170,0,109,0,94,0,0,0,800300,1,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1[-]秒
90,3,7,210,0,134,0,114,0,0,0,800300,1,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1[-]秒
91,3,8,250,0,163,0,137,0,0,0,800300,1,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1[-]秒
92,3,9,290,0,195,0,163,0,0,0,800300,1,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1[-]秒
93,3,10,360,0,231,0,192,0,0,0,800300,2,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.2[-]秒
94,3,11,430,0,270,0,223,0,0,0,800300,2,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.2[-]秒
95,3,12,500,0,313,0,257,0,0,0,800300,2,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.2[-]秒
96,3,13,570,0,359,0,294,0,0,0,800300,2,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.2[-]秒
97,3,14,640,0,409,0,334,0,0,0,800300,2,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.2[-]秒
98,3,15,750,0,462,0,377,0,0,0,800300,3,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.4[-]秒
99,3,16,860,0,519,0,422,0,0,0,800300,3,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.4[-]秒
100,3,17,970,0,579,0,470,0,0,0,800300,3,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.4[-]秒
101,3,18,1080,0,643,0,521,0,0,0,800300,3,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.4[-]秒
102,3,19,1190,0,710,0,575,0,0,0,800300,3,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.4[-]秒
103,3,20,1350,0,781,0,632,0,0,0,800300,4,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.6[-]秒
104,3,21,1510,0,855,0,691,0,0,0,800300,4,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.6[-]秒
105,3,22,1670,0,933,0,753,0,0,0,800300,4,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.6[-]秒
106,3,23,1830,0,1014,0,818,0,0,0,800300,4,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.6[-]秒
107,3,24,1990,0,1099,0,886,0,0,0,800300,4,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.6[-]秒
108,3,25,2210,0,1187,0,957,0,0,0,800300,5,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.8[-]秒
109,3,26,2430,0,1279,0,1030,0,0,0,800300,5,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.8[-]秒
110,3,27,2650,0,1374,0,1106,0,0,0,800300,5,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.8[-]秒
111,3,28,2870,0,1473,0,1185,0,0,0,800300,5,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.8[-]秒
112,3,29,3090,0,1575,0,1267,0,0,0,800300,5,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]1.8[-]秒
113,3,30,3380,0,1681,0,1352,0,0,0,800300,6,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]2[-]秒
114,3,31,3670,0,1790,0,1439,0,0,0,800300,6,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]2[-]秒
115,3,32,3960,0,1903,0,1529,0,0,0,800300,6,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]2[-]秒
116,3,33,4250,0,2019,0,1622,0,0,0,800300,6,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]2[-]秒
117,3,34,4540,0,2139,0,1718,0,0,0,800300,6,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]2[-]秒
118,3,35,4910,0,2262,0,1817,0,0,0,800300,7,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]2.2[-]秒
119,3,36,5280,0,2389,0,1918,0,0,0,800300,7,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]2.2[-]秒
120,3,37,5650,0,2519,0,2022,0,0,0,800300,7,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]2.2[-]秒
121,3,38,6020,0,2653,0,2129,0,0,0,800300,7,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]2.2[-]秒
122,3,39,6390,0,2790,0,2239,0,0,0,800300,7,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]2.2[-]秒
123,3,40,-1,0,2931,0,2352,0,0,0,800300,8,在领域内的敌人有[008800]15%[-]的概率被冰冻，冰冻持续[008800]2.4[-]秒
124,4,0,0,0,0,0,0,0,0,0,-1,-1,在领域内的敌人命中与闪避百分比降低
125,4,1,30,0,35,0,0,0,18,0,-1,-1,在领域内的敌人命中与闪避百分比降低
126,4,2,50,0,43,0,0,0,21,0,-1,-1,在领域内的敌人命中与闪避百分比降低
127,4,3,70,0,54,0,0,0,25,0,-1,-1,在领域内的敌人命中与闪避百分比降低
128,4,4,90,0,69,0,0,0,31,0,-1,-1,在领域内的敌人命中与闪避百分比降低
129,4,5,130,0,87,0,0,0,38,0,800500,1,在领域内的敌人命中与闪避降低[008800]50%[-]
130,4,6,170,0,109,0,0,0,47,0,800500,1,在领域内的敌人命中与闪避降低[008800]50%[-]
131,4,7,210,0,134,0,0,0,57,0,800500,1,在领域内的敌人命中与闪避降低[008800]50%[-]
132,4,8,250,0,163,0,0,0,68,0,800500,1,在领域内的敌人命中与闪避降低[008800]50%[-]
133,4,9,290,0,195,0,0,0,81,0,800500,1,在领域内的敌人命中与闪避降低[008800]50%[-]
134,4,10,360,0,231,0,0,0,95,0,800500,2,在领域内的敌人命中与闪避降低[008800]55%[-]
135,4,11,430,0,270,0,0,0,111,0,800500,2,在领域内的敌人命中与闪避降低[008800]55%[-]
136,4,12,500,0,313,0,0,0,128,0,800500,2,在领域内的敌人命中与闪避降低[008800]55%[-]
137,4,13,570,0,359,0,0,0,146,0,800500,2,在领域内的敌人命中与闪避降低[008800]55%[-]
138,4,14,640,0,409,0,0,0,166,0,800500,2,在领域内的敌人命中与闪避降低[008800]55%[-]
139,4,15,750,0,462,0,0,0,187,0,800500,3,在领域内的敌人命中与闪避降低[008800]60%[-]
140,4,16,860,0,519,0,0,0,210,0,800500,3,在领域内的敌人命中与闪避降低[008800]60%[-]
141,4,17,970,0,579,0,0,0,234,0,800500,3,在领域内的敌人命中与闪避降低[008800]60%[-]
142,4,18,1080,0,643,0,0,0,259,0,800500,3,在领域内的敌人命中与闪避降低[008800]60%[-]
143,4,19,1190,0,710,0,0,0,286,0,800500,3,在领域内的敌人命中与闪避降低[008800]60%[-]
144,4,20,1350,0,781,0,0,0,314,0,800500,4,在领域内的敌人命中与闪避降低[008800]65%[-]
145,4,21,1510,0,855,0,0,0,344,0,800500,4,在领域内的敌人命中与闪避降低[008800]65%[-]
146,4,22,1670,0,933,0,0,0,375,0,800500,4,在领域内的敌人命中与闪避降低[008800]65%[-]
147,4,23,1830,0,1014,0,0,0,407,0,800500,4,在领域内的敌人命中与闪避降低[008800]65%[-]
148,4,24,1990,0,1099,0,0,0,441,0,800500,4,在领域内的敌人命中与闪避降低[008800]65%[-]
149,4,25,2210,0,1187,0,0,0,476,0,800500,5,在领域内的敌人命中与闪避降低[008800]70%[-]
150,4,26,2430,0,1279,0,0,0,513,0,800500,5,在领域内的敌人命中与闪避降低[008800]70%[-]
151,4,27,2650,0,1374,0,0,0,551,0,800500,5,在领域内的敌人命中与闪避降低[008800]70%[-]
152,4,28,2870,0,1473,0,0,0,590,0,800500,5,在领域内的敌人命中与闪避降低[008800]70%[-]
153,4,29,3090,0,1575,0,0,0,631,0,800500,5,在领域内的敌人命中与闪避降低[008800]70%[-]
154,4,30,3380,0,1681,0,0,0,673,0,800500,6,在领域内的敌人命中与闪避降低[008800]75%[-]
155,4,31,3670,0,1790,0,0,0,717,0,800500,6,在领域内的敌人命中与闪避降低[008800]75%[-]
156,4,32,3960,0,1903,0,0,0,762,0,800500,6,在领域内的敌人命中与闪避降低[008800]75%[-]
157,4,33,4250,0,2019,0,0,0,808,0,800500,6,在领域内的敌人命中与闪避降低[008800]75%[-]
158,4,34,4540,0,2139,0,0,0,856,0,800500,6,在领域内的敌人命中与闪避降低[008800]75%[-]
159,4,35,4910,0,2262,0,0,0,905,0,800500,7,在领域内的敌人命中与闪避降低[008800]80%[-]
160,4,36,5280,0,2389,0,0,0,956,0,800500,7,在领域内的敌人命中与闪避降低[008800]80%[-]
161,4,37,5650,0,2519,0,0,0,1008,0,800500,7,在领域内的敌人命中与闪避降低[008800]80%[-]
162,4,38,6020,0,2653,0,0,0,1061,0,800500,7,在领域内的敌人命中与闪避降低[008800]80%[-]
163,4,39,6390,0,2790,0,0,0,1116,0,800500,7,在领域内的敌人命中与闪避降低[008800]80%[-]
164,4,40,-1,0,2931,0,0,0,1172,0,800500,8,在领域内的敌人命中与闪避降低[008800]90%[-]
165,5,0,0,0,0,0,0,0,0,0,-1,-1,在领域内的敌人暴击与韧性百分比降低
166,5,1,30,0,35,0,0,0,0,18,-1,-1,在领域内的敌人暴击与韧性百分比降低
167,5,2,50,0,43,0,0,0,0,21,-1,-1,在领域内的敌人暴击与韧性百分比降低
168,5,3,70,0,54,0,0,0,0,25,-1,-1,在领域内的敌人暴击与韧性百分比降低
169,5,4,90,0,69,0,0,0,0,31,-1,-1,在领域内的敌人暴击与韧性百分比降低
170,5,5,130,0,87,0,0,0,0,38,800400,1,在领域内的敌人暴击与韧性降低[008800]15%[-]
171,5,6,170,0,109,0,0,0,0,47,800400,1,在领域内的敌人暴击与韧性降低[008800]15%[-]
172,5,7,210,0,134,0,0,0,0,57,800400,1,在领域内的敌人暴击与韧性降低[008800]15%[-]
173,5,8,250,0,163,0,0,0,0,68,800400,1,在领域内的敌人暴击与韧性降低[008800]15%[-]
174,5,9,290,0,195,0,0,0,0,81,800400,1,在领域内的敌人暴击与韧性降低[008800]15%[-]
175,5,10,360,0,231,0,0,0,0,95,800400,2,在领域内的敌人暴击与韧性降低[008800]20%[-]
176,5,11,430,0,270,0,0,0,0,111,800400,2,在领域内的敌人暴击与韧性降低[008800]20%[-]
177,5,12,500,0,313,0,0,0,0,128,800400,2,在领域内的敌人暴击与韧性降低[008800]20%[-]
178,5,13,570,0,359,0,0,0,0,146,800400,2,在领域内的敌人暴击与韧性降低[008800]20%[-]
179,5,14,640,0,409,0,0,0,0,166,800400,2,在领域内的敌人暴击与韧性降低[008800]20%[-]
180,5,15,750,0,462,0,0,0,0,187,800400,3,在领域内的敌人暴击与韧性降低[008800]25%[-]
181,5,16,860,0,519,0,0,0,0,210,800400,3,在领域内的敌人暴击与韧性降低[008800]25%[-]
182,5,17,970,0,579,0,0,0,0,234,800400,3,在领域内的敌人暴击与韧性降低[008800]25%[-]
183,5,18,1080,0,643,0,0,0,0,259,800400,3,在领域内的敌人暴击与韧性降低[008800]25%[-]
184,5,19,1190,0,710,0,0,0,0,286,800400,3,在领域内的敌人暴击与韧性降低[008800]25%[-]
185,5,20,1350,0,781,0,0,0,0,314,800400,4,在领域内的敌人暴击与韧性降低[008800]30%[-]
186,5,21,1510,0,855,0,0,0,0,344,800400,4,在领域内的敌人暴击与韧性降低[008800]30%[-]
187,5,22,1670,0,933,0,0,0,0,375,800400,4,在领域内的敌人暴击与韧性降低[008800]30%[-]
188,5,23,1830,0,1014,0,0,0,0,407,800400,4,在领域内的敌人暴击与韧性降低[008800]30%[-]
189,5,24,1990,0,1099,0,0,0,0,441,800400,4,在领域内的敌人暴击与韧性降低[008800]30%[-]
190,5,25,2210,0,1187,0,0,0,0,476,800400,5,在领域内的敌人暴击与韧性降低[008800]35%[-]
191,5,26,2430,0,1279,0,0,0,0,513,800400,5,在领域内的敌人暴击与韧性降低[008800]35%[-]
192,5,27,2650,0,1374,0,0,0,0,551,800400,5,在领域内的敌人暴击与韧性降低[008800]35%[-]
193,5,28,2870,0,1473,0,0,0,0,590,800400,5,在领域内的敌人暴击与韧性降低[008800]35%[-]
194,5,29,3090,0,1575,0,0,0,0,631,800400,5,在领域内的敌人暴击与韧性降低[008800]35%[-]
195,5,30,3380,0,1681,0,0,0,0,673,800400,6,在领域内的敌人暴击与韧性降低[008800]40%[-]
196,5,31,3670,0,1790,0,0,0,0,717,800400,6,在领域内的敌人暴击与韧性降低[008800]40%[-]
197,5,32,3960,0,1903,0,0,0,0,762,800400,6,在领域内的敌人暴击与韧性降低[008800]40%[-]
198,5,33,4250,0,2019,0,0,0,0,808,800400,6,在领域内的敌人暴击与韧性降低[008800]40%[-]
199,5,34,4540,0,2139,0,0,0,0,856,800400,6,在领域内的敌人暴击与韧性降低[008800]40%[-]
200,5,35,4910,0,2262,0,0,0,0,905,800400,7,在领域内的敌人暴击与韧性降低[008800]45%[-]
201,5,36,5280,0,2389,0,0,0,0,956,800400,7,在领域内的敌人暴击与韧性降低[008800]45%[-]
202,5,37,5650,0,2519,0,0,0,0,1008,800400,7,在领域内的敌人暴击与韧性降低[008800]45%[-]
203,5,38,6020,0,2653,0,0,0,0,1061,800400,7,在领域内的敌人暴击与韧性降低[008800]45%[-]
204,5,39,6390,0,2790,0,0,0,0,1116,800400,7,在领域内的敌人暴击与韧性降低[008800]45%[-]
205,5,40,-1,0,2931,0,0,0,0,1172,800400,8,在领域内的敌人暴击与韧性降低[008800]50%[-]
206,6,0,0,0,0,0,0,0,0,0,-1,-1,在领域内的敌人全属性百分比降低
207,6,1,30,0,0,35,0,35,0,0,-1,-1,在领域内的敌人全属性百分比降低
208,6,2,50,0,0,43,0,41,0,0,-1,-1,在领域内的敌人全属性百分比降低
209,6,3,70,0,0,54,0,50,0,0,-1,-1,在领域内的敌人全属性百分比降低
210,6,4,90,0,0,69,0,62,0,0,-1,-1,在领域内的敌人全属性百分比降低
211,6,5,130,0,0,87,0,77,0,0,800600,1,在领域内的敌人全属性降低[008800]3%[-]
212,6,6,170,0,0,109,0,94,0,0,800600,1,在领域内的敌人全属性降低[008800]3%[-]
213,6,7,210,0,0,134,0,114,0,0,800600,1,在领域内的敌人全属性降低[008800]3%[-]
214,6,8,250,0,0,163,0,137,0,0,800600,1,在领域内的敌人全属性降低[008800]3%[-]
215,6,9,290,0,0,195,0,163,0,0,800600,1,在领域内的敌人全属性降低[008800]3%[-]
216,6,10,360,0,0,231,0,192,0,0,800600,2,在领域内的敌人全属性降低[008800]4%[-]
217,6,11,430,0,0,270,0,223,0,0,800600,2,在领域内的敌人全属性降低[008800]4%[-]
218,6,12,500,0,0,313,0,257,0,0,800600,2,在领域内的敌人全属性降低[008800]4%[-]
219,6,13,570,0,0,359,0,294,0,0,800600,2,在领域内的敌人全属性降低[008800]4%[-]
220,6,14,640,0,0,409,0,334,0,0,800600,2,在领域内的敌人全属性降低[008800]4%[-]
221,6,15,750,0,0,462,0,377,0,0,800600,3,在领域内的敌人全属性降低[008800]5%[-]
222,6,16,860,0,0,519,0,422,0,0,800600,3,在领域内的敌人全属性降低[008800]5%[-]
223,6,17,970,0,0,579,0,470,0,0,800600,3,在领域内的敌人全属性降低[008800]5%[-]
224,6,18,1080,0,0,643,0,521,0,0,800600,3,在领域内的敌人全属性降低[008800]5%[-]
225,6,19,1190,0,0,710,0,575,0,0,800600,3,在领域内的敌人全属性降低[008800]5%[-]
226,6,20,1350,0,0,781,0,632,0,0,800600,4,在领域内的敌人全属性降低[008800]6%[-]
227,6,21,1510,0,0,855,0,691,0,0,800600,4,在领域内的敌人全属性降低[008800]6%[-]
228,6,22,1670,0,0,933,0,753,0,0,800600,4,在领域内的敌人全属性降低[008800]6%[-]
229,6,23,1830,0,0,1014,0,818,0,0,800600,4,在领域内的敌人全属性降低[008800]6%[-]
230,6,24,1990,0,0,1099,0,886,0,0,800600,4,在领域内的敌人全属性降低[008800]6%[-]
231,6,25,2210,0,0,1187,0,957,0,0,800600,5,在领域内的敌人全属性降低[008800]7%[-]
232,6,26,2430,0,0,1279,0,1030,0,0,800600,5,在领域内的敌人全属性降低[008800]7%[-]
233,6,27,2650,0,0,1374,0,1106,0,0,800600,5,在领域内的敌人全属性降低[008800]7%[-]
234,6,28,2870,0,0,1473,0,1185,0,0,800600,5,在领域内的敌人全属性降低[008800]7%[-]
235,6,29,3090,0,0,1575,0,1267,0,0,800600,5,在领域内的敌人全属性降低[008800]7%[-]
236,6,30,3380,0,0,1681,0,1352,0,0,800600,6,在领域内的敌人全属性降低[008800]8%[-]
237,6,31,3670,0,0,1790,0,1439,0,0,800600,6,在领域内的敌人全属性降低[008800]8%[-]
238,6,32,3960,0,0,1903,0,1529,0,0,800600,6,在领域内的敌人全属性降低[008800]8%[-]
239,6,33,4250,0,0,2019,0,1622,0,0,800600,6,在领域内的敌人全属性降低[008800]8%[-]
240,6,34,4540,0,0,2139,0,1718,0,0,800600,6,在领域内的敌人全属性降低[008800]8%[-]
241,6,35,4910,0,0,2262,0,1817,0,0,800600,7,在领域内的敌人全属性降低[008800]9%[-]
242,6,36,5280,0,0,2389,0,1918,0,0,800600,7,在领域内的敌人全属性降低[008800]9%[-]
243,6,37,5650,0,0,2519,0,2022,0,0,800600,7,在领域内的敌人全属性降低[008800]9%[-]
244,6,38,6020,0,0,2653,0,2129,0,0,800600,7,在领域内的敌人全属性降低[008800]9%[-]
245,6,39,6390,0,0,2790,0,2239,0,0,800600,7,在领域内的敌人全属性降低[008800]9%[-]
