id,systemid,name,limit_level,taskid,describe,icon,title,state,window,path,head,shield
44,112013000,合成-炎玉,30,-1,,-1,-1,-1,-1,,1,0
45,113000000,分解,-1,100000061,1.装备分解时保底获得绑定铜钱。\n2.有气运值的装备可分解出绑定的气运油。\n3.紫、橙、红色装备可分解出绑定的升阶石，有几率分解出金焰地火，40级以上橙、红色装备必定分解出金焰地火，绑定的装备分解出绑定的金焰地火，非绑定的装备分解出非绑定的金焰地火。,10041,-1,3,-1,,1,1
46,114000000,仓库,30,-1,,10041,-1,-1,-1,,1,1
47,115000000,杂货店,31,-1,,-1,-1,-1,-1,,1,1
48,115010000,杂货店-回购,31,-1,,-1,-1,-1,-1,,1,1
49,115011000,杂货店-杂货,31,-1,,-1,-1,-1,-1,,1,1
50,115012000,杂货店-装备,31,-1,,-1,-1,-1,-1,,1,1
51,116000000,兑换商店,20,-1,,-1,-1,-1,-1,,1,1
52,116010000,兑换商店-功勋,20,-1,,-1,-1,-1,-1,,1,1
53,116011000,兑换商店-声望,20,-1,,-1,-1,-1,-1,,1,1
54,116012000,兑换商店-积分,20,-1,,-1,-1,-1,-1,,1,1
55,120000000,锻造系统,-1,100000041,,10042,20042,3,-1,,1,1
56,121000000,强化,-1,100000041,全身装备强化等级达到18、22时角色将获得超炫的光环特效。,10042,20042,3,-1,,1,1
57,122000000,升阶,-1,100000061,,10042,-1,3,-1,,1,1
58,123000000,精炼,-1,100000063,1,紫色装备可精炼成为橙色装备\n2,50级以上的橙色装备可精炼成为红色装备,10042,-1,3,-1,,1,1
59,124000000,洗炼,-1,100000108,1.洗炼时，将随机生成几条属性。\n2.紫色以及紫色品质以上的装备可以洗炼，紫色装备可洗出3条属性，橙色和红色装备可洗出4条属性。\n3.锁定的属性在洗炼时将不会改变。\n4.洗炼进度达到一定值时，可使用至尊洗炼，必定出现紫色属性。,10042,-1,3,-1,,1,1
60,124010000,批量洗炼,-1,100000108,,-1,-1,3,-1,,1,1
61,125000000,镶嵌,-1,100000118,1.每件装备可镶嵌8颗宝石，宝石增加人物属性。\n2.强化等级达到24开启的镶嵌孔为特殊孔，可镶嵌任意类型的宝石。\n3.已镶嵌的装备被爆落时，宝石将通过邮件返还。\n4.4颗同类型的低阶宝石可合成一颗高一级的同类型宝石。,10042,20042,3,-1,,1,1
62,126000000,传承,-1,100000064,1.旧装备的洗炼属性、气运值将100%转移至新装备上。\n2.参与传承的旧装备和新装备必须是同部位且同职业。\n3.可手动勾选需要传承的属性。\n4.20级以上(包括20级)的装备可进行传承。,10042,-1,3,-1,,1,1
63,130000000,外观系统,1,-1,,10049,20049,-1,-1,,1,1
64,131000000,外观,1,-1,,10049,-1,-1,-1,,1,0
65,131010000,坐骑,-1,100000030,,10057,-1,3,-1,,1,1
66,131010100,坐骑,-1,100000030,,10057,-1,3,-1,,1,1
67,131010200,外观-骑装,-1,100000030,1.所有坐骑共用一套骑装。\n2.身上穿齐8件骑装时会激活套装属性，激活品质的套装属性以身上最低品质的骑装决定。,-1,-1,3,-1,,1,1
68,131010201,外观-骑装合成,-1,100000030,1.5件相同品质的骑装，可合成1件高一级的骑装。\n2.合成出来的骑装部位随机。\n3.当有绑定骑装作为材料，则合成的骑装也绑定。\n4.红色品质的骑装，只能合成出红色品质的其他部位。,-1,-1,3,-1,,1,1
69,131010300,坐骑-丹药,-1,100000030,,-1,-1,3,-1,,1,1
70,131020000,伙伴,-1,100000011,,10054,-1,3,-1,,1,1
71,131020100,伙伴信息,-1,100000011,,-1,-1,3,-1,,1,0
72,131020200,伙伴成长,-1,100000102,,10054,-1,3,-1,,1,1
73,131020300,伙伴灵修,-1,100000104,,10054,-1,3,-1,,1,1
74,131020400,伙伴融魂,-1,100000101,,10054,-1,3,-1,,1,1
75,131020500,伙伴守护,1050,-1,,10054,-1,-1,-1,,1,1
76,131020600,伙伴功法,-1,100000111,,10054,-1,3,-1,,1,1
77,131020601,功法合成,-1,100000111,1.合成需要消耗同等级的功法书作为材料。\n2.与合成目标相同的功法书不能作为合成材料。\n3.低级、中级功法不可以合成。,-1,-1,3,-1,,1,0
78,131030000,羽翼,1,-1,,10059,-1,-1,-1,,1,1
79,131030100,神羽-丹药,1,-1,,-1,-1,-1,-1,,1,1
80,131030200,神羽,1,-1,,-1,-1,-1,-1,,1,1
81,131040000,称号,1,-1,,10053,-1,-1,-1,,1,1
82,131050000,玄兵,-1,100000114,,10056,-1,3,-1,,1,1
83,131050300,玄兵激活,-1,100000114,,-1,-1,3,-1,,1,0
84,131050301,玄兵一激活,-1,100000114,,-1,-1,3,-1,,1,0
85,131050302,玄兵二激活,-1,100000114,,-1,-1,3,-1,,1,0
86,131050303,玄兵三激活,-1,100000114,,-1,-1,3,-1,,1,0
87,131050100,外观-玄兵-淬炼,-1,100000114,,-1,-1,3,-1,,1,0
88,131050101,玄兵一-淬炼,-1,100000114,,-1,-1,3,-1,,1,0
89,131050102,玄兵二-淬炼,-1,100000114,,-1,-1,3,-1,,1,0
90,131050103,玄兵三-淬炼,-1,100000114,,-1,-1,3,-1,,1,0
91,131050200,外观-玄兵-注灵,-1,100000114,,-1,-1,3,-1,,1,0
92,131050201,玄兵一-注灵,-1,100000114,,-1,-1,3,-1,,1,0
93,131050202,玄兵二-注灵,-1,100000114,,-1,-1,3,-1,,1,0
94,131050203,玄兵三-注灵,-1,100000114,,-1,-1,3,-1,,1,0
95,131050400,法宝-丹药,-1,100000114,,-1,-1,3,-1,,1,0
96,131060000,足迹,3055,-1,,10117,20117,-1,-1,,1,0
97,131060100,足迹-丹药,3055,-1,,-1,-1,-1,-1,,1,0
98,131060200,足迹,3055,-1,,-1,-1,-1,-1,,1,0
99,131060300,足迹预览,3055,-1,,-1,-1,-1,-1,,1,0
100,131070000,仙器,2050,-1,,10118,20118,-1,-1,,1,0
101,131070100,仙器,2050,-1,,-1,-1,-1,-1,,1,0
102,131070300,仙器预览,2050,-1,,-1,-1,-1,-1,,1,0
103,131070200,仙器-丹药,2050,-1,,-1,-1,-1,-1,,1,0
104,132000000,幻化,1,-1,,10055,-1,-1,-1,,1,1
105,132010000,幻化-时装,1,-1,,10055,-1,-1,-1,,1,1
106,132020000,幻化-武器,1,-1,,10052,-1,-1,-1,,1,1
107,132030000,幻化-坐骑,-1,100000030,,10058,-1,3,-1,,1,1
108,132040000,幻化-足迹,3055,-1,,-1,-1,-1,-1,,1,1
109,132050000,幻化-仙器,2050,-1,,-1,-1,-1,-1,,1,1
110,140000000,邮件,1,-1,,10050,20050,-1,-1,,1,0
111,141000000,全部邮件,1,-1,,-1,-1,-1,-1,,1,0
112,150000000,设置系统,1,-1,,10047,20047,-1,-1,,1,0
113,151000000,性能设置,1,-1,,-1,-1,-1,-1,,1,0
114,152000000,小助手,1,-1,,-1,-1,-1,-1,,1,0
115,152011000,小助手-我要经验,1,-1,,-1,-1,-1,-1,,1,0
116,152012000,小助手-我要铜钱,1,-1,,-1,-1,-1,-1,,1,0
117,152013000,小助手-我要伙伴,1,-1,,-1,-1,-1,-1,,1,0
118,152014000,小助手-我要活动,1,-1,,-1,-1,-1,-1,,1,0
119,153000000,游戏公告,1,-1,,-1,-1,-1,-1,,1,0
120,154000000,挂机设置,1,-1,,-1,-1,-1,-1,,1,0
121,155000000,客服,1,-1,,-1,-1,-1,-1,,1,0
122,160000000,仙盟系统,-1,100000067,,10051,20037,3,-1,,1,1
123,161000000,未加入仙盟时的仙盟列表,-1,100000067,,-1,-1,3,-1,,1,0
124,161010000,仙盟大厅,-1,100000067,仙盟介绍说明：\n1.仙盟3日内无成员上线，仙盟会自动解散。\n2.仙盟盟主7日内未上线，会自动转让盟主职位。\n3.仙盟的每日俸禄与仙盟等级相关，仙盟争霸前3名会享受额外加成。\n4.仙盟成员自身获得贡献，仙盟经验会等量增加。,-1,-1,3,-1,,1,1
125,161010100,其他仙盟,-1,100000067,,-1,-1,3,-1,,1,0
126,161011000,仙盟商店,-1,100000067,,-1,-1,3,-1,,1,1
127,161012000,仙盟技能,-1,100000067,1.仙盟技能可提升对应的七种属性。\n2.仙盟等级提升1级，技能可学习等级提升2级。\n3.仙盟技能仅会在加入仙盟后才会生效；更换仙盟，已学习的技能仍然生效。,-1,-1,3,-1,,1,1
128,161013000,仙盟仓库,-1,100000067,1.仙盟成员可以存放非绑定的装备及各类药品丹药进入仙盟仓库。\n2.盟主和副盟主可以自由取出仓库里的道具。\n3.正副盟主外的其他成员需要通过申请获取道具，得到盟主或副盟主同意后通过邮件获得。\n4.成员每天最多可申请领取20次道具。\n5.仓库容量会随着仙盟等级的提升而增加。,-1,-1,3,-1,,1,1
129,161014000,仙盟守护,30,-1,仙盟守护规则：\n1.仙盟守护每日可由盟主开启一次，盟主开启后倒计时5分钟活动正式开始。\n2.每日0点活动次数重置刷新。\n3.活动开启后，需击杀从3个方向出现的妖魔大军，阻止怪物从传送阵闯入，若怪物闯入数量大于100，活动直接失败。\n4.活动中对怪物造成的伤害会自动转化为活动积分。\n5.活动时间结束时，闯入怪物数量未超过100或击杀场景内所有怪物，则守护成功，仙盟成员可获得大量仙盟贡献奖励。\n6.若守护失败，至少需守护5波以上才可获得奖励。,-1,-1,-1,-1,,1,1
130,161014010,仙盟守护,30,-1,1、怪物会从3个地点刷新，玩家需要阻止怪物进入地图中央的传送门。\n2、怪物入侵数量达到上限时，守护判定为失败。需要抵御20波的进攻。\n3、对怪物造成的伤害会转化为积分，积分越高奖励越丰厚。,-1,-1,-1,-1,,1,0
131,161015000,仙盟运镖,10,-1,1.仙盟成员均可参加。\n2.活动时间内进入方寸山场景找到三界镖师。\n3.盟主与副盟主可开启本仙盟的运镖。\n4.抢夺其他仙盟镖车可获得积分，活动结束时，仙盟根据积分排名获得额外奖励。,-1,-1,-1,-1,,1,0
132,161016000,仙盟城战,30,-1,1.仙盟攻城的活动时间为周一、周三、周五的21:00至21:40。新开服三天内不开启城战。若开启活动时仙盟数量不足3个则活动取消。\n2.除了城战前1小时及城战时间内，盟主和副盟主都可以报名攻城。\n3.进攻方目的是要破坏城池大厅内的3处能量水晶，并进入城内密室夺得城主令旗。\n4.防守方则需要守护水晶，或夺得令旗。\n5.夺得城主令旗的仙盟可占有城池，享受大量的福利。,-1,-1,-1,-1,,1,1
133,161016100,城内商店,-1,100000067,,-1,-1,3,-1,,1,0
134,161017000,仙盟成员,-1,100000067,,-1,-1,3,-1,,1,1
135,161018000,仙盟日志,-1,100000067,,-1,-1,3,-1,,1,1
136,161019000,仙盟争霸1（仙盟中该活动介绍界面）,-1,100000067,[0d4795]活动开启：周二、周四、周六21:00-21:30[-][1c252c],仙盟争霸开启[-]\n\n[0d4795]参与条件：[-][1c252c]开启日19:00仙盟战力在排行榜前九位[-]\n\n[0d4795]活动玩法：[-][1c252c]获得资格玩家可在活动时间内进入仙盟争霸战场[-]\n\n          [1c252c]每个战场3个仙盟混战，最终根据战场中获得的[-]\n\n          [1c252c]仙盟资源排行，决出胜者[-],-1,-1,3,-1,,1,1
137,161019100,仙盟争霸2（带旗子的界面）,-1,100000067,1.仙盟争霸每周二、周四、周六开启，规定截止时间时，仙盟战力排行前9的仙盟获得参赛资格（若少于3个仙盟，活动本周不开启）。\n2.仙盟争霸争夺战分为两轮，第一轮决出3强，第二轮3强对决争夺冠军。\n3.仙盟争霸冠军会获得持续3天的特有称号，前3名仙盟会享受俸禄加成奖励。\n4.仙盟争霸战场中，在中央战场中持续存活和击败敌对玩家，均可获得战场积分。,-1,-1,3,-1,,1,0
138,161020000,申请审核,-1,100000067,,-1,-1,3,-1,,1,1
139,161021000,仙府香炉,30,-1,1、只要停留在自己仙盟的香炉场景内，便可以轻松获得经验。\n2、好好守护仙盟的秘宝香炉！香炉被击破后经验会减少。\n3、尽可能的破坏其他仙盟的香炉获得加成奖励。,-1,-1,-1,-1,,1,0
140,161022000,封印大妖,-1,100000067,集齐[008800]5[-]人可封印一次，完成后每人可获得[008800]500[-]点仙盟贡献，仙盟获得[008800]2500[-]点仙盟经验，每天最多获得[008800]3[-]次奖励。每次封印后有冷却时间限制，期间可继续参加协助其他人封印。,-1,-1,3,-1,,1,1
141,161023000,吉星高照,30,-1,,10119,20119,-1,-1,,0,0
142,161024000,仙盟boss,30,-1,,10121,20121,-1,-1,,0,0
143,161025000,仙盟任务,30,-1,,10123,20123,-1,-1,,0,0
144,170000000,社交系统,1,-1,,10043,20043,-1,-1,,1,0
145,171000000,好友,1,-1,,-1,-1,-1,-1,,1,0
146,171010000,好友,1,-1,当亲密度达到1314时，未婚的双方可组队前往大夏王都找到月老登记结为道侣\n\n亲密度获得途径：\n1、组队前往副本\n2、赠送鲜花(鲜花可在商城购买)\n\n注意：在以下地图击杀对方会减少亲密度：野外地图、大夏王都非安全区域、狱山荒泽、狱山大荒泽、世界牢狱,-1,-1,-1,-1,,1,0
147,171010100,赠送鲜花界面,1,-1,,-1,-1,-1,-1,,1,0
148,171020000,附近的人,1,-1,,-1,-1,-1,-1,,1,1
149,171030000,黑名单,1,-1,,-1,-1,-1,-1,,1,1
150,171040000,仇人,1,-1,,-1,-1,-1,-1,,1,1
151,171050000,查找好友,1,-1,,-1,-1,-1,-1,,1,1
152,171060000,好友管理,1,-1,,-1,-1,-1,-1,,1,1
153,172000000,道侣,30,-1,,-1,-1,-1,-1,,1,1
154,172010000,道侣-没有道侣时的界面,30,-1,[1c252c]结为道侣的方式：\n1.与想要结为道侣的对象组队。\n2.双方尚未结成道侣，亲密度达到1314，并且都到达30级。\n3.前往大夏王都，找到[-][u][008800]月老[-][/u][1c252c]，并消耗若干绑铜或元宝结为道侣。[-],-1,-1,-1,-1,,1,0
155,172011000,有道侣时的界面,30,-1,,-1,-1,-1,-1,,1,0
156,173000000,结义,30,-1,,-1,-1,-1,-1,,1,1
157,173010000,结义-没有结义时的界面,30,-1,[1c252c]结义的方式：\n1.与想要结义的伙伴组队，最多为3人。\n2.队伍成员等级都超过30。\n3.前往大夏王都，找到[-][u][008800]吕洞宾[-][/u][1c252c]，并消耗100元宝进行结义。[-],-1,-1,-1,-1,,1,0
158,173011000,有结义时的界面,30,-1,,-1,-1,-1,-1,,1,0
159,173011100,结义,30,-1,1.结义后，组队通关多人副本时可获得情义值。相互赠送美酒也可增加情义值。\n2.情义值达到一定数值后，可提升情义等级，增加人物属性。\n3.情义值总和为玩家间情义值的相加，3人结义会获得成员a与b，a与c，b与c的情义值总和。\n4.情义等级达到一定值后，结义面板上称号会改变。\n5.在主城非安全区、野外地图、狱山荒泽、狱山大荒泽、世界牢狱击败结义伙伴，会减少100点情义值。,-1,-1,-1,-1,,1,0
160,173011110,结义任务,30,-1,1.结义伙伴每完成一个结义任务目标，所有成员都会获得1点积分。\n2.积分达到一定值后，能领取宝箱里的奖励。\n3.若结义伙伴组队击杀同一种怪物时，则能共享击杀目标数。\n4.任务目标和奖励，每日0点都会重置。,-1,-1,-1,-1,,1,0
161,173020000,结义（有结义）,30,-1,,-1,-1,-1,-1,,1,0
162,173020100,结义（有结义）,30,-1,,-1,-1,-1,-1,,1,0
163,173020200,结义任务,30,-1,,-1,-1,-1,-1,,1,0
164,180000000,排行系统,21,-1,,40041,20044,-1,-1,,1,0
165,181000000,排行,21,-1,,-1,-1,-1,-1,,1,0
166,181010000,战力榜,21,-1,,10053,22053,-1,-1,,1,0
167,181011000,等级榜,21,-1,,10060,20060,-1,-1,,1,0
168,181012000,神羽榜,21,-1,,10059,20059,-1,-1,,1,0
169,181013000,伙伴榜,21,-1,,10054,20054,-1,-1,,1,0
170,181014000,坐骑榜,21,-1,,10057,20040,-1,-1,,1,0
171,181015000,仙盟榜,21,-1,,10078,20037,-1,-1,,1,0
172,181016000,应龙试炼榜,21,-1,,10062,20038,-1,-1,,1,0
173,181017000,竞技场,21,-1,,10053,20034,-1,-1,,1,0
174,181018000,送花榜,21,-1,,10075,20075,-1,-1,,1,0
175,181019000,鲜花榜,21,-1,,10076,20076,-1,-1,,1,0
176,181020000,英雄榜,21,-1,,10074,20074,-1,-1,,1,0
177,181021000,恶人榜,21,-1,,10061,20061,-1,-1,,1,0
178,182000000,成就,1,-1,,10094,20094,-1,-1,,1,0
179,182010000,铜钱,1,-1,,-1,-1,-1,-1,,1,0
180,182011000,道行,1,-1,,-1,-1,-1,-1,,1,0
181,182012000,修为,1,-1,,-1,-1,-1,-1,,1,0
182,182013000,术法,1,-1,,-1,-1,-1,-1,,1,0
183,182014000,强化,1,-1,,-1,-1,-1,-1,,1,0
184,182015000,淬炼,1,-1,,-1,-1,-1,-1,,1,0
185,182016000,宝石,1,-1,,-1,-1,-1,-1,,1,0
186,182017000,洗炼,1,-1,,-1,-1,-1,-1,,1,0
187,182018000,伙伴成长,1,-1,,-1,-1,-1,-1,,1,0
188,182019000,伙伴灵修,1,-1,,-1,-1,-1,-1,,1,0
189,182020000,伙伴资质,1,-1,,-1,-1,-1,-1,,1,0
190,182021000,坐骑,1,-1,,-1,-1,-1,-1,,1,0
191,182022000,副本,1,-1,,-1,-1,-1,-1,,1,0
192,182023000,仙盟,1,-1,,-1,-1,-1,-1,,1,0
193,182400000,时装,1,-1,,-1,-1,-1,-1,,1,0
194,190000000,市场系统,1,-1,,10048,20048,-1,-1,,1,1
195,191000000,拍卖行,1,-1,,-1,-1,-1,-1,,1,0
196,192000000,我的拍卖,1,-1,,-1,-1,-1,-1,,1,0
197,200000000,商城系统,1,-1,,40045,20046,-1,-1,,1,1
198,201000000,限购,1,-1,,-1,-1,-1,-1,,1,0
199,202000000,变强,1,-1,,-1,-1,-1,-1,,1,0
200,203000000,灵兽,1,-1,,-1,-1,-1,-1,,1,0
201,204000000,日常,1,-1,,-1,-1,-1,-1,,1,0
202,205000000,时装,1,-1,,-1,-1,-1,-1,,1,0
203,206000000,礼金,1,-1,,-1,-1,-1,-1,,1,0
204,210000000,聊天系统,1,-1,,-1,-1,-1,-1,,0,0
205,211000000,全部,1,-1,,-1,-1,-1,-1,,0,0
206,212000000,世界,1,-1,,-1,-1,-1,-1,,0,0
207,213000000,队伍,1,-1,,-1,-1,-1,-1,,0,0
208,213100000,队伍聊天,1,-1,,-1,-1,-1,-1,,0,0
209,214000000,仙盟,1,-1,,-1,-1,-1,-1,,0,0
210,215000000,系统,1,-1,,-1,-1,-1,-1,,0,0
211,216000000,好友,1,-1,,-1,-1,-1,-1,,0,0
212,217000000,大喇叭,1,-1,,-1,-1,-1,-1,,0,0
213,220000000,福利系统,1,-1,,40020,20007,-1,-1,,0,1
214,221000000,每日签到,15,-1,,-1,-1,-1,-1,,0,1
215,222000000,在线奖励,10,-1,,-1,-1,-1,-1,,0,1
216,223000000,等级奖励,1,-1,,-1,-1,-1,-1,,0,1
217,224000000,聚灵,30,-1,1.悟道次数每日的24点刷新。\n2.普通悟道与高级悟道的次数单独计算。\n3.不同属性的道，悟道次数单独计算。\n4.高级悟道可获得普通悟道的多倍奖励，并有机会出现暴击！暴击后可获得更多奖励。\n5.VIP可获得额外的悟道次数。,-1,-1,-1,-1,,0,1
218,225000000,兑换奖励,1,-1,,-1,-1,-1,-1,,0,1
219,230000000,道兵,33,-1,,10124,20124,-1,-1,,0,1
220,231000000,道铠,33,-1,,-1,-1,-1,-1,,0,0
221,232000000,道戒,40,-1,,-1,-1,-1,-1,,0,0
222,232010000,道戒一,40,-1,,-1,-1,-1,-1,,0,0
223,232020000,道戒二,40,-1,,-1,-1,-1,-1,,0,0
224,232030000,道戒三,40,-1,1、单人副本、多人副本、苍穹神域。每通关一次增加1点技能点，扫荡也会增加。\n2、轮回界每层首次通关增加5点技能点，扫荡不会获得技能点。\n3、锁妖塔每层每日只能获得一点技能点。,-1,-1,-1,-1,,0,0
225,232040000,道戒四,40,-1,1、秘境魔头每次击杀增加1点技能点。\n2、对囚天大狱boss、里囚天大狱boss、场景boss、限时大妖造成伤害第一增加2点技能点，参与击杀增加1点技能点。\n3、boss死亡才会增加技能点，伤害第一获得的技能点与参与击杀获得的技能点只能获得其中一种。,-1,-1,-1,-1,,0,0
226,233000000,资源找回,33,-1,,-1,-1,-1,-1,,0,0
227,240000000,玩法系统,-1,100000034,,40022,20027,3,-1,,0,1
228,241000000,激战BOSS,-1,100000058,,40023,20011,3,-1,,0,1
229,241010000,可击杀,30,-1,,-1,-1,-1,-1,,0,0
230,241011000,万魔洞府,30,-1,,40001,22023,-1,-1,,0,0
231,241012000,场景BOSS,30,-1,,-1,-1,-1,-1,,0,0
232,241013000,秘境魔头,30,-1,,-1,-1,-1,-1,,0,0
233,241014000,狱山荒泽,30,-1,,-1,-1,-1,-1,,0,0
234,241015000,狱山大荒泽,30,-1,,-1,-1,-1,-1,,0,0
235,242000000,应龙试炼,-1,100000034,,40024,20038,3,-1,,0,1
236,243000000,副本,-1,100000042,,40025,20008,3,-1,,0,1
237,243010000,单人副本,-1,100000042,,-1,-1,3,-1,,0,0
238,243010100,水府试炼,-1,100000042,,40025,-1,3,-1,,0,0
239,243010110,明月山水图,-1,100000070,,40025,-1,2,-1,,0,0
240,243010120,寂灭之域,-1,100000103,,40025,-1,3,-1,,0,0
241,243010130,东林宗,-1,100000109,,40025,-1,2,-1,,0,0
242,243010140,无间战场,-1,100000120,,40025,-1,2,-1,,0,0
243,243010150,莲花幻界,3055,-1,,40025,-1,-1,-1,,0,0
244,243020000,多人副本,-1,100000042,,-1,-1,3,-1,,0,1
245,243020100,水府试炼,-1,100000042,,40025,-1,3,-1,,0,0
246,243020200,无间战场,-1,100000120,,40025,-1,2,-1,,0,0
247,243020300,莲花幻界,3055,-1,,40025,-1,-1,-1,,0,0
248,243030000,巫江仙府,-1,100000091,1.进入一次副本需要消耗体力，不同模式的副本消耗的体力不同，普通：45点，困难：50点，地狱：55点，噩梦：60点\n2.进入副本人数越多，难度越高，但获得的奖励也越好。\n3.进入副本后，可自由选择担任的队伍角色且能获得对应的技能，坦克：嘲讽、受到的伤害降低；输出：造成的伤害提高；治疗：恢复周围的所有友方的生命值。\n4.只可担任一个副本角色。\n5.通关副本后可扫荡，但扫荡只能获得相当于单人进入副本的奖励。\n6.购买体力消耗的元宝随购买次数增加，VIP等级越高可购买的次数越多，购买一次加60点体力。,40025,-1,3,-1,,0,1
249,243040000,四象灵域,2047,-1,,40025,-1,-1,-1,,0,0
250,243050000,妖魔冰谷,3050,-1,,40025,-1,-1,-1,,0,0
251,244000000,活动系统,30,-1,,40026,20010,-1,-1,,0,0
252,245000000,仙缘大会,-1,100000078,1.仙缘大会每天结算一次，结算后玩家根据排名获得结算奖励。\n2.每日0点仙缘大会的挑战次数重置。\n3.仙缘大会战斗中掉线会自动托管完成对战，玩家此时上线不会重连入仙缘大会。\n4.个人名次发生变化时，系统会按照匹配规则，为玩家挑选战力较低的4个挑战对手。,40027,20034,2,-1,,0,1
253,246000000,战神殿,1045,-1,水府战神殿：摘星府五殿之一，乃上古大能三寿道人亲手炼制。战神殿中，每一层都自成一界，内含无尽凶险以供试炼。战神殿每日12点开启，24点关闭，开启期间，所有1转45级以上玩家皆可组队进入挑战。,40028,20039,-1,-1,,0,1
254,247000000,药园,-1,100000074,,-1,-1,3,-1,,0,1
255,248000000,轮回塔,45,-1,1.轮回塔共分地狱道、饿鬼道、畜生道、修罗道、人间道、天人道6大层，每大层又包含5个小关卡。\n2.玩家由下而上挑战轮回塔，通关前一关卡方能前往下一关卡。\n3.每大层级的最后关卡将有强力BOSS镇守，每通关一个大层级都能解锁对应的一个神通。\n4.玩家每日可对已通关的关卡免费执行一次扫荡，免费次数用完后，可消耗元宝进行扫荡。,40042,20112,-1,-1,,0,1
256,250000000,环式任务系统,33,-1,,-1,-1,-1,-1,,0,0
257,260000000,试炼任务系统,35,-1,试炼规则\n1.试炼任务分为初级，中级，高级三种难度，试炼任务难度越高，奖励越丰厚。\n2.每日可累计完成15次试炼任务，升级VIP可增加接取任务的次数。\n3.可同时接取三个任务，放弃任务不计入完成次数。,-1,-1,-1,-1,,0,0
258,270000000,查看他人信息,1,-1,,-1,-1,-1,-1,,0,0
259,271000000,查看人物,1,-1,,-1,-1,-1,-1,,0,0
260,272000000,查看伙伴,1,-1,,-1,-1,-1,-1,,0,0
261,273000000,查看坐骑,1,-1,,-1,-1,-1,-1,,0,0
