id,title_id,objectid,limited_type,title_icon,name,rank,health,attack,defence,crit,toughness,hit,dodge,time,describe,output,limit1
15,221552014,-1,0,221552014,时尚达人,15,0,20,10,10,10,0,0,-1,1、增加角色攻击20点\n2、增加角色防御10点\n3、增加角色暴击10点\n4、增加角色韧性10点,拥有3件任意部位的永久时装可获得此称号,1
16,221552015,-1,0,221552015,灵修之体,16,0,0,25,0,0,0,0,-1,1、增加角色防御25点,1个伙伴灵修达到绿色1级可获得此称号,1
17,221552018,-1,0,221552018,少年天骄,19,500,30,0,0,0,0,0,-1,1、增加角色攻击30点\n2、增加角色生命500点,完成16级主线任务后获得,1
18,221552019,-1,0,221552019,斗破九霄,20,0,80,0,40,0,0,0,129600,1、增加角色攻击80点\n2、增加角色暴击40点,金剑大典排行榜第1名可获得,1
19,221552020,-1,0,221552020,武动八荒,21,0,60,0,30,0,0,0,129600,1、增加角色攻击60点\n2、增加角色暴击30点,金剑大典排行榜第2~3名可获得,1
20,221552021,-1,0,221552021,威震三界,22,0,40,0,20,0,0,0,129600,1、增加角色攻击40点\n2、增加角色暴击20点,金剑大典排行榜第4~10名可获得,1
21,221552022,-1,1,221552022,魔头,23,0,0,0,0,0,0,0,-1,死亡时增加掉道具几率,罪孽值大于500获得该称号,1
22,221552023,-1,1,221552023,豪杰,24,0,0,0,0,0,0,0,-1,生命值增加1000,当日累计击杀红名，黄名玩家10人以上获得该称号,1
23,221552024,-1,1,221552024,英雄,25,0,0,0,0,0,0,0,-1,增加生命值5000,当日累计击杀红名，黄名玩家50人以上获得该称号,1
24,221552025,-1,0,221552025,后天生灵,26,0,0,0,0,0,0,0,-1,,突破后天生灵境界可获得,1
25,221552026,-1,0,221552026,先天生灵,27,0,0,0,0,0,0,0,-1,,突破先天生灵境界可获得,1
26,221552027,-1,0,221552027,紫府修士,28,0,0,0,0,0,0,0,-1,,突破紫府修士境界可获得,1
27,221552028,-1,0,221552028,万象真人,29,0,0,0,0,0,0,0,-1,,突破万象真人境界可获得,1
28,221552029,-1,0,221552029,元神道人,30,0,0,0,0,0,0,0,-1,,突破元神道人境界可获得,1
29,221552030,-1,0,221552030,返虚地仙,31,0,0,0,0,0,0,0,-1,,突破返虚地仙境界可获得,1
30,221552031,-1,0,221552031,金丹天仙,32,0,0,0,0,0,0,0,-1,,突破金丹天仙境界可获得,1
31,221552032,-1,0,221552032,纯阳真仙,33,0,0,0,0,0,0,0,-1,,突破纯阳真仙境界可获得,1
32,221552033,-1,0,221552033,大罗道祖,34,0,0,0,0,0,0,0,-1,,突破大罗道祖境界可获得,1
33,221552034,-1,0,221552034,世界境,35,0,0,0,0,0,0,0,-1,,突破世界境境界可获得,1
34,221552035,-1,0,221552035,心心相印,36,4000,0,0,0,0,0,0,-1,1、增加角色生命4000点,结为道侣后，亲密值达到3000时获得,1
35,221552036,-1,0,221552036,芙蓉并蒂,37,8000,0,0,0,0,0,0,-1,1、增加角色生命8000点,结为道侣后，亲密值达到10000时获得,1
36,221552037,-1,0,221552037,鸾凤和鸣,38,15000,0,0,0,0,0,0,-1,1、增加角色生命15000点,结为道侣后，亲密值达到30000时获得,1
37,221552038,-1,0,221552038,百年好合,39,25000,0,0,0,0,0,0,-1,1、增加角色生命25000点,结为道侣后，亲密值达到100000时获得,1
38,221552039,-1,0,221552039,永结同心,40,50000,0,0,0,0,0,0,-1,1、增加角色生命50000点,结为道侣后，亲密值达到500000时获得,1
39,221552040,-1,1,221552040,攻城方,41,0,0,0,0,0,0,0,-1,,仙盟城战专用,1
40,221552041,-1,1,221552041,守城方,42,0,0,0,0,0,0,0,-1,,仙盟城战专用,1
41,221552042,-1,0,221552042,圣城之主,43,0,100,0,50,0,50,0,-1,1、增加角色攻击100点\n2、增加角色暴击50点\n3、增加角色命中50点,仙盟城战中获得城主令旗的仙盟盟主专属,1
42,221552043,-1,0,221552043,守城大将,44,0,0,50,0,20,0,20,-1,1、增加角色防御50点\n2、增加角色闪避20点\n3、增加角色韧性20点,仙盟城战中获得城主令旗的仙盟仙盟成员专属,1
43,221552044,-1,1,221552044,进攻方,45,0,0,0,0,0,0,0,-1,攻破他们的晶石,仙府香炉,1
44,221552045,-1,1,221552045,防守方,46,0,0,0,0,0,0,0,-1,做好防守准备,仙府香炉,1
45,221552046,-1,0,221552046,仙盟霸主,47,100,10,10,10,10,10,10,259200,1、增加角色攻击10点\n2、增加角色防御10点\n3、增加角色暴击10点\n4、增加角色韧性10点\n5、增加角色命中10点\n6、增加角色闪避10点\n7、增加角色生命1000点\n,在每周仙盟争霸中成为第一的仙盟所有成员均可获得此称号，并立即享受相应权益,1
46,221552051,-1,0,221552051,名扬大夏,51,0,30,0,0,0,0,0,-1,1、增加角色攻击30点,达到1转45级可获得该称号,1
47,221552052,-1,0,221552052,化境入微,52,0,0,25,0,0,0,0,-1,1、增加角色防御30点,达到30000战力可获得此称号,1
48,221552053,-1,0,221552053,天人合一,53,1500,0,0,0,0,0,0,-1,1、增加角色生命1500点,达到40000战力可获得此称号,1
49,221552054,-1,0,221552054,完美至极,54,0,0,0,15,15,0,0,-1,1、增加角色暴击15点\n2、增加角色韧性15点\n,4个副本三星通关可获得此称号,1
50,221552055,-1,0,221552055,仙盟勇将,55,0,0,0,0,0,10,10,-1,1、增加角色命中10点\n2、增加角色闪避10点\n,仙盟争霸累计获得1500点积分可获得此称号,1
51,221552056,-1,0,221552056,天衣无缝,56,1000,20,0,0,0,0,0,-1,1、增加角色生命1000点\n2、增加角色攻击20点\n,6件装备达到40级可获得称号,1
52,221552057,-1,0,221552057,天道极速,57,0,20,0,10,10,0,0,-1,1、增加角色攻击20点\n2、增加角色暴击10点\n3、增加角色韧性10点,激活3阶坐骑可获得称号,1
53,221552058,-1,0,221552058,法宝护身,58,0,20,10,0,0,0,0,-1,1、增加角色攻击20点\n2、增加角色防御10点\n,激活1件法宝可获得称号,1
54,221552059,-1,0,221552059,纪氏学徒,59,1250,0,0,0,0,0,0,-1,1、增加角色生命1250点,成就点达到600可领取,1
55,221552060,-1,0,221552060,纪氏府主,60,0,30,0,0,0,0,0,-1,1、增加角色攻击30点,成就点达到1100可领取,1
56,221552061,-1,0,221552061,燕山游侠,61,0,20,20,0,0,0,0,-1,1、增加角色攻击20点\n2、增加角色防御20点\n,成就点达到1700可领取,1
57,221552062,-1,0,221552062,燕山豪侠,62,0,0,0,25,25,0,0,-1,1、增加角色暴击25点\n2、增加角色韧性25点\n,成就点达到2400可领取,1
58,221552063,-1,0,221552063,燕山英雄,63,0,0,0,0,0,15,15,-1,1、增加角色命中15点\n2、增加角色闪避15点\n,成就点达到3200可领取,1
59,221552064,-1,0,221552064,安澶天骄,64,2000,20,0,0,0,0,0,-1,1、增加角色生命2000点\n2、增加角色攻击20点\n,成就点达到4000可领取,1
60,221552065,-1,0,221552065,安澶道兵,65,0,30,30,0,0,0,0,-1,1、增加角色攻击30点\n2、增加角色防御30点\n,成就点达到5000可领取,1
61,221552066,-1,0,221552066,安澶郡守,66,0,0,0,30,30,0,0,-1,1、增加角色暴击30点\n2、增加角色韧性30点\n,成就点达到7500可领取,1
62,221552067,-1,0,221552067,大夏雄兵,67,0,0,0,0,0,15,15,-1,1、增加角色命中15点\n2、增加角色闪避15点\n,成就点达到10000可领取,1
63,221552068,-1,0,221552068,三界天仙,68,2000,30,20,0,0,0,0,-1,1、增加角色生命2000点\n2、增加角色攻击30点\n3、增加角色防御20点,成就点达到20000可领取,1
64,221552069,-1,0,221552069,三界道祖,69,0,0,0,50,50,0,0,-1,1、增加角色暴击50点\n2、增加角色韧性50点\n,成就点达到30000可领取,1
65,221552070,-1,0,221552070,混沌神魔,70,0,0,0,0,0,50,50,-1,1、增加角色命中50点\n2、增加角色闪避50点\n,成就点达到40000可领取,1
66,221552071,-1,0,221552071,混沌神王,71,0,100,50,25,25,0,0,-1,1、增加角色攻击100点\n2、增加角色防御50点\n3、增加角色暴击25点\n4、增加角色韧性25点\n,成就点达到50000可领取,1
67,221552072,-1,0,221552072,万道至尊,72,0,1000,0,0,0,0,0,518400,1、增加角色攻击1000点,在跨服战中获得天榜第一名可获得此称号\n称号时长6天,1
68,221552073,-1,0,221552073,千星圣帝,73,0,800,0,0,0,0,0,518400,1、增加角色攻击800点,在跨服战中获得天榜第二名可获得此称号\n称号时长6天,1
69,221552074,-1,0,221552074,百域灵王,74,0,600,0,0,0,0,0,518400,1、增加角色攻击600点,在跨服战中获得天榜第三、四名可获得此称号\n称号时长6天,1
70,221552075,-1,0,221552075,九方国主,75,0,600,0,0,0,0,0,518400,1、增加角色攻击600点,在跨服战中获得地榜第一名可获得此称号\n称号时长6天,1
71,221552076,-1,0,221552076,七玄魂君,76,0,500,0,0,0,0,0,518400,1、增加角色攻击500点,在跨服战中获得地榜第二名可获得此称号\n称号时长6天,1
72,221552077,-1,0,221552077,五海名将,77,0,400,0,0,0,0,0,518400,1、增加角色攻击400点,在跨服战中获得地榜第三、四名可获得此称号\n称号时长6天,1
73,221552078,131100001,0,221552078,莽荒掌控者,78,0,1000,0,200,0,150,0,-1,1、增加角色攻击1000点\n2、增加角色暴击200点\n3、增加角色命中150点,VIP15可获得,1
74,221552079,132100002,0,221552079,神武天威,79,5000,300,300,0,0,0,0,-1,1、增加角色生命5000点\n2、增加角色攻击300点\n3、增加角色防御300点,开服活动战力排行榜第一,0
75,221552080,132100003,0,221552080,绝影流光,80,0,200,0,0,0,75,75,-1,1、增加角色攻击200点\n2、增加角色命中75点\n3、增加角色闪避75点,开服活动坐骑排行榜第一,0
76,221552081,132100004,0,221552081,九霄凌云,81,0,200,0,150,150,0,0,-1,1、增加角色攻击200点\n2、增加角色暴击150点\n3、增加角色韧性150点,开服活动翅膀排行榜第一,0
77,221552082,132100005,0,221552082,天选之子,82,1200,80,50,0,0,0,0,-1,1、增加角色生命1200点\n2、增加角色攻击80点\n3、增加角色防御50点,充值活动获得,0
78,221552083,131100006,0,221552083,至尊王者,83,0,1000,0,200,0,0,0,777600,1、增加角色攻击1000点\n2、增加角色暴击200点,巅峰竞技排行榜第一,1
79,221552084,132100007,0,221552084,无双斗者,84,0,700,0,150,0,0,0,777600,1、增加角色攻击700点\n2、增加角色暴击150点,巅峰竞技排行榜第二,1
80,221552085,133100008,0,221552085,百战强者,85,0,500,0,100,0,0,0,777600,1、增加角色攻击500点\n2、增加角色暴击100点,巅峰竞技排行榜第三,1
81,221552086,-1,0,221552086,青铜战铠,86,0,10,10,0,0,0,0,-1,1、增加角色攻击10点\n2、增加角色防御10点,完成成就收集达人(1)可获得,1
82,221552087,-1,0,221552087,碧海战铠,87,0,20,20,0,0,0,0,-1,1、增加角色攻击20点\n2、增加角色防御20点,完成成就收集达人(2)可获得,1
83,221552088,-1,0,221552088,紫光战铠,88,0,50,50,0,0,0,0,-1,1、增加角色攻击50点\n2、增加角色防御50点,完成成就收集达人(3)可获得,1
84,221552089,-1,0,221552089,黄金战铠,89,0,100,100,0,0,0,0,-1,1、增加角色攻击100点\n2、增加角色防御100点,完成成就收集达人(4)可获得,1
85,221552090,-1,0,221552090,快刀乱麻,90,0,200,200,0,0,0,0,432000,1、增加角色攻击200点\n2、增加角色防御200点,极速竞技排行榜第三获得,1
86,221552091,-1,0,221552091,速战速决,91,0,350,350,0,0,0,0,432000,1、增加角色攻击350点\n2、增加角色防御350点,极速竞技排行榜第二获得,1
87,221552092,-1,0,221552092,兵贵神速,92,0,500,500,0,0,0,0,432000,1、增加角色攻击500点\n2、增加角色防御500点,极速竞技排行榜第一获得,1
