id,kind,minrank,maxrank,objectid,number,bind
70,1,23,23,215514001,230000,1
71,1,24,24,183370005,240,1
72,1,24,24,215513001,1200,1
73,1,24,24,215514001,240000,1
74,1,25,25,183370005,250,1
75,1,25,25,215513001,1250,1
76,1,25,25,215514001,250000,1
77,1,26,26,183370005,260,1
78,1,26,26,215513001,1300,1
79,1,26,26,215514001,260000,1
80,1,27,27,183370005,270,1
81,1,27,27,215513001,1350,1
82,1,27,27,215514001,270000,1
83,1,28,28,183370005,280,1
84,1,28,28,215513001,1400,1
85,1,28,28,215514001,280000,1
86,1,29,29,183370005,290,1
87,1,29,29,215513001,1450,1
88,1,29,29,215514001,290000,1
89,1,30,30,183370005,300,1
90,1,30,30,215513001,1500,1
91,1,30,30,215514001,300000,1
92,1,31,31,183370005,310,1
93,1,31,31,215513001,1550,1
94,1,31,31,215514001,310000,1
95,1,32,32,183370005,320,1
96,1,32,32,215513001,1600,1
97,1,32,32,215514001,320000,1
98,1,33,33,183370005,330,1
99,1,33,33,215513001,1650,1
100,1,33,33,215514001,330000,1
101,1,34,34,183370005,340,1
102,1,34,34,215513001,1700,1
103,1,34,34,215514001,340000,1
104,1,35,35,183370005,350,1
105,1,35,35,215513001,1750,1
106,1,35,35,215514001,350000,1
107,1,36,36,183370005,360,1
108,1,36,36,215513001,1800,1
109,1,36,36,215514001,360000,1
110,1,37,37,183370005,370,1
111,1,37,37,215513001,1850,1
112,1,37,37,215514001,370000,1
113,1,38,38,183370005,380,1
114,1,38,38,215513001,1900,1
115,1,38,38,215514001,380000,1
116,1,39,39,183370005,390,1
117,1,39,39,215513001,1950,1
118,1,39,39,215514001,390000,1
119,1,40,40,183370005,400,1
120,1,40,40,215513001,2000,1
121,1,40,40,215514001,400000,1
122,1,41,41,183370005,410,1
123,1,41,41,215513001,2050,1
124,1,41,41,215514001,410000,1
125,1,42,42,183370005,420,1
126,1,42,42,215513001,2100,1
127,1,42,42,215514001,420000,1
128,1,43,43,183370005,430,1
129,1,43,43,215513001,2150,1
130,1,43,43,215514001,430000,1
131,1,44,44,183370005,440,1
132,1,44,44,215513001,2200,1
133,1,44,44,215514001,440000,1
134,1,45,45,183370005,450,1
135,1,45,45,215513001,2250,1
136,1,45,45,215514001,450000,1
137,1,46,46,183370005,460,1
138,1,46,46,215513001,2300,1
139,1,46,46,215514001,460000,1
140,1,47,47,183370005,470,1
141,1,47,47,215513001,2350,1
142,1,47,47,215514001,470000,1
143,1,48,48,183370005,480,1
144,1,48,48,215513001,2400,1
145,1,48,48,215514001,480000,1
146,1,49,49,183370005,490,1
147,1,49,49,215513001,2450,1
148,1,49,49,215514001,490000,1
149,1,50,50,183370005,500,1
150,1,50,50,215513001,2500,1
151,1,50,50,215514001,500000,1
152,1,51,51,183370005,510,1
153,1,51,51,215513001,2550,1
154,1,51,51,215514001,510000,1
155,1,52,52,183370005,520,1
156,1,52,52,215513001,2600,1
157,1,52,52,215514001,520000,1
158,1,53,53,183370005,530,1
159,1,53,53,215513001,2650,1
160,1,53,53,215514001,530000,1
161,1,54,54,183370005,540,1
162,1,54,54,215513001,2700,1
163,1,54,54,215514001,540000,1
164,1,55,55,183370005,550,1
165,1,55,55,215513001,2750,1
166,1,55,55,215514001,550000,1
167,1,56,56,183370005,560,1
168,1,56,56,215513001,2800,1
169,1,56,56,215514001,560000,1
170,1,57,57,183370005,570,1
171,1,57,57,215513001,2850,1
172,1,57,57,215514001,570000,1
173,1,58,58,183370005,580,1
174,1,58,58,215513001,2900,1
175,1,58,58,215514001,580000,1
176,1,59,59,183370005,590,1
177,1,59,59,215513001,2950,1
178,1,59,59,215514001,590000,1
179,1,60,60,183370005,600,1
180,1,60,60,215513001,3000,1
181,1,60,60,215514001,600000,1
182,1,61,61,183370005,610,1
183,1,61,61,215513001,3050,1
184,1,61,61,215514001,610000,1
185,1,62,62,183370005,620,1
186,1,62,62,215513001,3100,1
187,1,62,62,215514001,620000,1
188,1,63,63,183370005,630,1
189,1,63,63,215513001,3150,1
190,1,63,63,215514001,630000,1
191,1,64,64,183370005,640,1
192,1,64,64,215513001,3200,1
193,1,64,64,215514001,640000,1
194,1,65,65,183370005,650,1
195,1,65,65,215513001,3250,1
196,1,65,65,215514001,650000,1
197,1,66,66,183370005,660,1
198,1,66,66,215513001,3300,1
199,1,66,66,215514001,660000,1
200,1,67,67,183370005,670,1
201,1,67,67,215513001,3350,1
202,1,67,67,215514001,670000,1
203,1,68,68,183370005,680,1
204,1,68,68,215513001,3400,1
205,1,68,68,215514001,680000,1
206,1,69,69,183370005,690,1
207,1,69,69,215513001,3450,1
208,1,69,69,215514001,690000,1
209,1,70,70,183370005,700,1
210,1,70,70,215513001,3500,1
211,1,70,70,215514001,700000,1
212,1,71,71,183370005,710,1
213,1,71,71,215513001,3550,1
214,1,71,71,215514001,710000,1
215,1,72,72,183370005,720,1
216,1,72,72,215513001,3600,1
217,1,72,72,215514001,720000,1
218,1,73,73,183370005,730,1
219,1,73,73,215513001,3650,1
220,1,73,73,215514001,730000,1
221,1,74,74,183370005,740,1
222,1,74,74,215513001,3700,1
223,1,74,74,215514001,740000,1
224,1,75,75,183370005,750,1
225,1,75,75,215513001,3750,1
226,1,75,75,215514001,750000,1
227,1,76,76,183370005,760,1
228,1,76,76,215513001,3800,1
229,1,76,76,215514001,760000,1
230,1,77,77,183370005,770,1
231,1,77,77,215513001,3850,1
232,1,77,77,215514001,770000,1
233,1,78,78,183370005,780,1
234,1,78,78,215513001,3900,1
235,1,78,78,215514001,780000,1
236,1,79,79,183370005,790,1
237,1,79,79,215513001,3950,1
238,1,79,79,215514001,790000,1
239,1,80,80,183370005,800,1
240,1,80,80,215513001,4000,1
241,1,80,80,215514001,800000,1
242,1,81,81,183370005,810,1
243,1,81,81,215513001,4050,1
244,1,81,81,215514001,810000,1
245,1,82,82,183370005,820,1
246,1,82,82,215513001,4100,1
247,1,82,82,215514001,820000,1
248,1,83,83,183370005,830,1
249,1,83,83,215513001,4150,1
250,1,83,83,215514001,830000,1
251,1,84,84,183370005,840,1
252,1,84,84,215513001,4200,1
253,1,84,84,215514001,840000,1
254,1,85,85,183370005,850,1
255,1,85,85,215513001,4250,1
256,1,85,85,215514001,850000,1
257,1,86,86,183370005,860,1
258,1,86,86,215513001,4300,1
259,1,86,86,215514001,860000,1
260,1,87,87,183370005,870,1
261,1,87,87,215513001,4350,1
262,1,87,87,215514001,870000,1
263,1,88,88,183370005,880,1
264,1,88,88,215513001,4400,1
265,1,88,88,215514001,880000,1
266,1,89,89,183370005,890,1
267,1,89,89,215513001,4450,1
268,1,89,89,215514001,890000,1
269,1,90,90,183370005,900,1
270,1,90,90,215513001,4500,1
271,1,90,90,215514001,900000,1
272,1,91,91,183370005,910,1
273,1,91,91,215513001,4550,1
274,1,91,91,215514001,910000,1
275,1,92,92,183370005,920,1
276,1,92,92,215513001,4600,1
277,1,92,92,215514001,920000,1
278,1,93,93,183370005,930,1
279,1,93,93,215513001,4650,1
280,1,93,93,215514001,930000,1
281,1,94,94,183370005,940,1
282,1,94,94,215513001,4700,1
283,1,94,94,215514001,940000,1
284,1,95,95,183370005,950,1
285,1,95,95,215513001,4750,1
286,1,95,95,215514001,950000,1
287,1,96,96,183370005,960,1
288,1,96,96,215513001,4800,1
289,1,96,96,215514001,960000,1
290,1,97,97,183370005,970,1
291,1,97,97,215513001,4850,1
292,1,97,97,215514001,970000,1
293,1,98,98,183370005,980,1
294,1,98,98,215513001,4900,1
295,1,98,98,215514001,980000,1
296,1,99,99,183370005,990,1
297,1,99,99,215513001,4950,1
298,1,99,99,215514001,990000,1
299,1,100,100,183370005,1000,1
300,1,100,100,215513001,5000,1
301,1,100,100,215514001,1000000,1
