id,name,gradelevel,costgrass,costmoney,percent,speed,health,attack,defence,crit,toughness,hit,dodge,model_id,effect
102,界空龙神,122,25,75000,1014,101,61200,8568,4284,612,612,612,612,12,12
103,界空龙神,123,25,75000,902,102,62100,8694,4347,621,621,621,621,12,12
104,界空龙神,124,25,75000,845,103,63000,8820,4410,630,630,630,630,12,12-1
105,界空龙神,125,25,75000,789,104,63900,8946,4473,639,639,639,639,12,12-1
106,界空龙神,126,25,75000,733,105,64800,9072,4536,648,648,648,648,12,12-1
107,界空龙神,127,25,75000,676,106,65700,9198,4599,657,657,657,657,12,12-2
108,界空龙神,128,25,75000,620,107,66600,9324,4662,666,666,666,666,12,12-2
109,界空龙神,129,25,75000,564,108,67500,9450,4725,675,675,675,675,12,12-2
110,炎河龙帝,131,28,75000,507,109,68450,9583,4791,685,685,685,685,13,13
111,炎河龙帝,132,28,75000,1014,110,69400,9716,4857,695,695,695,695,13,13
112,炎河龙帝,133,28,75000,902,111,70350,9849,4923,705,705,705,705,13,13
113,炎河龙帝,134,28,75000,845,112,71300,9982,4989,715,715,715,715,13,13-1
114,炎河龙帝,135,28,75000,789,113,72250,10115,5055,725,725,725,725,13,13-1
115,炎河龙帝,136,28,75000,733,114,73200,10248,5121,735,735,735,735,13,13-1
116,炎河龙帝,137,28,75000,676,115,74150,10381,5187,745,745,745,745,13,13-2
117,炎河龙帝,138,28,75000,620,116,75100,10514,5253,755,755,755,755,13,13-2
118,炎河龙帝,139,28,75000,564,117,76050,10647,5319,765,765,765,765,13,13-2
119,赤金龙皇,141,31,75000,507,118,77050,10787,5388,776,776,776,776,14,14
120,赤金龙皇,142,31,75000,1014,119,78050,10927,5457,787,787,787,787,14,14
121,赤金龙皇,143,31,75000,902,120,79050,11067,5526,798,798,798,798,14,14
122,赤金龙皇,144,31,75000,845,121,80050,11207,5595,809,809,809,809,14,14-1
123,赤金龙皇,145,31,75000,789,122,81050,11347,5664,820,820,820,820,14,14-1
124,赤金龙皇,146,31,75000,733,123,82050,11487,5733,831,831,831,831,14,14-1
125,赤金龙皇,147,31,75000,676,124,83050,11627,5802,842,842,842,842,14,14-2
126,赤金龙皇,148,31,75000,620,125,84050,11767,5871,853,853,853,853,14,14-2
127,赤金龙皇,149,31,75000,564,126,85050,11907,5940,864,864,864,864,14,14-2
128,深渊古龙,151,34,75000,507,127,86100,12054,6012,876,876,876,876,15,15
129,深渊古龙,152,34,75000,1014,128,87150,12201,6084,888,888,888,888,15,15
130,深渊古龙,153,34,75000,902,129,88200,12348,6156,900,900,900,900,15,15
131,深渊古龙,154,34,75000,845,130,89250,12495,6228,912,912,912,912,15,15-1
132,深渊古龙,155,34,75000,789,131,90300,12642,6300,924,924,924,924,15,15-1
133,深渊古龙,156,34,75000,733,132,91350,12789,6372,936,936,936,936,15,15-1
134,深渊古龙,157,34,75000,676,133,92400,12936,6444,948,948,948,948,15,15-2
135,深渊古龙,158,34,75000,620,134,93450,13083,6516,960,960,960,960,15,15-2
136,深渊古龙,159,34,75000,564,135,94500,13230,6588,972,972,972,972,15,15-2
