id,bigkind,rank,title,icon,des,star,kind,des_2,des_3,des_4,systemid,playid,des_5
37,2,33,天宝阁,40029,天宝阁抽取有几率获得,10,0,0,,,504000000,-1,
38,2,28,平乱剿匪,40066,怪物掉落,8,1,剩余次数:,%d次,,930000000,10029,每次预计获得：
39,2,1,商城(绑元),40045,绑元、元宝兑换绑铜,8,0,0,,,206000000,-1,
40,2,17,秘殿夺宝,40013,使用宝箱获得,8,2,活动时间：,每日14点30分开启,进行中,930000000,10014,每日预计获得：
41,2,22,荒古神域,40018,荒古神域怪物及boss宝箱,8,2,活动时间：,每日13点、22点开启,进行中,930000000,10019,每日预计获得：
42,2,27,异界虚空,10137,怪物掉落,8,4,全天开放,,,331000000,-1,每日预计获得：
43,2,3,无间入侵,40003,怪物掉落,7,2,活动时间：,每日15点30分开启,进行中,930000000,10003,每日预计获得：
44,2,29,挂机,40001,怪物掉落,7,4,全天开放,,,241014000,-1,每小时预计获得：
45,2,16,竞技场,40027,竞技场结算、每日奖励,7,1,剩余次数:,%d次,,245000000,-1,每次预计获得：
46,2,5,除暴安良,40016,怪物掉落,7,2,活动时间：,每日11点、16点30分开启,进行中,930000000,10017,每次预计获得：
47,2,34,轮回塔,40042,扫荡获得,7,4,全天开放,,,248000000,-1,每日预计获得：
48,2,8,仙盟任务,10123,完成任务获得,6,4,全天开放,,,930000000,10021,每次预计获得：
49,2,23,个人BOSS,40001,BOSS掉落,6,4,全天开放,,,241013000,-1,每日预计获得：
50,2,18,荣誉商店,10041,荣誉商店兑换,6,0,0,,,116013000,-1,
51,2,31,在线奖励,40020,累计在线时长获得,6,4,全天开放,,,222000000,-1,每日预计获得：
52,2,35,仙盟BOSS,10121,参与活动获得,6,2,活动时间：,每日20点开启,进行中,930000000,10022,每次预计获得：
53,2,9,vipboss,10120,BOSS掉落,5,1,剩余次数:,%d次,,300000000,-1,每日预计获得：
54,2,11,巅峰竞技,10131,武勋奖励,5,2,活动时间：,每日21点30分开启,进行中,930000000,10024,每日预计获得：
55,2,12,跨服赛,40019,下注获得、排行榜奖励,5,2,活动时间：,周三到周日的20点开启,进行中,930000000,10020,每日预计获得：
56,2,13,跨服据点战,10130,占领城池每日奖励、每周排名奖励,5,2,活动时间：,周一到周日19点30分开启,进行中,930000000,10023,每日预计获得：
57,2,14,吉星高照,10119,仙盟积分奖励,5,1,剩余次数:,%d次,,161023000,-1,每日预计获得：
58,2,7,极速挑战,10138,怪物掉落、排行榜获得,5,2,活动时间：,周六、周日全天开启,进行中,930000000,10025,每次预计获得：
59,2,21,盗宝小妖,40012,怪物掉落,5,2,活动时间：,每日12点30分开启,进行中,930000000,10013,每日预计获得：
60,3,10,成就,10094,完成成就获得,10,0,0,,,320000000,-1,
61,3,12,道铠,10124,道铠升阶获得,10,0,0,,,231000000,-1,
62,3,13,理财周卡,40031,充值激活获得,10,0,0,,,530000000,-1,
63,3,36,七天惊喜,40032,累计登录达到对应天数获得,9,0,0,,,540000000,-1,
64,3,32,VIP奖励,40037,VIP奖励获得,9,0,0,,,281000000,-1,
65,3,1,每日运镖,40002,每次运镖获得,9,3,活动时间：,每日15点、19点开启双倍运镖奖励,进行中,930000000,10002,每次预计获得：
66,3,7,绝地乱斗,10139,参加活动获得,9,2,活动时间：,每日20点30分开启,进行中,930000000,10027,每日预计获得：
67,3,3,秘殿夺宝,40013,活动宝箱开出,9,2,活动时间：,每日14点30分开启,进行中,930000000,10014,每日预计获得：
68,3,2,无间入侵,40003,怪物掉落,8,2,活动时间：,每日15点30分开启,进行中,930000000,10003,每日预计获得：
69,3,11,轮回塔,40042,通关奖励获得,8,4,全天开放,,,248000000,-1,每日预计获得：
70,3,5,盗宝小妖,40012,怪物掉落,8,2,活动时间：,每日12点30分开启,进行中,930000000,10013,每日预计获得：
71,3,8,巅峰竞技,10131,参与宝箱获得,7,2,,每日21点30分开启,进行中,930000000,10024,每日预计获得：
72,3,4,在线奖励,40020,累计在线获得,7,4,全天开放,,,222000000,-1,每日预计获得：
73,3,6,荒古神域,40018,神域宝箱开出,6,2,,每日13点、22点开启,进行中,930000000,10019,每日预计获得：
74,3,9,极速挑战,10138,排行榜排名获得,6,2,,周六、周日全天开启,进行中,930000000,10025,每次预计获得：
