id,objectid,rank,title,icon,describe,star,systemid,playid,kind,describe_2,describe_3,describe_4,describe_5
75,164254002,75,狱山荒泽,40001,击杀怪物获得,5,241014000,-1,4,全天开放,,,每日预计获得：
76,164254002,76,场景BOSS,40001,击杀BOSS获得,3,241012000,-1,4,全天开放,,,每日预计获得：
77,164254002,77,无间入侵,40003,开启无间秘匣获得,8,930000000,10003,2,活动时间：,每日15点30分开启,进行中,每日预计获得：
78,164254002,78,声望商店,10041,消耗500声望兑换,9,116011000,-1,0,,,,
79,164254002,79,万魔洞府,40001,击杀BOSS获得,4,241011000,-1,2,活动时间：,活动BOSS每日12、14、16、18、20、22点出现,进行中,每日预计获得：
80,215503001,80,应龙试炼,40024,通关、扫荡可获得,10,242000000,-1,4,全天开放,,,每日预计获得：
81,215503001,81,竞技场,40027,参与竞技、排名奖励获得,9,245000000,-1,1,剩余次数:,%d次,,每次预计获得：
82,215503001,82,武道会,40007,参与竞技获得,9,930000000,10028,2,活动时间：,每日13点30分、20点开启,进行中,每日预计获得：
83,215503001,83,巅峰竞技,10131,参与竞技获得,9,930000000,10024,2,活动时间：,每日21点30分开启,进行中,每日预计获得：
84,173310001,84,环式任务,40026,每完成5环获得,10,250000000,-1,1,剩余次数:,%d次,,每次预计获得：
85,173310001,85,试炼任务,40026,每完成6环获得,10,260000000,-1,1,剩余次数:,%d次,,每次预计获得：
86,173310001,86,在线奖励,40020,累计在线时长获得,9,222000000,-1,4,全天开放,,,每日预计获得：
87,173310001,87,极速挑战,10138,击杀BOSS获得,8,930000000,10025,2,活动时间：,周六、周日全天开启,进行中,每次预计获得：
88,184351001,88,羽化洞天,40025,击杀副本怪物获得,,243010180,-1,1,剩余次数:,%d次,,每次预计获得：
89,184351001,89,悟道,40020,消耗绑元悟道获得,10,224000000,-1,4,全天开放,,,每日预计获得：
90,184351001,90,绝地乱斗,10139,参与绝地乱斗活动,9,930000000,10027,2,活动时间：,每日20点30分开启,进行中,每日预计获得：
91,184351001,91,无间入侵,40003,开启无间秘匣获得,9,930000000,10003,2,活动时间：,每日15点30分开启,进行中,每日预计获得：
92,184351001,92,轮回塔,40042,开启轮回礼盒获得,8,248000000,-1,4,全天开放,,,每日预计获得：
93,184351001,93,跨服据点战,10130,排名、每日奖励获得,8,930000000,10023,2,活动时间：,周一到周日19点30分开启,进行中,每日预计获得：
94,184351001,94,跨服赛,40019,参与跨服赛获得,7,930000000,10020,2,活动时间：,周三到周日的20点开启,进行中,每日预计获得：
95,184351001,95,等级奖励,40020,达到对应等级可获得,6,223000000,-1,0,,,,
96,184351001,96,苍穹之戒,10127,达到指定技能点获得,5,232030000,-1,0,,,,
97,182370004,97,轮回塔,40042,通关轮回塔、开启轮回礼盒获得,10,248000000,-1,4,全天开放,,,每日预计获得：
98,182370004,98,荒古神域,40018,击杀怪物获得,10,930000000,10019,2,活动时间：,每日13点、22点开启,进行中,每日预计获得：
99,182370004,99,跨服赛,40019,排名奖励获得,9,930000000,10020,2,活动时间：,周三到周日的20点开启,进行中,每日预计获得：
100,182370004,100,除暴安良,40016,进入除暴副本获得,8,930000000,10017,2,活动时间：,每日11点、16点30分开启,进行中,每次预计获得：
101,182370004,101,VIP奖励,40037,VIP奖励获得,7,281000000,-1,0,,,,
102,215505001,102,吉星高照,10119,参与吉星高照玩法获得,10,161023000,-1,1,剩余次数:,%d次,,每日预计获得：
103,215505001,103,修炼,10045,使用元宝或铜钱运功获得,5,104000000,-1,4,全天开放,,,每日预计获得：
104,215504001,104,吉星高照,10119,参与吉星高照玩法获得,10,161023000,-1,1,剩余次数:,%d次,,每日预计获得：
105,215504001,105,修炼,10045,使用元宝或铜钱运功获得,5,104000000,-1,4,全天开放,,,每日预计获得：
106,184359001,106,骑兽猎场,40025,击杀副本怪物获得,10,243010190,-1,1,剩余次数:,%d次,,每次预计获得：
107,184359001,107,悟道,40020,消耗元宝悟道获得,10,224000000,-1,4,全天开放,,,每日预计获得：
108,184359001,108,挖宝掘金,40017,进入藏宝秘地获得,10,930000000,10018,4,全天开放,,,每次预计获得：
109,184359001,109,绝地乱斗,10139,参与活动获得,10,930000000,10027,2,活动时间：,每日20点30分开启,进行中,每日预计获得：
110,184359001,110,金剑大典,40014,参与活动获得,9,930000000,10015,2,活动时间：,每周一、三、五、日的21点开启,进行中,每次预计获得：
111,184359001,111,轮回塔,40042,开启轮回礼盒获得,9,248000000,-1,4,全天开放,,,每日预计获得：
112,184359001,112,VIP奖励,40037,VIP奖励获得,9,281000000,-1,0,,,,
113,184359001,113,无间入侵,40003,开启无间秘匣获得,8,930000000,10003,2,活动时间：,每日15点30分开启,进行中,每日预计获得：
114,184359001,114,盗宝小妖,40012,击杀盗宝小妖获得,8,930000000,10013,2,活动时间：,每日12点30分开启,进行中,每日预计获得：
115,184359001,115,巫江仙府,40025,击杀副本怪物获得,8,243030000,-1,5,剩余体力：,%d,,每次预计获得：
116,184359001,116,声望商店,10041,消耗3800声望兑换,7,116011000,-1,0,,,,
117,184359001,117,积分商店,10041,消耗2800积分兑换,7,116012000,-1,0,,,,
118,184359001,118,荣誉商店,10041,消耗140荣誉兑换,7,116013000,-1,0,,,,
119,184359001,119,功勋商店,10041,消耗280功勋兑换,7,116010000,-1,0,,,,
120,184359001,120,在线奖励,40020,到达指定在线时长后领取,6,222000000,-1,4,全天开放,,,每日预计获得：
121,173303003,121,仙盟任务,10123,完成仙盟任务获得,10,930000000,10021,4,全天开放,,,每次预计获得：
122,215510001,122,无间入侵,40003,击杀活动怪物获得,10,930000000,10003,2,活动时间：,每日15点30分开启,进行中,每日预计获得：
123,184357001,123,寂灭之域,40025,击杀副本怪物获得,10,243010120,-1,1,剩余次数:,%d次,,每次预计获得：
124,184357001,124,悟道,40020,消耗绑元悟道获得,10,224000000,-1,4,全天开放,,,每日预计获得：
125,184357001,125,无间入侵,40003,开启无间秘匣获得,9,930000000,10003,2,活动时间：,每日15点30分开启,进行中,每日预计获得：
126,184357001,126,除暴安良,40016,击杀副本怪物获得,9,930000000,10017,2,活动时间：,每日11点、16点30分开启,进行中,每次预计获得：
127,184357001,127,功勋商店,10041,消耗300功勋兑换,8,116010000,-1,0,,,,
128,184357001,128,声望商店,10041,消耗3000声望兑换,8,116011000,-1,0,,,,
129,184357001,129,积分商店,10041,消耗3000积分兑换,8,116012000,-1,0,,,,
130,184357001,130,仙盟商店,10079,消耗300贡献兑换,8,161011000,-1,0,,,,
131,184358001,131,寂灭之域,40025,击杀副本怪物获得,10,243010120,-1,1,剩余次数:,%d次,,每次预计获得：
132,184358001,132,无间入侵,40003,开启无间秘匣获得,9,930000000,10003,2,活动时间：,每日15点30分开启,进行中,每日预计获得：
133,184358001,133,功勋商店,10041,消耗250功勋兑换,7,116010000,-1,0,,,,
134,184358001,134,积分商店,10041,消耗2500积分兑换,7,116012000,-1,0,,,,
135,184358001,135,环式任务,40026,转盘抽奖获得,6,250000000,-1,1,剩余次数:,%d次,,每次预计获得：
136,184358001,136,女娲神石,40011,采集宝箱获得,5,930000000,10012,2,活动时间：,每日12点开启,进行中,每日预计获得：
137,174331001,137,寂灭之域,40025,击杀副本怪物获得,10,243010120,-1,1,剩余次数:,%d次,,每次预计获得：
138,174331001,138,除暴安良,40016,进入除暴副本获得,5,930000000,10017,2,活动时间：,每日11点、16点30分开启,进行中,每次预计获得：
139,174331001,139,环式任务,40026,转盘抽奖获得,2,250000000,-1,1,剩余次数:,%d次,,每次预计获得：
140,184366001,140,莲花幻界,40025,击杀副本怪物获得,10,243010150,-1,1,剩余次数:,%d次,,每次预计获得：
141,184366001,141,莲花幻界(多人),40025,击杀副本怪物获得,8,243020300,-1,1,剩余次数:,%d次,,每次预计获得：
142,184366001,142,道铠,10124,道铠升阶获得,9,231000000,-1,0,,,,
143,183367001,143,巫江仙府,40025,击杀副本怪物获得,10,243030000,-1,5,剩余体力：,%d,,每次预计获得：
144,183367002,144,巫江仙府,40025,击杀副本怪物获得,10,243030000,-1,5,剩余体力：,%d,,每次预计获得：
145,183367003,145,巫江仙府,40025,击杀副本怪物获得,10,243030000,-1,5,剩余体力：,%d,,每次预计获得：
146,183367004,146,巫江仙府,40025,击杀副本怪物获得,10,243030000,-1,5,剩余体力：,%d,,每次预计获得：
147,183367005,147,巫江仙府,40025,击杀副本怪物获得,10,243030000,-1,5,剩余体力：,%d,,每次预计获得：
148,183367005,148,狱山荒泽,40001,击杀BOSS获得,10,241014000,-1,4,全天开放,,,每日预计获得：
149,183367006,149,狱山荒泽,40001,击杀BOSS获得,10,241014000,-1,4,全天开放,,,每日预计获得：
150,183367007,150,狱山荒泽,40001,击杀BOSS获得,10,241014000,-1,4,全天开放,,,每日预计获得：
151,183367008,151,狱山荒泽,40001,击杀BOSS获得,10,241014000,-1,4,全天开放,,,每日预计获得：
152,183367009,152,狱山荒泽,40001,击杀BOSS获得,10,241014000,-1,4,全天开放,,,每日预计获得：
153,155203001,153,秘殿夺宝,40013,活动获得宝箱开出,7,930000000,10014,2,活动时间：,每日14点30分开启,进行中,每日预计获得：
154,155203001,154,骑兽猎场,40025,击杀副本怪物获得,4,243010190,-1,1,剩余次数:,%d次,,每次预计获得：
155,155203001,155,狱山荒泽,40001,击杀BOSS获得,9,241014000,-1,4,全天开放,,,每日预计获得：
156,155203001,156,绝地乱斗,10139,参与活动获得,6,930000000,10027,2,活动时间：,每日20点30分开启,进行中,每日预计获得：
157,183363001,157,积分商店,10041,消耗4000积分兑换,10,116012000,-1,0,,,,
158,214517001,158,符文寻宝,10134,符文寻宝获得,10,871000000,-1,4,全天开放,,,每次预计获得：
159,214517001,159,域外星门,10133,通关域外星门获得,5,249000000,-1,1,剩余次数:,%d次,,每日预计获得：
160,183370006,160,狱山荒泽,40001,击杀怪物获得,3,241014000,-1,4,全天开放,,,每日预计获得：
161,183370006,161,神怒之地,40001,击杀怪物获得,9,241016000,-1,4,全天开放,,,每日预计获得：
162,183370006,162,异界虚空,10137,击杀怪物获得,6,331000000,-1,4,全天开放,,,每日预计获得：
163,182370007,163,狱山荒泽,40001,击杀怪物获得,3,241014000,-1,4,全天开放,,,每日预计获得：
164,182370007,164,神怒之地,40001,击杀怪物获得,6,241016000,-1,4,全天开放,,,每日预计获得：
165,182370007,165,异界虚空,10137,击杀怪物获得,10,331000000,-1,4,全天开放,,,每日预计获得：
166,173303006,166,异界虚空,10137,击杀怪物获得,3,331000000,-1,4,全天开放,,,每日预计获得：
167,173303006,167,狱山荒泽,40001,击杀怪物获得,10,241014000,-1,4,全天开放,,,每日预计获得：
168,182370012,168,异界虚空,10137,击杀怪物获得,10,331000000,-1,4,全天开放,,,每日预计获得：
169,183362001,169,积分商店,10041,消耗1500积分兑换,10,116012000,-1,0,,,,
170,182352001,170,绝地乱斗,10139,参与活动获得,10,930000000,10027,2,活动时间：,每日20点30分开启,进行中,每日预计获得：
171,182352001,171,等级奖励,40020,参与活动获得,7,223000000,-1,0,,,,
172,184394001,172,仙盟BOSS,10121,排名礼盒、首级礼盒获得,8,930000000,10022,2,活动时间：,每日20点开启,进行中,每次预计获得：
173,184394001,173,神怒之地,40001,击杀小怪获得,8,241016000,-1,4,全天开放,,,每日预计获得：
174,183394002,174,仙盟BOSS,10121,排名礼盒、首级礼盒获得,8,930000000,10022,2,活动时间：,每日20点开启,进行中,每次预计获得：
175,184395001,175,巅峰竞技,10131,段位、排名奖励获得,8,930000000,10024,2,活动时间：,每日21点30分开启,进行中,每日预计获得：
176,183395002,176,巅峰竞技,10131,段位、排名奖励获得,8,930000000,10024,2,活动时间：,每日21点30分开启,进行中,每日预计获得：
177,182395003,177,巅峰竞技,10131,段位、排名奖励获得,8,930000000,10024,2,活动时间：,每日21点30分开启,进行中,每日预计获得：
178,184393001,178,仙盟BOSS,10121,排名礼盒、首级礼盒获得,8,930000000,10022,2,活动时间：,每日20点开启,进行中,每次预计获得：
179,183393002,179,仙盟BOSS,10121,排名礼盒、首级礼盒获得,8,930000000,10022,2,活动时间：,每日20点开启,进行中,每次预计获得：
180,182393003,180,巅峰竞技,10131,段位、排名奖励获得,8,930000000,10024,2,活动时间：,每日21点30分开启,进行中,每日预计获得：
181,184390001,181,绝地乱斗,10139,排行榜奖励获得,9,930000000,10027,2,活动时间：,每日20点30分开启,进行中,每日预计获得：
182,184390001,182,VIPBOSS,10120,击杀BOSS获得,8,300000000,-1,1,剩余次数:,%d次,,每日预计获得：
184,184390001,184,跨服赛,40019,排名奖励获得,8,930000000,10020,2,活动时间：,周三到周日的20点开启,进行中,每日预计获得：
185,184390001,185,成就,10094,成就总览获得,7,320000000,-1,0,,,,
186,183390002,186,绝地乱斗,10139,排行榜奖励获得,9,930000000,10027,2,活动时间：,每日20点30分开启,进行中,每日预计获得：
187,183390002,187,VIPBOSS,10120,击杀BOSS获得,8,300000000,-1,1,剩余次数:,%d次,,每日预计获得：
189,183390002,189,跨服赛,40019,排名奖励获得,8,930000000,10020,2,活动时间：,周三到周日的20点开启,进行中,每日预计获得：
190,183390002,190,成就,10094,成就总览获得,7,320000000,-1,0,,,,
191,182390003,191,绝地乱斗,10139,排行榜奖励获得,9,930000000,10027,2,活动时间：,每日20点30分开启,进行中,每日预计获得：
192,182390003,192,VIPBOSS,10120,击杀BOSS获得,8,300000000,-1,1,剩余次数:,%d次,,每日预计获得：
193,182390003,193,跨服赛,40019,排名奖励获得,8,930000000,10020,2,活动时间：,周三到周日的20点开启,进行中,每日预计获得：
194,182390003,194,成就,10094,成就总览获得,7,320000000,-1,0,,,,
195,184391001,195,VIPBOSS,10120,击杀BOSS获得,8,300000000,-1,1,剩余次数:,%d次,,每日预计获得：
196,184391001,196,跨服赛,40019,排名奖励获得,8,930000000,10020,2,活动时间：,周三到周日的20点开启,进行中,每日预计获得：
197,184391001,197,成就,10094,成就总览获得,7,320000000,-1,0,,,,
198,183391002,198,VIPBOSS,10120,击杀BOSS获得,8,300000000,-1,1,剩余次数:,%d次,,每日预计获得：
199,183391002,199,跨服赛,40019,排名奖励获得,8,930000000,10020,2,活动时间：,周三到周日的20点开启,进行中,每日预计获得：
200,183391002,200,成就,10094,成就总览获得,7,320000000,-1,0,,,,
201,182391003,201,VIPBOSS,10120,击杀BOSS获得,8,300000000,-1,1,剩余次数:,%d次,,每日预计获得：
202,182391003,202,跨服赛,40019,排名奖励获得,8,930000000,10020,2,活动时间：,周三到周日的20点开启,进行中,每日预计获得：
203,182391003,203,成就,10094,成就总览获得,7,320000000,-1,0,,,,
204,184392001,204,VIPBOSS,10120,击杀BOSS获得,8,300000000,-1,1,剩余次数:,%d次,,每日预计获得：
205,184392001,205,成就,10094,成就总览获得,7,320000000,-1,0,,,,
206,183392002,206,VIPBOSS,10120,击杀BOSS获得,8,300000000,-1,1,剩余次数:,%d次,,每日预计获得：
207,183392002,207,成就,10094,成就总览获得,7,320000000,-1,0,,,,
208,182392003,208,VIPBOSS,10120,击杀BOSS获得,8,300000000,-1,1,剩余次数:,%d次,,每日预计获得：
209,182392003,209,成就,10094,成就总览获得,7,320000000,-1,0,,,,
210,215512001,210,战神殿,40028,击杀BOSS获得,10,246000000,-1,2,活动时间：,每日12点开启,进行中,每日预计获得：
211,215508001,211,仙盟运镖,40004,击杀BOSS获得,4,930000000,10005,2,活动时间：,每日16点开启,进行中,每日预计获得：
212,215508001,212,仙盟争霸,40009,击杀BOSS获得,10,930000000,10010,2,活动时间：,每周二、四、六的21点开启,进行中,每日预计获得：
213,215508001,213,仙盟BOSS,10121,击杀BOSS获得,9,930000000,10022,2,活动时间：,每日20点开启,进行中,每次预计获得：
214,215508001,214,仙盟守护,10072,击杀BOSS获得,7,930000000,10011,4,全天开放,,,每日预计获得：
215,215508001,215,封妖大阵,10135,击杀BOSS获得,6,161022000,-1,4,全天开放,,,每日预计获得：
216,215508001,216,仙盟任务,10123,每10次任务转盘获得,7,930000000,10021,4,全天开放,,,每次预计获得：
217,215508001,217,仙盟捐献,10069,击杀BOSS获得,3,161010000,-1,4,全天开放,,,每日预计获得：
218,215508001,218,跨服据点战,10130,击杀BOSS获得,7,930000000,10023,2,活动时间：,周一到周日19点30分开启,进行中,每日预计获得：
219,215519001,219,巅峰竞技,10131,击杀BOSS获得,10,930000000,10024,2,活动时间：,每日21点30分开启,进行中,每日预计获得：
220,215511001,220,金剑大典,40014,击杀BOSS获得,10,930000000,10015,2,活动时间：,每周一、三、五、日的21点开启,进行中,每次预计获得：
221,181354001,221,异界虚空三层,10137,击杀BOSS获得,10,930000000,10026,2,活动时间：,每日14点、17点、23点开启,进行中,每日预计获得：
222,181354001,222,极速挑战,10138,跨服排行榜获得,9,930000000,10025,2,活动时间：,周六、周日全天开启,进行中,每次预计获得：
223,181354001,223,跨服赛,40019,跨服赛排行榜获得,10,930000000,10020,2,活动时间：,周三到周日的20点开启,进行中,每日预计获得：
224,181354001,224,天宝阁,40029,天宝阁抽取有几率获得,10,504000000,-1,0,,,,
195401031,184390001,183,骑兽猎场,40025,击杀副本怪物获得,8,243010190,-1,1,剩余次数:,%d次,,每次预计获得：
195401033,183390002,188,骑兽猎场,40025,击杀副本怪物获得,8,243010190,-1,1,剩余次数:,%d次,,每次预计获得：
