id,rank,kind,icon,zoom,title_1,title_2,title1_color,title2_color,times,name,mark,level,time,form,describe,playid,systemid
11,27,2,40007,0.5,铜钱,悟性,102,101,不限,武道会,2,39,每天20:00-20:30,单人PK,1.跨服匹配优先匹配等级相近玩家\n2.战斗胜利,血量不会恢复；战斗失败,血量将恢复满值\n3.连胜次数越多奖励越高,终结他人连胜也可获得更多奖励\n4.活动中取得的最大连胜数将计入排行\n5.消耗绑元或元宝进行鼓舞,可提升活动期间的伤害\n6.绑元鼓舞可能失败,元宝鼓舞必定成功,10028,-1
12,19,3,40019,0.5,铜钱,精炼石,102,101,不限,跨服赛,2,1047,周一到周日\n20:00-20:30,单人PK,1.报名后,每服选战力前50者参与\n2.淘汰赛阶段将持续跨服匹配,直至决出最后16位胜者与16位落败者\n3.上述胜者划入天榜,败者划入地榜\n4.天地榜比斗相互独立,从淘汰赛结束第二天开始,分4日举行晋级赛的8强战、4强战、半决赛和决赛\n5.天地榜玩家将根据排名获取奖励\n6.玩家可在晋级赛时下注竞猜,10020,-1
13,24,3,10138,0.5,精炼石,藏宝图,102,101,不限,极速挑战,2,30,周六到周日\n00:00-23:59,组队,1.本活动可组队参加,与活动NPC对话即可进入极速挑战副本\n2.每日仅前5次副本可获得掉落奖励\n3.活动包含5个副本,通关前一个副本才能挑战后一个副本\n4.第1个副本无进入条件限制,但每次进入都会重置挑战进度\n5.通关全副本后会以挑战总时长进行排名,用时越少奖励越丰厚,10025,-1
14,3,2,40002,0.5,铜钱,绑元,102,101,-1,每日运镖(双倍),3,38,每天15:00-15:30\n  19:00-19:30,单人,1.玩家可于全天任何时间运送镖车\n2.每日15:00-15:30、19:00-19:30为运镖双倍奖励时间\n3.运镖失败也可获得部分补偿奖励\n4.参与击毁他人镖车可获得奖励,对镖车造成最后一击者将获得额外奖励,10002,-1
15,12,2,40011,0.5,经验,,102,0,不限,女娲神石,-1,30,每天12:00-12:30,单人,1.活动期间内，站在主城女娲神石附近即可获得大量经验。\n2.越靠近神石，经验加成比例越高。\n3.里层的经验加成比例随着里层人数的增加而减少。\n4.活动区域内会刷出宝箱，打开可获得极品道具。,10012,-1
16,6,2,40005,0.5,经验,,102,0,不限,仙府香炉,1,32,每天19:30-20:00,仙盟,1.仙盟成员均可参加。\n2.活动时间内通过点击活动图标前往参加。\n3.处于活动场景中就会获得大量经验。\n4.场景内可守护自己的香炉，或进入其他仙盟破坏香炉。\n5.破坏其他仙盟香炉后，增加全体经验加成。,10006,-1
17,4,2,40003,0.5,绑元,铜钱,102,101,不限,无间入侵,-1,30,每天15:30-16:00,单人,1.活动期间内，大夏王都会刷新出大量的无间门小怪和无间门boss，怪物死亡2分钟之后会再次刷新。\n2.击杀怪物可获得丰厚的奖励。\n3.对怪物造成伤害的百分比将转化成声望，声望可在商店内兑换奖励。,10003,-1
18,5,2,40004,0.5,贡献,,102,0,不限,仙盟运镖,-1,32,每天16:00-16:30,仙盟,1.盟主与副盟主可于活动时间内进入方寸山场景,找到三界镖师开启活动\n2.运送镖车时,仙盟成员均可参与护卫\n3.成功运送镖车可获得活动积分,击毁其他仙盟镖车也可获得活动积分\n4.活动结束时,系统将根据各仙盟的积分排名发放奖励,10005,-1
19,13,2,40012,0.5,材料,,102,0,不限,盗宝小妖,-1,15,每天12:30-12:50,单人,1.活动期间内，随机在安澶城、方寸山和无间战场其中2张地图刷新盗宝小妖。\n2.击杀怪物可获得丰厚的奖励。\n3.怪物死亡5分钟之后会再次刷新。,10013,-1
20,42,2,40028,0.5,功勋,玄兵,102,102,不限,战神殿,-1,2047,每天12:00-23:59,多人,1、战神殿产出的炼兵石与注灵石可用于玄兵的淬炼及注灵。\n2、战神殿共七层，不论选择何种难度，每一层的奖励一天只能获取一次。\n3、击杀BOSS的速度越快，获得的积分奖励就越多。\n4、最后一层BOSS有石化技能，组队进入方可相互救助。,-1,246000000
21,52,1,40026,0.5,经验,,102,0,15,环式任务,1,33,全天,单人,1、点击界面左侧任务栏中的环式任务，即可自动进行环式任务。\n2、进行任务时，选择“立即前往”按钮可消耗绑元传送至目标地点。\n3、VIP1以上的玩家可于完成任务后领取1.5倍经验奖励。\n4、VIP1以上的玩家可消耗元宝一键完成全部的15环任务。,-1,250000000
22,51,1,40026,0.5,经验,铜钱,102,101,-1,试炼任务,1,35,全天,单人,1、触碰大夏王都NPC试炼任务使者可开启试炼任务界面。\n2、越高级的任务奖励越多，反复完成高级试炼可以获得最多的经验。\n3、消耗元宝可以一键完成当前剩余次数的高级试炼，获取极限经验奖励。\n4、提升VIP等级可以增加任务次数，获得更多经验。,-1,260000000
23,17,1,40017,0.5,经验,铜钱,102,101,不限,挖宝掘金,1,45,每天0:00-23:59,单人,1.试炼任务、环式任务产出藏宝图\n2.使用藏宝图可前往狱山荒泽挖宝\n3.挖宝成功将自动进入藏宝秘地\n4.藏宝秘地最多开启3个宝箱\n5.宝箱可开出随机奖励或BOSS,10018,-1
24,55,1,40066,1,经验,铜钱,102,101,7,平乱剿匪,1,45,每天0:00-23:59,组队,1.试炼任务、环式任务产出藏宝图\n2.使用藏宝图可前往狱山荒泽挖宝\n3.挖宝失败将刷出平乱侦查使\n4.侦查使出现在狱山荒泽随机位置\n5.与平乱侦查使对话可进入平乱副本\n6.组队进入平乱副本可获得额外奖励\n7.副本等级由队伍中等级最高者决定,10029,-1
25,47,1,40001,0.5,精炼石,经验,102,101,不限,狱山荒泽,1,30,全天,单人,1、每击杀一个狱山荒泽BOSS，BOSS奖励拥有者都将增加1点BOSS疲劳值。\n2、疲劳值到达指定数额，对战BOSS时自身属性会降低。\n3、BOSS疲劳值每3小时减少1点，每日0点重置疲劳值。\n4、仙盟商店中出售的BOSS讨伐券可用以减少BOSS疲劳值。,-1,241014000
26,48,1,40001,0.5,精炼石,经验,102,101,不限,狱山大荒泽,1,30,全天,单人,1、每击杀一个狱山大荒泽内的BOSS，BOSS奖励拥有者都将增加1点BOSS疲劳值。\n2、疲劳值到达指定数额，对战BOSS时自身属性会降低。\n3、BOSS疲劳值每3小时减少1点，每日0点重置疲劳值。\n4、仙盟商店中出售的BOSS讨伐券可用以减少BOSS疲劳值。,-1,241015000
27,45,1,40001,0.5,精炼石,经验,102,101,不限,场景BOSS,1,30,全天,单人,1、安澶城、方寸山、无间战场中各有一只场景BOSS，死亡刷新时间分别为30分、60分、120分。\n2、参与击杀都有机会获得奖励，最高伤害者及最后一刀归属者将可获得额外奖励。,-1,241012000
28,46,1,40001,0.5,精炼石,伙伴,102,101,不限,个人BOSS,1,30,全天,单人,1、世界牢狱中的BOSS将随玩家等级增加逐个解锁。\n2、每个BOSS每日只可击杀一次。\n3、BOSS出现倒计时将随玩家在线时长逐渐减少。,-1,241013000
29,41,1,40027,0.5,技能,经验,102,101,-1,竞技场,-1,34,全天,单人PK,1、参与竞技场挑战可获得悟性及绑铜。\n2、挑战与自己排名、战力相近的对手会有更高的胜率。\n3、每日可根据排名领取相应数额的奖励。,-1,245000000
30,53,1,10135,0.899999976158142,贡献,,102,0,5,封妖大阵,-1,32,全天,仙盟,1、封妖大阵为仙盟玩法，至少需要5名仙盟成员才可完成。\n2、完成封印每人可获得1000点仙盟贡献，仙盟会增加与5人所获贡献等值的经验。\n3、每人每日最多获得3次奖励，奖励获得有冷却时间限制。\n4、冷却时间内可协助他人封印，但无法获得奖励。,-1,161022000
31,2,1,40002,0.5,铜钱,绑元,102,101,-1,每日运镖,-1,38,全天,单人,1.所有玩家均可参加。\n2.每日的15:00-15:30、19:00-19:30内运镖成功获得奖励加倍。\n3.活动全天开启。,10002,-1
32,11,1,40010,0.5,贡献,,102,0,1,仙盟守护,-1,35,每天0:00-23:59,仙盟,1.仙盟守护每日可由盟主开启一次\n2.活动开启3分钟后,活动正式开始\n3.活动开始后,需击杀从3个方向出现的大批怪物,阻止怪物闯入中央传送阵\n4.闯入怪物数大于100,则活动失败\n5.守护5波以上时,失败也可获得奖励\n6.对怪物的伤害将转化为活动积分,积分决定输出排行\n7.活动结束时,排行越高,奖励贡献越多,10011,-1
33,54,1,10045,0.5,突破,,102,0,不限,修炼,-1,2046,全天,单人,1、铜钱运功每日最多10次，元宝运功不限次数。\n2、高人指点将随机增加仙气与灵气的值，超过21点时将从1开始计算。\n3、仙人指点可一次性将仙气与灵气的值升至最大值21。,-1,104000000
34,49,1,40001,0.5,套装,神兵,102,101,-1,神怒之地,1,2048,全天,单人,1、进入神怒之地副本需消耗神怒之钥。\n2、玩家在神怒之地中逗留、杀怪都会积累愤怒值，愤怒值到达100将被强制请离副本。\n3、进入神怒之地前，可通过激战BOSS界面观察BOSS是否已出现。,-1,241016000
35,50,1,10137,0.5,套装,装备,102,101,不限,异界虚空一二层,1,2050,全天,单人,1.击杀异界虚空怪物会获得疲劳值\n2.满疲劳时无法对怪物造成有效伤害\n3.疲劳值每小时减少10点,击杀其他服玩家获取指定数额的杀戮积分也可减少疲劳值\n4.击杀相差10级以上的玩家不会获得杀戮积分,1分钟内击杀同一玩家最多获得1次杀戮积分,-1,331000000
36,20,1,10123,0.5,兽粮,,102,0,70,仙盟任务,-1,30,每天0:00-23:59,单人,1.玩家每周最多可完成70环仙盟任务\n2.每完成10环任务可进行一次抽奖,获取随机数额的仙盟贡献\n3.VIP3以上玩家可挂机完成任务\n4.仙盟任务奖励兽粮与绑铜,兽粮可用于培养仙盟BOSS,10021,-1
37,61,1,40025,0.5,经验,铜钱,102,0,不限,经验谷,-1,30,全天,单人,1、每天有120分钟的挂机时间。\n2、在经验谷只能开启和平模式，怪物等级随玩家等级变化。,-1,940000000
38,28,1,40024,0.5,技能,,102,0,不限,应龙试炼,-1,22,全天,单人,1、应龙试炼副本产出的悟性可用于技能升级。\n2、通关前一关，才可挑战后一关。\n3、三星通关的关卡可通过扫荡快速完成。\n4、每章节通关总星数到达12、16、20、24时，均可领取宝箱奖励。,-1,242000000
39,29,1,40025,0.5,强化,经验,102,101,-1,水府试炼,-1,25,全天,单人,1、水府试炼产出的下品强化石可用于装备部位强化。\n2、共有20波怪物依序袭来，每5波会刷出一只BOSS。\n3、击杀袭来的怪物，保护纪宁，纪宁血量归零则副本失败。,-1,243010100
40,30,1,40025,0.5,铜钱,经验,102,101,-1,明月山水图,-1,32,全天,单人,1、击杀明月山水图怪物可获得大量铜钱。\n2、时限内击杀所有怪物即可通关。\n3、连续击杀怪物可增加连斩数，连斩数越高，增加的属性越多。\n4、副本中怪物数量超过50只将直接失败。,-1,243010110
41,31,1,40025,0.5,伙伴,经验,102,101,-1,寂灭之域,-1,42,全天,单人,1、寂灭之域产出多种伙伴养成材料。\n2、时限内救出伙伴将获得强力BUFF。\n3、击杀当前区域的所有怪物才能进入下个区域。,-1,243010120
42,32,1,40025,0.5,洗练,经验,102,101,-1,东林宗,-1,1049,全天,单人,1、东林宗产出的紫色洗炼石可用于洗炼装备属性。\n2、击杀当前区域全部怪物才能进入下个区域。\n3、未在倒计时结束前清空当前区域怪物，副本将直接失败。\n4、副本有3次复活机会，死亡超过3次将直接失败。,-1,243010130
43,33,1,40025,0.5,镶嵌,经验,102,101,-1,无间战场,-1,1048,全天,单人,1、无间战场产出的三阶攻击、防御、生命石可用于宝石镶嵌。\n2、击杀当前区域全部怪物可开启传送阵，进入传送阵将到达下一层。\n3、未在倒计时结束前清空当前区域怪物，副本将直接失败。,-1,243010140
44,34,1,40025,0.5,足迹,经验,102,101,-1,莲花幻境,-1,36,全天,单人,1、莲花幻境产出的厚土之息可用于提升足迹等级。\n2、击杀当前区域全部怪物才能进入下个区域。\n3、根据通关提示按特定顺序击杀怪物，可以更稳妥地通关。,-1,243010150
45,56,1,40025,0.5,经验,,102,0,1,经验秘地,-1,40,全天,单人,1、玩家在副本内击杀怪物进度条达到100%或副本时间为0将结束副本。\n2、玩家可以通过消耗绑元或元宝来提升,-1,243010200
46,57,1,40025,0.5,精炼石,装备,102,101,1,精炼福地,-1,43,全天,单人,1、每波怪中有一只特殊BUFF怪，击杀可以获得强力BUFF。\n2、未在规定时间内清除完所有怪物则副本失败,-1,243010160
47,58,1,40025,0.5,精炼石,装备,102,101,1,精炼福地·高级,-1,4057,全天,单人,1、每波怪中有一只特殊BUFF怪，击杀可以获得强力BUFF。\n2、未在规定时间内清除完所有怪物则副本失败,-1,243010170
48,59,1,40025,0.5,坐骑,骑装,102,101,1,骑兽猎场,-1,44,全天,单人,1、每清除4波小怪都会刷出BOSS。\n2、未在规定时间内清除完所有怪物则副本失败,-1,243010190
49,60,1,40025,0.5,羽翼,经验,102,101,1,羽化洞天,-1,2049,全天,单人,1、场景中存在一片只会都怪物造成伤害的区域，玩家可以把怪物吸引至陷阱区域快速击杀怪物。\n2、未在规定时间内清除完所有怪物则副本失败,-1,243010180
50,35,1,40025,0.5,强化,经验,102,101,-1,水府试炼(多人),-1,25,全天,多人,1、水府试炼产出的下品强化石可用于装备部位强化。\n2、共有20波怪物依序袭来，每5波会刷出一只BOSS。\n3、击杀袭来的怪物，保护纪宁，纪宁血量归零则副本失败。,-1,243020100
51,36,1,40025,0.5,镶嵌,经验,102,101,-1,无间战场(多人),-1,1048,全天,多人,1、无间战场产出的三阶攻击、防御、生命石可用于宝石镶嵌。\n2、击杀当前区域全部怪物可开启传送阵，进入传送阵将到达下一层。\n3、未在倒计时结束前清空当前区域怪物，副本将直接失败。,-1,243020200
52,37,1,40025,0.5,足迹,经验,102,101,-1,莲花幻界(多人),-1,36,全天,多人,1、莲花幻境产出的厚土之息可用于提升足迹等级。\n2、击杀当前区域全部怪物才能进入下个区域。\n3、根据通关提示按特定顺序击杀怪物，可以更稳妥地通关。,-1,243020300
53,38,1,40025,0.5,法宝,经验,102,101,-1,巫江仙府,-1,3057,全天,多人,1、巫江仙府产出法宝碎片包、兽骨骑装礼盒等珍稀道具。\n2、推荐3人组队进入副本，采集不同BUFF后合作通关。\n3、进入巫江仙府副本，将根据难度消耗一定体力。\n4、体力可随时间自然恢复，也可通过好友赠送获得。,-1,243030000
54,43,1,40042,0.5,神通,经验,102,101,不限,轮回塔,-1,1042,全天,单人,1、轮回塔共40层，每5层会有BOSS镇守，击败BOSS即可解锁对应神通技能。\n2、每日可免费扫荡一次已通关层级，每日扫荡获得的轮回礼盒有概率获得炎玉。\n3、炎玉可以提升神通效果，增加神通持续时间或触发概率。,-1,248000000
55,39,1,40025,0.5,神兵,经验,102,101,-1,四象灵域,-1,1050,全天,多人,1、四象灵域产出的生命、攻击纹石可用于解封神兵。\n2、副本中4个BOSS各有一种强力属性，需采集场地中央的对应BUFF才能抵消。\n3、组队时，合理分配BUFF，围攻单个BOSS可以更有效率地通关。,-1,243040000
56,40,1,40025,0.5,仙器,经验,102,101,-1,妖魔冰谷,-1,3051,全天,多人,1、妖魔冰谷产出的下品、中品神晶可用于升级仙器。\n2、副本中共有6尊被冰封的BOSS，将随时间流逝逐渐开始活动。\n3、应优先击杀活动的BOSS。活动BOSS数量越多，BOSS的属性将越高。,-1,243050000
57,44,1,10133,0.5,符文,,102,0,-1,域外星门,-1,2051,全天,单人,1.域外星门产出符文盒及精华碎片\n2.通关偶数关卡可解锁符文槽位\n3.消耗资源造塔可抵挡怪物进攻\n4.角色攻击力越高,塔攻击力也越高\n5.怪物到达终点将减少关卡血量,血量为0时防御失败,-1,249000000
