id,monster_id,exp
171,303007,6250
172,303008,50000
173,303009,0
174,303010,0
175,303011,0
176,303012,0
177,303101,9000
178,303102,69000
179,303103,9000
180,303104,69000
181,303105,9000
182,303106,69000
183,303107,9000
184,303108,69000
185,303109,0
186,303110,0
187,303111,0
188,303112,0
189,303201,10800
190,303202,91800
191,303203,10800
192,303204,91800
193,303205,10800
194,303206,91800
195,303207,10800
196,303208,91800
197,303209,0
198,303210,0
199,303211,0
200,303212,0
201,303301,13000
202,303302,113000
203,303303,13000
204,303304,113000
205,303305,13000
206,303306,113000
207,303307,13000
208,303308,113000
209,303309,0
210,303310,0
211,303311,0
212,303312,0
213,304001,0
214,304002,3700
215,304003,38400
216,304004,3700
217,304005,38400
218,304006,3700
219,304007,38400
220,304008,3700
221,304009,38400
222,304010,3700
223,304011,38400
224,304101,0
225,304102,5300
226,304103,53600
227,304104,5300
228,304105,53600
229,304106,5300
230,304107,53600
231,304108,5300
232,304109,53600
233,304110,5300
234,304111,53600
235,304201,0
236,304202,6900
237,304203,68800
238,304204,6900
239,304205,68800
240,304206,6900
241,304207,68800
242,304208,6900
243,304209,68800
244,304210,6900
245,304211,68800
246,304301,0
247,304302,8400
248,304303,84800
249,304304,8400
250,304305,84800
251,304306,8400
252,304307,84800
253,304308,8400
254,304309,84800
255,304310,8400
256,304311,84800
257,305001,4000
258,305002,40000
259,305003,4000
260,305004,40000
261,305005,4000
262,305006,40000
263,305007,4000
264,305008,40000
265,305009,4000
266,305010,40000
267,305011,0
268,305012,0
269,305013,0
270,305014,0
271,305015,0
272,305101,5200
273,305102,52000
274,305103,5200
275,305104,52000
276,305105,5200
277,305106,52000
278,305107,5200
279,305108,52000
280,305109,5200
281,305110,52000
282,305111,0
283,305112,0
284,305113,0
285,305114,0
286,305115,0
287,305201,6400
288,305202,64000
289,305203,6400
290,305204,64000
291,305205,6400
292,305206,64000
293,305207,6400
294,305208,64000
295,305209,6400
296,305210,64000
297,305211,0
298,305212,0
299,305213,0
300,305214,0
301,305215,0
302,305301,7600
303,305302,76000
304,305303,7600
305,305304,76000
306,305305,7600
307,305306,76000
308,305307,7600
309,305308,76000
310,305309,7600
311,305310,76000
312,305311,0
313,305312,0
314,305313,0
315,305314,0
316,305315,0
317,306001,3300
318,306002,40200
319,306003,3300
320,306004,40200
321,306005,3300
322,306006,40200
323,306007,3300
324,306008,40200
325,306009,3300
326,306010,40200
327,306101,3600
328,306102,58400
329,306103,3600
330,306104,58400
331,306105,3600
332,306106,58400
333,306107,3600
334,306108,58400
335,306109,3600
336,306110,58400
337,306201,3900
338,306202,76600
339,306203,3900
340,306204,76600
341,306205,3900
342,306206,76600
343,306207,3900
344,306208,76600
345,306209,3900
346,306210,76600
347,306301,4200
348,306302,94800
349,306303,4200
350,306304,94800
351,306305,4200
352,306306,94800
353,306307,4200
354,306308,94800
355,306309,4200
356,306310,94800
357,308001,1000
358,308002,1000
359,308003,1000
360,308004,1000
361,308005,1000
362,308006,11000
363,308007,1000
364,308008,1000
365,308009,1000
366,308010,1000
367,308011,11000
368,308012,1000
369,308013,1000
370,308014,1000
371,308015,1000
372,308016,11000
373,308017,1000
374,308018,1000
375,308019,1000
376,308020,1000
377,308021,11000
378,308101,1750
379,308102,1750
380,308103,1750
381,308104,1750
382,308105,1750
383,308106,18000
384,308107,1750
385,308108,1750
386,308109,1750
387,308110,1750
388,308111,18000
389,308112,1750
390,308113,1750
391,308114,1750
392,308115,1750
393,308116,18000
394,308117,1750
395,308118,1750
396,308119,1750
397,308120,1750
398,308121,18000
399,308201,2500
400,308202,2500
401,308203,2500
402,308204,2500
403,308205,2500
404,308206,25000
405,308207,2500
406,308208,2500
407,308209,2500
408,308210,2500
409,308211,25000
410,308212,2500
411,308213,2500
412,308214,2500
413,308215,2500
414,308216,25000
415,308217,2500
416,308218,2500
417,308219,2500
418,308220,2500
419,308221,25000
420,308301,3200
421,308302,3200
422,308303,3200
423,308304,3200
424,308305,3200
425,308306,33200
426,308307,3200
427,308308,3200
428,308309,3200
429,308310,3200
430,308311,33200
431,308312,3200
432,308313,3200
433,308314,3200
434,308315,3200
435,308316,33200
436,308317,3200
437,308318,3200
438,308319,3200
439,308320,3200
440,308321,33200
441,309001,4000
442,309002,40000
443,309003,4000
444,309004,40000
445,309005,4000
446,309006,40000
447,309007,4000
448,309008,40000
449,309009,4000
450,309010,40000
451,309011,0
452,309012,0
453,309013,0
454,309014,0
455,309015,0
456,309101,5200
457,309102,52000
458,309103,5200
459,309104,52000
460,309105,5200
461,309106,52000
462,309107,5200
463,309108,52000
464,309109,5200
465,309110,52000
466,309111,0
467,309112,0
468,309113,0
469,309114,0
470,309115,0
471,309201,6400
472,309202,64000
473,309203,6400
474,309204,64000
475,309205,6400
476,309206,64000
477,309207,6400
478,309208,64000
479,309209,6400
480,309210,64000
481,309211,0
482,309212,0
483,309213,0
484,309214,0
485,309215,0
486,309301,7600
487,309302,76000
488,309303,7600
489,309304,76000
490,309305,7600
491,309306,76000
492,309307,7600
493,309308,76000
494,309309,7600
495,309310,76000
496,309311,0
497,309312,0
498,309313,0
499,309314,0
500,309315,0
501,401111,0
502,401112,0
503,401121,0
504,401122,0
505,401131,0
506,401132,0
507,401133,0
508,401134,0
509,401141,0
510,401142,0
511,401143,0
512,401151,0
513,401152,0
514,401161,0
515,401162,0
516,401171,0
517,401181,0
518,401211,0
519,401212,0
520,401221,0
521,401222,0
522,401231,0
523,401232,0
524,401233,0
525,401234,0
526,401241,0
527,401242,0
528,401243,0
529,401251,0
530,401252,0
531,401261,0
532,401262,0
533,401271,0
534,401281,0
535,401311,0
536,401312,0
537,401321,0
538,401322,0
539,401331,0
540,401332,0
541,401333,0
542,401334,0
543,401341,0
544,401342,0
545,401343,0
546,401351,0
547,401352,0
548,401361,0
549,401362,0
550,401371,0
551,401381,0
552,401411,0
553,401412,0
554,401421,0
555,401422,0
556,401431,0
557,401432,0
558,401433,0
559,401434,0
560,401441,0
561,401442,0
562,401443,0
563,401451,0
564,401452,0
565,401461,0
566,401462,0
567,401471,0
568,401481,0
569,401511,0
570,401512,0
571,401521,0
572,401522,0
573,401531,0
574,401532,0
575,401533,0
576,401534,0
577,401541,0
578,401542,0
579,401543,0
580,401551,0
581,401552,0
582,401561,0
583,401562,0
584,401571,0
585,401581,0
586,401611,0
587,401612,0
588,401621,0
589,401622,0
590,401631,0
591,401632,0
592,401633,0
593,401634,0
594,401641,0
595,401642,0
596,401643,0
597,401651,0
598,401652,0
599,401661,0
600,401662,0
601,401671,0
602,401681,0
603,401711,0
604,401712,0
605,401721,0
606,401722,0
607,401731,0
608,401732,0
609,401733,0
610,401734,0
611,401741,0
612,401742,0
613,401743,0
614,401751,0
615,401752,0
616,401761,0
617,401762,0
618,401771,0
619,401781,0
620,601101,0
621,601102,0
622,601201,0
623,601202,0
624,601301,0
625,601401,0
626,601501,0
627,601601,0
628,601701,0
629,602101,0
630,602102,0
631,602201,0
632,602202,0
633,602301,0
634,602401,0
635,602501,0
636,602601,0
637,602701,0
638,603101,0
639,603102,0
640,603201,0
641,603202,0
642,603301,0
643,603401,0
644,603501,0
645,603601,0
646,603701,0
647,604101,0
648,604102,0
649,604201,0
650,604202,0
651,604301,0
652,604401,0
653,604501,0
654,604601,0
655,604701,0
656,700001,100000
657,700002,200000
658,700003,300000
659,700004,400000
660,700005,500000
661,700006,600000
662,700007,700000
663,701001,0
664,701002,0
665,701003,0
666,701004,0
667,701005,0
668,701006,0
669,307001,5000
670,307002,5000
671,307003,0
672,307004,10000
673,307005,10000
674,307006,10000
675,307101,6000
676,307102,6000
677,307103,0
678,307104,12000
679,307105,12000
680,307106,12000
681,307201,7000
682,307202,7000
683,307203,0
684,307204,14000
685,307205,14000
686,307206,14000
687,307301,8000
688,307302,8000
689,307303,0
690,307304,16000
691,307305,16000
692,307306,16000
693,911001,542
694,911002,542
695,911003,542
696,911004,542
697,911005,542
698,911099,30000
699,911101,542
700,911102,542
701,911103,542
702,911104,542
703,911105,542
704,911199,30000
705,912001,1446
706,912002,1446
707,912003,1446
708,912004,1446
709,912005,1446
710,912099,80000
711,912101,1446
712,912102,1446
713,912103,1446
714,912104,1446
715,912105,1446
716,912199,80000
717,913001,3976
718,913002,3976
719,913003,3976
720,913004,3976
721,913005,3976
722,913099,220000
723,913101,3976
724,913102,3976
725,913103,3976
726,913104,3976
727,913105,3976
728,913199,220000
729,914001,10843
730,914002,10843
731,914003,10843
732,914004,10843
733,914005,10843
734,914099,600000
735,914101,10843
736,914102,10843
737,914103,10843
738,914104,10843
739,914105,10843
740,914199,600000
741,915001,28916
742,915002,28916
743,915003,28916
744,915004,28916
745,915005,28916
746,915099,1600000
747,915101,28916
748,915102,28916
749,915103,28916
750,915104,28916
751,915105,28916
752,915199,1600000
753,916001,65060
754,916002,65060
755,916003,65060
756,916004,65060
757,916005,65060
758,916099,3600000
759,916101,65060
760,916102,65060
761,916103,65060
762,916104,65060
763,916105,65060
764,916199,3600000
765,917001,130120
766,917002,130120
767,917003,130120
768,917004,130120
769,917005,130120
770,917099,7200000
771,917101,130120
772,917102,130120
773,917103,130120
774,917104,130120
775,917105,130120
776,917199,7200000
777,918001,130120
778,918002,130120
779,918003,130120
780,918004,130120
781,918005,130120
782,918099,7200000
783,918101,130120
784,918102,130120
785,918103,130120
786,918104,130120
787,918105,130120
788,918199,7200000
789,920001,25000
790,920002,50000
791,920003,125000
792,920004,250000
793,920005,750000
794,920006,2250000
795,920007,4500000
796,920008,4500000
797,930001,5000
798,930002,10000
799,930003,25000
800,930004,50000
801,930005,150000
802,930006,450000
803,930007,900000
804,930008,900000
805,206201,5000
806,206203,20000
807,206205,30000
808,206207,40000
809,206209,100000
810,206211,120000
811,206213,160000
812,206215,300000
813,206217,360000
814,206219,420000
815,206221,480000
816,206101,50
817,206103,100
818,206105,150
819,206107,200
820,206109,250
821,206111,300
822,206113,350
823,206115,400
824,206117,450
825,206119,500
826,206121,550
827,311001,14286
828,311002,14286
829,311003,14286
830,311101,17143
831,311102,17143
832,311103,17143
833,311201,20000
834,311202,20000
835,311203,20000
836,311301,22857
837,311302,22857
838,311303,22857
839,312001,14286
840,312002,14286
841,312003,14286
842,312101,17143
843,312102,17143
844,312103,17143
845,312201,20000
846,312202,20000
847,312203,20000
848,312301,22857
849,312302,22857
850,312303,22857
851,313001,70000
852,313002,70000
853,313003,70000
854,313004,70000
855,313005,70000
856,313006,70000
857,313101,90000
858,313102,90000
859,313103,90000
860,313104,90000
861,313105,90000
862,313106,90000
863,313201,110000
864,313202,110000
865,313203,110000
866,313204,110000
867,313205,110000
868,313206,110000
869,313301,130000
870,313302,130000
871,313303,130000
872,313304,130000
873,313305,130000
874,313306,130000
875,310001,100000
876,310002,100000
877,310003,100000
878,310004,100000
879,310101,120000
880,310102,120000
881,310103,120000
882,310104,120000
883,310201,140000
884,310202,140000
885,310203,140000
886,310204,140000
887,310301,160000
888,310302,160000
889,310303,160000
890,310304,160000
891,303401,6250
892,303402,50000
893,303403,6250
894,303404,50000
895,303405,6250
896,303406,50000
897,303409,0
898,303410,0
899,303411,0
900,304402,3700
901,304403,38400
902,304404,3700
903,304405,38400
904,304406,3700
905,304407,38400
906,305401,4000
907,305402,40000
908,305403,4000
909,305404,40000
910,305405,4000
911,305406,40000
912,306501,3300
913,306502,40200
914,306503,3300
915,306504,40200
916,306505,3300
917,306506,40200
918,310501,100000
919,310502,100000
920,310503,100000
921,310504,100000
922,311401,14286
923,311402,14286
924,311403,14286
925,313401,70000
926,313402,70000
927,313403,70000
928,313404,70000
929,313405,70000
930,313406,70000
931,314101,3000
932,314102,3000
933,314103,3000
934,314104,3000
935,314105,60000
936,314106,3000
937,314107,3000
938,314201,4000
939,314202,4000
940,314203,4000
941,314204,4000
942,314205,80000
943,314206,4000
944,314207,4000
945,314301,5000
946,314302,5000
947,314303,5000
948,314304,5000
949,314305,100000
950,314306,5000
951,314307,5000
952,314401,6000
953,314402,6000
954,314403,6000
955,314404,6000
956,314405,120000
957,314406,6000
958,314407,6000
959,314501,5000
960,314502,5000
961,314503,5000
962,314504,5000
963,314505,100000
964,314506,5000
965,314507,5000
966,314601,6000
967,314602,6000
968,314603,6000
969,314604,6000
970,314605,120000
971,314606,6000
972,314607,6000
973,314701,7000
974,314702,7000
975,314703,7000
976,314704,7000
977,314705,140000
978,314706,7000
979,314707,7000
980,314801,8000
981,314802,8000
982,314803,8000
983,314804,8000
984,314805,160000
985,314806,8000
986,314807,8000
987,315101,3646
988,315102,3646
989,315103,3646
990,315104,3646
991,315105,50000
992,315106,50000
993,315107,50000
994,315201,4375
995,315202,4375
996,315203,4375
997,315204,4375
998,315205,60000
999,315206,60000
1000,315207,60000
1001,315301,5104
1002,315302,5104
1003,315303,5104
1004,315304,5104
1005,315305,70000
1006,315306,70000
1007,315307,70000
1008,315401,5833
1009,315402,5833
1010,315403,5833
1011,315404,5833
1012,315405,80000
1013,315406,80000
1014,315407,80000
1015,316101,14583
1016,316102,14583
1017,316103,14583
1018,316104,50000
1019,316105,50000
1020,316106,50000
1021,316201,17500
1022,316202,17500
1023,316203,17500
1024,316204,60000
1025,316205,60000
1026,316206,60000
1027,316301,20417
1028,316302,20417
1029,316303,20417
1030,316304,70000
1031,316305,70000
1032,316306,70000
1033,316401,23333
1034,316402,23333
1035,316403,23333
1036,316404,80000
1037,316405,80000
1038,316406,80000
1039,318101,113
1040,318102,150
1041,318103,188
1042,318104,225
1043,318105,450
1044,318106,600
1045,318107,750
1046,318108,975
1047,318109,1275
1048,318110,1575
1049,318111,2025
1050,318112,1700
1051,318113,2100
1052,318114,2500
1053,317101,3000
1054,317102,3000
1055,317103,3000
1056,317201,4000
1057,317202,4000
1058,317203,4000
1059,317301,5000
1060,317302,5000
1061,317303,5000
1062,317401,6000
1063,317402,6000
1064,317403,6000
