id,classify,kind,money,diamond,type,value,describe,value1,rank
131,21,21067,200000,20,2,5066,薪火传道,,17
132,21,21068,200000,20,2,5067,薪火传道,,17
133,21,21069,200000,20,2,5068,薪火传道,,17
134,21,21070,200000,20,2,5069,薪火传道,,17
135,21,21071,200000,20,2,5070,薪火传道,,17
136,21,21072,200000,20,2,6065,薪火传道,,17
137,21,21073,200000,20,2,6066,薪火传道,,17
138,21,21074,200000,20,2,6067,薪火传道,,17
139,21,21075,200000,20,2,6068,薪火传道,,17
140,21,21076,200000,20,2,6069,薪火传道,,17
141,21,21077,200000,20,2,6070,薪火传道,,17
142,21,21078,200000,20,2,6071,薪火传道,,17
143,21,21079,200000,20,2,6072,薪火传道,,17
144,21,21080,200000,20,2,6073,薪火传道,,17
145,21,21081,200000,20,2,6074,薪火传道,,17
146,21,21082,200000,20,2,6075,薪火传道,,17
147,21,21083,200000,20,2,7070,薪火传道,,17
148,21,21084,200000,20,2,7071,薪火传道,,17
149,21,21085,200000,20,2,7072,薪火传道,,17
150,21,21086,200000,20,2,7073,薪火传道,,17
151,21,21087,200000,20,2,7074,薪火传道,,17
152,21,21088,200000,20,2,7075,薪火传道,,17
153,21,21089,200000,20,2,7076,薪火传道,,17
154,21,21090,200000,20,2,7077,薪火传道,,17
155,21,21091,200000,20,2,7078,薪火传道,,17
156,21,21092,200000,20,2,7079,薪火传道,,17
157,21,21093,200000,20,2,7080,薪火传道,,17
158,21,21094,200000,20,2,8075,薪火传道,,17
159,21,21095,200000,20,2,8076,薪火传道,,17
160,21,21096,200000,20,2,8077,薪火传道,,17
161,21,21097,200000,20,2,8078,薪火传道,,17
162,21,21098,200000,20,2,8079,薪火传道,,17
163,21,21099,200000,20,2,8080,薪火传道,,17
164,21,21100,200000,20,2,8081,薪火传道,,17
165,21,21101,200000,20,2,8082,薪火传道,,17
166,21,21102,200000,20,2,8083,薪火传道,,17
167,21,21103,200000,20,2,8084,薪火传道,,17
168,21,21104,200000,20,2,8085,薪火传道,,17
169,21,21105,200000,20,2,9080,薪火传道,,17
170,21,21106,200000,20,2,9081,薪火传道,,17
171,21,21107,200000,20,2,9082,薪火传道,,17
172,21,21108,200000,20,2,9083,薪火传道,,17
173,21,21109,200000,20,2,9084,薪火传道,,17
174,21,21110,200000,20,2,9085,薪火传道,,17
175,21,21111,200000,20,2,9086,薪火传道,,17
176,21,21112,200000,20,2,9087,薪火传道,,17
177,21,21113,200000,20,2,9088,薪火传道,,17
178,21,21114,200000,20,2,9089,薪火传道,,17
179,21,21115,200000,20,2,9090,薪火传道,,17
180,21,21116,200000,20,2,10085,薪火传道,,17
181,21,21117,200000,20,2,10086,薪火传道,,17
182,21,21118,200000,20,2,10087,薪火传道,,17
183,21,21119,200000,20,2,10088,薪火传道,,17
184,21,21120,200000,20,2,10089,薪火传道,,17
185,21,21121,200000,20,2,10090,薪火传道,,17
186,21,21122,200000,20,2,10091,薪火传道,,17
187,21,21123,200000,20,2,10092,薪火传道,,17
188,21,21124,200000,20,2,10093,薪火传道,,17
189,21,21125,200000,20,2,10094,薪火传道,,17
190,21,21126,200000,20,2,10095,薪火传道,,17
191,21,21127,200000,20,2,11090,薪火传道,,17
192,21,21128,200000,20,2,11091,薪火传道,,17
193,21,21129,200000,20,2,11092,薪火传道,,17
194,21,21130,200000,20,2,11093,薪火传道,,17
195,21,21131,200000,20,2,11094,薪火传道,,17
196,21,21132,200000,20,2,11095,薪火传道,,17
197,21,21133,200000,20,2,11096,薪火传道,,17
198,21,21134,200000,20,2,11097,薪火传道,,17
199,21,21135,200000,20,2,11098,薪火传道,,17
200,21,21136,200000,20,2,11099,薪火传道,,17
201,21,21137,200000,20,2,11100,薪火传道,,17
202,21,21138,200000,20,2,12095,薪火传道,,17
203,21,21139,200000,20,2,12096,薪火传道,,17
204,21,21140,200000,20,2,12097,薪火传道,,17
205,21,21141,200000,20,2,12098,薪火传道,,17
206,21,21142,200000,20,2,12099,薪火传道,,17
207,21,21143,200000,20,2,12100,薪火传道,,17
208,21,21144,200000,20,2,12101,薪火传道,,17
209,21,21145,200000,20,2,12102,薪火传道,,17
210,21,21146,200000,20,2,12103,薪火传道,,17
211,21,21147,200000,20,2,12104,薪火传道,,17
212,21,21148,200000,20,2,12105,薪火传道,,17
213,21,21149,200000,20,2,13100,薪火传道,,17
214,21,21150,200000,20,2,13101,薪火传道,,17
215,21,21151,200000,20,2,13102,薪火传道,,17
216,21,21152,200000,20,2,13103,薪火传道,,17
217,21,21153,200000,20,2,13104,薪火传道,,17
218,21,21154,200000,20,2,13105,薪火传道,,17
219,21,21155,200000,20,2,13106,薪火传道,,17
220,21,21156,200000,20,2,13107,薪火传道,,17
221,21,21157,200000,20,2,13108,薪火传道,,17
222,21,21158,200000,20,2,13109,薪火传道,,17
223,21,21159,200000,20,2,13110,薪火传道,,17
224,21,21160,200000,20,2,14105,薪火传道,,17
225,21,21161,200000,20,2,14106,薪火传道,,17
226,21,21162,200000,20,2,14107,薪火传道,,17
227,21,21163,200000,20,2,14108,薪火传道,,17
228,21,21164,200000,20,2,14109,薪火传道,,17
229,21,21165,200000,20,2,14110,薪火传道,,17
230,21,21166,200000,20,2,14111,薪火传道,,17
231,21,21167,200000,20,2,14112,薪火传道,,17
232,21,21168,200000,20,2,14113,薪火传道,,17
233,21,21169,200000,20,2,14114,薪火传道,,17
234,21,21170,200000,20,2,14115,薪火传道,,17
235,21,21171,200000,20,2,15110,薪火传道,,17
236,21,21172,200000,20,2,15111,薪火传道,,17
237,21,21173,200000,20,2,15112,薪火传道,,17
238,21,21174,200000,20,2,15113,薪火传道,,17
239,21,21175,200000,20,2,15114,薪火传道,,17
240,21,21176,200000,20,2,15115,薪火传道,,17
241,21,21177,200000,20,2,15116,薪火传道,,17
242,21,21178,200000,20,2,15117,薪火传道,,17
243,21,21179,200000,20,2,15118,薪火传道,,17
244,21,21180,200000,20,2,15119,薪火传道,,17
245,21,21181,200000,20,2,15120,薪火传道,,17
246,8,8001,0,50,3,1,轮回塔,,18
247,8,8002,0,50,3,2,轮回塔,,18
248,8,8003,0,50,3,3,轮回塔,,18
249,8,8004,0,50,3,4,轮回塔,,18
250,8,8005,0,50,3,5,轮回塔,,18
251,8,8006,0,50,3,6,轮回塔,,18
252,8,8007,0,50,3,7,轮回塔,,18
253,8,8008,0,50,3,8,轮回塔,,18
254,8,8009,0,50,3,9,轮回塔,,18
255,8,8010,0,50,3,10,轮回塔,,18
256,8,8011,0,50,3,11,轮回塔,,18
257,8,8012,0,50,3,12,轮回塔,,18
258,8,8013,0,50,3,13,轮回塔,,18
259,8,8014,0,50,3,14,轮回塔,,18
260,8,8015,0,50,3,15,轮回塔,,18
261,8,8016,0,50,3,16,轮回塔,,18
262,8,8017,0,50,3,17,轮回塔,,18
263,8,8018,0,50,3,18,轮回塔,,18
264,8,8019,0,50,3,19,轮回塔,,18
265,8,8020,0,50,3,20,轮回塔,,18
266,8,8021,0,50,3,21,轮回塔,,18
267,8,8022,0,50,3,22,轮回塔,,18
268,8,8023,0,50,3,23,轮回塔,,18
269,8,8024,0,50,3,24,轮回塔,,18
270,8,8025,0,50,3,25,轮回塔,,18
271,8,8026,0,50,3,26,轮回塔,,18
272,8,8027,0,50,3,27,轮回塔,,18
273,8,8028,0,50,3,28,轮回塔,,18
274,8,8029,0,50,3,29,轮回塔,,18
275,8,8030,0,50,3,30,轮回塔,,18
276,8,8031,0,50,3,31,轮回塔,,18
277,8,8032,0,50,3,32,轮回塔,,18
278,8,8033,0,50,3,33,轮回塔,,18
279,8,8034,0,50,3,34,轮回塔,,18
280,8,8035,0,50,3,35,轮回塔,,18
281,8,8036,0,50,3,36,轮回塔,,18
282,8,8037,0,50,3,37,轮回塔,,18
283,8,8038,0,50,3,38,轮回塔,,18
284,8,8039,0,50,3,39,轮回塔,,18
285,8,8040,0,50,3,40,轮回塔,,18
286,9,9001,200000,20,2,30,女娲神石,,19
287,9,9002,200000,20,2,31,女娲神石,,19
288,9,9003,200000,20,2,32,女娲神石,,19
289,9,9004,200000,20,2,33,女娲神石,,19
290,9,9005,200000,20,2,34,女娲神石,,19
291,9,9006,200000,20,2,35,女娲神石,,19
292,9,9007,200000,20,2,36,女娲神石,,19
293,9,9008,200000,20,2,37,女娲神石,,19
294,9,9009,200000,20,2,38,女娲神石,,19
295,9,9010,200000,20,2,39,女娲神石,,19
296,9,9011,200000,20,2,40,女娲神石,,19
297,9,9012,200000,20,2,41,女娲神石,,19
298,9,9013,200000,20,2,42,女娲神石,,19
299,9,9014,200000,20,2,43,女娲神石,,19
300,9,9015,200000,20,2,44,女娲神石,,19
301,9,9016,200000,20,2,45,女娲神石,,19
302,9,9011,200000,20,2,1040,女娲神石,,19
303,9,9012,200000,20,2,1041,女娲神石,,19
304,9,9013,200000,20,2,1042,女娲神石,,19
305,9,9014,200000,20,2,1043,女娲神石,,19
306,9,9015,200000,20,2,1044,女娲神石,,19
307,9,9016,200000,20,2,1045,女娲神石,,19
308,9,9017,200000,20,2,1046,女娲神石,,19
309,9,9018,200000,20,2,1047,女娲神石,,19
310,9,9019,200000,20,2,1048,女娲神石,,19
311,9,9020,200000,20,2,1049,女娲神石,,19
312,9,9021,200000,20,2,1050,女娲神石,,19
313,9,9022,200000,20,2,2045,女娲神石,,19
314,9,9023,200000,20,2,2046,女娲神石,,19
315,9,9024,200000,20,2,2047,女娲神石,,19
316,9,9025,200000,20,2,2048,女娲神石,,19
317,9,9026,200000,20,2,2049,女娲神石,,19
318,9,9027,200000,20,2,2050,女娲神石,,19
319,9,9028,200000,20,2,2051,女娲神石,,19
320,9,9029,200000,20,2,2052,女娲神石,,19
321,9,9030,200000,20,2,2053,女娲神石,,19
322,9,9031,200000,20,2,2054,女娲神石,,19
323,9,9032,200000,20,2,2055,女娲神石,,19
324,9,9033,200000,20,2,3050,女娲神石,,19
325,9,9034,200000,20,2,3051,女娲神石,,19
326,9,9035,200000,20,2,3052,女娲神石,,19
327,9,9036,200000,20,2,3053,女娲神石,,19
328,9,9037,200000,20,2,3054,女娲神石,,19
329,9,9038,200000,20,2,3055,女娲神石,,19
330,9,9039,200000,20,2,3056,女娲神石,,19
331,9,9040,200000,20,2,3057,女娲神石,,19
332,9,9041,200000,20,2,3058,女娲神石,,19
333,9,9042,200000,20,2,3059,女娲神石,,19
334,9,9043,200000,20,2,3060,女娲神石,,19
335,9,9044,200000,20,2,4055,女娲神石,,19
336,9,9045,200000,20,2,4056,女娲神石,,19
337,9,9046,200000,20,2,4057,女娲神石,,19
338,9,9047,200000,20,2,4058,女娲神石,,19
339,9,9048,200000,20,2,4059,女娲神石,,19
340,9,9049,200000,20,2,4060,女娲神石,,19
341,9,9050,200000,20,2,4061,女娲神石,,19
342,9,9051,200000,20,2,4062,女娲神石,,19
343,9,9052,200000,20,2,4063,女娲神石,,19
344,9,9053,200000,20,2,4064,女娲神石,,19
345,9,9054,200000,20,2,4065,女娲神石,,19
346,9,9055,200000,20,2,5060,女娲神石,,19
347,9,9056,200000,20,2,5061,女娲神石,,19
348,9,9057,200000,20,2,5062,女娲神石,,19
349,9,9058,200000,20,2,5063,女娲神石,,19
350,9,9059,200000,20,2,5064,女娲神石,,19
351,9,9060,200000,20,2,5065,女娲神石,,19
352,9,9061,200000,20,2,5066,女娲神石,,19
353,9,9062,200000,20,2,5067,女娲神石,,19
354,9,9063,200000,20,2,5068,女娲神石,,19
355,9,9064,200000,20,2,5069,女娲神石,,19
356,9,9065,200000,20,2,5070,女娲神石,,19
357,9,9066,200000,20,2,6065,女娲神石,,19
358,9,9067,200000,20,2,6066,女娲神石,,19
359,9,9068,200000,20,2,6067,女娲神石,,19
360,9,9069,200000,20,2,6068,女娲神石,,19
361,9,9070,200000,20,2,6069,女娲神石,,19
362,9,9071,200000,20,2,6070,女娲神石,,19
363,9,9072,200000,20,2,6071,女娲神石,,19
364,9,9073,200000,20,2,6072,女娲神石,,19
365,9,9074,200000,20,2,6073,女娲神石,,19
366,9,9075,200000,20,2,6074,女娲神石,,19
367,9,9076,200000,20,2,6075,女娲神石,,19
368,9,9077,200000,20,2,7070,女娲神石,,19
369,9,9078,200000,20,2,7071,女娲神石,,19
370,9,9079,200000,20,2,7072,女娲神石,,19
371,9,9080,200000,20,2,7073,女娲神石,,19
372,9,9081,200000,20,2,7074,女娲神石,,19
373,9,9082,200000,20,2,7075,女娲神石,,19
374,9,9083,200000,20,2,7076,女娲神石,,19
375,9,9084,200000,20,2,7077,女娲神石,,19
376,9,9085,200000,20,2,7078,女娲神石,,19
377,9,9086,200000,20,2,7079,女娲神石,,19
378,9,9087,200000,20,2,7080,女娲神石,,19
379,9,9088,200000,20,2,8075,女娲神石,,19
380,9,9089,200000,20,2,8076,女娲神石,,19
381,9,9090,200000,20,2,8077,女娲神石,,19
382,9,9091,200000,20,2,8078,女娲神石,,19
383,9,9092,200000,20,2,8079,女娲神石,,19
384,9,9093,200000,20,2,8080,女娲神石,,19
385,9,9094,200000,20,2,8081,女娲神石,,19
386,9,9095,200000,20,2,8082,女娲神石,,19
387,9,9096,200000,20,2,8083,女娲神石,,19
388,9,9097,200000,20,2,8084,女娲神石,,19
389,9,9098,200000,20,2,8085,女娲神石,,19
390,9,9099,200000,20,2,9080,女娲神石,,19
391,9,9100,200000,20,2,9081,女娲神石,,19
392,9,9101,200000,20,2,9082,女娲神石,,19
393,9,9102,200000,20,2,9083,女娲神石,,19
394,9,9103,200000,20,2,9084,女娲神石,,19
395,9,9104,200000,20,2,9085,女娲神石,,19
396,9,9105,200000,20,2,9086,女娲神石,,19
397,9,9106,200000,20,2,9087,女娲神石,,19
398,9,9107,200000,20,2,9088,女娲神石,,19
399,9,9108,200000,20,2,9089,女娲神石,,19
400,9,9109,200000,20,2,9090,女娲神石,,19
401,9,9110,200000,20,2,10085,女娲神石,,19
402,9,9111,200000,20,2,10086,女娲神石,,19
403,9,9112,200000,20,2,10087,女娲神石,,19
404,9,9113,200000,20,2,10088,女娲神石,,19
405,9,9114,200000,20,2,10089,女娲神石,,19
406,9,9115,200000,20,2,10090,女娲神石,,19
407,9,9116,200000,20,2,10091,女娲神石,,19
408,9,9117,200000,20,2,10092,女娲神石,,19
409,9,9118,200000,20,2,10093,女娲神石,,19
410,9,9119,200000,20,2,10094,女娲神石,,19
411,9,9120,200000,20,2,10095,女娲神石,,19
412,9,9121,200000,20,2,11090,女娲神石,,19
413,9,9122,200000,20,2,11091,女娲神石,,19
414,9,9123,200000,20,2,11092,女娲神石,,19
415,9,9124,200000,20,2,11093,女娲神石,,19
416,9,9125,200000,20,2,11094,女娲神石,,19
417,9,9126,200000,20,2,11095,女娲神石,,19
418,9,9127,200000,20,2,11096,女娲神石,,19
419,9,9128,200000,20,2,11097,女娲神石,,19
420,9,9129,200000,20,2,11098,女娲神石,,19
421,9,9130,200000,20,2,11099,女娲神石,,19
422,9,9131,200000,20,2,11100,女娲神石,,19
423,9,9132,200000,20,2,12095,女娲神石,,19
424,9,9133,200000,20,2,12096,女娲神石,,19
425,9,9134,200000,20,2,12097,女娲神石,,19
426,9,9135,200000,20,2,12098,女娲神石,,19
427,9,9136,200000,20,2,12099,女娲神石,,19
428,9,9137,200000,20,2,12100,女娲神石,,19
429,9,9138,200000,20,2,12101,女娲神石,,19
430,9,9139,200000,20,2,12102,女娲神石,,19
431,9,9140,200000,20,2,12103,女娲神石,,19
432,9,9141,200000,20,2,12104,女娲神石,,19
433,9,9142,200000,20,2,12105,女娲神石,,19
434,9,9143,200000,20,2,13100,女娲神石,,19
435,9,9144,200000,20,2,13101,女娲神石,,19
436,9,9145,200000,20,2,13102,女娲神石,,19
437,9,9146,200000,20,2,13103,女娲神石,,19
438,9,9147,200000,20,2,13104,女娲神石,,19
439,9,9148,200000,20,2,13105,女娲神石,,19
440,9,9149,200000,20,2,13106,女娲神石,,19
441,9,9150,200000,20,2,13107,女娲神石,,19
442,9,9151,200000,20,2,13108,女娲神石,,19
443,9,9152,200000,20,2,13109,女娲神石,,19
444,9,9153,200000,20,2,13110,女娲神石,,19
445,9,9154,200000,20,2,14105,女娲神石,,19
446,9,9155,200000,20,2,14106,女娲神石,,19
447,9,9156,200000,20,2,14107,女娲神石,,19
448,9,9157,200000,20,2,14108,女娲神石,,19
449,9,9158,200000,20,2,14109,女娲神石,,19
450,9,9159,200000,20,2,14110,女娲神石,,19
451,9,9160,200000,20,2,14111,女娲神石,,19
452,9,9161,200000,20,2,14112,女娲神石,,19
453,9,9162,200000,20,2,14113,女娲神石,,19
454,9,9163,200000,20,2,14114,女娲神石,,19
455,9,9164,200000,20,2,14115,女娲神石,,19
456,9,9165,200000,20,2,15110,女娲神石,,19
457,9,9166,200000,20,2,15111,女娲神石,,19
458,9,9167,200000,20,2,15112,女娲神石,,19
459,9,9168,200000,20,2,15113,女娲神石,,19
460,9,9169,200000,20,2,15114,女娲神石,,19
461,9,9170,200000,20,2,15115,女娲神石,,19
462,9,9171,200000,20,2,15116,女娲神石,,19
463,9,9172,200000,20,2,15117,女娲神石,,19
464,9,9173,200000,20,2,15118,女娲神石,,19
465,9,9174,200000,20,2,15119,女娲神石,,19
466,9,9175,200000,20,2,15120,女娲神石,,19
467,11,11001,30000,5,2,30,试炼任务,,20
468,11,11002,30000,5,2,31,试炼任务,,20
469,11,11003,30000,5,2,32,试炼任务,,20
470,11,11004,30000,5,2,33,试炼任务,,20
471,11,11005,30000,5,2,34,试炼任务,,20
472,11,11006,30000,5,2,35,试炼任务,,20
473,11,11007,30000,5,2,36,试炼任务,,20
474,11,11008,30000,5,2,37,试炼任务,,20
475,11,11009,30000,5,2,38,试炼任务,,20
476,11,11010,30000,5,2,39,试炼任务,,20
477,11,11011,30000,5,2,40,试炼任务,,20
478,11,11012,30000,5,2,41,试炼任务,,20
479,11,11013,30000,5,2,42,试炼任务,,20
480,11,11014,30000,5,2,43,试炼任务,,20
481,11,11015,30000,5,2,44,试炼任务,,20
482,11,11016,30000,5,2,45,试炼任务,,20
483,11,11017,30000,5,2,1040,试炼任务,,20
484,11,11018,30000,5,2,1041,试炼任务,,20
485,11,11019,30000,5,2,1042,试炼任务,,20
486,11,11020,30000,5,2,1043,试炼任务,,20
487,11,11021,30000,5,2,1044,试炼任务,,20
488,11,11022,30000,5,2,1045,试炼任务,,20
489,11,11023,30000,5,2,1046,试炼任务,,20
490,11,11024,30000,5,2,1047,试炼任务,,20
491,11,11025,30000,5,2,1048,试炼任务,,20
492,11,11026,30000,5,2,1049,试炼任务,,20
493,11,11027,30000,5,2,1050,试炼任务,,20
494,11,11028,30000,5,2,2045,试炼任务,,20
495,11,11029,30000,5,2,2046,试炼任务,,20
496,11,11030,30000,5,2,2047,试炼任务,,20
497,11,11031,30000,5,2,2048,试炼任务,,20
498,11,11032,30000,5,2,2049,试炼任务,,20
499,11,11033,30000,5,2,2050,试炼任务,,20
500,11,11034,30000,5,2,2051,试炼任务,,20
501,11,11035,30000,5,2,2052,试炼任务,,20
502,11,11036,30000,5,2,2053,试炼任务,,20
503,11,11037,30000,5,2,2054,试炼任务,,20
504,11,11038,30000,5,2,2055,试炼任务,,20
505,11,11039,30000,5,2,3050,试炼任务,,20
506,11,11040,30000,5,2,3051,试炼任务,,20
507,11,11041,30000,5,2,3052,试炼任务,,20
508,11,11042,30000,5,2,3053,试炼任务,,20
509,11,11043,30000,5,2,3054,试炼任务,,20
510,11,11044,30000,5,2,3055,试炼任务,,20
511,11,11045,30000,5,2,3056,试炼任务,,20
512,11,11046,30000,5,2,3057,试炼任务,,20
513,11,11047,30000,5,2,3058,试炼任务,,20
514,11,11048,30000,5,2,3059,试炼任务,,20
515,11,11049,30000,5,2,3060,试炼任务,,20
516,11,11050,30000,5,2,4055,试炼任务,,20
517,11,11051,30000,5,2,4056,试炼任务,,20
518,11,11052,30000,5,2,4057,试炼任务,,20
519,11,11053,30000,5,2,4058,试炼任务,,20
520,11,11054,30000,5,2,4059,试炼任务,,20
521,11,11055,30000,5,2,4060,试炼任务,,20
522,11,11056,30000,5,2,4061,试炼任务,,20
523,11,11057,30000,5,2,4062,试炼任务,,20
524,11,11058,30000,5,2,4063,试炼任务,,20
525,11,11059,30000,5,2,4064,试炼任务,,20
526,11,11060,30000,5,2,4065,试炼任务,,20
527,11,11061,30000,5,2,5060,试炼任务,,20
528,11,11062,30000,5,2,5061,试炼任务,,20
529,11,11063,30000,5,2,5062,试炼任务,,20
530,11,11064,30000,5,2,5063,试炼任务,,20
531,11,11065,30000,5,2,5064,试炼任务,,20
532,11,11066,30000,5,2,5065,试炼任务,,20
533,11,11067,30000,5,2,5066,试炼任务,,20
534,11,11068,30000,5,2,5067,试炼任务,,20
535,11,11069,30000,5,2,5068,试炼任务,,20
536,11,11070,30000,5,2,5069,试炼任务,,20
537,11,11071,30000,5,2,5070,试炼任务,,20
538,11,11072,30000,5,2,6065,试炼任务,,20
539,11,11073,30000,5,2,6066,试炼任务,,20
540,11,11074,30000,5,2,6067,试炼任务,,20
