id,level,reward,number,bind
267,1006,183366001,50,1
268,1007,173304009,107,1
269,1007,173304002,118,1
270,1007,183366001,50,1
271,1008,173304009,108,1
272,1008,173304002,120,1
273,1008,183366001,50,1
274,1009,173304009,109,1
275,1009,173304002,120,1
276,1009,183366001,50,1
277,1010,173304009,110,1
278,1010,173304002,120,1
279,1010,183366001,50,1
