id,fashion_id,fashion_type,rank,health,attack,defence,crit,toughness,hit,dodge,fashion_exp,time
77,112010005,2,5,0,300,0,200,0,100,0,5000,259200
78,112010006,2,6,0,300,0,200,0,100,0,5000,259200
79,112010007,2,7,0,300,0,200,0,100,0,10000,604800
80,112010008,2,8,0,300,0,200,0,100,0,5000,259200
81,112011001,2,1,0,100,0,100,0,0,0,2000,259200
82,112011002,2,2,0,400,0,300,0,0,0,7000,259200
83,112011003,2,3,0,100,0,200,0,100,0,5000,259200
84,112011004,2,4,0,100,0,0,0,0,0,1000,259200
85,112011005,2,5,0,300,0,200,0,100,0,5000,259200
86,112011006,2,6,0,300,0,200,0,100,0,5000,259200
87,112011007,2,7,0,300,0,200,0,100,0,10000,604800
88,112011008,2,8,0,300,0,200,0,100,0,5000,259200
89,112012001,2,1,0,100,0,100,0,0,0,2000,259200
90,112012002,2,2,0,400,0,300,0,0,0,7000,259200
91,112012003,2,3,0,100,0,200,0,100,0,5000,259200
92,112012004,2,4,0,100,0,0,0,0,0,1000,259200
93,112012005,2,5,0,300,0,200,0,100,0,5000,259200
94,112012006,2,6,0,300,0,200,0,100,0,5000,259200
95,112012007,2,7,0,300,0,200,0,100,0,10000,604800
96,112012008,2,8,0,300,0,200,0,100,0,5000,259200
