id,skill_type,skill_icon,level,guild_level,cost_id,cost_number,property_number,describe
58,3,100006,7,4,215507001,4000,140,防御
59,3,100006,8,5,215507001,4500,160,防御
60,3,100006,9,5,215507001,5000,180,防御
61,3,100006,10,6,215507001,5500,200,防御
62,3,100006,11,6,215507001,6000,220,防御
63,3,100006,12,7,215507001,6500,240,防御
64,3,100006,13,7,215507001,7000,260,防御
65,3,100006,14,8,215507001,7500,280,防御
66,3,100006,15,8,215507001,8000,300,防御
67,3,100006,16,9,215507001,8500,320,防御
68,3,100006,17,9,215507001,9000,340,防御
69,3,100006,18,10,215507001,9500,360,防御
70,3,100006,19,10,215507001,10000,380,防御
71,3,100006,20,11,215507001,10500,400,防御
72,3,100006,21,11,215507001,11000,420,防御
73,3,100006,22,12,215507001,11500,440,防御
74,3,100006,23,12,215507001,12000,460,防御
75,3,100006,24,12,215507001,-1,480,防御
76,4,100007,0,1,215507001,500,0,命中
77,4,100007,1,1,215507001,1000,10,命中
78,4,100007,2,2,215507001,1500,20,命中
79,4,100007,3,2,215507001,2000,30,命中
80,4,100007,4,3,215507001,2500,40,命中
81,4,100007,5,3,215507001,3000,50,命中
82,4,100007,6,4,215507001,3500,60,命中
83,4,100007,7,4,215507001,4000,70,命中
84,4,100007,8,5,215507001,4500,80,命中
85,4,100007,9,5,215507001,5000,90,命中
86,4,100007,10,6,215507001,5500,100,命中
87,4,100007,11,6,215507001,6000,110,命中
88,4,100007,12,7,215507001,6500,120,命中
89,4,100007,13,7,215507001,7000,130,命中
90,4,100007,14,8,215507001,7500,140,命中
91,4,100007,15,8,215507001,8000,150,命中
92,4,100007,16,9,215507001,8500,160,命中
93,4,100007,17,9,215507001,9000,170,命中
94,4,100007,18,10,215507001,9500,180,命中
95,4,100007,19,10,215507001,10000,190,命中
96,4,100007,20,11,215507001,10500,200,命中
97,4,100007,21,11,215507001,11000,210,命中
98,4,100007,22,12,215507001,11500,220,命中
99,4,100007,23,12,215507001,12000,230,命中
100,4,100007,24,12,215507001,-1,240,命中
101,5,100008,0,1,215507001,500,0,闪避
102,5,100008,1,1,215507001,1000,10,闪避
103,5,100008,2,2,215507001,1500,20,闪避
104,5,100008,3,2,215507001,2000,30,闪避
105,5,100008,4,3,215507001,2500,40,闪避
106,5,100008,5,3,215507001,3000,50,闪避
107,5,100008,6,4,215507001,3500,60,闪避
108,5,100008,7,4,215507001,4000,70,闪避
109,5,100008,8,5,215507001,4500,80,闪避
110,5,100008,9,5,215507001,5000,90,闪避
111,5,100008,10,6,215507001,5500,100,闪避
112,5,100008,11,6,215507001,6000,110,闪避
113,5,100008,12,7,215507001,6500,120,闪避
114,5,100008,13,7,215507001,7000,130,闪避
115,5,100008,14,8,215507001,7500,140,闪避
116,5,100008,15,8,215507001,8000,150,闪避
117,5,100008,16,9,215507001,8500,160,闪避
118,5,100008,17,9,215507001,9000,170,闪避
119,5,100008,18,10,215507001,9500,180,闪避
120,5,100008,19,10,215507001,10000,190,闪避
121,5,100008,20,11,215507001,10500,200,闪避
122,5,100008,21,11,215507001,11000,210,闪避
123,5,100008,22,12,215507001,11500,220,闪避
124,5,100008,23,12,215507001,12000,230,闪避
125,5,100008,24,12,215507001,-1,240,闪避
126,6,100009,0,1,215507001,500,0,暴击
127,6,100009,1,1,215507001,1000,20,暴击
128,6,100009,2,2,215507001,1500,40,暴击
129,6,100009,3,2,215507001,2000,60,暴击
130,6,100009,4,3,215507001,2500,80,暴击
131,6,100009,5,3,215507001,3000,100,暴击
132,6,100009,6,4,215507001,3500,120,暴击
133,6,100009,7,4,215507001,4000,140,暴击
134,6,100009,8,5,215507001,4500,160,暴击
135,6,100009,9,5,215507001,5000,180,暴击
136,6,100009,10,6,215507001,5500,200,暴击
137,6,100009,11,6,215507001,6000,220,暴击
138,6,100009,12,7,215507001,6500,240,暴击
139,6,100009,13,7,215507001,7000,260,暴击
140,6,100009,14,8,215507001,7500,280,暴击
141,6,100009,15,8,215507001,8000,300,暴击
142,6,100009,16,9,215507001,8500,320,暴击
143,6,100009,17,9,215507001,9000,340,暴击
144,6,100009,18,10,215507001,9500,360,暴击
145,6,100009,19,10,215507001,10000,380,暴击
146,6,100009,20,11,215507001,10500,400,暴击
147,6,100009,21,11,215507001,11000,420,暴击
148,6,100009,22,12,215507001,11500,440,暴击
149,6,100009,23,12,215507001,12000,460,暴击
150,6,100009,24,12,215507001,-1,480,暴击
151,7,100010,0,1,215507001,500,0,韧性
152,7,100010,1,1,215507001,1000,20,韧性
153,7,100010,2,2,215507001,1500,40,韧性
154,7,100010,3,2,215507001,2000,60,韧性
155,7,100010,4,3,215507001,2500,80,韧性
156,7,100010,5,3,215507001,3000,100,韧性
157,7,100010,6,4,215507001,3500,120,韧性
158,7,100010,7,4,215507001,4000,140,韧性
159,7,100010,8,5,215507001,4500,160,韧性
160,7,100010,9,5,215507001,5000,180,韧性
161,7,100010,10,6,215507001,5500,200,韧性
162,7,100010,11,6,215507001,6000,220,韧性
163,7,100010,12,7,215507001,6500,240,韧性
164,7,100010,13,7,215507001,7000,260,韧性
165,7,100010,14,8,215507001,7500,280,韧性
166,7,100010,15,8,215507001,8000,300,韧性
167,7,100010,16,9,215507001,8500,320,韧性
168,7,100010,17,9,215507001,9000,340,韧性
169,7,100010,18,10,215507001,9500,360,韧性
170,7,100010,19,10,215507001,10000,380,韧性
171,7,100010,20,11,215507001,10500,400,韧性
172,7,100010,21,11,215507001,11000,420,韧性
173,7,100010,22,12,215507001,11500,440,韧性
174,7,100010,23,12,215507001,12000,460,韧性
175,7,100010,24,12,215507001,-1,480,韧性
