id,guideid,step,describe,direction,sound
114,131,2,还请主人选中锻造界面中的镶嵌分页,3,-1
115,131,3,不同的宝石能够赋予不同的属性加成,1,-1
116,131,4,点击镶嵌，便能将宝石镶嵌在装备上了,1,-1
117,132,1,无间战场，仙魔混战，主人还请千万小心哦,4,-1
118,132,2,点击副本按钮，进入副本选择界面,4,-1
119,132,3,点击进入副本，赢取各类宝石奖励,3,-1
120,133,1,恭喜主人，终于参透境界突破的奥妙,2,-1
121,133,2,突破后，主人的属性将得到全方位的提升！,4,-1
122,133,3,突破所需的仙气灵气可以通过修炼和仙盟吉星高照获得。,1,-1
123,203,1,恭喜主人获得首充豪华大礼！,4,-1
124,203,2,刚得到的极品武器和仙羽已经送达您的背包了！,3,-1
125,203,3,快点打开背包看看吧！,3,-1
126,203,4,只要等级足够，就能装备武器，发挥极品橙装的强大威力！,2,-1
127,203,5,看完了新得到的武器，也别忘了一并入手的羽翼法宝哦。,2,-1
128,203,6,快些点击使用，感受背生双翼，羽化登仙的极致快感吧！,3,-1
129,204,1,恭喜主人成功斩除翼蛇，达成新的成就！,3,-1
130,204,2,开启成就界面，一睹您走过的辉煌历程吧！,3,-1
131,204,3,点击领取，就能从已达成的成就处获取多样奖励哦！,4,-1
132,205,1,看来主人又开启了一处神秘之地呢！,4,-1
133,205,2,合六道于一塔，通关即可获得神通养成材料哦~,4,-1
134,205,3,点击挑战，开启征服这高塔的第一步吧！,3,-1
135,206,1,刚才的感觉！主人似乎获得了新的力量！,2,-1
136,206,2,惊人的气息正从这里涌出，快打开看看吧！,4,-1
137,206,3,就是这个！恭喜主人习得强悍的神通之法！,2,-1
138,206,4,点击升级能够使神通的力量更加强大！,3,-1
139,208,1,恭喜主人集齐全套绿装，解锁新的成就！,3,-1
140,208,2,点这里领取成就奖励哦！,4,-1
141,300,1,完成每日任务可以积累道蕴值。,4,-1
142,300,2,使用道蕴值升阶道铠，提升属性的同时还能领取升阶奖励哦。,1,-1
143,301,1,恭喜主人解锁新的副本玩法！,4,-1
144,301,2,打开副本界面，就能找到新解锁的莲花幻界了。,4,-1
145,301,3,副本中可获得许多足迹的养成材料，记得每天都来挑战哦~,3,-1
146,302,1,点击外观,3,-1
147,302,2,点击足迹,1,-1
148,302,3,莲花幻界中获得的厚土之息可用来培育足迹。,3,-1
149,302,4,点击佩戴就能获得酷炫的足迹效果哦！,3,-1
150,303,1,点击大夏藏宝图,2,-1
151,303,2,点击使用，就能前往宝藏埋藏的地点挖宝咯。,3,-1
152,304,1,新解锁的四象灵域似乎内含奇妙的阵法。,4,-1
153,304,2,就让我们进入副本中见识一下吧！,4,-1
154,304,3,四象灵域副本可以组队进入哦。,1,-1
155,304,4,创建队伍后，就能选择开始副本了。,3,-1
156,304,5,副本中存在克制特定怪物的道具，主人可别忘了拿哟。,3,-1
157,305,1,恭喜主人获得上古神兵！,2,-1
158,305,2,神兵的力量虽被封印，但并非没有解封的办法。,3,-1
159,305,3,使用四象灵域中获得的纹石就能解封神兵的力量！,3,-1
160,307,1,套装系统可说是主人的第二套装备。,3,-1
161,307,2,点击想要打造的套装。,2,-1
162,307,3,完成打造，主人就能永久获得套装的属性哦。,1,-1
163,308,1,不好啦！域外星门开启，无数邪魔涌入三界！,4,-1
164,308,2,为了三界的和平，还请主人速速出发，守护星门！,4,-1
165,308,3,马上点击挑战，阻挡敌人的进攻吧！,1,-1
166,309,1,自域外星门获得的符文拥有各种神秘力量。,3,-1
167,309,2,符文只有在镶嵌后才能真正发挥力量。,1,-1
168,309,3,点击符文，完成镶嵌吧。,4,-1
169,309,4,品质越好，等级越高的符文就越强大。,3,-1
170,309,5,分解符文获得的素材可用来提升符文等级。,2,-1
171,309,6,使用一键分解功能，可将不需要的符文全部分解。,3,-1
172,309,7,若想打造出更强的符文，可别忘记多多挑战域外星门哦。,4,-1
173,310,1,恭喜主人明悟大道，掌控领域之力！,3,-1
174,310,2,触发领域技能后，领域内的敌人将受到技能效果的压制。,3,-1
175,310,3,激活领域便能获得永久属性加成！,3,-1
176,310,4,提升领域至5级，即可解锁威力强大的领域技能。,3,-1
177,311,1,听说妖魔冰谷重现天日，主人也去瞧瞧如何？,4,-1
178,311,2,冰谷的入口就在副本界面中。,4,-1
179,311,3,妖魔冰谷副本可以组队进入哦。,1,-1
180,311,4,创建队伍后，就能选择开始副本了。,3,-1
181,311,5,开启副本，铲除自上古冰封至今的妖魔吧！,3,-1
182,312,1,主人主人，华丽的仙器解锁了哦！,3,-1
183,312,2,快来看看吧~,1,-1
184,312,3,妖魔冰谷中产出的神晶可以用来培养仙器。,3,-1
185,314,1,巫江仙府中获得的法宝碎片可以用来激活法宝。,2,-1
186,314,2,法宝可为主人提供大量额外属性。,3,-1
187,314,3,集齐全部碎片才能激活法宝哦。,1,-1
