id,type,level,max,property,percent
142,1,22,1300,0,3500
143,1,23,1370,2,5800
144,1,23,1370,0,4200
145,1,24,1440,2,5300
146,1,24,1440,0,4700
147,1,25,1520,2,4900
148,1,25,1520,0,5100
149,1,26,1600,2,4600
150,1,26,1600,0,5400
151,1,27,1680,2,4300
152,1,27,1680,0,5700
153,1,28,1760,2,4000
154,1,28,1760,0,6000
155,1,29,1840,2,3700
156,1,29,1840,0,6300
157,1,30,1920,2,3400
158,1,30,1920,0,6600
159,1,31,2000,2,3100
160,1,31,2000,0,6900
161,1,32,2080,2,2800
162,1,32,2080,0,7200
163,2,1,50,10,10000
164,2,2,100,10,8000
165,2,2,100,8,2000
166,2,3,150,10,6000
167,2,3,150,8,4000
168,2,4,200,10,4000
169,2,4,200,8,4000
170,2,4,200,6,2000
171,2,5,250,10,2000
172,2,5,250,8,5000
173,2,5,250,6,3000
174,2,6,300,8,6000
175,2,6,300,6,4000
176,2,7,350,8,4500
177,2,7,350,6,4500
178,2,7,350,4,1000
179,2,8,400,8,3000
180,2,8,400,6,5000
181,2,8,400,4,2000
182,2,9,460,8,2000
183,2,9,460,6,5000
184,2,9,460,4,2000
185,2,9,460,2,1000
186,2,10,520,8,1000
187,2,10,520,6,4000
188,2,10,520,4,3000
189,2,10,520,2,2000
190,2,11,580,6,4000
191,2,11,580,4,4000
192,2,11,580,2,2000
193,2,12,640,6,3000
194,2,12,640,4,4500
195,2,12,640,2,2500
196,2,13,700,6,2000
197,2,13,700,4,5000
198,2,13,700,2,3000
199,2,14,760,6,1000
200,2,14,760,4,5500
201,2,14,760,2,3500
202,2,15,820,4,6200
203,2,15,820,2,3800
204,2,16,880,4,5500
205,2,16,880,2,4000
206,2,16,880,0,500
207,2,17,950,4,4500
208,2,17,950,2,4500
209,2,17,950,0,1000
210,2,18,1020,4,3500
211,2,18,1020,2,5000
212,2,18,1020,0,1500
213,2,19,1090,4,2500
214,2,19,1090,2,5500
215,2,19,1090,0,2000
216,2,20,1160,4,1500
217,2,20,1160,2,6000
218,2,20,1160,0,2500
219,2,21,1230,4,500
220,2,21,1230,2,6500
221,2,21,1230,0,3000
222,2,22,1300,2,6500
223,2,22,1300,0,3500
224,2,23,1370,2,5800
225,2,23,1370,0,4200
226,2,24,1440,2,5300
227,2,24,1440,0,4700
228,2,25,1520,2,4900
229,2,25,1520,0,5100
230,2,26,1600,2,4600
231,2,26,1600,0,5400
232,2,27,1680,2,4300
233,2,27,1680,0,5700
234,2,28,1760,2,4000
235,2,28,1760,0,6000
236,2,29,1840,2,3700
237,2,29,1840,0,6300
238,2,30,1920,2,3400
239,2,30,1920,0,6600
240,2,31,2000,2,3100
241,2,31,2000,0,6900
242,2,32,2080,2,2800
243,2,32,2080,0,7200
