id,strengthlv,part,atk,def,hp,fire,ice,poison,dark,wind,resistance,atk_percent
183,23,6,0,0,46200,0,0,0,0,0,0,0
184,24,6,0,0,50000,0,0,0,0,0,0,0
185,25,6,0,0,53950,0,0,0,0,0,0,0
186,26,6,0,0,58050,0,0,0,0,0,0,0
187,27,6,0,0,62300,0,0,0,0,0,0,0
188,28,6,0,0,66700,0,0,0,0,0,0,0
189,29,6,0,0,71250,0,0,0,0,0,0,0
190,30,6,0,0,75950,0,0,0,0,0,0,0
191,31,6,0,0,80800,0,0,0,0,0,0,0
192,32,6,0,0,85800,0,0,0,0,0,0,0
193,1,7,0,10,0,0,0,0,0,0,0,0
194,2,7,0,23,0,0,0,0,0,0,0,0
195,3,7,0,40,0,0,0,0,0,0,0,0
196,4,7,0,60,0,0,0,0,0,0,0,0
197,5,7,0,83,0,0,0,0,0,0,0,0
198,6,7,0,109,0,0,0,0,0,0,0,0
199,7,7,0,139,0,0,0,0,0,0,0,0
200,8,7,0,173,0,0,0,0,0,0,0,0
201,9,7,0,210,0,0,0,0,0,0,0,0
202,10,7,0,251,0,0,0,0,0,0,0,0
203,11,7,0,295,0,0,0,0,0,0,0,0
204,12,7,0,343,0,0,0,0,0,0,0,0
205,13,7,0,395,0,0,0,0,0,0,0,0
206,14,7,0,450,0,0,0,0,0,0,0,0
207,15,7,0,509,0,0,0,0,0,0,0,0
208,16,7,0,571,0,0,0,0,0,0,0,0
209,17,7,0,637,0,0,0,0,0,0,0,0
210,18,7,0,707,0,0,0,0,0,0,0,0
211,19,7,0,780,0,0,0,0,0,0,0,0
212,20,7,0,857,0,0,0,0,0,0,0,0
213,21,7,0,937,0,0,0,0,0,0,0,0
214,22,7,0,1021,0,0,0,0,0,0,0,0
215,23,7,0,1109,0,0,0,0,0,0,0,0
216,24,7,0,1200,0,0,0,0,0,0,0,0
217,25,7,0,1295,0,0,0,0,0,0,0,0
218,26,7,0,1393,0,0,0,0,0,0,0,0
219,27,7,0,1495,0,0,0,0,0,0,0,0
220,28,7,0,1601,0,0,0,0,0,0,0,0
221,29,7,0,1710,0,0,0,0,0,0,0,0
222,30,7,0,1823,0,0,0,0,0,0,0,0
223,31,7,0,1939,0,0,0,0,0,0,0,0
224,32,7,0,2059,0,0,0,0,0,0,0,0
225,1,8,11,0,0,0,0,0,0,0,0,0
226,2,8,26,0,0,0,0,0,0,0,0,0
227,3,8,46,0,0,0,0,0,0,0,0,0
228,4,8,70,0,0,0,0,0,0,0,0,0
229,5,8,96,0,0,0,0,0,0,0,0,0
230,6,8,127,0,0,0,0,0,0,0,0,0
231,7,8,162,0,0,0,0,0,0,0,0,0
232,8,8,201,0,0,0,0,0,0,0,0,0
233,9,8,245,0,0,0,0,0,0,0,0,0
234,10,8,292,0,0,0,0,0,0,0,0,0
235,11,8,344,0,0,0,0,0,0,0,0,0
236,12,8,400,0,0,0,0,0,0,0,0,0
237,13,8,460,0,0,0,0,0,0,0,0,0
238,14,8,525,0,0,0,0,0,0,0,0,0
239,15,8,593,0,0,0,0,0,0,0,0,0
240,16,8,666,0,0,0,0,0,0,0,0,0
241,17,8,743,0,0,0,0,0,0,0,0,0
242,18,8,824,0,0,0,0,0,0,0,0,0
243,19,8,910,0,0,0,0,0,0,0,0,0
244,20,8,999,0,0,0,0,0,0,0,0,0
245,21,8,1093,0,0,0,0,0,0,0,0,0
246,22,8,1191,0,0,0,0,0,0,0,0,0
247,23,8,1293,0,0,0,0,0,0,0,0,0
248,24,8,1400,0,0,0,0,0,0,0,0,0
249,25,8,1510,0,0,0,0,0,0,0,0,0
250,26,8,1625,0,0,0,0,0,0,0,0,0
251,27,8,1744,0,0,0,0,0,0,0,0,0
252,28,8,1867,0,0,0,0,0,0,0,0,0
253,29,8,1995,0,0,0,0,0,0,0,0,0
254,30,8,2126,0,0,0,0,0,0,0,0,0
255,31,8,2262,0,0,0,0,0,0,0,0,0
256,32,8,2402,0,0,0,0,0,0,0,0,0
257,1,9,10,0,0,0,0,0,0,0,0,0
258,2,9,23,0,0,0,0,0,0,0,0,0
259,3,9,40,0,0,0,0,0,0,0,0,0
260,4,9,60,0,0,0,0,0,0,0,0,0
261,5,9,83,0,0,0,0,0,0,0,0,0
262,6,9,109,0,0,0,0,0,0,0,0,0
263,7,9,139,0,0,0,0,0,0,0,0,0
264,8,9,173,0,0,0,0,0,0,0,0,0
265,9,9,210,0,0,0,0,0,0,0,0,0
266,10,9,251,0,0,0,0,0,0,0,0,0
267,11,9,295,0,0,0,0,0,0,0,0,0
268,12,9,343,0,0,0,0,0,0,0,0,0
269,13,9,395,0,0,0,0,0,0,0,0,0
270,14,9,450,0,0,0,0,0,0,0,0,0
271,15,9,509,0,0,0,0,0,0,0,0,0
272,16,9,571,0,0,0,0,0,0,0,0,0
273,17,9,637,0,0,0,0,0,0,0,0,0
274,18,9,707,0,0,0,0,0,0,0,0,0
275,19,9,780,0,0,0,0,0,0,0,0,0
276,20,9,857,0,0,0,0,0,0,0,0,0
277,21,9,937,0,0,0,0,0,0,0,0,0
278,22,9,1021,0,0,0,0,0,0,0,0,0
279,23,9,1109,0,0,0,0,0,0,0,0,0
280,24,9,1200,0,0,0,0,0,0,0,0,0
281,25,9,1295,0,0,0,0,0,0,0,0,0
282,26,9,1393,0,0,0,0,0,0,0,0,0
283,27,9,1495,0,0,0,0,0,0,0,0,0
284,28,9,1601,0,0,0,0,0,0,0,0,0
285,29,9,1710,0,0,0,0,0,0,0,0,0
286,30,9,1823,0,0,0,0,0,0,0,0,0
287,31,9,1939,0,0,0,0,0,0,0,0,0
288,32,9,2059,0,0,0,0,0,0,0,0,0
289,1,10,10,0,0,0,0,0,0,0,0,0
290,2,10,23,0,0,0,0,0,0,0,0,0
291,3,10,40,0,0,0,0,0,0,0,0,0
292,4,10,60,0,0,0,0,0,0,0,0,0
293,5,10,83,0,0,0,0,0,0,0,0,0
294,6,10,109,0,0,0,0,0,0,0,0,0
295,7,10,139,0,0,0,0,0,0,0,0,0
296,8,10,173,0,0,0,0,0,0,0,0,0
297,9,10,210,0,0,0,0,0,0,0,0,0
298,10,10,251,0,0,0,0,0,0,0,0,0
299,11,10,295,0,0,0,0,0,0,0,0,0
300,12,10,343,0,0,0,0,0,0,0,0,0
301,13,10,395,0,0,0,0,0,0,0,0,0
302,14,10,450,0,0,0,0,0,0,0,0,0
303,15,10,509,0,0,0,0,0,0,0,0,0
304,16,10,571,0,0,0,0,0,0,0,0,0
305,17,10,637,0,0,0,0,0,0,0,0,0
306,18,10,707,0,0,0,0,0,0,0,0,0
307,19,10,780,0,0,0,0,0,0,0,0,0
308,20,10,857,0,0,0,0,0,0,0,0,0
309,21,10,937,0,0,0,0,0,0,0,0,0
310,22,10,1021,0,0,0,0,0,0,0,0,0
311,23,10,1109,0,0,0,0,0,0,0,0,0
312,24,10,1200,0,0,0,0,0,0,0,0,0
313,25,10,1295,0,0,0,0,0,0,0,0,0
314,26,10,1393,0,0,0,0,0,0,0,0,0
315,27,10,1495,0,0,0,0,0,0,0,0,0
316,28,10,1601,0,0,0,0,0,0,0,0,0
317,29,10,1710,0,0,0,0,0,0,0,0,0
318,30,10,1823,0,0,0,0,0,0,0,0,0
319,31,10,1939,0,0,0,0,0,0,0,0,0
320,32,10,2059,0,0,0,0,0,0,0,0,0
321,1,11,25,0,0,0,0,0,0,0,0,0
322,2,11,57,0,0,0,0,0,0,0,0,0
323,3,11,100,0,0,0,0,0,0,0,0,0
324,4,11,150,0,0,0,0,0,0,0,0,0
325,5,11,207,0,0,0,0,0,0,0,0,0
326,6,11,272,0,0,0,0,0,0,0,0,0
327,7,11,347,0,0,0,0,0,0,0,0,0
328,8,11,432,0,0,0,0,0,0,0,0,0
329,9,11,525,0,0,0,0,0,0,0,0,0
330,10,11,627,0,0,0,0,0,0,0,0,0
331,11,11,737,0,0,0,0,0,0,0,0,0
332,12,11,857,0,0,0,0,0,0,0,0,0
333,13,11,987,0,0,0,0,0,0,0,0,0
334,14,11,1125,0,0,0,0,0,0,0,0,0
335,15,11,1272,0,0,0,0,0,0,0,0,0
336,16,11,1427,0,0,0,0,0,0,0,0,0
337,17,11,1592,0,0,0,0,0,0,0,0,0
338,18,11,1767,0,0,0,0,0,0,0,0,0
339,19,11,1950,0,0,0,0,0,0,0,0,0
340,20,11,2142,0,0,0,0,0,0,0,0,0
341,21,11,2342,0,0,0,0,0,0,0,0,0
342,22,11,2552,0,0,0,0,0,0,0,0,0
343,23,11,2772,0,0,0,0,0,0,0,0,0
344,24,11,3000,0,0,0,0,0,0,0,0,0
345,25,11,3237,0,0,0,0,0,0,0,0,0
346,26,11,3482,0,0,0,0,0,0,0,0,0
347,27,11,3737,0,0,0,0,0,0,0,0,0
348,28,11,4002,0,0,0,0,0,0,0,0,0
349,29,11,4275,0,0,0,0,0,0,0,0,0
350,30,11,4557,0,0,0,0,0,0,0,0,0
351,31,11,4847,0,0,0,0,0,0,0,0,0
352,32,11,5147,0,0,0,0,0,0,0,0,0
353,1,12,13,0,0,0,0,0,0,0,0,0
354,2,12,30,0,0,0,0,0,0,0,0,0
355,3,12,53,0,0,0,0,0,0,0,0,0
356,4,12,80,0,0,0,0,0,0,0,0,0
357,5,12,110,0,0,0,0,0,0,0,0,0
358,6,12,145,0,0,0,0,0,0,0,0,0
359,7,12,185,0,0,0,0,0,0,0,0,0
360,8,12,230,0,0,0,0,0,0,0,0,0
361,9,12,280,0,0,0,0,0,0,0,0,0
362,10,12,334,0,0,0,0,0,0,0,0,0
363,11,12,393,0,0,0,0,0,0,0,0,0
364,12,12,457,0,0,0,0,0,0,0,0,0
365,13,12,526,0,0,0,0,0,0,0,0,0
366,14,12,600,0,0,0,0,0,0,0,0,0
367,15,12,678,0,0,0,0,0,0,0,0,0
368,16,12,761,0,0,0,0,0,0,0,0,0
369,17,12,849,0,0,0,0,0,0,0,0,0
370,18,12,942,0,0,0,0,0,0,0,0,0
371,19,12,1040,0,0,0,0,0,0,0,0,0
372,20,12,1142,0,0,0,0,0,0,0,0,0
373,21,12,1249,0,0,0,0,0,0,0,0,0
374,22,12,1361,0,0,0,0,0,0,0,0,0
375,23,12,1478,0,0,0,0,0,0,0,0,0
376,24,12,1600,0,0,0,0,0,0,0,0,0
377,25,12,1726,0,0,0,0,0,0,0,0,0
378,26,12,1857,0,0,0,0,0,0,0,0,0
379,27,12,1993,0,0,0,0,0,0,0,0,0
380,28,12,2134,0,0,0,0,0,0,0,0,0
381,29,12,2280,0,0,0,0,0,0,0,0,0
382,30,12,2430,0,0,0,0,0,0,0,0,0
383,31,12,2585,0,0,0,0,0,0,0,0,0
384,32,12,2745,0,0,0,0,0,0,0,0,0
385,1,13,0,0,0,0,100,0,0,0,60,0
386,2,13,0,0,0,0,200,0,0,0,120,0
387,3,13,0,0,0,0,300,0,0,0,180,0
388,4,13,0,0,0,0,400,0,0,0,240,0
389,5,13,0,0,0,0,500,0,0,0,300,0
390,6,13,0,0,0,0,600,0,0,0,360,0
391,7,13,0,0,0,0,700,0,0,0,420,0
392,8,13,0,0,0,0,800,0,0,0,480,0
393,9,13,0,0,0,0,900,0,0,0,540,0
394,10,13,0,0,0,0,1000,0,0,0,600,0
395,11,13,0,0,0,0,1100,0,0,0,660,0
396,12,13,0,0,0,0,1200,0,0,0,720,0
397,13,13,0,0,0,0,1300,0,0,0,780,0
398,14,13,0,0,0,0,1400,0,0,0,840,0
399,15,13,0,0,0,0,1500,0,0,0,900,0
400,16,13,0,0,0,0,1600,0,0,0,960,0
401,17,13,0,0,0,0,1700,0,0,0,1020,0
402,18,13,0,0,0,0,1800,0,0,0,1080,0
403,19,13,0,0,0,0,1900,0,0,0,1140,0
404,20,13,0,0,0,0,2000,0,0,0,1200,0
405,21,13,0,0,0,0,2100,0,0,0,1260,0
406,22,13,0,0,0,0,2200,0,0,0,1320,0
407,23,13,0,0,0,0,2300,0,0,0,1380,0
408,24,13,0,0,0,0,2400,0,0,0,1440,0
409,25,13,0,0,0,0,2500,0,0,0,1500,0
410,26,13,0,0,0,0,2600,0,0,0,1560,0
411,27,13,0,0,0,0,2700,0,0,0,1620,0
412,28,13,0,0,0,0,2800,0,0,0,1680,0
413,29,13,0,0,0,0,2900,0,0,0,1740,0
414,30,13,0,0,0,0,3000,0,0,0,1800,0
415,31,13,0,0,0,0,3100,0,0,0,1860,0
416,32,13,0,0,0,0,3200,0,0,0,1920,0
417,33,13,0,0,0,0,3300,0,0,0,1980,0
418,34,13,0,0,0,0,3400,0,0,0,2040,0
419,35,13,0,0,0,0,3500,0,0,0,2100,0
420,36,13,0,0,0,0,3600,0,0,0,2160,0
421,37,13,0,0,0,0,3700,0,0,0,2220,0
422,38,13,0,0,0,0,3800,0,0,0,2280,0
423,39,13,0,0,0,0,3900,0,0,0,2340,0
424,40,13,0,0,0,0,4000,0,0,0,2400,0
425,1,14,0,0,0,0,0,0,100,100,0,0
426,2,14,0,0,0,0,0,0,200,200,0,0
427,3,14,0,0,0,0,0,0,300,300,0,0
428,4,14,0,0,0,0,0,0,400,400,0,0
429,5,14,0,0,0,0,0,0,500,500,0,0
430,6,14,0,0,0,0,0,0,600,600,0,0
431,7,14,0,0,0,0,0,0,700,700,0,0
432,8,14,0,0,0,0,0,0,800,800,0,0
433,9,14,0,0,0,0,0,0,900,900,0,0
434,10,14,0,0,0,0,0,0,1000,1000,0,0
435,11,14,0,0,0,0,0,0,1100,1100,0,0
436,12,14,0,0,0,0,0,0,1200,1200,0,0
437,13,14,0,0,0,0,0,0,1300,1300,0,0
438,14,14,0,0,0,0,0,0,1400,1400,0,0
439,15,14,0,0,0,0,0,0,1500,1500,0,0
440,16,14,0,0,0,0,0,0,1600,1600,0,0
441,17,14,0,0,0,0,0,0,1700,1700,0,0
442,18,14,0,0,0,0,0,0,1800,1800,0,0
443,19,14,0,0,0,0,0,0,1900,1900,0,0
444,20,14,0,0,0,0,0,0,2000,2000,0,0
445,21,14,0,0,0,0,0,0,2100,2100,0,0
446,22,14,0,0,0,0,0,0,2200,2200,0,0
447,23,14,0,0,0,0,0,0,2300,2300,0,0
448,24,14,0,0,0,0,0,0,2400,2400,0,0
449,25,14,0,0,0,0,0,0,2500,2500,0,0
450,26,14,0,0,0,0,0,0,2600,2600,0,0
451,27,14,0,0,0,0,0,0,2700,2700,0,0
452,28,14,0,0,0,0,0,0,2800,2800,0,0
453,29,14,0,0,0,0,0,0,2900,2900,0,0
454,30,14,0,0,0,0,0,0,3000,3000,0,0
455,31,14,0,0,0,0,0,0,3100,3100,0,0
456,32,14,0,0,0,0,0,0,3200,3200,0,0
457,33,14,0,0,0,0,0,0,3300,3300,0,0
458,34,14,0,0,0,0,0,0,3400,3400,0,0
459,35,14,0,0,0,0,0,0,3500,3500,0,0
460,36,14,0,0,0,0,0,0,3600,3600,0,0
461,37,14,0,0,0,0,0,0,3700,3700,0,0
462,38,14,0,0,0,0,0,0,3800,3800,0,0
463,39,14,0,0,0,0,0,0,3900,3900,0,0
464,40,14,0,0,0,0,0,0,4000,4000,0,0
465,1,15,50,0,0,0,0,0,0,0,0,20
466,2,15,100,0,0,0,0,0,0,0,0,40
467,3,15,150,0,0,0,0,0,0,0,0,60
468,4,15,200,0,0,0,0,0,0,0,0,80
469,5,15,250,0,0,0,0,0,0,0,0,100
470,6,15,300,0,0,0,0,0,0,0,0,120
471,7,15,350,0,0,0,0,0,0,0,0,140
472,8,15,400,0,0,0,0,0,0,0,0,160
473,9,15,450,0,0,0,0,0,0,0,0,180
474,10,15,500,0,0,0,0,0,0,0,0,200
475,11,15,550,0,0,0,0,0,0,0,0,220
476,12,15,600,0,0,0,0,0,0,0,0,240
477,13,15,650,0,0,0,0,0,0,0,0,260
478,14,15,700,0,0,0,0,0,0,0,0,280
479,15,15,750,0,0,0,0,0,0,0,0,300
480,16,15,800,0,0,0,0,0,0,0,0,320
481,17,15,850,0,0,0,0,0,0,0,0,340
482,18,15,900,0,0,0,0,0,0,0,0,360
483,19,15,950,0,0,0,0,0,0,0,0,380
484,20,15,1000,0,0,0,0,0,0,0,0,400
485,21,15,1050,0,0,0,0,0,0,0,0,420
486,22,15,1100,0,0,0,0,0,0,0,0,440
487,23,15,1150,0,0,0,0,0,0,0,0,460
488,24,15,1200,0,0,0,0,0,0,0,0,480
489,25,15,1250,0,0,0,0,0,0,0,0,500
490,26,15,1300,0,0,0,0,0,0,0,0,520
491,27,15,1350,0,0,0,0,0,0,0,0,540
492,28,15,1400,0,0,0,0,0,0,0,0,560
493,29,15,1450,0,0,0,0,0,0,0,0,580
494,30,15,1500,0,0,0,0,0,0,0,0,600
495,31,15,1550,0,0,0,0,0,0,0,0,620
496,32,15,1600,0,0,0,0,0,0,0,0,640
497,33,15,1650,0,0,0,0,0,0,0,0,660
498,34,15,1700,0,0,0,0,0,0,0,0,680
499,35,15,1750,0,0,0,0,0,0,0,0,700
500,36,15,1800,0,0,0,0,0,0,0,0,720
501,37,15,1850,0,0,0,0,0,0,0,0,740
502,38,15,1900,0,0,0,0,0,0,0,0,760
503,39,15,1950,0,0,0,0,0,0,0,0,780
504,40,15,2000,0,0,0,0,0,0,0,0,800
505,1,16,0,0,0,100,0,100,0,0,0,0
506,2,16,0,0,0,200,0,200,0,0,0,0
507,3,16,0,0,0,300,0,300,0,0,0,0
508,4,16,0,0,0,400,0,400,0,0,0,0
509,5,16,0,0,0,500,0,500,0,0,0,0
510,6,16,0,0,0,600,0,600,0,0,0,0
511,7,16,0,0,0,700,0,700,0,0,0,0
512,8,16,0,0,0,800,0,800,0,0,0,0
513,9,16,0,0,0,900,0,900,0,0,0,0
514,10,16,0,0,0,1000,0,1000,0,0,0,0
515,11,16,0,0,0,1100,0,1100,0,0,0,0
516,12,16,0,0,0,1200,0,1200,0,0,0,0
517,13,16,0,0,0,1300,0,1300,0,0,0,0
518,14,16,0,0,0,1400,0,1400,0,0,0,0
519,15,16,0,0,0,1500,0,1500,0,0,0,0
520,16,16,0,0,0,1600,0,1600,0,0,0,0
