id,taskid,state,npcid,talk,rank
59,100000017,2,-1,多谢相助，这次多亏北山氏出手，我纪氏才可逃过一劫。,1
60,100000017,2,9010007,不必多礼，纪氏虽小却有你们这样的铁骨铮铮，我北山百微很是欣赏。,2
61,100000018,0,9010002,此次矿脉之劫虽然已经渡过。但父亲为催发护族大阵使用禁术，如今已是……,1
62,100000018,2,9010003,我早有暗伤在身……为守护纪氏，耗尽这少许生命，我不后悔。,1
63,100000019,0,9010003,这羽翼法宝是你尉迟伯母留下的，希望能在今后的修行之路上给予你一些帮助。,1
64,100000019,0,9010003,不必过于悲伤，去吧，叫宁儿进来，我想再与他多说些话……,2
65,100000019,2,9010002,父亲与我说了，母亲去世的真相，还有父亲暗伤的来源，一切都因那雪龙山的冬七！,1
66,100000019,2,-1,雪龙山冬七……竟是这样！不过我们如今的力量还是太弱，报仇之事还需从长计议。,2
67,100000019,2,9010002,我明白，既然纪氏再度安定，我们可一起去那安澶城拜师学艺，开始新的修行。,3
68,100000020,0,9020001,哈哈哈，二位总算来了。这段时间可让我好等啊！,1
69,100000020,2,9020001,既已来到这安澶城，我自然要尽地主之谊，为二位接风洗尘。,1
70,100000021,0,9020001,二位且随我来，我们待会儿要去的无忧洞可算最顶级的享受之地……唔，他怎么来了？,1
71,100000021,0,-1,看见此人，北山兄似乎很是不悦，不知……,2
72,100000021,0,9020001,此人名叫北山狐，平日处处与我作对。今日他派人拦在此处，定是有意损我的面子。,3
73,100000021,0,-1,北山兄应该也知道我的本事，今日不妨就由我代你出手，将这些家伙的头缨取来！,4
74,100000021,2,9020001,哈哈哈，你们的实力当真厉害。北山狐青紫色的面孔可真是让我大饱眼福啊。,1
75,100000021,2,-1,说起来，我二人来到安澶城实是为了拜师学艺，不知有哪些门派适合我二人拜入。,2
76,100000021,2,9020001,安澶郡的第一宗门非黑白学宫莫属，学宫近日便要收徒，二位大可前往一试。,3
77,100000022,0,9020002,你们也是来参加入学试炼的？听好了，想参加入学试炼，先得给我拿壶酒来。,1
78,100000022,0,-1,此人莫非就是入学试炼的考官？好个奇怪的家伙。,2
79,100000022,2,9020002,痛快痛快，念在你们带来的酒水味道还不错，就同意你们参加这入学试炼吧。,1
80,100000023,0,9020002,好了，去吧，与我宗门的弟子一战，看看你们与我黑白学宫究竟有没有缘分。,1
81,100000023,2,9020002,既已得胜，你们现在便是黑白学宫的弟子了。,1
82,100000024,0,9020002,学宫以黑白磨盘图闻名于世，这一副简略版的黑白图就当是师兄给你的见面礼了！,1
83,100000024,2,9020003,我乃东延氏族人，道号“九莲”，与你们见过的邋遢师兄同为五疯仙人的弟子。,1
84,100000024,2,-1,见过师姐！（竟是仙人弟子，学宫之内果然藏龙卧虎。）,2
85,100000024,2,9020003,呵呵，无需多礼。不知之后的拜师大典中，你们会被哪位前辈收作弟子。,3
86,100000025,0,9020004,恭喜通过考验，我叫木子朔，是这次与你们一同新拜入学宫的弟子。,1
87,100000025,0,-1,同喜同喜，想不到除了我与师兄之外，还有如你这般的少年天骄。,2
88,100000025,0,9020004,小弟我擅长傀儡一道，方才在学宫内页看到一些试炼用傀儡。不如一起去挑战看看？,3
89,100000025,2,9020004,果然厉害，不愧是炼体炼气兼修的全才，比我这专精傀儡的修士确实高上不少。,1
90,100000025,2,-1,各有所长而已，你这一手精巧的傀儡之术才真是玄妙无比。,2
91,100000026,0,9020004,拜师大典在即，希望我们都能被仙人收作弟子。,1
92,100000026,2,9020005,总算是进入了黑白学宫，通过方才的一番打探，的确是妖孽众多。,1
93,100000026,2,-1,而你我二人，如今也算是这些妖孽中的一员了。,2
94,100000026,2,9020005,好了，拜师大典时间已到，我们便一起去掌教大殿吧。,3
95,100000027,0,9020006,纪宁，你可愿为我门下大弟子？,1
96,100000027,0,9020005,弟子愿意！弟子纪宁，拜见师傅。,2
97,100000027,0,-1,师兄竟被殿才仙人收为弟子……殿才仙人擅长剑术，倒也是适合他。不知我……,3
98,100000027,0,9020006,嗯？你倒也有几分天赋。想来我殿才之前从未收徒，今日不妨便连收二位弟子！,4
99,100000027,2,9020001,恭喜二位拜入学宫，听闻学宫素来有通过论战挫败新人的惯例，二位可不能大意啊。,1
100,100000027,2,-1,还有这种事，那我可得去瞧瞧才行。,2
101,100000028,0,9020007,想不到在木子朔大败而归后，还有新弟子敢来参加这论道殿的比试。,1
102,100000028,0,-1,若是因畏惧失败便止步不前，将来又如何胜过各位前辈。,2
103,100000028,0,9020007,道心倒是坚韧，那便看看你能在这论道殿中夺得多少黑白丹。,3
104,100000028,2,-1,果然厉害，不愧是身为转世仙人的火虹仙子……就连纪宁兄也败在了你的手下。,1
105,100000028,2,9020007,若是你们再多修行几年，恐怕就胜负难料了。,2
106,100000029,0,9020004,厉害，厉害啊！二位这次在论道之战大显身手，看谁再敢看轻我们这些新弟子。,1
107,100000029,2,9020004,多亏二位帮我赢回了作为赌注的黑白丹，这样我就……唉？我的黑白丹瓶呢！,1
108,100000030,0,9020004,惭愧，小弟竟如此疏忽，连宝贵的黑白丹也会弄丢。,1
109,100000030,0,-1,咳咳，应该还在黑白学宫内，我帮你一同找找吧。,2
110,100000030,2,9020004,就是这个！这正是我的瓶子，上面还有我的道号“双木”呢。,1
111,100000030,2,-1,以后可要小心别弄丢了……唉，你在塞给我什么？,2
112,100000030,2,9020004,这是我新近制作的傀儡坐骑，你帮了我这么大的忙，我可不能一点表示都没有。,3
113,100000031,0,-1,学宫内的各类功法虽好，可兑换所需的黑白丹消耗也太剧烈了。,1
114,100000031,0,9020003,这事嘛，你若是肯多告诉我一些关于北冥师弟的事情……我说不定就会告诉你哦。,2
115,100000031,2,-1,……以上便是我们从燕山纪氏一路走来的经历了。师姐，你该不会对纪宁兄……,1
116,100000031,2,9020003,咳咳，你不是想要黑白丹么，只要成为应龙卫就能从学宫处获得大量黑白丹奖励哦。,2
117,100000032,0,9020006,参加应龙卫的试炼虽并无不可，但为师可得试试如今的你，是否有出山的本事。,1
118,100000032,2,9020006,动作干净利落，看来这种程度的考验的确难不住你。,1
119,100000033,0,9020006,虽与北冥的剑道不同，但你也有你自己的路。很好，为师就同意你外出闯荡吧！,1
120,100000033,0,-1,多谢师傅！,2
121,100000033,0,9020006,在外闯荡，凡事谨慎而行，但也需有果断之心。应龙试炼一事你可与北冥，木子朔二人商议。,3
122,100000033,2,-1,双木师弟近来实力又有精进看，不知对那应龙卫的试炼可有兴趣？,1
123,100000034,0,9020004,应龙卫试炼？要去要去，我当然要去！成为了应龙卫，可就有大夏王朝做靠山了呢。,1
124,100000034,0,-1,哈哈，你有兴趣就好。待一切准备妥当，我便通知你一起出发。,2
125,100000034,2,9020005,加入应龙卫么？我也正有此意，想不到你倒是先提了出来。,1
126,100000034,2,-1,你既然没有异议，我们便即刻前往应龙卫分部所在，踏入狱山荒泽的传送阵。,2
127,100000034,2,9020005,以往试炼虽需前往狱山，可如今赤龙山脉上的传送阵损坏，试炼也只能就地解决。,3
128,100000035,0,-1,成功通过，这应龙试炼还真是出人意料的简单。,1
129,100000035,0,9020005,若是如以往要求进入狱山荒泽，事态恐怕就复杂得多了。,2
130,100000035,0,-1,说起来，最近有听闻邪修活动的传言，身为应龙卫，正该缉拿邪修，除暴安良。,3
131,100000035,2,9020005,安澶城附近治安还算良好，这等邪修的实力也是一般。,1
132,100000035,2,-1,任务完成便能返回学宫了。哈哈哈，奖励的黑白丹正等着我呢。,2
133,100000036,0,9020001,听闻黑白学宫的三位新弟子都取得了应龙卫的身份，我北山百微特来祝贺。,1
134,100000036,0,-1,不愧是北山兄，安澶城内的风吹草动，没有能瞒过你的。,2
135,100000036,2,9020001,这次找你，不光是为了贺喜。实在是心中有些放不下你那兄长。,1
136,100000036,2,-1,纪宁兄？他怎么了？,2
137,100000037,0,9020001,此事也无需瞒你。前几日，纪宁来我这里委托我调查几人的消息。,1
138,100000037,0,-1,莫非是雪龙山的冬七……,2
139,100000037,0,9020001,看你的样子，这其中果然是有什么内情。总之，万事多加小心吧。,3
140,100000037,2,9020002,如此年轻便成为应龙卫，我黑白学宫的这几位新弟子果然是前途无量。,1
141,100000038,0,9020003,回来了就好。纪宁师弟，快给我说说你们这一路都有什么新奇遭遇。,1
142,100000038,2,9020007,还真是少见的热闹，你们通过应龙卫试炼一事。九莲妹妹似比你们自己还高兴。,1
143,100000039,0,9020004,你我如今都已成了应龙卫，实力也互有增长，不如……,1
144,100000039,0,-1,不如切磋一二，看看我俩的实力？,2
145,100000039,0,9020004,果然懂我，来吧，看看是你的术法厉害，还是我的傀儡更胜一筹！,3
146,100000039,2,9020004,真是人外有人天外有天，相比起我，你和纪宁二人才是真正的妖孽。,1
147,100000040,0,9020004,此次应龙卫试炼后，你与纪宁二人欲作何打算？,1
148,100000040,0,-1,我是打算留在这安澶城继续修习，师兄恐怕是欲返回燕山西府……,2
149,100000040,0,9020004,返乡么，也对，纪宁对道的感悟较你我更为高深，静心修行，并不拘泥地点。,3
150,100000040,2,9020003,木子朔说纪宁正欲离开黑白学宫返乡！此事可是真的？,1
151,100000041,0,9020003,是么，他果真要离去……看来，我也该下决定了。,1
152,100000041,0,-1,师姐，此事……你身为东延氏未来的首领，当真不需请示族内？,2
153,100000041,0,9020003,身为下任首领，我不信我连选取自己道侣的资格都没有。,3
154,100000041,2,-1,听闻师兄已与九莲师姐结为道侣？,1
155,100000041,2,9020005,我与她相伴一年，互生情愫，坎坷修仙路，难得能有一人相伴。,2
156,100000041,2,-1,那我就在此祝福纪宁兄了。,3
157,100000041,2,9020005,此事多亏你从中促成，我有一处名唤水府的试炼之地，就当做给你的谢礼吧。,4
158,100000042,0,9020005,强化后的装备似乎更强悍了些，不妨与学宫内的道友切磋一二，试试身手。,1
159,100000042,2,9020005,果然厉害！看来学艺的这段时间，你也成长了不少啊。,1
160,100000043,0,9020001,北山氏族人中，也有不少向往成为应龙卫者。可否看在我的面上，向他们指点一二。,1
161,100000043,2,9020001,若我北山氏能因此多出几个强者的苗子……一点小东西不成敬意，还请收下。,1
162,100000044,0,9020001,听闻大夏王都即将举行那仙缘大会，不知你们黑白学宫将有几人参加？,1
163,100000044,0,-1,仙缘大会？,2
164,100000044,0,9020001,这盛会由大夏开国大帝定下，无数天才参与争斗，只为获得被真仙收作弟子的机会！,3
165,100000044,2,9020006,原来如此，你听闻了仙缘大会的消息，特地来询问为师的意见？,1
166,100000044,2,-1,一日为师，终身为父，这仙缘大会又是真仙收徒的盛会，弟子担心……,2
167,100000044,2,9020006,为师还没那么小家子气，想去就去吧，你若能被真仙真神收为弟子，自是你的造化。,3
168,100000045,0,9020004,三百年一遇的仙缘大会？这我可不能错过。可别嫌小弟我实力单薄就不叫我一起哦。,1
169,100000045,0,-1,这等趣事，怎能不通知你呢？离大会举办还有一段时间，我们还是尽力提升修为吧。,2
170,100000045,2,9020007,我身为转世仙人，虽尚难忆起前世种种，但这仙缘大会无疑是个一飞冲天的机会。,1
171,100000045,2,-1,师姐实力强劲，定能在比试中夺得好名次。,2
172,100000046,0,9020007,算起来，你、纪宁、我和邋遢师兄。看来我们黑白学宫这次参加仙缘大会的人数还真不少。,1
173,100000046,0,-1,邋遢师兄也要参加？他总是一副漫不经心的模样，我还以为他不会参与这种争夺。,2
174,100000046,2,9020002,参加的缘由？实不相瞒，这次我突然决定参加，实是因为感受到一种冥冥中的召唤。,1
175,100000046,2,-1,这……,2
176,100000046,2,9020002,不信么？可对于我等修行者来说，总有些说不清道不明的事情，玄之又玄啊。,3
177,100000047,0,9020001,你可知晓近日有个少炎氏的公子来到我们安澶郡。,1
178,100000047,0,-1,少炎氏？听说是大夏王都四大家族之一。,2
179,100000047,0,9020001,不错，你们最好小心不要和此人扯上关系。这种大人物难保不会惹出什么麻烦。,3
180,100000047,2,9020008,此地就是安澶城么，听闻此地有一位北冥真人实力出众，我少炎农有一事想请他帮忙。,1
181,100000047,2,-1,这……还请少炎农公子说一说，究竟是什么事情。,2
182,100000047,2,9020008,此事乃是部族对我的一个小小考验，让我去探一座古老的天仙洞府……,3
183,100000048,0,9020008,很好，既然答应了，便随我一同前往那巫江仙府所在的天游山脉吧。,1
184,100000048,0,-1,（纪宁，我们就这样轻率地答应与这少炎农一同进入那仙府，未免……）,2
185,100000048,0,9020005,（天仙洞府本就机遇难寻，再加上少炎氏这种大家族的承诺……应该还是可信的。）,3
186,100000048,0,9020008,嗯，隐匿洞府的入口就在这附近。诸位还请助我扫清守护此处洞府的傀儡！,4
187,100000048,2,9020008,很好，我这就将洞府之门开启，众人随我进入其内！,1
188,100000049,0,9020008,那巫江仙人是一妖仙，这洞府内定有许多妖族被困其中，诸位不可大意。,1
189,100000049,2,9020008,尉迟氏的余孽，你跑不掉的！与我少炎氏为敌，我家老祖定会将你……唔啊！,1
190,100000049,2,-1,纪宁，你竟将这少炎农……这样一来，少炎氏定然会不惜代价地追杀你！,2
191,100000049,2,9020005,我母亲的氏族尉迟，便是遭少炎氏所灭……今日之事或许早有定数。,3
192,100000050,0,9020009,农儿！谁杀我农儿！,1
193,100000050,0,-1,这，这是！好强大的空间波动，这老者莫非是少炎氏的天仙！,2
194,100000050,0,9020005,来得好快，看来那少炎农身死之时，已经捏碎了通告族内的信符……,3
195,100000050,0,9020009,就是你们么？竟敢杀我农儿，不论你们是谁，都得死！,4
196,100000050,2,9020009,你们休想逃走！,1
197,100000050,2,-1,快，趁现在使用大挪移符离开此地！,2
198,100000051,0,9020006,你说什么！纪宁杀了少炎氏的公子少炎农！？,1
199,100000051,0,-1,是的，少炎氏的天仙老祖已经出动，誓要杀死纪宁为少炎农报仇……,2
200,100000051,2,9020006,好在纪宁已经逃走，唉……只恨为师不是天仙，否则怎会任那少炎氏这般欺凌你等。,1
201,100000051,2,-1,师兄他吉人自有天相，定能想办法逃出生天。,2
202,100000052,0,9020003,那日巫江仙府内，纪宁曾邀我一同逃离，亡命天涯，但我……,1
203,100000052,2,-1,师姐你身为东延氏的继承人，放不下的东西到底还是太多……,1
204,100000052,2,9020003,如今我与纪宁已不再是道侣……错过的，便永远错过了。,2
205,100000053,0,9020009,安澶城！黑白学宫！我已知道就是那纪宁杀了我的农儿！速速将他交出来！,1
206,100000053,0,-1,玄机老祖，你贵为天仙之体，在此刁难一个万象阶段的后辈，不觉得可耻么？,2
207,100000053,0,9020009,又是你这家伙，当日在天游山脉就是你在阻我杀那纪宁，今日便连你一起解决了！,3
208,100000053,2,9020009,黑白学宫，你们这般抵抗，看来是铁了心与我少炎氏为敌了？,1
209,100000054,0,9020001,少炎氏的天仙老祖，还请住手！,1
210,100000054,0,9020009,哼，北山氏之人，现在想出手制止了？,2
211,100000054,0,9020001,我北山氏同样有天仙老祖坐阵，你要对我安澶郡的黑白学宫出手，便是过界了！,3
212,100000054,0,9020009,北山氏……好吧，既然你们开口，我便不与这黑白学宫计较。但纪宁，一定得死！,4
213,100000054,2,9020001,可算是将这玄机老祖劝退了……呼，这就是天仙老祖的威压么，我这两条腿都在抖。,1
214,100000054,2,-1,幸亏有北山兄相助，否则我黑白学宫……,2
215,100000054,2,9020001,放心吧，这安澶城受大夏王朝的管辖，他不敢对黑白学宫出手的。,3
216,100000055,0,-1,纪宁兄？现在少炎氏正在四处抓捕你，你怎会出现在这儿？,1
217,100000055,0,9020005,逃亡之前，我有一事未了。因此，偷偷返回此地……,2
218,100000055,0,-1,莫不是……雪龙山冬七？我曾听北山百微说过，你在调查冬七之事。,3
219,100000055,2,9020005,当年冬七追杀我父母，断我父亲修行之路，更令我母亲身怀暗伤离世。,1
220,100000055,2,9020005,此前我不愿与雪龙山发生冲突，连累你们。如今既是逃亡之身，便不怕撕破脸皮了。,2
221,100000055,2,-1,好，就让我与你一起手刃那冬七，为纪伯伯、纪伯母报仇雪恨！,3
222,100000056,0,9020005,我已研究过冬七的行动，我们便抓住时机，趁其独自一人时将他诛杀！,1
223,100000056,2,9020005,冬七已死……父亲，母亲，孩儿已为你们报仇了！,1
224,100000056,2,-1,多年的恩怨，终于在此有了终结……纪宁，大仇已报，你接下来准备往何处去？,2
225,100000056,2,9020005,那自然是大夏王都了！王都管辖之内，任何人不得私斗。少炎氏反倒无法对我出手。,3
226,100000056,2,-1,是么，仙缘大会开启在即，就让我们在大夏王都再会吧！,4
227,100000057,0,9020007,纪宁走了？,1
228,100000057,0,-1,师姐，你发现了？,2
229,100000057,0,9020007,只是有一种感觉……他，似乎来过……,3
230,100000057,0,-1,纪宁兄已前往大夏王都。仙缘大会在即，我们也该是动身的时候了。,4
231,100000057,2,9030001,这就是大夏王都……由夏皇统治的整个大夏世界的中心。,1
232,100000057,2,-1,传说这王都亿万年前便伫立于此，见证了由神魔时代至今的无数兴衰。,2
233,100000058,0,9030002,黑白学宫的小辈，你们竟也紧随那纪宁来到这王都。,1
234,100000058,0,-1,玄机老祖！也对，少炎氏部族就在这王都之内。来这里，当然会见到你。,2
235,100000058,2,9030002,等着吧，这王都内虽有不容私斗的法规，但我有的是办法除掉你们。,1
236,100000058,2,-1,玄机老贼，你敢！,2
237,100000058,2,9030002,有何不敢，区区一个万象小辈，我就用这无尽铜炉将你困在其中！,3
238,100000059,0,9030002,我少炎氏只要愿意，这铜炉中的九百神魔瞬间便会将你撕成碎片。,1
239,100000059,0,-1,无耻老贼……,2
240,100000059,0,9030002,呵呵呵，黄口小儿还敢嘴硬，好，今日便让你尝尝厉害！,3
241,100000059,0,9030003,玄机天仙，快快住手！,4
242,100000059,0,9030002,何人竟敢喝止老夫！,5
243,100000059,2,9030003,玄机天仙，这可是大夏王都之内，你在这里肆意妄为，当真不怕冒犯天颜么？,1
244,100000059,2,9030002,哼，延王府的小女娃，若是那延王亲自来此，我还敬他三分。至于你，还不够格。,2
245,100000059,2,9030003,我不够格，那我身边这些金甲禁军可还够格？若他们将你的所作所为禀报上去……,3
246,100000059,2,9030002,你……好吧，今日之事就此作罢。但黑白学宫的小贼们给我记住，纪宁是非死不可！,4
247,100000060,0,9030004,你们没事吧，听表姐说你们刚来这王都便遇上那少炎氏的玄机老祖……,1
248,100000060,0,-1,又见面了，真想不到惜月郡主搭救我们竟是因为你这层关系。,2
249,100000060,0,9030004,此事说来奇妙，惜月郡主本姓尉迟，是我舅舅尉迟山之女。,3
250,100000060,0,-1,真想不到你在大夏王都还有个这么有权势的表姐。,4
251,100000060,0,9030004,舅舅当年为保护我父母，殒命于冬七之手，留下的这独女竟是大夏延王的外孙女，真是世事难料。,5
252,100000060,2,9030001,太好了，知道纪宁无事我也就心安了。在我心中，纪宁师兄便犹如真正的兄长。,1
253,100000060,2,-1,纪宁是兄长，那我呢？,2
254,100000060,2,9030001,前辈当然也是一样了！对了，我这里有一份合成之法密卷，前辈可以观摩一二。,3
255,100000061,0,9030001,说起来，惜月郡主似乎知道一种分解之法，也许是王都贵族才知道的特殊手段。,1
256,100000061,2,9030003,修行路上个人悟性虽然重要，但资源也是必不可少。分解之法便能让你更有效的利用手头资源。,1
257,100000062,0,9030001,看来前辈对于合成与分解都已了解的很透彻了。不妨去找纪宁师兄看看有没有什么新情况。,1
258,100000062,2,9030004,学宫弟子齐聚王都，真令人感慨万千。对了，邋遢师兄似乎有事找你，快去瞧瞧吧。,1
259,100000063,0,9030005,仙缘大会是一次机遇，更是纪宁彻底摆脱少炎氏的机会……,1
260,100000063,0,-1,这次大会，我也会尽我所能帮助师兄。,2
261,100000063,0,9030005,决心不错，但光有决心还不够。你的实力也还待提升。,3
262,100000063,2,9030005,来吧，师兄便将这精炼之法传授于你。,1
263,100000064,0,9030005,精炼之法能使你的装备进一步成长……接下来，你可去向余薇学习装备继承之法。,1
264,100000064,2,9030008,传承之法十分玄妙，可以将某样装备上的属性传承至另一件装备上。,1
265,100000065,0,9030005,必备的术法你已尽皆掌握，但万万不可因此自傲，需知仙缘大会强者众多。,1
266,100000065,0,-1,谨记大师兄教诲。,2
267,100000065,2,9030005,你若是身上有些积蓄，不妨去那天宝山瞧瞧。王都奇珍异宝众多，远非安澶郡可比。,1
268,100000066,0,9030002,哼，之前还未曾考虑到，没想到你们这些边陲小民也妄想在仙缘大会露脸。,1
269,100000066,0,-1,玄机天仙，你莫不是怕了？怕我黑白学宫在仙缘大会上超过你少炎氏的所谓天骄？,2
270,100000066,2,9030002,自以为是，就凭你们这些黄口小儿，便是千年万年也难以动摇我少炎氏底蕴。,1
271,100000067,0,9030003,少炎氏的根基底蕴难以想象。要对付这等大部族，个人的力量实在过于微弱。,1
272,100000067,2,9030003,创建或加入仙盟，凝聚众人之力，如此才能使自己一方的力量更加强大。,1
273,100000068,0,9030003,仙缘大会终于就要开始了，听闻这次大会是夏皇亲自主持，意义非凡。,1
274,100000068,0,-1,亲自主持？难道三百年一次的仙缘大会，夏皇并不是次次都会露面？,2
275,100000068,0,9030003,夏皇是何等尊贵的人物，此前也唯有那第一次的大会，众人才曾一窥夏皇面容。,3
276,100000068,2,9030004,此处往前便是天芒殿境内，难以想象我们即将谒见的夏皇究竟是何等人物。,1
277,100000068,2,-1,听闻那夏皇从神魔时代存活至今，乃是凌驾于天仙之上的纯阳真仙。,2
278,100000069,0,9030007,夏皇有令，各位修仙者在参与仙缘大会之余，也可在我这里接取应龙卫的各种任务。,1
279,100000069,0,-1,不愧是大夏王都，连个传令的士官都如此威风。,2
280,100000069,2,9030007,大夏三千六百郡，四大海洋众人依次入场！大夏禁军，应龙内卫镇守于此，不可喧哗！,1
281,100000070,0,-1,拜见陛下！（这就是夏皇么，好强悍的威压！）,1
282,100000070,0,9030006,平身！,2
283,100000070,0,-1,（夏皇的声音响彻天地，这就是纯阳真仙的力量么……）,3
284,100000070,0,9030006,仙缘大会的第一关，我会将你们收入法宝明月山水图之中。活着出来的人便能晋级第二轮试炼。,4
285,100000070,0,-1,法宝内自成一世界，不愧是夏皇，好大的手笔。好，就让我来挑战看看！,5
286,100000070,2,9030006,很好，你等众人度过了明月山水图世界的考验。便算是获得了仙缘比武的资格。,1
287,100000071,0,9030006,仙缘比武将会择日举行，你等……嗯？师尊传来消息！？,1
