id,objectid,skillid,parent_skillid,skill_name,skill_icon,quality,owner,isscale,property_type,property,describe,ratio,skilltype,skilltype_2
13,192412004,700013,700014,顶级炼魔,1301,5,0,0,-2,700013,增加主人攻击力[008800]16%[-]，持续[008800]5[-]秒,1000,0,1
14,193412004,700014,700015,高级炼魔,1302,4,0,0,-2,700014,增加主人攻击力[008800]9%[-]，持续[008800]5[-]秒,1000,0,1
15,194412004,700015,700016,中级炼魔,1303,3,0,0,-2,700015,增加主人攻击力[008800]4%[-]，持续[008800]5[-]秒,1000,0,1
16,195412004,700016,-1,初级炼魔,1304,2,0,0,-2,700016,增加主人攻击力[008800]2%[-]，持续[008800]5[-]秒,1000,0,1
17,192412005,700017,700018,顶级九元,1401,5,0,0,-2,700017,对目标造成[008800]340%[-]的伤害,2000,0,1
18,193412005,700018,700019,高级九元,1402,4,0,0,-2,700018,对目标造成[008800]210%[-]的伤害,2000,0,1
19,194412005,700019,700020,中级九元,1403,3,0,0,-2,700019,对目标造成[008800]160%[-]的伤害,2000,0,1
20,195412005,700020,-1,初级九元,1404,2,0,0,-2,700020,对目标造成[008800]130%[-]的伤害,2000,0,1
21,192412006,700021,700022,顶级水元,1501,5,0,0,-2,700021,对目标造成[008800]100%[-]伤害，替主人减少[008800]16%[-]的伤害，持续[008800]5[-]秒,1000,0,1
22,193412006,700022,700023,高级水元,1502,4,0,0,-2,700022,对目标造成[008800]100%[-]伤害，替主人减少[008800]9%[-]的伤害，持续[008800]5[-]秒,1000,0,1
23,194412006,700023,700024,中级水元,1503,3,0,0,-2,700023,对目标造成[008800]100%[-]伤害，替主人减少[008800]4%[-]的伤害，持续[008800]5[-]秒,1000,0,1
24,195412006,700024,-1,初级水元,1504,2,0,0,-2,700024,对目标造成[008800]100%[-]伤害，替主人减少[008800]2%[-]的伤害，持续[008800]5[-]秒,1000,0,1
25,192412007,700025,700026,顶级烈火,1601,5,0,0,-2,700025,对目标造成[008800]220%[-]伤害，每秒[008800]16%[-]攻击力伤害，持续[008800]4[-]秒,1000,0,1
26,193412007,700026,700027,高级烈火,1602,4,0,0,-2,700026,对目标造成[008800]220%[-]伤害，每秒[008800]9%[-]攻击力伤害，持续[008800]4[-]秒,1000,0,1
27,194412007,700027,700028,中级烈火,1603,3,0,0,-2,700027,对目标造成[008800]220%[-]伤害，每秒[008800]4%[-]攻击力伤害，持续[008800]4[-]秒,1000,0,1
28,195412007,700028,-1,初级烈火,1604,2,0,0,-2,700028,对目标造成[008800]220%[-]伤害，每秒[008800]2%[-]攻击力伤害，持续[008800]4[-]秒,1000,0,1
29,192412008,700029,700030,顶级幻星,1701,5,0,0,-2,700029,对目标造成[008800]300%[-]伤害，减少[008800]40%[-]的移动速度，持续[008800]4[-]秒,1000,0,1
30,193412008,700030,700031,高级幻星,1702,4,0,0,-2,700030,对目标造成[008800]300%[-]伤害，减少[008800]22%[-]的移动速度，持续[008800]4[-]秒,1000,0,1
31,194412008,700031,700032,中级幻星,1703,3,0,0,-2,700031,对目标造成[008800]300%[-]伤害，减少[008800]10%[-]的移动速度，持续[008800]4[-]秒,1000,0,1
32,195412008,700032,-1,初级幻星,1704,2,0,0,-2,700032,对目标造成[008800]300%[-]伤害，减少[008800]5%[-]的移动速度，持续[008800]4[-]秒,1000,0,1
33,192412009,700033,700034,顶级撼神,1801,5,0,0,-2,700033,对目标造成[008800]100%[-]伤害，眩晕[008800]1.6[-]秒,400,0,1
34,193412009,700034,700035,高级撼神,1802,4,0,0,-2,700034,对目标造成[008800]100%[-]伤害，眩晕[008800]0.9[-]秒,400,0,1
35,194412009,700035,700036,中级撼神,1803,3,0,0,-2,700035,对目标造成[008800]100%[-]伤害，眩晕[008800]0.4[-]秒,400,0,1
36,195412009,700036,-1,初级撼神,1804,2,0,0,-2,700036,对目标造成[008800]100%[-]伤害，眩晕[008800]0.2[-]秒,400,0,1
37,192412010,700037,700038,顶级羽裳,1901,5,0,0,-2,700037,对目标造成[008800]100%[-]伤害，沉默[008800]3.2[-]秒,500,0,1
38,193412010,700038,700039,高级羽裳,1902,4,0,0,-2,700038,对目标造成[008800]100%[-]伤害，沉默[008800]1.8[-]秒,500,0,1
39,194412010,700039,700040,中级羽裳,1903,3,0,0,-2,700039,对目标造成[008800]100%[-]伤害，沉默[008800]0.8[-]秒,500,0,1
40,195412010,700040,-1,初级羽裳,1904,2,0,0,-2,700040,对目标造成[008800]100%[-]伤害，沉默[008800]0.4[-]秒,500,0,1
41,192412011,700041,700042,顶级生命,2001,5,1,0,1,25000,增加主人[008800]25000[-]点生命值,0,0,2
42,193412011,700042,700043,高级生命,2002,4,1,0,1,11250,增加主人[008800]11250[-]点生命值,0,0,2
43,194412011,700043,700044,中级生命,2003,3,1,0,1,5000,增加主人[008800]5000[-]点生命值,0,0,2
44,195412011,700044,-1,初级生命,2004,2,1,0,1,2000,增加主人[008800]2000[-]点生命值,0,0,2
45,192412012,700045,700046,顶级攻击,2101,5,1,0,2,500,增加主人[008800]500[-]点攻击,0,0,2
46,193412012,700046,700047,高级攻击,2102,4,1,0,2,225,增加主人[008800]225[-]点攻击,0,0,2
47,194412012,700047,700048,中级攻击,2103,3,1,0,2,100,增加主人[008800]100[-]点攻击,0,0,2
48,195412012,700048,-1,初级攻击,2104,2,1,0,2,40,增加主人[008800]40[-]点攻击,0,0,2
49,192412013,700049,700050,顶级防御,2201,5,1,0,3,500,增加主人[008800]500[-]点防御,0,0,2
50,193412013,700050,700051,高级防御,2202,4,1,0,3,225,增加主人[008800]225[-]点防御,0,0,2
51,194412013,700051,700052,中级防御,2203,3,1,0,3,100,增加主人[008800]100[-]点防御,0,0,2
52,195412013,700052,-1,初级防御,2204,2,1,0,3,40,增加主人[008800]40[-]点防御,0,0,2
53,192412014,700053,700054,顶级命中,2301,5,1,0,4,250,增加主人[008800]250[-]点命中,0,0,2
54,193412014,700054,700055,高级命中,2302,4,1,0,4,113,增加主人[008800]113[-]点命中,0,0,2
55,194412014,700055,700056,中级命中,2303,3,1,0,4,50,增加主人[008800]50[-]点命中,0,0,2
56,195412014,700056,-1,初级命中,2304,2,1,0,4,20,增加主人[008800]20[-]点命中,0,0,2
57,192412015,700057,700058,顶级闪避,2401,5,1,0,5,250,增加主人[008800]250[-]点闪避,0,0,2
58,193412015,700058,700059,高级闪避,2402,4,1,0,5,113,增加主人[008800]113[-]点闪避,0,0,2
59,194412015,700059,700060,中级闪避,2403,3,1,0,5,50,增加主人[008800]50[-]点闪避,0,0,2
60,195412015,700060,-1,初级闪避,2404,2,1,0,5,20,增加主人[008800]20[-]点闪避,0,0,2
61,192412016,700061,700062,顶级暴击,2501,5,1,0,6,500,增加主人[008800]500[-]点暴击,0,0,2
62,193412016,700062,700063,高级暴击,2502,4,1,0,6,250,增加主人[008800]250[-]点暴击,0,0,2
63,194412016,700063,700064,中级暴击,2503,3,1,0,6,100,增加主人[008800]100[-]点暴击,0,0,2
64,195412016,700064,-1,初级暴击,2504,2,1,0,6,40,增加主人[008800]40[-]点暴击,0,0,2
65,192412017,700065,700066,顶级韧性,2601,5,1,0,7,500,增加主人[008800]500[-]点韧性,0,0,2
66,193412017,700066,700067,高级韧性,2602,4,1,0,7,250,增加主人[008800]250[-]点韧性,0,0,2
67,194412017,700067,700068,中级韧性,2603,3,1,0,7,100,增加主人[008800]100[-]点韧性,0,0,2
68,195412017,700068,-1,初级韧性,2604,2,1,0,7,40,增加主人[008800]40[-]点韧性,0,0,2
69,192412018,700069,700070,顶级雷火,2701,5,0,0,2,714,增加伙伴[008800]714[-]点攻击,0,0,2
70,193412018,700070,700071,高级雷火,2702,4,0,0,2,321,增加伙伴[008800]321[-]点攻击,0,0,2
71,194412018,700071,700072,中级雷火,2703,3,0,0,2,143,增加伙伴[008800]143[-]点攻击,0,0,2
72,195412018,700072,-1,初级雷火,2704,2,0,0,2,57,增加伙伴[008800]57[-]点攻击,0,0,2
73,192412019,700073,700074,顶级乾坤,2801,5,0,0,4,357,增加伙伴[008800]357[-]点命中,0,0,2
74,193412019,700074,700075,高级乾坤,2802,4,0,0,4,161,增加伙伴[008800]161[-]点命中,0,0,2
75,194412019,700075,700076,中级乾坤,2803,3,0,0,4,71,增加伙伴[008800]71[-]点命中,0,0,2
76,195412019,700076,-1,初级乾坤,2804,2,0,0,4,29,增加伙伴[008800]29[-]点命中,0,0,2
77,192412020,700077,700078,顶级灭神,2901,5,0,0,6,714,增加伙伴[008800]714[-]点暴击,0,0,2
78,193412020,700078,700079,高级灭神,2902,4,0,0,6,321,增加伙伴[008800]321[-]点暴击,0,0,2
79,194412020,700079,700080,中级灭神,2903,3,0,0,6,143,增加伙伴[008800]143[-]点暴击,0,0,2
80,195412020,700080,-1,初级灭神,2904,2,0,0,6,57,增加伙伴[008800]57[-]点暴击,0,0,2
81,192412021,700081,700082,顶级转化,3001,5,0,0,-1,800,伙伴守护状态时，增加[008800]8%[-]的属性转化率,0,0,2
82,193412021,700082,700083,高级转化,3002,4,0,0,-1,600,伙伴守护状态时，增加[008800]6%[-]的属性转化率,0,0,2
83,194412021,700083,700084,中级转化,3003,3,0,0,-1,400,伙伴守护状态时，增加[008800]4%[-]的属性转化率,0,0,2
84,195412021,700084,-1,初级转化,3004,2,0,0,-1,200,伙伴守护状态时，增加[008800]2%[-]的属性转化率,0,0,2
85,1,700085,-1,伏羲阵纹,4013,5,1,0,17,2000,玩家最终伤害减免+[008800]2000[-],0,1,2
86,2,700086,-1,七曜神枪,4001,5,0,0,-2,-1,对目标造成[008800]200%[-]伤害，并降低目标[008800]20%[-]防御，持续[008800]5[-]秒,5000,1,1
87,3,700087,-1,凤翼天翔,4003,5,0,0,-2,-1,对圆形范围内敌人造成[008800]150%[-]伤害，并附带灼烧，每秒减少[008800]1%[-]生命上限的血量，持续[008800]5[-]秒,5000,1,1
88,4,700088,-1,一莲托生,4004,5,0,0,-2,-1,给玩家增加回血buff,每秒[008800]2000[-]+最大生命值[008800]1%[-]的血量，持续[008800]5[-]秒,5000,1,1
89,5,700089,-1,定海神击,4011,5,0,0,-2,-1,对目标造成[008800]320%[-]的伤害，并眩晕敌人，持续[008800]2[-]秒,5000,1,1
90,6,700090,-1,斗战圣威,4010,5,1,0,19,3000,主人暴击伤害+[008800]30%[-],0,1,2
91,7,700091,-1,无影剑法,4005,5,0,0,-2,-1,对圆形范围内敌人造成[008800]250%[-]伤害，并使目标沉默[008800]4[-]秒,5000,1,1
92,8,700092,-1,滴水剑意,4012,5,1,0,2,500,玩家攻击+[008800]5%[-],0,1,2
93,9,700093,-1,狐媚苍生,4007,5,0,0,-3,700091,主人被控状态下，防御增加[008800]50%[-],0,1,2
94,10,700094,-1,爱心守护,4006,5,1,0,10,1000,玩家伤害减免+[008800]10%[-],0,1,2
95,11,700095,-1,傀儡之术,4002,5,0,0,-2,-1,召唤攻击傀儡，每秒对目标造成[008800]100%[-]的伤害，持续[008800]5[-]秒,5000,1,1
96,12,700096,-1,青龙之影,4014,5,1,0,14,2000,玩家pve伤害+[008800]20%[-],0,1,2
97,13,700097,-1,皇玺剑印,4008,5,0,0,-3,700092,血量低于[008800]50%[-]，攻击增加[008800]10%[-],0,1,2
98,14,700098,-1,帝命龙魂,4009,5,1,0,9,1000,玩家伤害加成+[008800]10%[-],0,1,2
