id,object_name,object_icon,color,object_type,object_rank,profession,stacklimit,usedlevel,sellid,sellgold,auction,use_type,result,describe,buynumber,price,time,usenumber
104000004,中品命中,104000004,3,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
104000005,中品闪避,104000005,3,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
104000006,中品暴击,104000006,3,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
104000007,中品韧性,104000007,3,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
104000008,中品破敌,104000008,3,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
104000009,中品诛邪,104000009,3,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
104000010,中品成长,104000010,3,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
104000011,中品御敌,104000011,3,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
104000012,中品辟邪,104000012,3,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
104000013,中品追伤,104000013,3,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
104000014,中品减伤,104000014,3,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
104000015,中品精华,104000015,3,10,0,0,1,1,215514001,-1,-1,5,-1,分解可获得100点精华碎片,0,0,0,1
105000001,下品攻击,105000001,2,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
105000002,下品防御,105000002,2,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
105000003,下品生命,105000003,2,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
105000004,下品命中,105000004,2,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
105000005,下品闪避,105000005,2,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
105000006,下品暴击,105000006,2,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
105000007,下品韧性,105000007,2,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
105000008,下品破敌,105000008,2,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
105000009,下品诛邪,105000009,2,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
105000010,下品成长,105000010,2,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
105000011,下品御敌,105000011,2,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
105000012,下品辟邪,105000012,2,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
105000013,下品追伤,105000013,2,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
105000014,下品减伤,105000014,2,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
106000001,凡品攻击,106000001,1,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
106000002,凡品防御,106000002,1,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
106000003,凡品生命,106000003,1,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
106000004,凡品命中,106000004,1,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
106000005,凡品闪避,106000005,1,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
106000006,凡品暴击,106000006,1,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
106000007,凡品韧性,106000007,1,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
106000008,凡品破敌,106000008,1,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
106000009,凡品诛邪,106000009,1,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
106000010,凡品成长,106000010,1,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
106000011,凡品御敌,106000011,1,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
106000012,凡品辟邪,106000012,1,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
106000013,凡品追伤,106000013,1,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
106000014,凡品减伤,106000014,1,10,0,0,1,1,215514001,-1,-1,5,-1,符文,0,0,0,1
112000002,时装券,112000002,5,16,0,0,999,4,215514001,-1,-1,4,132000000,使用两张可将限时时装变为永久时装(跨服限时时装除外)\n点击限时时装图标后再点击【变为永久】按钮,1,300,0,1
112001000,溟空紫翎,223551002,5,16,1,0,1,1,215514001,-1,-1,3,131030000,使用后解锁翅膀,0,0,0,1
112001001,机械先锋,112001001,5,11,1,1,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112001002,第六天魔,112001002,5,11,1,1,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112001003,灾厄魔王,112001003,5,11,1,1,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112001004,醉梦鬼神,112001004,5,11,1,1,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112001005,霞染诸天,112001005,5,11,1,1,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112001006,沧海弄潮,112001006,5,11,1,1,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112001007,绝天斗皇,112001007,5,11,1,1,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112001008,冰封领主,112001008,5,11,1,1,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112002001,未来战士,112002001,5,11,2,2,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112002002,孽海修罗,112002002,5,11,2,2,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112002003,灾厄魔尊,112002003,5,11,2,2,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112002004,东洋剑圣,112002004,5,11,2,2,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112002005,映山红日,112002005,5,11,2,2,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112002006,烈日银涛,112002006,5,11,2,2,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112002007,裂天战皇,112002007,5,11,2,2,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112002008,雪域灵尊,112002008,5,11,2,2,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112003001,机甲战姬,112003001,5,11,3,3,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112003002,罗刹妖女,112003002,5,11,3,3,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112003003,灾厄魔女,112003003,5,11,3,3,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112003004,樱花神女,112003004,5,11,3,3,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112003005,傲雪寒梅,112003005,5,11,3,3,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112003006,仲夏梦影,112003006,5,11,3,3,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112003007,覆天灵皇,112003007,5,11,3,3,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112003008,寒霜圣女,112003008,5,11,3,3,1,1,215514001,-1,2502,3,132010000,永久时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,,1
112004001,机械先锋(限时),112001001,5,11,4,1,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112004002,第六天魔(限时),112001002,5,11,4,1,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112004003,灾厄魔王(限时),112001003,5,11,4,1,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112004004,醉梦鬼神(限时),112001004,5,11,4,1,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112004005,霞染诸天(限时),112001005,5,11,4,1,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112004006,沧海弄潮(限时),112001006,5,11,4,1,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112004007,绝天斗皇(限时),112001007,5,11,4,1,1,1,215514001,-1,2502,3,132010000,限时时装，期限七天，到期后消失\n使用后激活特有属性并增加时装经验\n无法使用时装券升为永久
,0,0,0,1
112004008,冰封领主(限时),112001008,5,11,4,1,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112005001,未来战士(限时),112002001,5,11,5,2,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112005002,孽海修罗(限时),112002002,5,11,5,2,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112005003,灾厄魔尊(限时),112002003,5,11,5,2,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112005004,东洋剑圣(限时),112002004,5,11,5,2,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112005005,映山红日(限时),112002005,5,11,5,2,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112005006,烈日银涛(限时),112002006,5,11,5,2,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112005007,裂天战皇(限时),112002007,5,11,5,2,1,1,215514001,-1,2502,3,132010000,限时时装，期限七天，到期后消失\n使用后激活特有属性并增加时装经验\n无法使用时装券升为永久
,0,0,0,1
112005008,雪域灵尊(限时),112002008,5,11,5,2,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112006001,机甲战姬(限时),112003001,5,11,6,3,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112006002,罗刹妖女(限时),112003002,5,11,6,3,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112006003,灾厄魔女(限时),112003003,5,11,6,3,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112006004,樱花神女(限时),112003004,5,11,6,3,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112006005,傲雪寒梅(限时),112003005,5,11,6,3,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112006006,仲夏梦影(限时),112003006,5,11,6,3,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112006007,覆天灵皇(限时),112003007,5,11,6,3,1,1,215514001,-1,2502,3,132010000,限时时装，期限七天，到期后消失\n使用后激活特有属性并增加时装经验\n无法使用时装券升为永久
,0,0,0,1
112006008,寒霜圣女(限时),112003008,5,11,6,3,1,1,215514001,-1,2502,3,132010000,限时时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112007001,雷霆斩刀,112007001,5,11,7,1,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112007002,苍火盈天,112007002,5,11,7,1,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112007003,灾厄魔剑,112007003,5,11,7,1,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112007004,妖刀血斩,112007004,5,11,7,1,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112007005,丹阳赤霄,112007005,5,11,7,1,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112007006,乘风破浪,112007006,5,11,7,1,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112007007,斗皇斩刀,112007007,5,11,7,1,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112007008,冰河战刃,112007008,5,11,7,1,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112008001,紫电极刃,112008001,5,11,8,2,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112008002,天渊绝影,112008002,5,11,8,2,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112008003,灾厄魔刃,112008003,5,11,8,2,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112008004,二魄残心,112008004,5,11,8,2,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112008005,覆铁熔金,112008005,5,11,8,2,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112008006,碧波流刃,112008006,5,11,8,2,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112008007,战皇双刃,112008007,5,11,8,2,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112008008,雪风长剑,112008008,5,11,8,2,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112009001,机巧灵杖,112009001,5,11,9,3,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112009002,十殿冥火,112009002,5,11,9,3,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112009003,灾厄魔杖,112009003,5,11,9,3,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112009004,神祝金枝,112009004,5,11,9,3,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112009005,宝相金环,112009005,5,11,9,3,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112009006,夏日阳伞,112009006,5,11,9,3,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112009007,灵皇权杖,112009007,5,11,9,3,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112009008,霜土圣杖,112009008,5,11,9,3,1,1,215514001,-1,2502,3,132020000,永久武器时装，一经使用，永久持有\n使用后激活特有属性并增加时装经验,0,0,0,1
112010001,雷霆斩刀(限时),112007001,5,11,10,1,1,1,215514001,-1,2502,3,132020000,限时武器时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112010002,苍火盈天(限时),112007002,5,11,10,1,1,1,215514001,-1,2502,3,132020000,限时武器时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112010003,灾厄魔剑(限时),112007003,5,11,10,1,1,1,215514001,-1,2502,3,132020000,限时武器时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112010004,妖刀血斩(限时),112007004,5,11,10,1,1,1,215514001,-1,2502,3,2,限时武器时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112010005,丹阳赤霄(限时),112007005,5,11,10,1,1,1,215514001,-1,2502,3,132020000,限时武器时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112010006,乘风破浪(限时),112007006,5,11,10,1,1,1,215514001,-1,2502,3,132020000,限时武器时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112010007,斗皇斩刀(限时),112007007,5,11,10,1,1,1,215514001,-1,2502,3,132020000,限时时装，期限七天，到期后消失\n使用后激活特有属性并增加时装经验\n无法使用时装券升为永久
,0,0,0,1
112010008,冰河战刃(限时),112007008,5,11,10,1,1,1,215514001,-1,2502,3,132020000,限时武器时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112011001,紫电极刃(限时),112008001,5,11,11,2,1,1,215514001,-1,2502,3,132020000,限时武器时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112011002,天渊绝影(限时),112008002,5,11,11,2,1,1,215514001,-1,2502,3,132020000,限时武器时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112011003,灾厄魔刃(限时),112008003,5,11,11,2,1,1,215514001,-1,2502,3,132020000,限时武器时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112011004,二魄残心(限时),112008004,5,11,11,2,1,1,215514001,-1,2502,3,132020000,限时武器时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112011005,覆铁熔金(限时),112008005,5,11,11,2,1,1,215514001,-1,2502,3,132020000,限时武器时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112011006,碧波流刃(限时),112008006,5,11,11,2,1,1,215514001,-1,2502,3,132020000,限时武器时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112011007,战皇双刃(限时),112008007,5,11,11,2,1,1,215514001,-1,2502,3,132020000,限时时装，期限七天，到期后消失\n使用后激活特有属性并增加时装经验\n无法使用时装券升为永久
,0,0,0,1
112011008,雪风长剑(限时),112008008,5,11,11,2,1,1,215514001,-1,2502,3,132020000,限时武器时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
112012001,机巧灵杖(限时),112009001,5,11,12,3,1,1,215514001,-1,2502,3,132020000,限时武器时装，期限三天，到期后消失\n使用后激活特有属性并增加时装经验\n可在时限内消耗两张时装券升级为永久
,0,0,0,1
