id,role_name,role_type,scriptid,body_animation,body_model,body_chartlet,scale,weapon_model,weapon_chartlet,motiongroup_type,aigroup_type,toilet,unmatched,collider,head,color
80015,修行者男,CT_Monster,80015,9980015,,9980015,10000,,,MGT_Single,AGT_Easy,0,0,1,9980015,
80016,修行者女,CT_Monster,80016,9980016,,9980016,10000,,,MGT_Single,AGT_Easy,0,0,1,9980016,
80017,下级神魔,CT_Monster,80017,9980017,,9980017,10000,,,MGT_Single,AGT_Easy,0,0,1,9980017,
80018,弯角异族小怪,CT_Monster,80018,9980018,,9980018,10000,,,MGT_Single,AGT_Easy,0,0,1,9980018,
80019,三尾狐,CT_Monster,80019,9980019,,9980019,10000,,,MGT_Single,AGT_Easy,0,0,1,9980019,
80020,赤芒蛇,CT_Monster,80020,9980020,,9980020,10000,,,MGT_Single,AGT_Easy,0,0,1,9980020,
80021,穷奇傀儡,CT_Monster,80021,9980021,,9980021,10000,,,MGT_Single,AGT_Easy,0,0,1,9980021,
80022,人形傀儡（蓝）,CT_Monster,80022,9980022,,9980022,10000,,,MGT_Single,AGT_Easy,0,0,1,9980022,
80023,朱厌（复用boss）,CT_Monster,80023,9980023,,9980023,10000,,,MGT_Single,AGT_Easy,0,0,1,9980023,
81004,黑甲卫（黄色）,CT_Monster,80004,9980004_1,,9980004_1,10000,,,MGT_Single,AGT_Easy,0,0,1,9980004_1,eebe00
81009,铠甲人鱼,CT_Monster,80009,9980009_1,,9980009,10000,,,MGT_Single,AGT_Easy,0,0,1,9980009_1,
81015,修行者男,CT_Monster,80015,9980015_1,,9980015_1,10000,,,MGT_Single,AGT_Easy,0,0,1,9980015_1,
81016,修行者女,CT_Monster,80016,9980016_1,,9980016_1,10000,,,MGT_Single,AGT_Easy,0,0,1,9980016_1,
81022,人形傀儡(红),CT_Monster,80022,9980022_1,,9980022,10000,,,MGT_Single,AGT_Easy,0,0,1,9980022_1,
90001,    青铜镖车,CT_Monster,90001,90001,,90001,10000,,,MGT_Single,AGT_Easy,0,0,1,90001,
90002,白银镖车,CT_Monster,90002,90002,,90002,10000,,,MGT_Single,AGT_Easy,0,0,1,90002,
90003,黄金镖车,CT_Monster,90003,90003,,90003,10000,,,MGT_Single,AGT_Easy,0,0,1,90003,
90004,攻击buff,CT_Monster,90004,90004,,90004,10000,,,MGT_Single,AGT_Easy,0,0,1,90004,
90005,防御buff,CT_Monster,90005,90005,,90005,10000,,,MGT_Single,AGT_Easy,0,0,1,90005,
90006,治疗buff,CT_Monster,90006,90006,,90006,10000,,,MGT_Single,AGT_Easy,0,0,1,90006,
90007,道具_黑色玉瓶,CT_Monster,90007,90007,,90007,10000,,,MGT_Single,AGT_Easy,0,0,1,90007,
90008,道具_酒葫芦,CT_Monster,90008,90008,,90008,10000,,,MGT_Single,AGT_Easy,0,0,1,90008,
90009,道具_礼盒,CT_Monster,90009,90009,,90009,10000,,,MGT_Single,AGT_Easy,0,0,1,90009,
90010,道具_令旗,CT_Monster,90010,90010,,90010,10000,,,MGT_Single,AGT_Easy,0,0,1,90010,
90011,道具_能量水晶,CT_Monster,90011,90011,,90011,10000,,,MGT_Single,AGT_Easy,0,0,1,90011,
90012,道具_上古神兵,CT_Monster,90012,90012,,90012,10000,,,MGT_Single,AGT_Easy,0,0,1,90012,
90013,道具_生命水晶,CT_Monster,90013,90013,,90013,10000,,,MGT_Single,AGT_Easy,0,0,1,90013,
90014,道具_水晶矿_红,CT_Monster,90014,90014,,90014,10000,,,MGT_Single,AGT_Easy,0,0,1,90014,
90015,道具_水晶矿_蓝,CT_Monster,90015,90015,,90015,10000,,,MGT_Single,AGT_Easy,0,0,1,90015,
90016,道具_天地精华,CT_Monster,90016,90016,,90016,10000,,,MGT_Single,AGT_Easy,0,0,1,90016,
90017,道具_香炉,CT_Monster,90017,90017,,90017,10000,,,MGT_Single,AGT_Easy,0,0,1,90017,
90018,道具_元石矿脉,CT_Monster,90018,90018,,90018,10000,,,MGT_Single,AGT_Easy,0,0,1,90018,
90019,道具_杂草,CT_Monster,90019,90019,,90019,10000,,,MGT_Single,AGT_Easy,0,0,1,90019,
90020,道具_阵旗,CT_Monster,90020,90020,,90020,10000,,,MGT_Single,AGT_Easy,0,0,1,90020,
90021,金色宝箱,CT_Monster,90021,90021,,90021,10000,,,MGT_Single,AGT_Easy,0,0,1,90021,
90022,蓝色宝箱,CT_Monster,90022,90022,,90022,10000,,,MGT_Single,AGT_Easy,0,0,1,90022,
90023,绿色宝箱,CT_Monster,90023,90023,,90023,10000,,,MGT_Single,AGT_Easy,0,0,1,90023,
90024,紫色宝箱,CT_Monster,90024,90024,,90024,10000,,,MGT_Single,AGT_Easy,0,0,1,90024,eebe00
90025,高级宝箱,CT_Monster,90025,90025,,90025,10000,,,MGT_Single,AGT_Easy,0,0,1,90025,
90026,普通宝箱,CT_Monster,90026,90026,,90026,10000,,,MGT_Single,AGT_Easy,0,0,1,90026,
90027,冥火之灵,CT_Monster,90027,90027,,90027,10000,,,MGT_Single,AGT_Easy,0,0,1,90027,
90028,生命之火,CT_Monster,90028,90028,,90028,10000,,,MGT_Single,AGT_Easy,0,0,1,90028,
90301,巡游花车,CT_Monster,90030,90030,,90030,10000,,,MGT_Single,AGT_Easy,0,0,1,90030,eebe00
91202,金色宝箱,CT_Monster,90021,90021,,90021,10000,,,MGT_Single,AGT_Easy,0,0,1,90021,eab600
91203,绿色宝箱,CT_Monster,90023,90023,,90023,10000,,,MGT_Single,AGT_Easy,0,0,1,90023,26bf79
91204,蓝色宝箱,CT_Monster,90022,90022,,90022,10000,,,MGT_Single,AGT_Easy,0,0,1,90022,0065ba
91205,紫色宝箱,CT_Monster,90024,90024,,90024,10000,,,MGT_Single,AGT_Easy,0,0,1,90024,ae0be4
200001,魔域强者,CT_Boss,100039,100039,,100039_1,10000,,,MGT_Single,AGT_Easy,0,0,1,100039,
200002,魔域鬼兵,CT_Boss,100016,100016,,100016_1,10000,,,MGT_Single,AGT_Easy,0,0,1,100016,
200003,刀刀见血,CT_Boss,300004,warrior,body,warrior,10000,1_0,warrior_a_1,MGT_Single,AGT_Easy,0,0,1,warrior,
200004,万魔之主,CT_Boss,100031,100031,,100031_1,10000,,,MGT_Single,AGT_Easy,0,0,1,100031,
200005,红名小王子,CT_Boss,300004,warrior,body,warrior,10000,1_0,warrior_a_1,MGT_Single,AGT_Easy,0,0,1,warrior,
201001,黑甲卫,CT_Monster,80004,9980004,,9980004,10000,,,MGT_Single,AGT_Easy,0,0,1,9980004,82b4b8
201002,雪龙山密探,CT_Monster,80016,9980016_1,,9980016_1,10000,,,MGT_Single,AGT_Easy,0,0,1,9980016_1,82b4b8
201003,赤芒蛇,CT_Monster,80020,9980020,,9980020,10000,,,MGT_Single,AGT_Easy,0,0,1,9980020,82b4b8
201004,犴兽,CT_Monster,80005,9980005,,9980005,10000,,,MGT_Single,AGT_Easy,0,0,1,9980005,82b4b8
201005,雪龙山弟子,CT_Monster,80015,9980015_1,,9980015_1,10000,,,MGT_Single,AGT_Easy,0,0,1,9980015_1,82b4b8
202001,北山强者,CT_Monster,80004,9980004_1,,9980004_1,10000,,,MGT_Single,AGT_Easy,0,0,1,9980004_1,82b4b8
202002,试炼弟子,CT_Monster,80015,9980015,,9980015,10000,,,MGT_Single,AGT_Easy,0,0,1,9980015,82b4b8
202003,学宫傀儡,CT_Monster,80022,9980022,,9980022,10000,,,MGT_Single,AGT_Easy,0,0,1,9980022,82b4b8
202004,论道弟子,CT_Monster,80016,9980016,,9980016,10000,,,MGT_Single,AGT_Easy,0,0,1,9980016,82b4b8
202005,罪孽邪修,CT_Monster,80037,9980037,,9980037,10000,,,MGT_Single,AGT_Easy,0,0,1,9980037,82b4b8
202006,穷奇傀儡,CT_Monster,80021,9980021,,9980021,10000,,,MGT_Single,AGT_Easy,0,0,1,9980021,82b4b8
202007,少炎氏强者,CT_Monster,80024,9980024,,9980024,10000,,,MGT_Single,AGT_Easy,0,0,1,9980024,82b4b8
202101,相柳方,CT_Boss,9990013,9990013,,9990013,10000,,,MGT_Single,AGT_Easy,0,0,1,9990013,6ec7cf
204001,三界宫傀儡,CT_Monster,80012,9980012,,9980012,10000,,,MGT_Single,AGT_Easy,0,0,1,9980012,82b4b8
204002,火翼卫,CT_Monster,80004,9980004_2,,9980004,10000,,,MGT_Single,AGT_Easy,0,0,1,9980004_2,82b4b8
204003,神仙宫傀儡,CT_Monster,80022,9980022,,9980022,10000,,,MGT_Single,AGT_Easy,0,0,1,9980022,82b4b8
204101,金毛罴妖王,CT_Boss,9990001,9990001,,9990001,10000,,,MGT_Single,AGT_Easy,0,0,1,9990001,6ec7cf
205001,无间强者,CT_Monster,80024,9980024,,9980024,10000,,,MGT_Single,AGT_Easy,0,0,1,9980024,82b4b8
205002,毕方,CT_Monster,80008,9980008,,9980008,10000,,,MGT_Single,AGT_Easy,0,0,1,9980008,82b4b8
205003,白脸蛟,CT_Monster,80011,9980011,,9980011,10000,,,MGT_Single,AGT_Easy,0,0,1,9980011,82b4b8
205004,天神傀儡,CT_Monster,80012,9980012,,9980012,10000,,,MGT_Single,AGT_Easy,0,0,1,9980012,82b4b8
205005,血云傀儡,CT_Monster,80022,9980022_1,,9980022,10000,,,MGT_Single,AGT_Easy,0,0,1,9980022_1,82b4b8
205006,朱厌,CT_Monster,80023,9980023,,9980023,10000,,,MGT_Single,AGT_Easy,0,0,1,9980023,82b4b8
205101,道祖傀儡,CT_Boss,9990010,9990010,,9990010,10000,,,MGT_Single,AGT_Easy,0,0,1,9990010,6ec7cf
206001,暗影豹,CT_Monster,80005,9980005,,9980005,10000,,,MGT_Single,AGT_Easy,0,0,1,9980005,82b4b8
206002,金毛罴妖王,CT_Boss,9990001,9990001,,9990001,10000,,,MGT_Single,AGT_Easy,0,0,1,9990001,6ec7cf
206003,狱山灵猴,CT_Monster,80023,9980023,,99800123,10000,,,MGT_Single,AGT_Easy,0,0,1,9980023,82b4b8
206004,朱厌妖王,CT_Boss,9990005,9990005,,9990005,10000,,,MGT_Single,AGT_Easy,0,0,1,9990005,6ec7cf
206005,赤练蛇,CT_Monster,80020,9980020,,9980020,10000,,,MGT_Single,AGT_Easy,0,0,1,9980020,82b4b8
206006,巨翼蛇王,CT_Boss,9990008,9990008,,9990008,10000,,,MGT_Single,AGT_Easy,0,0,1,9990008,6ec7cf
206007,下级神魔,CT_Monster,80017,9980017,,9980017,10000,,,MGT_Single,AGT_Easy,0,0,1,9980017,82b4b8
206008,火焰神魔,CT_Boss,9990006,9990006,,9990006,10000,,,MGT_Single,AGT_Easy,0,0,1,9990006,6ec7cf
206009,犀魔怪,CT_Monster,80010,9980010,,9980010,10000,,,MGT_Single,AGT_Easy,0,0,1,9980010,82b4b8
206010,龙鲸大妖,CT_Boss,9990004,9990004,,9990004,10000,,,MGT_Single,AGT_Easy,0,0,1,9990004,6ec7cf
206011,天机穷奇,CT_Monster,80021,9980021,,9980021,10000,,,MGT_Single,AGT_Easy,0,0,1,9980021,82b4b8
206012,妖魔相柳,CT_Boss,9990013,9990013,,9990013,10000,,,MGT_Single,AGT_Easy,0,0,1,9990013,6ec7cf
206013,傀儡战将,CT_Monster,80012,9980012,,9980012,10000,,,MGT_Single,AGT_Easy,0,0,1,9980012,82b4b8
206014,天狱魔傀,CT_Boss,9990012,9990012,,9990012,10000,,,MGT_Single,AGT_Easy,0,0,1,9990012,6ec7cf
206015,弯角异妖,CT_Monster,80018,9980018,,9980018,10000,,,MGT_Single,AGT_Easy,0,0,1,9980018,82b4b8
206016,煌罗蛛女,CT_Boss,9990014,9990014,,9990010,10000,,,MGT_Single,AGT_Easy,0,0,1,9990014,6ec7cf
206017,血影魔傀,CT_Monster,80022,9980022_1,,9980018,10000,,,MGT_Single,AGT_Easy,0,0,1,9980022_1,82b4b8
206018,神铁血蛛,CT_Boss,9990010,9990010,,9990010,10000,,,MGT_Single,AGT_Easy,0,0,1,9990010,6ec7cf
206019,牛头魔,CT_Monster,80013,9980013,,9980013,10000,,,MGT_Single,AGT_Easy,0,0,1,9980013,82b4b8
206020,罗睺,CT_Boss,9990011,9990011,,9990011,10000,,,MGT_Single,AGT_Easy,0,0,1,9990011,6ec7cf
206021,无间门死士,CT_Monster,80024,9980024,,9980024,10000,,,MGT_Single,AGT_Easy,0,0,1,9980024,82b4b8
206022,无间神王,CT_Boss,9990009,9990009,,9990009,10000,,,MGT_Single,AGT_Easy,0,0,1,9990009,6ec7cf
206101,暗影豹,CT_Monster,80005,9980005,,9980005,10000,,,MGT_Single,AGT_Easy,0,0,1,9980005,82b4b8
206103,狱山灵猴,CT_Monster,80023,9980023,,99800123,10000,,,MGT_Single,AGT_Easy,0,0,1,9980023,82b4b8
206105,赤练蛇,CT_Monster,80020,9980020,,9980020,10000,,,MGT_Single,AGT_Easy,0,0,1,9980020,82b4b8
206107,下级神魔,CT_Monster,80017,9980017,,9980017,10000,,,MGT_Single,AGT_Easy,0,0,1,9980017,82b4b8
206109,犀魔怪,CT_Monster,80010,9980010,,9980010,10000,,,MGT_Single,AGT_Easy,0,0,1,9980010,82b4b8
206111,天机穷奇,CT_Monster,80021,9980021,,9980021,10000,,,MGT_Single,AGT_Easy,0,0,1,9980021,82b4b8
206113,傀儡战将,CT_Monster,80012,9980012,,9980012,10000,,,MGT_Single,AGT_Easy,0,0,1,9980012,82b4b8
206115,弯角异妖,CT_Monster,80018,9980018,,9980018,10000,,,MGT_Single,AGT_Easy,0,0,1,9980018,82b4b8
206117,血影魔傀,CT_Monster,80022,9980022_1,,9980018,10000,,,MGT_Single,AGT_Easy,0,0,1,9980022_1,82b4b8
206119,牛头魔,CT_Monster,80013,9980013,,9980013,10000,,,MGT_Single,AGT_Easy,0,0,1,9980013,82b4b8
206121,无间门死士,CT_Monster,80024,9980024,,9980024,10000,,,MGT_Single,AGT_Easy,0,0,1,9980024,82b4b8
206201,精英·暗影豹,CT_Boss,80005,9980005,,9980005,10000,,,MGT_Single,AGT_Easy,0,0,1,9980005,6ec7cf
206203,精英·狱山灵猴,CT_Boss,80023,9980023,,99800123,10000,,,MGT_Single,AGT_Easy,0,0,1,9980023,6ec7cf
206205,精英·赤练蛇,CT_Boss,80020,9980020,,9980020,10000,,,MGT_Single,AGT_Easy,0,0,1,9980020,6ec7cf
206207,精英·下级神魔,CT_Boss,80017,9980017,,9980017,10000,,,MGT_Single,AGT_Easy,0,0,1,9980017,6ec7cf
206209,精英·犀魔怪,CT_Boss,80010,9980010,,9980010,10000,,,MGT_Single,AGT_Easy,0,0,1,9980010,6ec7cf
206211,精英·天机穷奇,CT_Boss,80021,9980021,,9980021,10000,,,MGT_Single,AGT_Easy,0,0,1,9980021,6ec7cf
206213,精英·傀儡战将,CT_Boss,80012,9980012,,9980012,10000,,,MGT_Single,AGT_Easy,0,0,1,9980012,6ec7cf
206215,精英·弯角异妖,CT_Boss,80018,9980018,,9980018,10000,,,MGT_Single,AGT_Easy,0,0,1,9980018,6ec7cf
206217,精英·血影魔傀,CT_Boss,80022,9980022_1,,9980018,10000,,,MGT_Single,AGT_Easy,0,0,1,9980022_1,6ec7cf
206219,精英·牛头魔,CT_Boss,80013,9980013,,9980013,10000,,,MGT_Single,AGT_Easy,0,0,1,9980013,6ec7cf
206221,精英·无间门死士,CT_Boss,80024,9980024,,9980024,10000,,,MGT_Single,AGT_Easy,0,0,1,9980024,6ec7cf
207001,真·金毛罴妖王,CT_Boss,9990001,9990001,,9990001,10000,,,MGT_Single,AGT_Easy,0,0,1,9990001,6ec7cf
207002,真·妖魔相柳,CT_Boss,9990013,9990013,,9990013,10000,,,MGT_Single,AGT_Easy,0,0,1,9990013,6ec7cf
207003,真·天狱魔傀,CT_Boss,9990012,9990012,,9990012,10000,,,MGT_Single,AGT_Easy,0,0,1,9990012,6ec7cf
207004,真·煌罗蛛女,CT_Boss,9990014,9990014,,9990014,10000,,,MGT_Single,AGT_Easy,0,0,1,9990014,6ec7cf
207005,真·神铁血蛛,CT_Boss,9990010,9990010,,9990014,10000,,,MGT_Single,AGT_Easy,0,0,1,9990010,6ec7cf
207006,真·罗睺天王,CT_Boss,9990011,9990011,,9990011,10000,,,MGT_Single,AGT_Easy,0,0,1,9990011,6ec7cf
207007,真·无间神王,CT_Boss,9990009,9990009,,9990009,10000,,,MGT_Single,AGT_Easy,0,0,1,9990009,6ec7cf
208000,古域战灵,CT_Monster,80002,9980002,,9980002,10000,,,MGT_Single,AGT_Easy,0,0,1,9980002,82b4b8
208001,金毛古猿,CT_Monster,80006,9980006,,9980006,10000,,,MGT_Single,AGT_Easy,0,0,1,9980006,82b4b8
208002,寒河犀妖,CT_Monster,80010,9980010,,9990010,10000,,,MGT_Single,AGT_Easy,0,0,1,9980010,82b4b8
208003,离火妖蛇,CT_Monster,80020,9980020,,9980020,10000,,,MGT_Single,AGT_Easy,0,0,1,9980020,82b4b8
208004,赤皮裸猿,CT_Monster,80023,9980023,,9980023,10000,,,MGT_Single,AGT_Easy,0,0,1,9980023,82b4b8
208005,蛮骨妖灵,CT_Monster,80017,9980017,,9980017,10000,,,MGT_Single,AGT_Easy,0,0,1,9980017,82b4b8
208006,食火鸟,CT_Monster,80008,9980008,,9980008,10000,,,MGT_Single,AGT_Easy,0,0,1,9980008,82b4b8
208007,上古凶兽,CT_Monster,80011,9980011,,9980011,10000,,,MGT_Single,AGT_Easy,0,0,1,9980011,82b4b8
208008,蛮神信徒,CT_Monster,80024,9980024,,9980024,10000,,,MGT_Single,AGT_Easy,0,0,1,9980024,82b4b8
208009,古域魔灵,CT_Monster,80018,9980018,,9980018,10000,,,MGT_Single,AGT_Easy,0,0,1,9980018,82b4b8
208010,朽木奇傀,CT_Monster,80022,9980022_1,,9980022_1,10000,,,MGT_Single,AGT_Easy,0,0,1,9980022_1,82b4b8
208011,蛮角牛魔,CT_Monster,80013,9980013,,9980013,10000,,,MGT_Single,AGT_Easy,0,0,1,9980013,82b4b8
208012,蛮神蚩尤,CT_Boss,9990011_1,9990011_1,,9990011,10000,,,MGT_Single,AGT_Easy,0,0,1,9990011,6ec7cf
209001,赤纹蛇,CT_Monster,80020,9980020,,9980020,10000,,,MGT_Single,AGT_Easy,0,0,1,9980020,82b4b8
209002,愤怒妖蛇,CT_Boss,9990013,9990013,,9990013,10000,,,MGT_Single,AGT_Easy,0,0,1,9990013,6ec7cf
209003,青皮妖,CT_Monster,80018,9980018,,9980018,10000,,,MGT_Single,AGT_Easy,0,0,1,9980018,82b4b8
209004,愤怒角魔,CT_Boss,9990015,9990015,,9990015,10000,,,MGT_Single,AGT_Easy,0,0,1,9990015,6ec7cf
209005,炎羽雀,CT_Monster,80008,9980008,,9980008,10000,,,MGT_Single,AGT_Easy,0,0,1,9980008,82b4b8
209006,愤怒神鹰,CT_Boss,9990002,9990002,,9990002,10000,,,MGT_Single,AGT_Easy,0,0,1,9990002,6ec7cf
209007,妖邪傀儡,CT_Monster,80022,9980022_1,,9980022_1,10000,,,MGT_Single,AGT_Easy,0,0,1,9980022_1,82b4b8
209008,愤怒邪蛛,CT_Boss,9990010,9990010,,9990010,10000,,,MGT_Single,AGT_Easy,0,0,1,9990010,6ec7cf
209009,赤皮妖,CT_Monster,80017,9980017,,9980017,10000,,,MGT_Single,AGT_Easy,0,0,1,9980017,82b4b8
209010,愤怒炎鬼,CT_Boss,9990006,9990006,,9990006,10000,,,MGT_Single,AGT_Easy,0,0,1,9990006,6ec7cf
209011,神王护卫,CT_Monster,80024,9980024,,9980024,10000,,,MGT_Single,AGT_Easy,0,0,1,9980024,82b4b8
209012,愤怒神王,CT_Boss,9990009,9990009,,9990009,10000,,,MGT_Single,AGT_Easy,0,0,1,9990009,6ec7cf
209101,真·道祖灵蛛,CT_Boss,9990010,9990010,,9990010,10000,,,MGT_Single,AGT_Easy,0,0,1,9990010,6ec7cf
209102,妖蛇灵魂,CT_Monster,80025,9980025,,9980025,10000,,,MGT_Single,AGT_Easy,0,0,1,90018_2,82b4b8
209104,角魔灵魂,CT_Monster,80025,9980025,,9980025,10000,,,MGT_Single,AGT_Easy,0,0,1,100039_2,82b4b8
209106,神鹰灵魂,CT_Monster,80025,9980025,,9980025,10000,,,MGT_Single,AGT_Easy,0,0,1,90018_3,82b4b8
209108,邪蛛灵魂,CT_Monster,80025,9980025,,9980025,10000,,,MGT_Single,AGT_Easy,0,0,1,100039_3,82b4b8
209110,炎鬼灵魂,CT_Monster,80025,9980025,,9980025,10000,,,MGT_Single,AGT_Easy,0,0,1,90018_4,82b4b8
209112,神王灵魂,CT_Monster,80025,9980025,,9980025,10000,,,MGT_Single,AGT_Easy,0,0,1,100039_4,82b4b8
209201,真·弯角母皇,CT_Boss,9990014,9990014,,9990014,10000,,,MGT_Single,AGT_Easy,0,0,1,9990014,6ec7cf
209301,真·古神罗睺,CT_Boss,9990011,9990011,,9990011,10000,,,MGT_Single,AGT_Easy,0,0,1,9990011,6ec7cf
219401,精英·赤火猴,CT_Monster,80023,9980023,,9980023,10000,,,MGT_Single,AGT_Easy,0,0,1,9980023,82b4b8
219402,白首狂猿,CT_Boss,9990005,9990005,,9990005,10000,,,MGT_Single,AGT_Easy,0,0,1,9990005,6ec7cf
219403,精英·黑心兽,CT_Monster,80005,9980005,,9980005,10000,,,MGT_Single,AGT_Easy,0,0,1,9980005,82b4b8
219404,豪腕战熊,CT_Boss,9990001,9990001,,9990001,10000,,,MGT_Single,AGT_Easy,0,0,1,9990001,6ec7cf
219405,精英·幻炎雀,CT_Monster,80008,9980008,,9980008,10000,,,MGT_Single,AGT_Easy,0,0,1,9980008,82b4b8
219406,金羽神鹰,CT_Boss,9990002,9990002,,9990002,10000,,,MGT_Single,AGT_Easy,0,0,1,9990002,6ec7cf
219407,精英·牛头怪,CT_Monster,80013,9980013,,9980013,10000,,,MGT_Single,AGT_Easy,0,0,1,9980013,82b4b8
219408,啸天兽王,CT_Boss,9990003,9990003,,9990003,10000,,,MGT_Single,AGT_Easy,0,0,1,9990003,6ec7cf
219409,精英·奇面妖,CT_Monster,80017,9980017,,9980017,10000,,,MGT_Single,AGT_Easy,0,0,1,9980017,82b4b8
219410,怒发炎魔,CT_Boss,9990006,9990006,,9990006,10000,,,MGT_Single,AGT_Easy,0,0,1,9990006,6ec7cf
219411,精英·异面鬼,CT_Monster,80018,9980018,,9980018,10000,,,MGT_Single,AGT_Easy,0,0,1,9980018,82b4b8
219412,异界邪灵,CT_Boss,9990015,9990015,,9990015,10000,,,MGT_Single,AGT_Easy,0,0,1,9990015,6ec7cf
219413,精英·独角魔,CT_Monster,80010,9980010,,9980010,10000,,,MGT_Single,AGT_Easy,0,0,1,9980010,82b4b8
219414,虚空影魔,CT_Boss,9990016,9990016,,9990016,10000,,,MGT_Single,AGT_Easy,0,0,1,9990016,6ec7cf
219415,精英·半龙人,CT_Monster,80011,9980011,,9980011,10000,,,MGT_Single,AGT_Easy,0,0,1,9980011,82b4b8
219416,钢铠龙士,CT_Boss,9990007,9990007,,9990007,10000,,,MGT_Single,AGT_Easy,0,0,1,9990007,6ec7cf
219417,精英·苍尾狐,CT_Monster,80019,9980019,,9980019,10000,,,MGT_Single,AGT_Easy,0,0,1,9980019,82b4b8
219418,腐域冥蛇,CT_Boss,9990008,9990008,,9990008,10000,,,MGT_Single,AGT_Easy,0,0,1,9990008,6ec7cf
219419,精英·半鱼人,CT_Monster,80009,9980009_1,,9980009_1,10000,,,MGT_Single,AGT_Easy,0,0,1,9980009_1,82b4b8
219420,古海灵将,CT_Boss,9990004,9990004,,9990004,10000,,,MGT_Single,AGT_Easy,0,0,1,9990004,6ec7cf
219421,精英·苍斗士,CT_Monster,80004,9980004_2,,9980004_2,10000,,,MGT_Single,AGT_Easy,0,0,1,9980004_2,82b4b8
219422,苍茫斗神,CT_Boss,9990011,9990011,,9990011,10000,,,MGT_Single,AGT_Easy,0,0,1,9990011,6ec7cf
229401,精英·赤涎蛇,CT_Monster,80020,9980020,,9980020,10000,,,MGT_Single,AGT_Easy,0,0,1,9980020,82b4b8
229402,炎河巨蟒,CT_Boss,9990008,9990008_1,,9990008_1,10000,,,MGT_Single,AGT_Easy,0,0,1,9990008_1,6ec7cf
229403,精英·地灵铠,CT_Monster,80012,9980012,,9980012,10000,,,MGT_Single,AGT_Easy,0,0,1,9980012,82b4b8
229404,九首地龙,CT_Boss,9990013,9990013,,9990013,10000,,,MGT_Single,AGT_Easy,0,0,1,9990013,6ec7cf
229405,精英·翼甲兽,CT_Monster,80021,9980021,,9980021,10000,,,MGT_Single,AGT_Easy,0,0,1,9980021,82b4b8
229406,血刃灵蛛,CT_Boss,9990010,9990010,,9990010,10000,,,MGT_Single,AGT_Easy,0,0,1,9990010,6ec7cf
229407,精英·双刃傀,CT_Monster,80021,9980022_1,,9980022_1,10000,,,MGT_Single,AGT_Easy,0,0,1,9980022_1,82b4b8
