id,level,health,magic,minattack,maxattack,mindefence,maxdefence,crit,toughness,hit,dodge,profession,speed
251,4061,34160,34160,234,547,102,239,244,171,171,244,2,61
252,4062,35154,35154,241,562,105,246,251,176,176,251,2,61
253,4063,36162,36162,248,579,108,253,258,181,181,258,2,61
254,4064,37184,37184,255,595,112,260,266,186,186,266,2,61
255,4065,38220,38220,262,612,115,268,273,191,191,273,2,61
256,5060,38220,38220,262,612,115,268,273,191,191,273,2,61
257,5061,38220,38220,262,612,115,268,273,191,191,273,2,61
258,5062,38220,38220,262,612,115,268,273,191,191,273,2,61
259,5063,38220,38220,262,612,115,268,273,191,191,273,2,61
260,5064,38220,38220,262,612,115,268,273,191,191,273,2,61
261,5065,38220,38220,262,612,115,268,273,191,191,273,2,61
262,5066,39270,39270,269,628,118,275,281,196,196,281,2,61
263,5067,40334,40334,277,645,121,282,288,202,202,288,2,61
264,5068,41412,41412,284,663,124,290,296,207,207,296,2,61
265,5069,42504,42504,291,680,128,298,304,213,213,304,2,61
266,5070,43610,43610,299,698,131,305,312,218,218,312,2,61
267,6065,43610,43610,299,698,131,305,312,218,218,312,2,61
268,6066,43610,43610,299,698,131,305,312,218,218,312,2,61
269,6067,43610,43610,299,698,131,305,312,218,218,312,2,61
270,6068,43610,43610,299,698,131,305,312,218,218,312,2,61
271,6069,43610,43610,299,698,131,305,312,218,218,312,2,61
272,6070,43610,43610,299,698,131,305,312,218,218,312,2,61
273,6071,44730,44730,307,716,134,313,320,224,224,320,2,61
274,6072,45864,45864,314,734,138,321,328,229,229,328,2,61
275,6073,47012,47012,322,752,141,329,336,235,235,336,2,61
276,6074,48174,48174,330,771,145,337,344,241,241,344,2,61
277,6075,49350,49350,338,790,148,345,353,247,247,353,2,61
278,7070,49350,49350,338,790,148,345,353,247,247,353,2,61
279,7071,49350,49350,338,790,148,345,353,247,247,353,2,61
280,7072,49350,49350,338,790,148,345,353,247,247,353,2,61
281,7073,49350,49350,338,790,148,345,353,247,247,353,2,61
282,7074,49350,49350,338,790,148,345,353,247,247,353,2,61
283,7075,49350,49350,338,790,148,345,353,247,247,353,2,61
284,7076,50540,50540,347,809,152,354,361,253,253,361,2,61
285,7077,51744,51744,355,828,155,362,370,259,259,370,2,61
286,7078,52962,52962,363,847,159,371,378,265,265,378,2,61
287,7079,54194,54194,372,867,163,379,387,271,271,387,2,61
288,7080,55440,55440,380,887,166,388,396,277,277,396,2,61
289,8075,55440,55440,380,887,166,388,396,277,277,396,2,61
290,8076,55440,55440,380,887,166,388,396,277,277,396,2,61
291,8077,55440,55440,380,887,166,388,396,277,277,396,2,61
292,8078,55440,55440,380,887,166,388,396,277,277,396,2,61
293,8079,55440,55440,380,887,166,388,396,277,277,396,2,61
294,8080,55440,55440,380,887,166,388,396,277,277,396,2,61
295,8081,56700,56700,389,907,170,397,405,284,284,405,2,61
296,8082,57974,57974,398,928,174,406,414,290,290,414,2,61
297,8083,59262,59262,406,948,178,415,423,296,296,423,2,61
298,8084,60564,60564,415,969,182,424,433,303,303,433,2,61
299,8085,61880,61880,424,990,186,433,442,309,309,442,2,61
300,9080,61880,61880,424,990,186,433,442,309,309,442,2,61
301,9081,61880,61880,424,990,186,433,442,309,309,442,2,61
302,9082,61880,61880,424,990,186,433,442,309,309,442,2,61
303,9083,61880,61880,424,990,186,433,442,309,309,442,2,61
304,9084,61880,61880,424,990,186,433,442,309,309,442,2,61
305,9085,61880,61880,424,990,186,433,442,309,309,442,2,61
306,9086,63210,63210,433,1011,190,442,452,316,316,452,2,61
307,9087,64554,64554,443,1033,194,452,461,323,323,461,2,61
308,9088,65912,65912,452,1055,198,461,471,330,330,471,2,61
309,9089,67284,67284,461,1077,202,471,481,336,336,481,2,61
310,9090,68670,68670,471,1099,206,481,491,343,343,491,2,61
311,10085,68670,68670,471,1099,206,481,491,343,343,491,2,61
312,10086,68670,68670,471,1099,206,481,491,343,343,491,2,61
313,10087,68670,68670,471,1099,206,481,491,343,343,491,2,61
314,10088,68670,68670,471,1099,206,481,491,343,343,491,2,61
315,10089,68670,68670,471,1099,206,481,491,343,343,491,2,61
316,10090,68670,68670,471,1099,206,481,491,343,343,491,2,61
317,10091,70070,70070,480,1121,210,490,501,350,350,501,2,61
318,10092,71484,71484,490,1144,214,500,511,357,357,511,2,61
319,10093,72912,72912,500,1167,219,510,521,365,365,521,2,61
320,10094,74354,74354,510,1190,223,520,531,372,372,531,2,61
321,10095,75810,75810,520,1213,227,531,542,379,379,542,2,61
322,11090,75810,75810,520,1213,227,531,542,379,379,542,2,61
323,11091,75810,75810,520,1213,227,531,542,379,379,542,2,61
324,11092,75810,75810,520,1213,227,531,542,379,379,542,2,61
325,11093,75810,75810,520,1213,227,531,542,379,379,542,2,61
326,11094,75810,75810,520,1213,227,531,542,379,379,542,2,61
327,11095,75810,75810,520,1213,227,531,542,379,379,542,2,61
328,11096,77280,77280,530,1236,232,541,552,386,386,552,2,61
329,11097,78764,78764,540,1260,236,551,563,394,394,563,2,61
330,11098,80262,80262,550,1284,241,562,573,401,401,573,2,61
331,11099,81774,81774,561,1308,245,572,584,409,409,584,2,61
332,11100,83300,83300,571,1333,250,583,595,417,417,595,2,61
333,1,120,200,1,3,0,1,1,1,1,1,3,61
334,2,252,420,3,6,1,2,2,2,1,2,3,61
335,3,396,660,4,9,1,3,3,3,2,3,3,61
336,4,552,920,6,13,2,4,4,4,3,4,3,61
337,5,720,1200,7,17,2,5,5,5,4,5,3,61
338,6,900,1500,9,21,3,6,6,6,5,6,3,61
339,7,1092,1820,11,25,3,8,7,7,6,7,3,61
340,8,1296,2160,13,30,4,9,9,9,8,9,3,61
341,9,1512,2520,15,35,5,11,10,10,9,10,3,61
342,10,1740,2900,17,41,5,12,12,12,10,12,3,61
343,11,1980,3300,20,46,6,14,13,13,12,13,3,61
344,12,2232,3720,22,52,7,16,15,15,13,15,3,61
345,13,2496,4160,25,58,7,17,17,17,15,17,3,61
346,14,2772,4620,28,65,8,19,18,18,16,18,3,61
347,15,3060,5100,31,71,9,21,20,20,18,20,3,61
348,16,3360,5600,34,78,10,24,22,22,20,22,3,61
349,17,3672,6120,37,86,11,26,24,24,21,24,3,61
350,18,3996,6660,40,93,12,28,27,27,23,27,3,61
351,19,4332,7220,43,101,13,30,29,29,25,29,3,61
352,20,4680,7800,47,109,14,33,31,31,27,31,3,61
353,21,5040,8400,50,118,15,35,34,34,29,34,3,61
354,22,5412,9020,54,126,16,38,36,36,32,36,3,61
355,23,5796,9660,58,135,17,41,39,39,34,39,3,61
356,24,6192,10320,62,144,19,43,41,41,36,41,3,61
357,25,6600,11000,66,154,20,46,44,44,39,44,3,61
358,26,7020,11700,70,164,21,49,47,47,41,47,3,61
359,27,7452,12420,75,174,22,52,50,50,43,50,3,61
360,28,7896,13160,79,184,24,55,53,53,46,53,3,61
361,29,8352,13920,84,195,25,58,56,56,49,56,3,61
362,30,8820,14700,88,206,26,62,59,59,51,59,3,61
363,31,9300,15500,93,217,28,65,62,62,54,62,3,61
364,32,9792,16320,98,228,29,69,65,65,57,65,3,61
365,33,10296,17160,103,240,31,72,69,69,60,69,3,61
366,34,10812,18020,108,252,32,76,72,72,63,72,3,61
367,35,11340,18900,113,265,34,79,76,76,66,76,3,61
368,36,11880,19800,119,277,36,83,79,79,69,79,3,61
369,37,12432,20720,124,290,37,87,83,83,73,83,3,61
370,38,12996,21660,130,303,39,91,87,87,76,87,3,61
371,39,13572,22620,136,317,41,95,90,90,79,90,3,61
372,40,14160,23600,142,330,42,99,94,94,83,94,3,61
373,41,14760,24600,148,344,44,103,98,98,86,98,3,61
374,42,15372,25620,154,359,46,108,102,102,90,102,3,61
375,43,15996,26660,160,373,48,112,107,107,93,107,3,61
376,44,16632,27720,166,388,50,116,111,111,97,111,3,61
377,45,17280,28800,173,403,52,121,115,115,101,115,3,61
378,1040,17280,28800,173,403,52,121,115,115,101,115,3,61
379,1041,17280,28800,173,403,52,121,115,115,101,115,3,61
380,1042,17280,28800,173,403,52,121,115,115,101,115,3,61
381,1043,17280,28800,173,403,52,121,115,115,101,115,3,61
382,1044,17280,28800,173,403,52,121,115,115,101,115,3,61
383,1045,17280,28800,173,403,52,121,115,115,101,115,3,61
384,1046,17940,29900,179,419,54,126,120,120,105,120,3,61
385,1047,18612,31020,186,434,56,130,124,124,109,124,3,61
386,1048,19296,32160,193,450,58,135,129,129,113,129,3,61
387,1049,19992,33320,200,466,60,140,133,133,117,133,3,61
388,1050,20700,34500,207,483,62,145,138,138,121,138,3,61
389,2045,20700,34500,207,483,62,145,138,138,121,138,3,61
390,2046,20700,34500,207,483,62,145,138,138,121,138,3,61
391,2047,20700,34500,207,483,62,145,138,138,121,138,3,61
392,2048,20700,34500,207,483,62,145,138,138,121,138,3,61
393,2049,20700,34500,207,483,62,145,138,138,121,138,3,61
394,2050,20700,34500,207,483,62,145,138,138,121,138,3,61
395,2051,21420,35700,214,500,64,150,143,143,125,143,3,61
396,2052,22152,36920,222,517,66,155,148,148,129,148,3,61
397,2053,22896,38160,229,534,69,160,153,153,134,153,3,61
398,2054,23652,39420,237,552,71,166,158,158,138,158,3,61
399,2055,24420,40700,244,570,73,171,163,163,142,163,3,61
400,3050,24420,40700,244,570,73,171,163,163,142,163,3,61
401,3051,24420,40700,244,570,73,171,163,163,142,163,3,61
402,3052,24420,40700,244,570,73,171,163,163,142,163,3,61
403,3053,24420,40700,244,570,73,171,163,163,142,163,3,61
404,3054,24420,40700,244,570,73,171,163,163,142,163,3,61
405,3055,24420,40700,244,570,73,171,163,163,142,163,3,61
406,3056,25200,42000,252,588,76,176,168,168,147,168,3,61
407,3057,25992,43320,260,606,78,182,173,173,152,173,3,61
408,3058,26796,44660,268,625,80,188,179,179,156,179,3,61
409,3059,27612,46020,276,644,83,193,184,184,161,184,3,61
410,3060,28440,47400,284,664,85,199,190,190,166,190,3,61
411,4055,28440,47400,284,664,85,199,190,190,166,190,3,61
412,4056,28440,47400,284,664,85,199,190,190,166,190,3,61
413,4057,28440,47400,284,664,85,199,190,190,166,190,3,61
414,4058,28440,47400,284,664,85,199,190,190,166,190,3,61
415,4059,28440,47400,284,664,85,199,190,190,166,190,3,61
416,4060,28440,47400,284,664,85,199,190,190,166,190,3,61
417,4061,29280,48800,293,683,88,205,195,195,171,195,3,61
418,4062,30132,50220,301,703,90,211,201,201,176,201,3,61
419,4063,30996,51660,310,723,93,217,207,207,181,207,3,61
420,4064,31872,53120,319,744,96,223,212,212,186,212,3,61
421,4065,32760,54600,328,764,98,229,218,218,191,218,3,61
422,5060,32760,54600,328,764,98,229,218,218,191,218,3,61
423,5061,32760,54600,328,764,98,229,218,218,191,218,3,61
424,5062,32760,54600,328,764,98,229,218,218,191,218,3,61
425,5063,32760,54600,328,764,98,229,218,218,191,218,3,61
426,5064,32760,54600,328,764,98,229,218,218,191,218,3,61
427,5065,32760,54600,328,764,98,229,218,218,191,218,3,61
428,5066,33660,56100,337,785,101,236,224,224,196,224,3,61
429,5067,34572,57620,346,807,104,242,230,230,202,230,3,61
430,5068,35496,59160,355,828,106,248,237,237,207,237,3,61
431,5069,36432,60720,364,850,109,255,243,243,213,243,3,61
432,5070,37380,62300,374,872,112,262,249,249,218,249,3,61
433,6065,37380,62300,374,872,112,262,249,249,218,249,3,61
434,6066,37380,62300,374,872,112,262,249,249,218,249,3,61
435,6067,37380,62300,374,872,112,262,249,249,218,249,3,61
436,6068,37380,62300,374,872,112,262,249,249,218,249,3,61
437,6069,37380,62300,374,872,112,262,249,249,218,249,3,61
438,6070,37380,62300,374,872,112,262,249,249,218,249,3,61
439,6071,38340,63900,383,895,115,268,256,256,224,256,3,61
440,6072,39312,65520,393,917,118,275,262,262,229,262,3,61
441,6073,40296,67160,403,940,121,282,269,269,235,269,3,61
442,6074,41292,68820,413,963,124,289,275,275,241,275,3,61
443,6075,42300,70500,423,987,127,296,282,282,247,282,3,61
444,7070,42300,70500,423,987,127,296,282,282,247,282,3,61
445,7071,42300,70500,423,987,127,296,282,282,247,282,3,61
446,7072,42300,70500,423,987,127,296,282,282,247,282,3,61
447,7073,42300,70500,423,987,127,296,282,282,247,282,3,61
448,7074,42300,70500,423,987,127,296,282,282,247,282,3,61
449,7075,42300,70500,423,987,127,296,282,282,247,282,3,61
450,7076,43320,72200,433,1011,130,303,289,289,253,289,3,61
451,7077,44352,73920,444,1035,133,310,296,296,259,296,3,61
452,7078,45396,75660,454,1059,136,318,303,303,265,303,3,61
