id,level,winexp,loseexp,objectid,number_win,number_lose,gold_win,gold_lose
46,3057,162450,81225,215503001,2000,1000,30000,15000
47,3058,168200,84100,215503001,2000,1000,30000,15000
48,3059,174050,87025,215503001,2000,1000,30000,15000
49,3060,180000,90000,215503001,2000,1000,30000,15000
50,4055,151250,75625,215503001,2000,1000,30000,15000
51,4056,156800,78400,215503001,2000,1000,30000,15000
52,4057,162450,81225,215503001,2000,1000,30000,15000
53,4058,168200,84100,215503001,2000,1000,30000,15000
54,4059,174050,87025,215503001,2000,1000,30000,15000
55,4060,180000,90000,215503001,2000,1000,30000,15000
56,4061,186050,93025,215503001,2000,1000,30000,15000
57,4062,192200,96100,215503001,2000,1000,30000,15000
58,4063,198450,99225,215503001,2000,1000,30000,15000
59,4064,204800,102400,215503001,2000,1000,30000,15000
60,4065,211250,105625,215503001,2000,1000,30000,15000
61,5060,180000,90000,215503001,2000,1000,30000,15000
62,5061,186050,93025,215503001,2000,1000,30000,15000
63,5062,192200,96100,215503001,2000,1000,30000,15000
64,5063,198450,99225,215503001,2000,1000,30000,15000
65,5064,204800,102400,215503001,2000,1000,30000,15000
66,5065,211250,105625,215503001,2000,1000,30000,15000
67,5066,217800,108900,215503001,2000,1000,30000,15000
68,5067,224450,112225,215503001,2000,1000,30000,15000
69,5068,231200,115600,215503001,2000,1000,30000,15000
70,5069,238050,119025,215503001,2000,1000,30000,15000
71,5070,245000,122500,215503001,2000,1000,30000,15000
72,6065,211250,105625,215503001,2000,1000,30000,15000
73,6066,217800,108900,215503001,2000,1000,30000,15000
74,6067,224450,112225,215503001,2000,1000,30000,15000
75,6068,231200,115600,215503001,2000,1000,30000,15000
76,6069,238050,119025,215503001,2000,1000,30000,15000
77,6070,245000,122500,215503001,2000,1000,30000,15000
78,6071,252050,126025,215503001,2000,1000,30000,15000
79,6072,259200,129600,215503001,2000,1000,30000,15000
80,6073,266450,133225,215503001,2000,1000,30000,15000
81,6074,273800,136900,215503001,2000,1000,30000,15000
82,6075,281250,140625,215503001,2000,1000,30000,15000
83,7070,245000,122500,215503001,2000,1000,30000,15000
84,7071,252050,126025,215503001,2000,1000,30000,15000
85,7072,259200,129600,215503001,2000,1000,30000,15000
86,7073,266450,133225,215503001,2000,1000,30000,15000
87,7074,273800,136900,215503001,2000,1000,30000,15000
88,7075,281250,140625,215503001,2000,1000,30000,15000
89,7076,288800,144400,215503001,2000,1000,30000,15000
90,7077,296450,148225,215503001,2000,1000,30000,15000
91,7078,304200,152100,215503001,2000,1000,30000,15000
92,7079,312050,156025,215503001,2000,1000,30000,15000
93,7080,320000,160000,215503001,2000,1000,30000,15000
94,8075,281250,140625,215503001,2000,1000,30000,15000
95,8076,288800,144400,215503001,2000,1000,30000,15000
96,8077,296450,148225,215503001,2000,1000,30000,15000
97,8078,304200,152100,215503001,2000,1000,30000,15000
98,8079,312050,156025,215503001,2000,1000,30000,15000
99,8080,320000,160000,215503001,2000,1000,30000,15000
100,8081,328050,164025,215503001,2000,1000,30000,15000
101,8082,336200,168100,215503001,2000,1000,30000,15000
102,8083,344450,172225,215503001,2000,1000,30000,15000
103,8084,352800,176400,215503001,2000,1000,30000,15000
104,8085,361250,180625,215503001,2000,1000,30000,15000
105,9080,320000,160000,215503001,2000,1000,30000,15000
106,9081,328050,164025,215503001,2000,1000,30000,15000
107,9082,336200,168100,215503001,2000,1000,30000,15000
108,9083,344450,172225,215503001,2000,1000,30000,15000
109,9084,352800,176400,215503001,2000,1000,30000,15000
110,9085,361250,180625,215503001,2000,1000,30000,15000
111,9086,369800,184900,215503001,2000,1000,30000,15000
112,9087,378450,189225,215503001,2000,1000,30000,15000
113,9088,387200,193600,215503001,2000,1000,30000,15000
114,9089,396050,198025,215503001,2000,1000,30000,15000
115,9090,405000,202500,215503001,2000,1000,30000,15000
116,10085,361250,180625,215503001,2000,1000,30000,15000
117,10086,369800,184900,215503001,2000,1000,30000,15000
118,10087,378450,189225,215503001,2000,1000,30000,15000
119,10088,387200,193600,215503001,2000,1000,30000,15000
120,10089,396050,198025,215503001,2000,1000,30000,15000
121,10090,405000,202500,215503001,2000,1000,30000,15000
122,10091,414050,207025,215503001,2000,1000,30000,15000
123,10092,423200,211600,215503001,2000,1000,30000,15000
124,10093,432450,216225,215503001,2000,1000,30000,15000
125,10094,441800,220900,215503001,2000,1000,30000,15000
126,10095,451250,225625,215503001,2000,1000,30000,15000
127,11090,405000,202500,215503001,2000,1000,30000,15000
128,11091,414050,207025,215503001,2000,1000,30000,15000
129,11092,423200,211600,215503001,2000,1000,30000,15000
130,11093,432450,216225,215503001,2000,1000,30000,15000
131,11094,441800,220900,215503001,2000,1000,30000,15000
132,11095,451250,225625,215503001,2000,1000,30000,15000
133,11096,460800,230400,215503001,2000,1000,30000,15000
134,11097,470450,235225,215503001,2000,1000,30000,15000
135,11098,480200,240100,215503001,2000,1000,30000,15000
136,11099,490050,245025,215503001,2000,1000,30000,15000
137,11100,500000,250000,215503001,2000,1000,30000,15000
