id,typeid,objectid,number,bind,profession
149,5001,173304007,10,1,0
150,5001,195402001,5,1,0
151,5002,173304007,10,1,0
152,5002,195402001,5,1,0
153,5003,173304007,10,1,0
154,5003,195402001,5,1,0
155,5004,173304007,20,1,0
156,5004,195402001,5,1,0
157,5005,173304007,20,1,0
158,5005,195402001,10,1,0
159,5005,182353001,1,1,0
160,5006,173304007,20,1,0
161,5006,195402001,10,1,0
162,5007,173304007,20,1,0
163,5007,194402002,5,1,0
164,5008,173304007,20,1,0
165,5008,194402002,5,1,0
166,5009,173304007,20,1,0
167,5009,194402002,5,1,0
168,5010,173304007,20,1,0
169,5010,194402002,5,1,0
170,5011,173304007,20,1,0
171,5011,194402002,5,1,0
172,5012,173304007,20,1,0
173,5012,194402002,5,1,0
174,5012,182353001,1,1,0
175,5013,173304007,30,1,0
176,5013,194402002,10,1,0
177,5014,173304007,30,1,0
178,5014,194402002,10,1,0
179,5015,173304007,30,1,0
180,5015,194402002,10,1,0
181,5015,182353001,1,1,0
182,5016,173304007,30,1,0
183,5016,194402002,10,1,0
184,5017,173304007,50,1,0
185,5017,194402002,10,1,0
186,5017,182353001,1,1,0
187,5018,173304007,50,1,0
188,5018,193402003,5,1,0
189,5018,182353001,1,1,0
190,5019,173304007,50,1,0
191,5019,193402003,5,1,0
192,5019,182353001,1,1,0
193,5020,173304007,50,1,0
194,5020,193402003,5,1,0
195,5020,182353001,2,1,0
196,5021,173304007,50,1,0
197,5021,193402003,10,1,0
198,5021,182353001,2,1,0
199,5022,173304007,50,1,0
200,5022,193402003,10,1,0
201,5022,182353001,2,1,0
202,5023,173304007,50,1,0
203,5023,193402003,10,1,0
204,5023,182353001,2,1,0
205,5024,173304007,50,1,0
206,5024,192402004,5,1,0
207,5024,182353001,2,1,0
208,5025,173304007,50,1,0
209,5025,192402004,5,1,0
210,5025,182353001,3,1,0
211,5026,173304007,50,1,0
212,5026,192402004,10,1,0
213,5026,182353001,3,1,0
