id,monsterid,skilltypeid,skilllevel
631,401371,902,1
632,401381,905,1
633,401411,1,1
634,401412,911,1
635,401421,2,1
636,401422,2,1
637,401431,2,1
638,401432,2,1
639,401433,2,1
640,401434,2,1
641,401441,2,1
642,401442,2,1
643,401443,903,1
644,401451,914,1
645,401452,913,1
646,401461,901,1
647,401462,915,1
648,401471,902,1
649,401481,905,1
650,401511,1,1
651,401512,911,1
652,401521,2,1
653,401522,2,1
654,401531,2,1
655,401532,2,1
656,401533,2,1
657,401534,2,1
658,401541,2,1
659,401542,2,1
660,401543,903,1
661,401551,914,1
662,401552,913,1
663,401561,901,1
664,401562,915,1
665,401571,902,1
666,401581,905,1
667,401611,1,1
668,401612,911,1
669,401621,2,1
670,401622,2,1
671,401631,2,1
672,401632,2,1
673,401633,2,1
674,401634,2,1
675,401641,2,1
676,401642,2,1
677,401643,903,1
678,401651,914,1
679,401652,913,1
680,401661,901,1
681,401662,915,1
682,401671,902,1
683,401681,905,1
684,401711,1,1
685,401712,911,1
686,401721,2,1
687,401722,2,1
688,401731,2,1
689,401732,2,1
690,401733,2,1
691,401734,2,1
692,401741,2,1
693,401742,2,1
694,401743,903,1
695,401751,914,1
696,401752,913,1
697,401761,901,1
698,401762,915,1
699,401771,902,1
700,401781,905,1
701,601101,900,1
702,601201,911,1
703,601301,905,1
704,601401,906,1
705,601501,907,1
706,601601,914,1
707,601701,910,1
708,602101,900,1
709,602201,911,1
710,602301,905,1
711,602401,906,1
712,602501,907,1
713,602601,914,1
714,602701,910,1
715,603101,900,1
716,603201,911,1
717,603301,905,1
718,603401,906,1
719,603501,907,1
720,603601,914,1
721,603701,910,1
722,604101,900,1
723,604201,911,1
724,604301,905,1
725,604401,906,1
726,604501,907,1
727,604601,914,1
728,604701,910,1
729,504001,902,1
730,504002,915,1
731,504003,901,1
732,504004,903,1
733,504005,907,1
734,504006,905,1
735,504007,910,1
736,503001,900,1
737,503002,906,1
738,503003,911,1
739,503004,912,1
740,503005,909,1
741,503006,908,1
742,508001,2,1
743,509001,2,1
744,509002,2,1
745,509003,2,1
746,509004,1,1
747,509005,902,1
748,509006,2,1
749,509007,2,1
750,509008,2,1
751,509009,1,1
752,509010,913,1
753,509011,2,1
754,509012,2,1
755,509013,2,1
756,509014,1,1
757,509015,905,1
758,509016,2,1
759,509017,2,1
760,509018,2,1
761,509019,1,1
762,509020,911,1
763,509101,2,1
764,509102,2,1
765,509103,2,1
766,509104,1,1
767,509105,902,1
768,509106,2,1
769,509107,2,1
770,509108,2,1
771,509109,1,1
772,509110,913,1
773,509111,2,1
774,509112,2,1
775,509113,2,1
776,509114,1,1
777,509115,905,1
778,509116,2,1
779,509117,2,1
780,509118,2,1
781,509119,1,1
782,509120,911,1
783,509201,2,1
784,509202,2,1
785,509203,2,1
786,509204,1,1
787,509205,902,1
788,509206,2,1
789,509207,2,1
790,509208,2,1
791,509209,1,1
792,509210,913,1
793,509211,2,1
794,509212,2,1
795,509213,2,1
796,509214,1,1
797,509215,905,1
798,509216,2,1
799,509217,2,1
800,509218,2,1
801,509219,1,1
802,509220,911,1
803,506001,2,1
804,506002,2,1
805,506003,2,1
806,506004,1,1
807,506005,902,1
808,506006,906,1
809,506007,915,1
810,506008,901,1
811,601101,300004,1
812,602101,300004,1
813,603101,300004,1
814,604101,300004,1
815,601102,300006,1
816,602102,300006,1
817,603102,300006,1
818,604102,300006,1
819,601201,300005,1
820,602201,300005,1
821,603201,300005,1
822,604201,300005,1
823,601202,300007,1
824,602202,300007,1
825,603202,300007,1
826,604202,300007,1
827,601301,300008,1
828,602301,300008,1
829,603301,300008,1
830,604301,300008,1
831,601401,300009,1
832,602401,300009,1
833,603401,300009,1
834,604401,300009,1
835,601501,300010,1
836,602501,300010,1
837,603501,300010,1
838,604501,300010,1
839,601601,300011,1
840,602601,300011,1
841,603601,300011,1
842,604601,300011,1
843,601701,300012,1
844,602701,300012,1
845,603701,300012,1
846,604701,300012,1
847,507001,1,1
848,300004,100101,1
849,300004,100102,1
850,300004,100103,1
851,300004,100104,1
852,505001,2,1
853,505002,2,1
854,505003,2,1
855,505004,2,1
856,301401,1,1
857,301402,2,1
858,301403,903,1
859,302401,2,1
860,302402,2,1
861,302403,2,1
862,302404,1,1
863,302405,2,1
864,300001,300013,1
865,911001,2,1
866,911002,2,1
867,911003,2,1
868,911004,1,1
869,911005,2,1
870,911099,902,1
871,911101,2,1
872,911102,2,1
873,911103,2,1
874,911104,2,1
875,911105,1,1
876,911199,914,1
877,912001,2,1
878,912002,2,1
879,912003,2,1
880,912004,1,1
881,912005,2,1
882,912099,902,1
883,912101,2,1
884,912102,2,1
885,912103,2,1
886,912104,2,1
887,912105,1,1
888,912199,914,1
889,913001,2,1
890,913002,2,1
891,913003,2,1
892,913004,1,1
893,913005,2,1
894,913099,902,1
895,913101,2,1
896,913102,2,1
897,913103,2,1
898,913104,2,1
899,913105,1,1
900,913199,914,1
901,914001,2,1
902,914002,2,1
903,914003,2,1
904,914004,1,1
905,914005,2,1
906,914099,902,1
907,914101,2,1
908,914102,2,1
909,914103,2,1
910,914104,2,1
911,914105,1,1
912,914199,914,1
913,915001,2,1
914,915002,2,1
915,915003,2,1
916,915004,1,1
917,915005,2,1
918,915099,902,1
919,915101,2,1
920,915102,2,1
921,915103,2,1
922,915104,2,1
923,915105,1,1
924,915199,914,1
925,916001,2,1
926,916002,2,1
927,916003,2,1
928,916004,1,1
929,916005,2,1
930,916099,902,1
931,916101,2,1
932,916102,2,1
933,916103,2,1
934,916104,2,1
935,916105,1,1
936,916199,914,1
937,917001,2,1
938,917002,2,1
939,917003,2,1
940,917004,1,1
941,917005,2,1
942,917099,902,1
943,917101,2,1
944,917102,2,1
945,917103,2,1
946,917104,2,1
947,917105,1,1
948,917199,914,1
949,918001,2,1
950,918002,2,1
951,918003,2,1
952,918004,1,1
953,918005,2,1
954,918099,902,1
955,918101,2,1
956,918102,2,1
957,918103,2,1
958,918104,2,1
959,918105,1,1
960,918199,914,1
961,920001,900,1
962,920002,900,1
963,920003,900,1
964,920004,900,1
965,920005,900,1
966,920006,900,1
967,920007,900,1
968,920008,900,1
969,930001,905,1
970,930002,905,1
971,930003,905,1
972,930004,905,1
973,930005,905,1
974,930006,905,1
975,930007,905,1
976,930008,905,1
977,206201,1,1
978,206203,2,1
979,206205,2,1
980,206207,2,1
981,206209,2,1
982,206211,1,1
983,206213,1,1
984,206215,2,1
985,206217,2,1
986,206219,2,1
987,206221,2,1
988,206101,1,1
989,206103,2,1
990,206105,2,1
991,206107,2,1
992,206109,2,1
993,206111,1,1
994,206113,1,1
995,206115,2,1
996,206117,2,1
997,206119,2,1
998,206121,2,1
999,208000,1,1
1000,208001,1,1
1001,208002,2,1
1002,208003,2,1
1003,208004,2,1
1004,208005,2,1
1005,208006,1,1
1006,208007,2,1
1007,208008,2,1
1008,208009,1,1
1009,208010,2,1
1010,208011,2,1
1011,208012,910,1
1012,208012,300020,1
1013,860101,2,1
1014,860102,2,1
1015,860103,1,1
1016,860201,2,1
1017,860202,1,1
1018,860203,2,1
1019,860301,1,1
1020,860302,1,1
1021,860303,2,1
1022,860304,1,1
1023,860401,2,1
1024,860402,2,1
1025,860403,1,1
1026,860404,2,1
1027,860405,2,1
1028,860501,913,1
1029,860501,300014,1
1030,860601,2,1
1031,860602,2,1
1032,860603,1,1
1033,860701,2,1
1034,860702,1,1
1035,860703,2,1
1036,860801,1,1
1037,860802,1,1
1038,860803,2,1
1039,860804,1,1
1040,860901,2,1
1041,860902,2,1
1042,860903,1,1
1043,860904,2,1
1044,860905,2,1
1045,861001,911,1
1046,861001,300015,1
1047,861002,24,1
1048,861101,2,1
1049,861102,2,1
1050,861103,1,1
1051,861201,2,1
1052,861202,1,1
1053,861203,2,1
1054,861301,1,1
1055,861302,1,1
1056,861303,2,1
1057,861304,1,1
1058,861401,2,1
1059,861402,2,1
1060,861403,1,1
1061,861404,2,1
1062,861405,2,1
1063,861501,910,1
1064,861501,300016,1
1065,861601,2,1
1066,861602,2,1
1067,861603,1,1
1068,861701,2,1
1069,861702,1,1
1070,861703,2,1
1071,861801,1,1
1072,861802,1,1
1073,861803,2,1
1074,861804,1,1
1075,861901,2,1
1076,861902,2,1
1077,861903,1,1
1078,861904,2,1
1079,861905,2,1
1080,862001,905,1
1081,862001,300017,1
1082,862101,2,1
1083,862102,2,1
1084,862103,1,1
1085,862201,2,1
1086,862202,1,1
1087,862203,2,1
1088,862301,1,1
1089,862302,1,1
1090,862303,2,1
1091,862304,1,1
1092,862401,2,1
1093,862402,2,1
1094,862403,1,1
1095,862404,2,1
1096,862405,2,1
1097,862501,908,1
1098,862501,300018,1
1099,862601,2,1
1100,862602,2,1
1101,862603,1,1
1102,862701,2,1
1103,862702,1,1
1104,862703,2,1
1105,862801,1,1
1106,862802,1,1
1107,862803,2,1
1108,862804,1,1
1109,862901,2,1
1110,862902,2,1
1111,862903,1,1
1112,862904,2,1
1113,862905,2,1
1114,863001,916,1
1115,863002,916,1
1116,863002,300019,1
1117,863001,300019,1
1118,863101,2,1
1119,863102,2,1
1120,863103,1,1
1121,863201,2,1
1122,863202,1,1
1123,863203,2,1
1124,863301,1,1
1125,863302,1,1
1126,863303,2,1
1127,863304,1,1
1128,863401,2,1
1129,863402,2,1
1130,863403,1,1
1131,863404,2,1
1132,863405,2,1
1133,863501,903,1
1134,863501,300026,1
1135,863501,300027,1
1136,863601,2,1
1137,863602,2,1
1138,863603,1,1
1139,863701,2,1
1140,863702,1,1
1141,863703,2,1
1142,863801,1,1
1143,863802,1,1
1144,863803,2,1
1145,863804,1,1
1146,863901,2,1
1147,863902,2,1
1148,863903,1,1
1149,863904,2,1
1150,863905,2,1
1151,864001,901,1
1152,864001,300024,1
1153,864001,300025,1
1154,310001,915,1
1155,310002,901,1
1156,310003,900,1
1157,310004,902,1
1158,310101,915,1
1159,310102,901,1
1160,310103,900,1
1161,310104,902,1
1162,310201,915,1
1163,310202,901,1
1164,310203,900,1
1165,310204,902,1
1166,310301,915,1
1167,310302,901,1
1168,310303,900,1
1169,310304,902,1
1170,311001,1,1
1171,311002,8,1
1172,311003,2,1
1173,311101,1,1
1174,311102,8,1
1175,311103,2,1
1176,311201,1,1
1177,311202,8,1
1178,311203,2,1
1179,311301,1,1
1180,311302,8,1
1181,311303,2,1
1182,312001,1,1
1183,312002,8,1
1184,312003,2,1
1185,312101,1,1
1186,312102,8,1
1187,312103,2,1
1188,312201,1,1
1189,312202,8,1
1190,312203,2,1
1191,312301,1,1
1192,312302,8,1
1193,312303,2,1
1194,313001,903,1
1195,313002,905,1
1196,313003,914,1
1197,313004,912,1
1198,313005,906,1
1199,313006,907,1
1200,313101,903,1
1201,313102,905,1
1202,313103,914,1
1203,313104,912,1
1204,313105,906,1
1205,313106,907,1
1206,313201,903,1
1207,313202,905,1
1208,313203,914,1
1209,313204,912,1
1210,313205,906,1
1211,313206,907,1
1212,313301,903,1
1213,313302,905,1
1214,313303,914,1
1215,313304,912,1
1216,313305,906,1
1217,313306,907,1
1218,300005,911,1
1219,300005,300021,1
1220,300006,2,1
1221,300007,300022,1
1222,300008,2,1
1223,300009,2,1
1224,300013,907,1
1225,300013,300023,1
1226,209101,909,1
1227,209201,913,1
1228,209301,910,1
1229,505005,300034,1
1230,209001,2,1
1231,209002,912,1
1232,209003,1,1
1233,209004,914,1
1234,209005,1,1
1235,209006,901,1
1236,209007,2,1
1237,209008,909,1
1238,209009,2,1
1239,209010,905,1
1240,209011,2,1
1241,209012,908,1
1242,800027,900,1
1243,1011101,400101,1
1244,1012101,400201,1
1245,1013101,400301,1
1246,1014101,400401,1
1247,1011201,400102,1
1248,1012201,400202,1
1249,1013201,400302,1
1250,1014201,400402,1
1251,1011301,400103,1
1252,1012301,400203,1
1253,1013301,400303,1
1254,1014301,400403,1
1255,1015101,401001,1
1256,1021101,400101,1
1257,1022101,400201,1
1258,1023101,400301,1
1259,1024101,400401,1
1260,1021201,400102,1
1261,1022201,400202,1
1262,1023201,400302,1
1263,1024201,400402,1
1264,1021301,400103,1
1265,1022301,400203,1
1266,1023301,400303,1
1267,1024301,400403,1
1268,1025101,401001,1
1269,1031101,400101,1
1270,1032101,400201,1
1271,1033101,400301,1
1272,1034101,400401,1
1273,1031201,400102,1
1274,1032201,400202,1
1275,1033201,400302,1
1276,1034201,400402,1
1277,1031301,400103,1
1278,1032301,400203,1
1279,1033301,400303,1
1280,1034301,400403,1
1281,1035101,401001,1
1282,1041101,400101,1
1283,1042101,400201,1
1284,1043101,400301,1
1285,1044101,400401,1
1286,1041201,400102,1
1287,1042201,400202,1
1288,1043201,400302,1
1289,1044201,400402,1
1290,1041301,400103,1
1291,1042301,400203,1
1292,1043301,400303,1
1293,1044301,400403,1
1294,1045101,401001,1
1295,1051101,400101,1
1296,1052101,400201,1
1297,1053101,400301,1
1298,1054101,400401,1
1299,1051201,400102,1
1300,1052201,400202,1
1301,1053201,400302,1
1302,1054201,400402,1
1303,1051301,400103,1
1304,1052301,400203,1
1305,1053301,400303,1
1306,1054301,400403,1
1307,1055101,401001,1
1308,1061101,400101,1
1309,1062101,400201,1
1310,1063101,400301,1
1311,1064101,400401,1
1312,1061201,400102,1
1313,1062201,400202,1
1314,1063201,400302,1
1315,1064201,400402,1
1316,1061301,400103,1
1317,1062301,400203,1
1318,1063301,400303,1
1319,1064301,400403,1
1320,1065101,401001,1
1321,1071101,400101,1
1322,1072101,400201,1
1323,1073101,400301,1
1324,1074101,400401,1
1325,1071201,400102,1
1326,1072201,400202,1
1327,1073201,400302,1
1328,1074201,400402,1
1329,1071301,400103,1
1330,1072301,400203,1
1331,1073301,400303,1
1332,1074301,400403,1
1333,1075101,401001,1
1334,1081101,400101,1
1335,1082101,400201,1
1336,1083101,400301,1
1337,1084101,400401,1
1338,1081201,400102,1
1339,1082201,400202,1
1340,1083201,400302,1
1341,1084201,400402,1
1342,1081301,400103,1
1343,1082301,400203,1
1344,1083301,400303,1
1345,1084301,400403,1
1346,1085101,401001,1
1347,1091101,400101,1
1348,1092101,400201,1
1349,1093101,400301,1
1350,1094101,400401,1
1351,1091201,400102,1
1352,1092201,400202,1
1353,1093201,400302,1
1354,1094201,400402,1
1355,1091301,400103,1
1356,1092301,400203,1
1357,1093301,400303,1
1358,1094301,400403,1
1359,1095101,401001,1
1360,1101101,400101,1
1361,1102101,400201,1
1362,1103101,400301,1
1363,1104101,400401,1
1364,1101201,400102,1
1365,1102201,400202,1
1366,1103201,400302,1
1367,1104201,400402,1
1368,1101301,400103,1
1369,1102301,400203,1
1370,1103301,400303,1
1371,1104301,400403,1
1372,1105101,401001,1
1373,1111101,400101,1
1374,1112101,400201,1
1375,1113101,400301,1
1376,1114101,400401,1
1377,1111201,400102,1
1378,1112201,400202,1
1379,1113201,400302,1
1380,1114201,400402,1
1381,1111301,400103,1
1382,1112301,400203,1
1383,1113301,400303,1
1384,1114301,400403,1
1385,1115101,401001,1
1386,1121101,400101,1
1387,1122101,400201,1
1388,1123101,400301,1
1389,1124101,400401,1
1390,1121201,400102,1
1391,1122201,400202,1
1392,1123201,400302,1
1393,1124201,400402,1
1394,1121301,400103,1
1395,1122301,400203,1
1396,1123301,400303,1
1397,1124301,400403,1
1398,1125101,401001,1
1399,1131101,400101,1
1400,1132101,400201,1
1401,1133101,400301,1
1402,1134101,400401,1
1403,1131201,400102,1
1404,1132201,400202,1
1405,1133201,400302,1
1406,1134201,400402,1
1407,1131301,400103,1
1408,1132301,400203,1
1409,1133301,400303,1
1410,1134301,400403,1
1411,1135101,401001,1
1412,1141101,400101,1
1413,1142101,400201,1
1414,1143101,400301,1
1415,1144101,400401,1
1416,1141201,400102,1
1417,1142201,400202,1
1418,1143201,400302,1
1419,1144201,400402,1
1420,1141301,400103,1
1421,1142301,400203,1
1422,1143301,400303,1
1423,1144301,400403,1
1424,1145101,401001,1
1425,303401,1,1
1426,303402,914,1
1427,303403,2,1
1428,303404,910,1
1429,303405,2,1
1430,303406,911,1
1431,303409,1,1
1432,303410,1,1
1433,303411,1,1
1434,304402,2,1
1435,304403,907,1
1436,304404,1,1
1437,304405,904,1
1438,304406,1,1
1439,304407,912,1
1440,305401,2,1
1441,305402,906,1
1442,305403,1,1
1443,305404,901,1
1444,305405,2,1
1445,305406,915,1
1446,306501,2,1
1447,306502,904,1
1448,306503,2,1
1449,306504,906,1
1450,306505,2,1
1451,306506,903,1
1452,310501,915,1
1453,310502,901,1
