id,copyid,monsterid,person,rank,objectid,bind,number,percent
125,20701,1,1,1,143158240,2,2,267
126,20701,1,1,1,143158140,2,2,267
127,20701,1,1,1,143158340,2,2,267
128,20701,1,1,1,143159140,2,2,313
129,20701,1,1,1,143159240,2,2,313
130,20701,1,1,1,143159340,2,2,313
131,20701,1,1,1,143160340,2,2,313
132,20701,1,1,1,143160240,2,2,313
133,20701,1,1,1,143160140,2,2,313
134,20701,1,1,1,143161240,2,2,125
135,20701,1,1,1,143161340,2,2,125
136,20701,1,1,1,143161140,2,2,125
137,20701,1,1,1,143162340,2,2,235
138,20701,1,1,1,143162240,2,2,235
139,20701,1,1,1,143162140,2,2,235
140,20701,1,1,2,144151340,2,8,375
141,20701,1,1,2,144151140,2,8,375
142,20701,1,1,2,144151240,2,8,375
143,20701,1,1,2,144152240,2,8,156
144,20701,1,1,2,144152340,2,8,156
145,20701,1,1,2,144152140,2,8,156
146,20701,1,1,2,144153340,2,8,313
147,20701,1,1,2,144153240,2,8,313
148,20701,1,1,2,144153140,2,8,313
149,20701,1,1,2,144154240,2,8,235
150,20701,1,1,2,144154140,2,8,235
151,20701,1,1,2,144154340,2,8,235
152,20701,1,1,2,144155140,2,8,313
153,20701,1,1,2,144155240,2,8,313
154,20701,1,1,2,144155340,2,8,313
155,20701,1,1,2,144156340,2,8,375
156,20701,1,1,2,144156140,2,8,375
157,20701,1,1,2,144156240,2,8,375
158,20701,1,1,2,144157140,2,8,313
159,20701,1,1,2,144157340,2,8,313
160,20701,1,1,2,144157240,2,8,313
161,20701,1,1,2,144158240,2,8,267
162,20701,1,1,2,144158140,2,8,267
163,20701,1,1,2,144158340,2,8,267
164,20701,1,1,2,144159340,2,8,313
165,20701,1,1,2,144159240,2,8,313
166,20701,1,1,2,144159140,2,8,313
167,20701,1,1,2,144160140,2,8,313
168,20701,1,1,2,144160340,2,8,313
169,20701,1,1,2,144160240,2,8,313
170,20701,1,1,2,144161240,2,8,125
171,20701,1,1,2,144161140,2,8,125
172,20701,1,1,2,144161340,2,8,125
173,20701,1,1,2,144162140,2,8,235
174,20701,1,1,2,144162340,2,8,235
175,20701,1,1,2,144162240,2,8,235
176,20701,1,1,3,182353002,1,1,10000
177,20702,1,1,1,143151240,2,1,375
178,20702,1,1,1,143151340,2,1,375
179,20702,1,1,1,143151140,2,1,375
180,20702,1,1,1,143152140,2,1,156
181,20702,1,1,1,143152340,2,1,156
182,20702,1,1,1,143152240,2,1,156
183,20702,1,1,1,143153340,2,1,313
184,20702,1,1,1,143153140,2,1,313
185,20702,1,1,1,143153240,2,1,313
186,20702,1,1,1,143154240,2,1,235
187,20702,1,1,1,143154140,2,1,235
188,20702,1,1,1,143154340,2,1,235
189,20702,1,1,1,143155340,2,1,313
190,20702,1,1,1,143155240,2,1,313
191,20702,1,1,1,143155140,2,1,313
192,20702,1,1,1,143156340,2,1,375
193,20702,1,1,1,143156240,2,1,375
194,20702,1,1,1,143156140,2,1,375
195,20702,1,1,1,143157240,2,1,313
196,20702,1,1,1,143157140,2,1,313
197,20702,1,1,1,143157340,2,1,313
198,20702,1,1,1,143158240,2,1,267
199,20702,1,1,1,143158140,2,1,267
200,20702,1,1,1,143158340,2,1,267
201,20702,1,1,1,143159140,2,1,313
202,20702,1,1,1,143159240,2,1,313
203,20702,1,1,1,143159340,2,1,313
204,20702,1,1,1,143160340,2,1,313
205,20702,1,1,1,143160240,2,1,313
206,20702,1,1,1,143160140,2,1,313
207,20702,1,1,1,143161240,2,1,125
208,20702,1,1,1,143161340,2,1,125
209,20702,1,1,1,143161140,2,1,125
210,20702,1,1,1,143162340,2,1,235
211,20702,1,1,1,143162240,2,1,235
212,20702,1,1,1,143162140,2,1,235
213,20702,1,1,2,143151350,2,1,375
214,20702,1,1,2,143151150,2,1,375
215,20702,1,1,2,143151250,2,1,375
216,20702,1,1,2,143152150,2,1,156
217,20702,1,1,2,143152250,2,1,156
218,20702,1,1,2,143152350,2,1,156
219,20702,1,1,2,143153350,2,1,313
220,20702,1,1,2,143153150,2,1,313
221,20702,1,1,2,143153250,2,1,313
222,20702,1,1,2,143154250,2,1,235
223,20702,1,1,2,143154350,2,1,235
224,20702,1,1,2,143154150,2,1,235
225,20702,1,1,2,143155250,2,1,313
226,20702,1,1,2,143155150,2,1,313
227,20702,1,1,2,143155350,2,1,313
228,20702,1,1,2,143156350,2,1,375
229,20702,1,1,2,143156250,2,1,375
230,20702,1,1,2,143156150,2,1,375
231,20702,1,1,2,143157250,2,1,313
232,20702,1,1,2,143157150,2,1,313
233,20702,1,1,2,143157350,2,1,313
234,20702,1,1,2,143158150,2,1,267
235,20702,1,1,2,143158250,2,1,267
236,20702,1,1,2,143158350,2,1,267
237,20702,1,1,2,143159250,2,1,313
238,20702,1,1,2,143159350,2,1,313
239,20702,1,1,2,143159150,2,1,313
240,20702,1,1,2,143160350,2,1,313
241,20702,1,1,2,143160250,2,1,313
242,20702,1,1,2,143160150,2,1,313
243,20702,1,1,2,143161250,2,1,125
244,20702,1,1,2,143161350,2,1,125
245,20702,1,1,2,143161150,2,1,125
246,20702,1,1,2,143162350,2,1,235
247,20702,1,1,2,143162250,2,1,235
248,20702,1,1,2,143162150,2,1,235
249,20702,1,1,3,144151250,2,8,375
250,20702,1,1,3,144151350,2,8,375
251,20702,1,1,3,144151150,2,8,375
252,20702,1,1,3,144152150,2,8,156
253,20702,1,1,3,144152250,2,8,156
254,20702,1,1,3,144152350,2,8,156
255,20702,1,1,3,144153250,2,8,313
256,20702,1,1,3,144153350,2,8,313
257,20702,1,1,3,144153150,2,8,313
258,20702,1,1,3,144154250,2,8,235
259,20702,1,1,3,144154350,2,8,235
260,20702,1,1,3,144154150,2,8,235
261,20702,1,1,3,144155150,2,8,313
262,20702,1,1,3,144155250,2,8,313
263,20702,1,1,3,144155350,2,8,313
264,20702,1,1,3,144156350,2,8,375
265,20702,1,1,3,144156150,2,8,375
266,20702,1,1,3,144156250,2,8,375
267,20702,1,1,3,144157150,2,8,313
268,20702,1,1,3,144157350,2,8,313
269,20702,1,1,3,144157250,2,8,313
270,20702,1,1,3,144158250,2,8,267
271,20702,1,1,3,144158150,2,8,267
272,20702,1,1,3,144158350,2,8,267
273,20702,1,1,3,144159250,2,8,313
274,20702,1,1,3,144159350,2,8,313
275,20702,1,1,3,144159150,2,8,313
276,20702,1,1,3,144160150,2,8,313
277,20702,1,1,3,144160350,2,8,313
278,20702,1,1,3,144160250,2,8,313
279,20702,1,1,3,144161250,2,8,125
280,20702,1,1,3,144161350,2,8,125
281,20702,1,1,3,144161150,2,8,125
282,20702,1,1,3,144162350,2,8,235
283,20702,1,1,3,144162250,2,8,235
284,20702,1,1,3,144162150,2,8,235
285,20702,1,1,4,182353002,1,1,10000
286,20702,1,1,5,182353002,1,1,2000
287,20703,1,1,1,143151350,2,1,375
288,20703,1,1,1,143151150,2,1,375
289,20703,1,1,1,143151250,2,1,375
290,20703,1,1,1,143152150,2,1,156
291,20703,1,1,1,143152250,2,1,156
292,20703,1,1,1,143152350,2,1,156
293,20703,1,1,1,143153350,2,1,313
294,20703,1,1,1,143153150,2,1,313
295,20703,1,1,1,143153250,2,1,313
296,20703,1,1,1,143154250,2,1,235
297,20703,1,1,1,143154350,2,1,235
298,20703,1,1,1,143154150,2,1,235
299,20703,1,1,1,143155250,2,1,313
300,20703,1,1,1,143155150,2,1,313
301,20703,1,1,1,143155350,2,1,313
302,20703,1,1,1,143156350,2,1,375
303,20703,1,1,1,143156250,2,1,375
304,20703,1,1,1,143156150,2,1,375
305,20703,1,1,1,143157250,2,1,313
306,20703,1,1,1,143157150,2,1,313
307,20703,1,1,1,143157350,2,1,313
308,20703,1,1,1,143158150,2,1,267
309,20703,1,1,1,143158250,2,1,267
310,20703,1,1,1,143158350,2,1,267
311,20703,1,1,1,143159250,2,1,313
312,20703,1,1,1,143159350,2,1,313
313,20703,1,1,1,143159150,2,1,313
314,20703,1,1,1,143160350,2,1,313
315,20703,1,1,1,143160250,2,1,313
316,20703,1,1,1,143160150,2,1,313
317,20703,1,1,1,143161250,2,1,125
318,20703,1,1,1,143161350,2,1,125
319,20703,1,1,1,143161150,2,1,125
320,20703,1,1,1,143162350,2,1,235
321,20703,1,1,1,143162250,2,1,235
322,20703,1,1,1,143162150,2,1,235
323,20703,1,1,2,143151260,2,1,375
324,20703,1,1,2,143151360,2,1,375
325,20703,1,1,2,143151160,2,1,375
326,20703,1,1,2,143152160,2,1,156
327,20703,1,1,2,143152260,2,1,156
328,20703,1,1,2,143152360,2,1,156
329,20703,1,1,2,143153360,2,1,313
330,20703,1,1,2,143153160,2,1,313
331,20703,1,1,2,143153260,2,1,313
332,20703,1,1,2,143154260,2,1,235
333,20703,1,1,2,143154360,2,1,235
334,20703,1,1,2,143154160,2,1,235
335,20703,1,1,2,143155360,2,1,313
336,20703,1,1,2,143155260,2,1,313
337,20703,1,1,2,143155160,2,1,313
338,20703,1,1,2,143156360,2,1,375
339,20703,1,1,2,143156260,2,1,375
340,20703,1,1,2,143156160,2,1,375
341,20703,1,1,2,143157260,2,1,313
342,20703,1,1,2,143157160,2,1,313
343,20703,1,1,2,143157360,2,1,313
344,20703,1,1,2,143158160,2,1,267
345,20703,1,1,2,143158260,2,1,267
346,20703,1,1,2,143158360,2,1,267
347,20703,1,1,2,143159160,2,1,313
348,20703,1,1,2,143159260,2,1,313
349,20703,1,1,2,143159360,2,1,313
350,20703,1,1,2,143160160,2,1,313
351,20703,1,1,2,143160260,2,1,313
352,20703,1,1,2,143160360,2,1,313
353,20703,1,1,2,143161260,2,1,125
354,20703,1,1,2,143161360,2,1,125
355,20703,1,1,2,143161160,2,1,125
356,20703,1,1,2,143162260,2,1,235
357,20703,1,1,2,143162160,2,1,235
358,20703,1,1,2,143162360,2,1,235
359,20703,1,1,3,144151260,2,8,375
360,20703,1,1,3,144151360,2,8,375
361,20703,1,1,3,144151160,2,8,375
362,20703,1,1,3,144152160,2,8,156
363,20703,1,1,3,144152260,2,8,156
364,20703,1,1,3,144152360,2,8,156
365,20703,1,1,3,144153260,2,8,313
366,20703,1,1,3,144153360,2,8,313
367,20703,1,1,3,144153160,2,8,313
368,20703,1,1,3,144154260,2,8,235
369,20703,1,1,3,144154160,2,8,235
370,20703,1,1,3,144154360,2,8,235
371,20703,1,1,3,144155260,2,8,313
372,20703,1,1,3,144155160,2,8,313
373,20703,1,1,3,144155360,2,8,313
374,20703,1,1,3,144156360,2,8,375
375,20703,1,1,3,144156160,2,8,375
376,20703,1,1,3,144156260,2,8,375
377,20703,1,1,3,144157160,2,8,313
378,20703,1,1,3,144157360,2,8,313
379,20703,1,1,3,144157260,2,8,313
380,20703,1,1,3,144158360,2,8,267
381,20703,1,1,3,144158260,2,8,267
382,20703,1,1,3,144158160,2,8,267
383,20703,1,1,3,144159260,2,8,313
384,20703,1,1,3,144159360,2,8,313
385,20703,1,1,3,144159160,2,8,313
386,20703,1,1,3,144160360,2,8,313
387,20703,1,1,3,144160260,2,8,313
388,20703,1,1,3,144160160,2,8,313
389,20703,1,1,3,144161260,2,8,125
390,20703,1,1,3,144161160,2,8,125
391,20703,1,1,3,144161360,2,8,125
392,20703,1,1,3,144162360,2,8,235
393,20703,1,1,3,144162160,2,8,235
394,20703,1,1,3,144162260,2,8,235
395,20703,1,1,4,182353002,1,1,10000
396,20703,1,1,5,182353002,1,1,4000
397,20704,1,1,1,143151260,2,1,375
398,20704,1,1,1,143151360,2,1,375
399,20704,1,1,1,143151160,2,1,375
400,20704,1,1,1,143152160,2,1,156
401,20704,1,1,1,143152260,2,1,156
402,20704,1,1,1,143152360,2,1,156
403,20704,1,1,1,143153360,2,1,313
404,20704,1,1,1,143153160,2,1,313
405,20704,1,1,1,143153260,2,1,313
406,20704,1,1,1,143154260,2,1,235
407,20704,1,1,1,143154360,2,1,235
408,20704,1,1,1,143154160,2,1,235
409,20704,1,1,1,143155360,2,1,313
410,20704,1,1,1,143155260,2,1,313
411,20704,1,1,1,143155160,2,1,313
412,20704,1,1,1,143156360,2,1,375
413,20704,1,1,1,143156260,2,1,375
414,20704,1,1,1,143156160,2,1,375
415,20704,1,1,1,143157260,2,1,313
416,20704,1,1,1,143157160,2,1,313
417,20704,1,1,1,143157360,2,1,313
418,20704,1,1,1,143158160,2,1,267
419,20704,1,1,1,143158260,2,1,267
420,20704,1,1,1,143158360,2,1,267
421,20704,1,1,1,143159160,2,1,313
422,20704,1,1,1,143159260,2,1,313
423,20704,1,1,1,143159360,2,1,313
424,20704,1,1,1,143160160,2,1,313
425,20704,1,1,1,143160260,2,1,313
426,20704,1,1,1,143160360,2,1,313
427,20704,1,1,1,143161260,2,1,125
428,20704,1,1,1,143161360,2,1,125
429,20704,1,1,1,143161160,2,1,125
430,20704,1,1,1,143162260,2,1,235
431,20704,1,1,1,143162160,2,1,235
432,20704,1,1,1,143162360,2,1,235
433,20704,1,1,2,143151370,2,1,375
434,20704,1,1,2,143151170,2,1,375
435,20704,1,1,2,143151270,2,1,375
436,20704,1,1,2,143152170,2,1,156
437,20704,1,1,2,143152270,2,1,156
438,20704,1,1,2,143152370,2,1,156
439,20704,1,1,2,143153370,2,1,313
440,20704,1,1,2,143153170,2,1,313
441,20704,1,1,2,143153270,2,1,313
442,20704,1,1,2,143154370,2,1,235
443,20704,1,1,2,143154270,2,1,235
444,20704,1,1,2,143154170,2,1,235
445,20704,1,1,2,143155270,2,1,313
446,20704,1,1,2,143155170,2,1,313
447,20704,1,1,2,143155370,2,1,313
448,20704,1,1,2,143156370,2,1,375
449,20704,1,1,2,143156270,2,1,375
450,20704,1,1,2,143156170,2,1,375
451,20704,1,1,2,143157270,2,1,313
452,20704,1,1,2,143157170,2,1,313
453,20704,1,1,2,143157370,2,1,313
454,20704,1,1,2,143158270,2,1,267
455,20704,1,1,2,143158170,2,1,267
456,20704,1,1,2,143158370,2,1,267
457,20704,1,1,2,143159170,2,1,313
458,20704,1,1,2,143159270,2,1,313
459,20704,1,1,2,143159370,2,1,313
460,20704,1,1,2,143160270,2,1,313
461,20704,1,1,2,143160370,2,1,313
462,20704,1,1,2,143160170,2,1,313
463,20704,1,1,2,143161370,2,1,125
464,20704,1,1,2,143161270,2,1,125
465,20704,1,1,2,143161170,2,1,125
466,20704,1,1,2,143162370,2,1,235
467,20704,1,1,2,143162170,2,1,235
468,20704,1,1,2,143162270,2,1,235
469,20704,1,1,3,144151270,2,8,375
470,20704,1,1,3,144151370,2,8,375
471,20704,1,1,3,144151170,2,8,375
472,20704,1,1,3,144152170,2,8,156
473,20704,1,1,3,144152270,2,8,156
474,20704,1,1,3,144152370,2,8,156
475,20704,1,1,3,144153370,2,8,313
476,20704,1,1,3,144153270,2,8,313
477,20704,1,1,3,144153170,2,8,313
478,20704,1,1,3,144154270,2,8,235
479,20704,1,1,3,144154170,2,8,235
480,20704,1,1,3,144154370,2,8,235
481,20704,1,1,3,144155170,2,8,313
482,20704,1,1,3,144155270,2,8,313
483,20704,1,1,3,144155370,2,8,313
484,20704,1,1,3,144156370,2,8,375
485,20704,1,1,3,144156170,2,8,375
486,20704,1,1,3,144156270,2,8,375
487,20704,1,1,3,144157170,2,8,313
488,20704,1,1,3,144157370,2,8,313
489,20704,1,1,3,144157270,2,8,313
490,20704,1,1,3,144158270,2,8,267
491,20704,1,1,3,144158170,2,8,267
492,20704,1,1,3,144158370,2,8,267
493,20704,1,1,3,144159370,2,8,313
494,20704,1,1,3,144159270,2,8,313
495,20704,1,1,3,144159170,2,8,313
496,20704,1,1,3,144160170,2,8,313
497,20704,1,1,3,144160370,2,8,313
498,20704,1,1,3,144160270,2,8,313
499,20704,1,1,3,144161270,2,8,125
500,20704,1,1,3,144161370,2,8,125
501,20704,1,1,3,144161170,2,8,125
502,20704,1,1,3,144162370,2,8,235
503,20704,1,1,3,144162270,2,8,235
504,20704,1,1,3,144162170,2,8,235
505,20704,1,1,4,182353002,1,1,10000
506,20704,1,1,5,182353002,1,1,4000
507,20801,1,1,1,143151350,2,1,375
508,20801,1,1,1,143151150,2,1,375
509,20801,1,1,1,143151250,2,1,375
510,20801,1,1,1,143152150,2,1,156
511,20801,1,1,1,143152250,2,1,156
512,20801,1,1,1,143152350,2,1,156
513,20801,1,1,1,143153350,2,1,313
514,20801,1,1,1,143153150,2,1,313
515,20801,1,1,1,143153250,2,1,313
516,20801,1,1,1,143154250,2,1,235
517,20801,1,1,1,143154350,2,1,235
518,20801,1,1,1,143154150,2,1,235
519,20801,1,1,1,143155250,2,1,313
520,20801,1,1,1,143155150,2,1,313
521,20801,1,1,1,143155350,2,1,313
522,20801,1,1,1,143156350,2,1,375
523,20801,1,1,1,143156250,2,1,375
524,20801,1,1,1,143156150,2,1,375
525,20801,1,1,1,143157250,2,1,313
526,20801,1,1,1,143157150,2,1,313
527,20801,1,1,1,143157350,2,1,313
528,20801,1,1,1,143158150,2,1,267
529,20801,1,1,1,143158250,2,1,267
530,20801,1,1,1,143158350,2,1,267
531,20801,1,1,1,143159250,2,1,313
532,20801,1,1,1,143159350,2,1,313
533,20801,1,1,1,143159150,2,1,313
534,20801,1,1,1,143160350,2,1,313
535,20801,1,1,1,143160250,2,1,313
536,20801,1,1,1,143160150,2,1,313
537,20801,1,1,1,143161250,2,1,125
538,20801,1,1,1,143161350,2,1,125
539,20801,1,1,1,143161150,2,1,125
540,20801,1,1,1,143162350,2,1,235
541,20801,1,1,1,143162250,2,1,235
542,20801,1,1,1,143162150,2,1,235
543,20801,1,1,2,143151260,2,1,375
544,20801,1,1,2,143151360,2,1,375
545,20801,1,1,2,143151160,2,1,375
546,20801,1,1,2,143152160,2,1,156
547,20801,1,1,2,143152260,2,1,156
548,20801,1,1,2,143152360,2,1,156
549,20801,1,1,2,143153360,2,1,313
550,20801,1,1,2,143153160,2,1,313
551,20801,1,1,2,143153260,2,1,313
552,20801,1,1,2,143154260,2,1,235
553,20801,1,1,2,143154360,2,1,235
554,20801,1,1,2,143154160,2,1,235
555,20801,1,1,2,143155360,2,1,313
556,20801,1,1,2,143155260,2,1,313
557,20801,1,1,2,143155160,2,1,313
558,20801,1,1,2,143156360,2,1,375
559,20801,1,1,2,143156260,2,1,375
560,20801,1,1,2,143156160,2,1,375
561,20801,1,1,2,143157260,2,1,313
562,20801,1,1,2,143157160,2,1,313
563,20801,1,1,2,143157360,2,1,313
564,20801,1,1,2,143158160,2,1,267
565,20801,1,1,2,143158260,2,1,267
566,20801,1,1,2,143158360,2,1,267
567,20801,1,1,2,143159160,2,1,313
568,20801,1,1,2,143159260,2,1,313
569,20801,1,1,2,143159360,2,1,313
570,20801,1,1,2,143160160,2,1,313
571,20801,1,1,2,143160260,2,1,313
572,20801,1,1,2,143160360,2,1,313
573,20801,1,1,2,143161260,2,1,125
574,20801,1,1,2,143161360,2,1,125
575,20801,1,1,2,143161160,2,1,125
576,20801,1,1,2,143162260,2,1,235
577,20801,1,1,2,143162160,2,1,235
578,20801,1,1,2,143162360,2,1,235
579,20801,1,1,3,144151260,2,8,375
580,20801,1,1,3,144151360,2,8,375
581,20801,1,1,3,144151160,2,8,375
582,20801,1,1,3,144152160,2,8,156
583,20801,1,1,3,144152260,2,8,156
584,20801,1,1,3,144152360,2,8,156
585,20801,1,1,3,144153260,2,8,313
586,20801,1,1,3,144153360,2,8,313
587,20801,1,1,3,144153160,2,8,313
588,20801,1,1,3,144154260,2,8,235
589,20801,1,1,3,144154160,2,8,235
590,20801,1,1,3,144154360,2,8,235
591,20801,1,1,3,144155260,2,8,313
592,20801,1,1,3,144155160,2,8,313
593,20801,1,1,3,144155360,2,8,313
594,20801,1,1,3,144156360,2,8,375
595,20801,1,1,3,144156160,2,8,375
596,20801,1,1,3,144156260,2,8,375
597,20801,1,1,3,144157160,2,8,313
598,20801,1,1,3,144157360,2,8,313
599,20801,1,1,3,144157260,2,8,313
600,20801,1,1,3,144158360,2,8,267
601,20801,1,1,3,144158260,2,8,267
602,20801,1,1,3,144158160,2,8,267
603,20801,1,1,3,144159260,2,8,313
604,20801,1,1,3,144159360,2,8,313
605,20801,1,1,3,144159160,2,8,313
606,20801,1,1,3,144160360,2,8,313
607,20801,1,1,3,144160260,2,8,313
608,20801,1,1,3,144160160,2,8,313
609,20801,1,1,3,144161260,2,8,125
610,20801,1,1,3,144161160,2,8,125
611,20801,1,1,3,144161360,2,8,125
612,20801,1,1,3,144162360,2,8,235
613,20801,1,1,3,144162160,2,8,235
614,20801,1,1,3,144162260,2,8,235
615,20801,1,1,4,182353002,1,1,10000
616,20801,1,1,5,182353002,1,1,5000
617,20801,1,1,6,182353001,1,1,1000
618,20802,1,1,1,143151260,2,1,375
619,20802,1,1,1,143151360,2,1,375
620,20802,1,1,1,143151160,2,1,375
621,20802,1,1,1,143152160,2,1,156
622,20802,1,1,1,143152260,2,1,156
623,20802,1,1,1,143152360,2,1,156
624,20802,1,1,1,143153360,2,1,313
625,20802,1,1,1,143153160,2,1,313
626,20802,1,1,1,143153260,2,1,313
627,20802,1,1,1,143154260,2,1,235
628,20802,1,1,1,143154360,2,1,235
629,20802,1,1,1,143154160,2,1,235
630,20802,1,1,1,143155360,2,1,313
631,20802,1,1,1,143155260,2,1,313
632,20802,1,1,1,143155160,2,1,313
633,20802,1,1,1,143156360,2,1,375
634,20802,1,1,1,143156260,2,1,375
635,20802,1,1,1,143156160,2,1,375
636,20802,1,1,1,143157260,2,1,313
637,20802,1,1,1,143157160,2,1,313
638,20802,1,1,1,143157360,2,1,313
639,20802,1,1,1,143158160,2,1,267
640,20802,1,1,1,143158260,2,1,267
641,20802,1,1,1,143158360,2,1,267
642,20802,1,1,1,143159160,2,1,313
643,20802,1,1,1,143159260,2,1,313
644,20802,1,1,1,143159360,2,1,313
645,20802,1,1,1,143160160,2,1,313
646,20802,1,1,1,143160260,2,1,313
647,20802,1,1,1,143160360,2,1,313
648,20802,1,1,1,143161260,2,1,125
649,20802,1,1,1,143161360,2,1,125
650,20802,1,1,1,143161160,2,1,125
651,20802,1,1,1,143162260,2,1,235
652,20802,1,1,1,143162160,2,1,235
653,20802,1,1,1,143162360,2,1,235
654,20802,1,1,2,143151370,2,1,375
655,20802,1,1,2,143151170,2,1,375
656,20802,1,1,2,143151270,2,1,375
657,20802,1,1,2,143152170,2,1,156
658,20802,1,1,2,143152270,2,1,156
