id,count,cost
251,1255,500
252,1260,500
253,1265,500
254,1270,500
255,1275,500
256,1280,500
257,1285,500
258,1290,500
259,1295,500
260,1300,500
261,1305,500
262,1310,500
263,1315,500
264,1320,500
265,1325,500
266,1330,500
267,1335,500
268,1340,500
269,1345,500
270,1350,500
271,1355,500
272,1360,500
273,1365,500
274,1370,500
275,1375,500
276,1380,500
277,1385,500
278,1390,500
279,1395,500
280,1400,500
281,1405,500
282,1410,500
283,1415,500
284,1420,500
285,1425,500
286,1430,500
287,1435,500
288,1440,500
289,1445,500
290,1450,500
291,1455,500
292,1460,500
293,1465,500
294,1470,500
295,1475,500
296,1480,500
297,1485,500
298,1490,500
299,1495,500
300,1500,500
301,1505,500
302,1510,500
303,1515,500
304,1520,500
305,1525,500
306,1530,500
307,1535,500
308,1540,500
309,1545,500
310,1550,500
311,1555,500
312,1560,500
313,1565,500
314,1570,500
315,1575,500
316,1580,500
317,1585,500
318,1590,500
319,1595,500
320,1600,500
321,1605,500
322,1610,500
323,1615,500
324,1620,500
325,1625,500
326,1630,500
327,1635,500
328,1640,500
329,1645,500
330,1650,500
331,1655,500
332,1660,500
333,1665,500
334,1670,500
335,1675,500
336,1680,500
337,1685,500
338,1690,500
339,1695,500
340,1700,500
341,1705,500
342,1710,500
343,1715,500
344,1720,500
345,1725,500
346,1730,500
347,1735,500
348,1740,500
349,1745,500
350,1750,500
351,1755,500
352,1760,500
353,1765,500
354,1770,500
355,1775,500
356,1780,500
357,1785,500
358,1790,500
359,1795,500
360,1800,500
361,1805,500
362,1810,500
363,1815,500
364,1820,500
365,1825,500
366,1830,500
367,1835,500
368,1840,500
369,1845,500
370,1850,500
371,1855,500
372,1860,500
373,1865,500
374,1870,500
375,1875,500
376,1880,500
377,1885,500
378,1890,500
379,1895,500
380,1900,500
381,1905,500
382,1910,500
383,1915,500
384,1920,500
385,1925,500
386,1930,500
387,1935,500
388,1940,500
389,1945,500
390,1950,500
391,1955,500
392,1960,500
393,1965,500
394,1970,500
395,1975,500
396,1980,500
397,1985,500
398,1990,500
399,1995,500
400,2000,500
401,2005,500
402,2010,500
403,2015,500
404,2020,500
405,2025,500
406,2030,500
407,2035,500
408,2040,500
409,2045,500
410,2050,500
411,2055,500
412,2060,500
413,2065,500
414,2070,500
415,2075,500
416,2080,500
417,2085,500
418,2090,500
419,2095,500
420,2100,500
421,2105,500
422,2110,500
423,2115,500
424,2120,500
425,2125,500
426,2130,500
427,2135,500
428,2140,500
429,2145,500
430,2150,500
431,2155,500
432,2160,500
433,2165,500
434,2170,500
435,2175,500
436,2180,500
437,2185,500
438,2190,500
439,2195,500
440,2200,500
441,2205,500
442,2210,500
443,2215,500
444,2220,500
445,2225,500
446,2230,500
447,2235,500
448,2240,500
449,2245,500
450,2250,500
451,2255,500
452,2260,500
453,2265,500
454,2270,500
455,2275,500
456,2280,500
457,2285,500
458,2290,500
459,2295,500
460,2300,500
461,2305,500
462,2310,500
463,2315,500
464,2320,500
465,2325,500
466,2330,500
467,2335,500
468,2340,500
469,2345,500
470,2350,500
471,2355,500
472,2360,500
473,2365,500
474,2370,500
475,2375,500
476,2380,500
477,2385,500
478,2390,500
479,2395,500
480,2400,500
481,2405,500
482,2410,500
483,2415,500
484,2420,500
485,2425,500
486,2430,500
487,2435,500
488,2440,500
489,2445,500
490,2450,500
491,2455,500
492,2460,500
493,2465,500
494,2470,500
495,2475,500
496,2480,500
497,2485,500
498,2490,500
499,2495,500
500,2500,500
