id,modelid,bones,profession
87,5,Bone041_XinNian,1
88,5,Bone042_XinNian,1
89,5,Bone044_XinNian,1
90,5,Bone045_XinNian,1
91,5,Bone046_XinNian,1
92,6,Bone023_yz,1
93,6,Bone024_yz,1
94,6,Bone026_yz,1
95,6,Bone027_yz,1
96,6,Bone029_yz,1
97,6,Bone030_yz,1
98,8,Bone065,1
99,8,Bone066,1
100,8,Bone067,1
101,8,Bone068,1
102,8,Bone069,1
103,8,Bone070,1
104,8,Bone071,1
105,8,Bone071(mirrored),1
106,8,Bone072,1
107,8,Bone072(mirrored),1
108,8,Bone073,1
109,8,Bone073(mirrored),1
110,8,Bone074,1
111,8,Bone075,1
112,8,Bone076,1
113,8,Bone077,1
114,8,Bone078,1
115,8,Bone079,1
116,0,Bone102,2
117,0,Bone103,2
118,0,Bone104,2
119,0,Bone106,2
120,0,Bone107,2
121,0,Bone109,2
122,0,Bone110,2
123,0,Bone112,2
124,0,Bone113,2
125,0,Bone115,2
126,0,Bone116,2
127,0,Bone118,2
128,0,Bone119,2
129,0,Bone120,2
130,0,Bone121,2
131,1,Bone123,2
132,1,Bone124,2
133,1,Bone125,2
134,1,Bone127,2
135,1,Bone129,2
136,1,Bone131,2
137,1,Bone132,2
138,1,Bone133,2
139,1,Bone135,2
140,1,Bone136,2
141,1,Bone137,2
142,1,Bone140,2
143,1,Bone141,2
144,1,Bone142,2
145,1,Bone144,2
146,1,Bone145,2
147,1,Bone146,2
148,2,Bone065,2
149,2,Bone066,2
150,2,Bone067,2
151,2,Bone069,2
152,2,Bone070,2
153,2,Bone072,2
154,2,Bone073,2
155,2,Bone075,2
156,2,Bone076,2
157,3,Bone081,2
158,3,Bone082,2
159,3,Bone084,2
160,3,Bone085,2
161,3,Bone087,2
162,3,Bone088,2
163,3,Bone090,2
164,3,Bone091,2
165,3,Bone093,2
166,3,Bone094,2
167,3,Bone096,2
168,3,Bone097,2
169,3,Bone099,2
170,3,Bone100,2
171,4,Bone006,2
172,4,Bone007,2
173,4,Bone013,2
174,4,Bone023,2
175,4,Bone025,2
176,4,Bone033,2
177,4,Bone035,2
178,4,Bone037,2
179,4,Bone039,2
180,4,Bone041,2
181,4,Bone042,2
182,4,Bone043,2
183,4,Bone045,2
184,4,Bone046,2
185,4,Bone047,2
186,4,Bone049,2
187,4,Bone050,2
188,4,Bone051,2
189,5,Bone148,2
190,5,Bone149,2
191,5,Bone150,2
192,5,Bone151,2
193,5,Bone152,2
194,5,Bone153,2
195,5,Bone154,2
196,5,Bone154(mirrored),2
197,5,Bone155,2
198,5,Bone155(mirrored),2
199,5,Bone156,2
200,5,Bone157,2
201,5,Bone158,2
202,5,Bone159,2
203,5,Bone160,2
204,6,Bone166,2
205,6,Bone167,2
206,6,Bone168,2
207,6,Bone168(mirrored),2
208,6,Bone169,2
209,6,Bone169(mirrored),2
210,6,Bone170,2
211,6,Bone170(mirrored),2
212,6,Bone171,2
213,7,Bone201,2
214,7,Bone202,2
215,7,Bone203,2
216,7,Bone204,2
217,7,Bone205,2
218,7,Bone206,2
219,7,Bone207,2
220,7,Bone208,2
221,7,Bone209,2
222,7,Bone210,2
223,7,Bone211,2
224,7,Bone212,2
225,7,Bone213,2
226,7,Bone214,2
227,7,Bone215,2
228,7,Bone215(mirrored),2
229,7,Bone216,2
230,7,Bone216(mirrored),2
231,7,Bone217,2
232,7,Bone217(mirrored),2
233,7,Bone218,2
234,7,Bone218(mirrored),2
235,8,Bone227,2
236,8,Bone228,2
237,8,Bone229,2
238,8,Bone230,2
239,8,Bone231,2
240,8,Bone232,2
241,8,Bone233,2
242,8,Bone233(mirrored),2
243,8,Bone234,2
244,8,Bone234(mirrored),2
245,8,Bone235,2
246,8,Bone235(mirrored),2
247,8,Bone236,2
248,8,Bone237,2
249,8,Bone238,2
250,8,Bone239,2
251,8,Bone240,2
252,8,Bone241,2
253,8,Bone242,2
254,0,Bone242,3
255,0,Bone244,3
256,0,Bone245,3
257,0,Bone246,3
258,0,Bone248,3
259,0,Bone249,3
260,0,Bone250,3
261,0,Bone253,3
262,0,Bone254,3
263,0,Bone257,3
264,0,Bone258,3
265,0,Bone261,3
266,0,Bone264,3
267,0,Bone266,3
268,0,Bone267,3
269,0,Bone268,3
270,0,Bone270,3
271,0,Bone272,3
272,1,Bone066,3
273,1,Bone067,3
274,1,Bone068,3
275,1,Bone069,3
276,1,Bone071,3
277,1,Bone072,3
278,1,Bone073,3
279,1,Bone074,3
280,1,Bone076,3
281,1,Bone078,3
282,2,Bone040,3
283,2,Bone041,3
284,2,Bone043,3
285,2,Bone045,3
286,2,Bone046,3
287,2,Bone047,3
288,2,Bone049,3
289,2,Bone050,3
290,2,Bone052,3
291,2,Bone053,3
292,2,Bone055,3
293,2,Bone056,3
294,2,Bone057,3
295,2,Bone059,3
296,2,Bone060,3
297,2,Bone062,3
298,2,Bone063,3
299,2,Bone064,3
300,3,Bone034,3
301,3,Bone035,3
302,3,Bone036,3
303,3,Bone037,3
304,3,Bone038,3
305,4,Bone001,3
306,4,Bone002,3
307,4,Bone003,3
308,4,Bone005,3
309,4,Bone006,3
310,4,Bone007,3
311,4,Bone009,3
312,4,Bone010,3
313,4,Bone011,3
314,4,Bone013,3
315,4,Bone014,3
316,4,Bone016,3
317,4,Bone017,3
318,4,Bone019,3
319,4,Bone021,3
320,4,Bone023,3
321,4,Bone025,3
322,4,Bone027,3
323,4,Bone029,3
324,4,Bone030,3
325,4,Bone032,3
326,5,Bone095,3
327,5,Bone096,3
328,5,Bone097,3
329,5,Bone098,3
330,5,Bone099,3
331,5,Bone101,3
332,5,Bone102,3
333,5,Bone103,3
334,5,Bone105,3
335,5,Bone106,3
336,5,Bone107,3
337,5,Bone109,3
338,5,Bone110,3
339,5,Bone111,3
340,5,Bone113,3
341,5,Bone114,3
342,5,Bone115,3
343,5,Bone117,3
344,5,Bone118,3
345,5,Bone119,3
346,5,Bone121,3
347,5,Bone122,3
348,5,Bone123,3
349,5,Bone125,3
350,5,Bone126,3
351,5,Bone128,3
352,5,Bone129,3
353,5,Bone130,3
354,5,Bone132,3
355,5,Bone134,3
356,6,Bone136,3
357,6,Bone137,3
358,6,Bone139,3
359,6,Bone140,3
360,6,Bone141,3
361,6,Bone143,3
362,6,Bone144,3
363,6,Bone146,3
364,6,Bone147,3
365,6,Bone148,3
366,6,Bone149,3
367,6,Bone150,3
368,6,Bone151,3
369,7,Bone182,3
370,7,Bone183,3
371,7,Bone184,3
372,7,Bone185,3
373,7,Bone187,3
374,7,Bone188,3
375,7,Bone189,3
376,7,Bone190,3
377,7,Bone192,3
378,7,Bone193,3
379,7,Bone194,3
380,7,Bone195,3
381,7,Bone197,3
382,7,Bone198,3
383,7,Bone199,3
384,7,Bone200,3
385,7,Bone202,3
386,7,Bone203,3
387,7,Bone205,3
388,7,Bone206,3
389,7,Bone208,3
390,7,Bone209,3
391,7,Bone211,3
392,7,Bone212,3
393,7,Bone214,3
394,7,Bone215,3
395,8,Bone216,3
396,8,Bone217,3
397,8,Bone218,3
398,8,Bone220,3
399,8,Bone221,3
400,8,Bone222,3
401,8,Bone224,3
402,8,Bone225,3
403,8,Bone226,3
404,8,Bone228,3
405,8,Bone229,3
406,8,Bone230,3
407,8,Bone232,3
408,8,Bone233,3
409,8,Bone234,3
410,8,Bone235,3
411,8,Bone237,3
412,8,Bone238,3
413,8,Bone239,3
