id,language
605,奖励个人贡献%d，并且获得全体奖励%d点个人贡献，请注意查收！
701,仙盟开始押运
702,
703,仙盟成功押运了
704,仙盟押运的
705,镖车已被一群凶恶之徒打劫的片甲不留0.0！
706,青铜镖车
707,白银镖车
708,黄金镖车
709,仙盟运镖奖励
710,恭喜您获得%d点仙盟贡献奖励！
801,宝石返还
802,传承时超过容量的宝石返还！
803,装备分解返还
804,装备分解返还镶嵌的宝石！
805,装备被爆通知
806,装备被爆掉落，宝石遗失在异空间，现已帮您找回
807,杂货店出售返还
808,杂货店出售，返还镶嵌的宝石
901,幸运的%s在地宝阁中获得道具【%s】！
902,%s福运加身，于地宝阁中获得宝物【%s】！
903,%s福运加身，于天宝阁中获得宝物【%s】！
904,%s鸿运当头，竟在天宝阁中抽得稀世奇珍【%s】！
1001,精彩活动提醒
1002,领取活动奖励
1003,精彩活动 领取活动奖励亲爱的玩家，您参与的%s活动已结束，您有忘记领取的奖励，请查收！
1101,在市场上上架了
1102,，大家快去抢啊！
1103,市场出售
1104,市场购买
1105,成功出售[df0000]%d[-]个
1106,扣除服务费[df0000]%d[-]
1107,，共计获得[df0000]%d[-]
1108,成功从市场购买[df0000]%d[-]个
1109,，共花费[df0000]%d[-]
1201,[ff8400]论道之战[-]即将开始，请各位高手做好准备！
1202,[ff8400]论道之战[-]正式开始！祝各位武运昌隆！
1203,[ff8400]论道之战[-]已结束，玩家
1204,君临天下，所向披靡，成为本次活动第一名！
1205,论道之战个人奖励
1206,恭喜您在论道之战取得第%d名！奖励道具%d绑铜，%d绑元，请注意查收！
1207,巅峰论道奖励
1208,你好，在本次活动中您声望排名第%d，获得以下奖励，请尽快领取
1209,，声望可在杂货店中兑换珍贵道具
1210,、
1211,秘殿夺宝活动将在5分钟后开启！据说这秘殿中藏有某位强者穷其一生获得的所有财宝！
1212,[ff8400]秘殿夺宝[-]
1213,活动将在5分钟后开启！据说这秘殿中藏有某位强者穷其一生获得的所有财宝！
1214,活动已开启，想要财宝，就来战！
1215,活动已结束，请期待下一次活动的开启，更多的财宝等着你！
1216,金色宝箱
1217,已刷新，请前往抢夺！
1218,玩家
1219,勇猛无敌，夺取了
1220,！
1221,[ff8400]金剑大典[-]
1222,已开启，巅峰问道，谁与争锋！
1223,夺得金剑，即将走上人生巅峰，敢问还有谁能阻挡！
1224,勇猛无敌，进入第%d层！
1225,已结束，玩家
1226,君临天下，所向披靡，成为本次活动第一名！
1227,金剑大典奖励
1228,恭喜你在金剑大典活动中排名第[0d4795]%d[-]，获得
1229,[0d4795]%d功勋[-]和以下奖励：功勋可在
1230,将在5分钟后开启，是时候展现真正的实力了！
1231,在本次[df0000]巅峰论道[-]活动中，挑战者
1232,力战群雄竟取得了最终的胜利，实在是可敬可佩！
1233,中兑换珍贵道具
1301,的“普天同庆”婚宴正在举行，广大仙友可前往祝贺，有机会获得花车巡游礼物
1302,您的道侣
1303,在%d年%d月%d日%d时%d分，与您解除了道侣关系，离婚后双方亲密度变为1，定情信物消失，道侣界面直至您下次结婚才会开启
1304,道侣关系解除
1305,点击前往
1401,仙盟攻城还有半小时就截止报名了，请各位盟主抓紧时间！
1402,仙盟攻城还有半小时开启，请各位侠士做好准备！
1403,仙盟攻城开始了，请抓紧时间进入！
1404,正在受到攻击！
1405,被摧毁了！
1406,所有水晶都被摧毁，通向城内的传送门开启
1407,城内密室还有3分钟就关闭，请抓紧时间进入！
1408,城内密室还有1分钟就关闭，请抓紧时间进入！
1409,令旗在城内出现！夺取令旗便能占领城池！
1410,恭喜
1411,仙盟，通过精彩的战斗，取得了仙盟攻城的胜利！
1412,仙盟在仙盟攻城中成功抵御敌人！守下了城池！
1413,本次的仙盟攻城没有胜利者！请各位再接再厉！
1414,雕像敬仰奖励
1415,身居城主之位，当受万民敬仰！共有%d人敬仰了你，获得%d点仙盟贡献。
1416,仙盟攻城参与奖
1417,为感谢你积极参与仙盟攻城，特发此奖励！
1418,仙盟攻城邀请函
1419,仙盟攻城将于周
1420,晚上9点打响，记得去申请攻城，并带上你的仙盟成员一起战斗！
1421,无仙盟宣告攻城，本次仙盟攻城活动暂不开启！
1422,城内传送阵还有30秒就要关闭，请抓紧时间进入！
1501,绝地乱斗奖品-阵营
1502,你所在的阵营成为了最终胜利者，所有阵营成员均可获得如下战利品！
1503,你所在的阵营失败了，所有阵营成员均可获得如下奖品！
1504,绝地乱斗奖品-个人
1505,您以第%d名的卓越佳绩列于绝地乱斗总排行榜，以下为您此次所获之礼！
1506,您在绝地乱斗总排行榜排名第%d名，以下为排名奖励！
1510,[ff8400]绝地乱斗[-]活动已开启，想要财宝，就来战！
1511,[ff8400]绝地乱斗[-]活动已结束，请期待下一次活动的开启，更多的财宝等着你！
1512,凭着超高武艺在绝地乱斗中达到“
1513,”成就
1514,在绝地乱斗中成功终结了
1515,的
1516,成就
1517,五杀
1518,战神
1519,超神
1601,交易返还物品
1602,交易中出现异常状况，导致物品遗落在异空间，现已帮您找回
1603,鸿运当头，于
1604,中开得稀世奇宝--
1605,玩家
1606,通过开启
1607,获得了时装【
1608,获得了坐骑【
1609,】!
1610,玩家
1611,在分解
1612,时，竟开出锻造珍材——
1613,、
1614,【
1615,】
1616,橙色精炼石
1617,！真是太幸运了！
1701,我方香炉正在受到攻击！
1702,摧毁了
1703,的晶石！
1704,的
1705,摧毁了
1706,的晶石，
1707,对其造成大量的伤害!
1708,为我仙盟贡献了
1709,%香炉经验加成！
1710,仙府香炉
1711,已开启！
1801,凭着高超武艺在绝地乱斗中达成“
1802,”成就！
1803,在绝地乱斗中成功终结了
1804,的
1805,成就！
1806,五杀
1807,超神
1901,道具被爆提示
1902,您被
1903,击杀，不小心掉落
1904,\n可在[008800]仇人[-]界面中追踪仇人
1905,\n温馨提示：装备可在[008800]激战BOSS[-]、[008800]市场[-]和[008800]杂货店[-]获得
1906,、
1907,仙盟的
1908,击杀了
1909,仙盟的
1910,爆出了
1911,玩家
1912,滥杀无辜，罪孽缠身，引动天道业火降临，焚身灼魂，当场身亡！
2001,青铜镖车
2002,白银镖车
2003,黄金镖车
2004,成功押送
2005,！
2006,开始押送
2007,押送的
2008,已被
2009,劫走！
2101,领取活动奖励
2102,亲爱的玩家，七天登录活动已结束，您有忘记领取的奖励，请查收！
2201,特惠周卡
2202,至尊月卡
2203,收益1000绑元，真是羡煞众人！
2204,领取了
2205,收益2000绑元，真是羡煞众人！
2206,激活了
2207,，将享受每日1000绑元的收益，真是羡煞旁人！
2208,，将享受每日2000绑元的收益，真是羡煞旁人！
2301,参与了首充活动，获得丰厚奖励、极品橙色武器
2302,以及华丽羽翼
2303,成为了我们的
2304,会员！
2305,VIP
2401,、
2402,[ff8400]盗宝小妖[-]即将在5分钟后路过
2403,,勇士们请做好抢宝准备！
2404,[ff8400]盗宝小妖[-]正在
2405,逃窜,勇士们请前往缉拿！
2406,[ff8400]盗宝小妖[-]
2407,活动已结束,请期待下次活动的开启！
2501,无间门来袭，正在入侵
2502,大夏王都
2503,，是时候挺身而出守护家园了！
2504,[ff8400]无间入侵[-]
2505,已结束，请期待下次活动的开启！
2506,神威盖世，英勇的击杀了
2507,，令无间门众修闻风丧胆！
2601,[ff8400]女娲神石[-]
2602,还有5分钟喷涌灵气！站在晶石周围即可获得大量经验，还有神秘宝箱等你拿，还在等什么呢？
2603,[ff8400]女娲神石[-]
2604,正在释放天地灵气！站在晶石周围即可获得大量经验，还有神秘宝箱等你拿，快去参加吧！
2605,[ff8400]女娲神石[-]活动已经结束，明天的
2606,12
2607,点将继续开启！
2608,眼疾手快，居然抢到了高级宝箱，获得了
2609,【%s】
2610,！！！
2701,恭喜
2702,获得了功法书
2703,【%s】
2704,！
2705,的伙伴%s资质提升至
2706,!
2707,的伙伴%s%s获得提升，
2708,全部点亮！
2709,炼气
2710,炼体
2711,炼心
2712,白色8星
2713,绿色8星
2714,蓝色8星
2715,紫色8星
2801,的坐骑进化至
2802,阶
2803,，正骑着
2804,四处逍遥
2901,送了
2902,给
2903,，表达了
2904,的心意！
2905,他
2906,她
2907,借改名卡之力扭转因果，逆行天道，以
2908,之名重现三界！
3001,成功将装备
3002,精炼为
3003,，真是可喜可贺！
3004,天地异象，玩家
3005,精炼成
3006,，从此走上人生巅峰！
3007,神兵出世！
3008,经过不懈努力终将
3009,强化到
3010,，神兵一出，谁与争锋！
3011,玩家%s使用了%s，将部位强化至%d级，实力获得大幅提升！
3101,出现在
3102,，战胜它便能获得海量奖励！
3103,成功击杀了
3104,，获得了海量奖励！
3105,被击败后，竟然爆出了稀有的
3106,,
3107,由击杀者获得!
3108,由伤害拥有者获得!
3109,由参与击杀者获得!
3201,在开服贺礼中购买了
3202,，战力获得大幅提升！
3211,开服贺礼
3212,坐骑礼包特惠上架，低至2折！数量有限，赶紧行动，酷炫坐骑等着您！详情点击主界面“开服贺礼”图标抢购。
3213,强化礼包特惠上架，低至2折！数量有限，赶紧行动！提升战力快人一步！详情点击主界面“开服贺礼”图标抢购。
3214,宝石礼包特惠上架，低至2折！数量有限，赶紧行动！机不可失失不再来！详情点击主界面“开服贺礼”图标抢购。
3251,在爱心礼包中领取了
3252,等
3253,稀有奖励，实力获得大幅提升！！
3261,鸿运当头，在[008800]幸运转盘[-]中抽中了
3262,，真是运气爆表！
3271,恭喜[008800]%s[-],花费[ff8400]%d元宝[-]迎财神，获得[ff8400]%d元宝[-]
3272,为回馈诸位道友的热情支持，天庭特遣财神下凡！参与财神到活动，喜迎财神，即可领取海量元宝奖励！
3301,玩家
3302,明悟天地至理，觉醒[00ff00]烈火领域[-]，获得更强大的力量！
3303,明悟天地至理，觉醒[00ff00]雨水领域[-]，获得更强大的力量！
3304,明悟天地至理，觉醒[00ff00]玄冰领域[-]，获得更强大的力量！
3305,明悟天地至理，觉醒[00ff00]雷电领域[-]，获得更强大的力量！
3306,明悟天地至理，觉醒[00ff00]疾风领域[-]，获得更强大的力量！
3307,明悟天地至理，觉醒[00ff00]虚空领域[-]，获得更强大的力量！
3308,明悟天地至理，觉醒[00ff00]神光领域[-]，获得更强大的力量！
3309,[00ff00]阳星极火[-]
3310,[00ff00]露雨冥月[-]
3311,[00ff00]千里冰封[-]
3312,[00ff00]雷霆之怒[-]
3313,[00ff00]掠影风牙[-]
3314,[00ff00]无尽虚空[-]
3315,[00ff00]五色神光[-]
3316,玩家
3317,经过不懈修行，领悟
3318,神威道域护体，立于不败之地！
3319,难以置信，
3320,竟能将
3321,磨练至极限！大道踏天，言出法随，试问谁人堪比！
3501,玩家
3502,披荆斩棘，踏破轮回塔之【
3503,】，领悟神通
3504,，更获得丰厚奖励！
3601,玩家
3602,展现绝强实力，成就王者之姿！听哪，演武场中的血雨腥风正诉说着他的传奇！
3603,祝贺玩家
3604,在巅峰竞技活动中提升至
3605,段位！赛季结束时的段位越高，获得的奖励也将更加丰厚哦！
3606,巅峰竞技奖励
3607,武勋奖励
3608,您在巅峰竞技中取得了第
3609,名，获得了以下奖励，请查收！
3610,您在上一个巅峰竞技赛季中达到了
3611,段位，获得了以下奖励，请查收！
3612,由于背包空间不足，您在巅峰竞技中的战斗奖励通过邮件发送，请查收
3613,上一个巅峰竞技赛季结束了，您有未领取的武勋奖励，已通过邮件发送，请及时领取！
3614,参与奖励
3615,今日的巅峰竞技活动已结束。您有未领取的参与奖励，已通过邮件发送，请查收。
3616,段位奖励
3617,今日的巅峰竞技活动已结束。您有未领取的段位奖励，已通过邮件发送，请查收。
4001,获得了永久时装
4002,【%s】
4003,！
4101,的羽翼淬炼至
4102,级，获得了新的羽翼
4103,！
4104,的羽翼技能
4105,成功淬炼至
4106,级，实力更上一层楼！
4107,经过不懈努力悟化获得了羽翼
4108,！
4201,战力排名第一的
4202,上线了，大家快来膜拜啊！
4203,等级排名第一的
4204,上线了，大家快来膜拜啊！
4205,英雄榜排名第一的
4206,上线了，大家快来膜拜啊！
4207,恶人榜排名第一的
4208,上线了，杀神当道，诸仙退散！
4209,英勇无敌，夺得了
4210,第一的位置，这一刻历史被改写！
4211,战力榜
4212,等级榜
4213,英雄榜
4301,战神殿
4302,副本已开启，请仙友们尽快前往降魔！
4401,风云乱世，恭喜仙友
4402,成功突破至
4403,！
4404,后天生灵
4405,先天生灵
4406,紫府修士
4407,万象真人
4408,元神道人
4409,返虚地仙
4410,金丹天仙
4411,纯阳真仙
4412,大罗道祖
4413,世界境
4501,突破极限，成功转生至
4502,转，战斗力得到大大的提升！
4601,天啦噜~，
4602,得到了幸运女神的眷顾，武器气运值提升至
4603,，战斗能力爆表了！
4701,在洗炼装备时，洗炼出了橙色属性
4702,，实在是太幸运了！
4703,生命
4704,攻击
4705,防御
4706,命中
4707,闪避
4708,暴击
4709,韧性
4801,限时特惠奖励
4802,您参与的限时特惠活动有奖励未领取，请查收！
4901,充值返利
4902,您参与了充值返利活动，本次充值了%d元宝，获得了%d元宝的返利，请查收，祝您游戏愉快！
4903,充值返还
4904,您在删档服中参与了充值返还活动，本账号下共充值了%d元宝，获得了%d倍元宝的返还，共计%d元宝，请查收，祝您游戏愉快！
5001,副本通关奖励
5002,你获得了副本通关奖励!
5101,玩家
5102,经过不懈的努力，激活了
5103,[ea00e8]【流光】·
5104,[ea4b0b]【天河】·
5105,[df0000]【主宰】·
5106,阶套装[-]
5107,属性，战力瞬间暴涨！
5201,每日符文奖励
5202,域外星门第%d关每日奖励
5203,*%d
5204,，通关的关卡越多，每日符文奖励也将越好哦！
5205,符文副本
5206,符文副本通关奖励
5301,极速挑战奖励
5302,恭喜您在极速挑战中达到了第
5303,名，获得了以下奖励，请查收
5304,玩家
5305,耗时
5306,成功通关
5307,极速挑战
5308,！排行榜前20将获赠特殊奖励，快来挑战自己的极限吧！
5309,玩家
5310,以
5311,的超绝神速成功通关
5312,极速挑战
5313,，荣登排行榜第一名宝座！
5401,绝地乱斗排名奖励
5402,恭喜您在绝地乱斗活动排行中获得了第
5403,名的成绩，以下是您获得的排名奖励，请查收！
5404,凭着超高武艺在绝地乱斗中达到
5405,成就
5406,在绝地乱斗中成功终结了
5407,的
5408,成就
5409,五杀
5410,战神
5411,超神
5412,极品buff将在
5413,10秒后
5414,刷新在场景中心，
5415,点击前往
5416,距离本场结束还剩
5417,%d分钟
5418,祝贺玩家
5419,在今晚的绝地乱斗活动中大吉大利，成功吃鸡！[url=7-921000000][u][e7801c]点击报名[-][/u][/url]，一起吃鸡！
5420,玩家
5421,击杀了
5422,玩家
5423,被淘汰，成为本场第
5424,名。
5425,乱斗奖励
5426,由于背包空间不足，您在绝地乱斗中获得的第
5427,名奖励通过邮件发送，请查收！
5428,乱斗参与奖励
5429,绝地乱斗活动结束时，您有未领取的参与奖励，已通过邮件发送，请查收！
5430,乱斗目标奖励
5431,绝地乱斗活动结束时，您有未领取的击杀目标奖励，已通过邮件发送，请查收！
6001,普通
6002,困难
6003,地狱
6004,噩梦
6005,凡劫
6006,幽冥
6007,血狱
6008,修罗
6101,夺宝奇兵
6102,提交宝箱，背包已满，奖励通过邮件发送！
6201,女娲神石
6202,女娲神石采集宝箱，背包已满，奖励通过邮件发送！
6203,在挖宝过程中惊动盗匪，匪徒携财宝逃遁至
6204,狱山荒泽一层
6205,狱山荒泽二层
6206,。前往相应地图找到[008aa3]平乱侦查使[-]进入副本，可获得丰厚的经验和铜钱奖励（组队前往奖励更高）。
6207,在挖宝途中获仙人青睐，被赠予
6208,【橙色精炼石】
6209,金乌神纹
6210,在藏宝秘地中大杀四方，击败守宝护卫获得
6211,在除暴副本中屠妖斩魔，夺得群妖珍藏的
6212,[系统]
6213,大量怪物涌向
6214,，肆意破坏城池。前往相应地图找到[008aa3]除暴侦查使[-]进入副本，可获得丰富的经验和铜钱奖励（组队前往奖励更高）。 
6215,在
6216,
6217,寻得[008aa3]平乱侦查使[-]，获得巨额经验和铜钱奖励。
6218,、
7001,仙灵草
7002,摇钱树
7003,药园收获道具
7004,由于背包空间不足，您在药园收获的道具以邮件发送，请清理背包后领取！
8001,环式任务奖励
8002,由于背包空间不足，您的环式任务奖励通过邮件发送，请查收。
8003,试炼任务奖励
8004,由于背包空间不足，您的试炼任务奖励通过邮件发送，请查收。
8005,环式抽奖奖励
8006,您有未领取的环式任务抽奖奖励，现已通过邮件发送，请查收。
8007,大夏藏宝图
8008,由于背包空间不足，您在环式任务储存奖励中领取的大夏藏宝图通过邮件发送，请清理背包后领取！
8009,环式任务奖励
8010,恭喜您成为VIP，以下是您已完成的环式任务中未获得的VIP奖励，请查收。VIP玩家在完成环式任务时，可获得1.5倍经验和双倍大夏藏宝图奖励，祝您游戏愉快！
8101,现在可召唤挑战仙盟boss！
8102,恭喜玩家
8103,赐予boss最后一击，将仙盟boss的暴虐彻底终结！
8104,本仙盟boss已被
8105,唤醒，并将于3分钟后开始肆虐，请各位仙盟成员准时参与讨伐！
8106,仙盟boss正于仙盟秘地内横行，请速速
8107,开启仙盟BOSS界面
8108,参与讨伐
8109,全体成员耗时
8110,秒击杀仙盟boss
8111,，获得
8112,评分，相应奖励已发送仙盟仓库
8113,仙盟boss
8114,对boss%s的伤害排名第%d，获得以下奖励。
8115,仙盟成员勠力同心，击杀了仙盟boss%s，全体仙盟成员获得%d点仙盟贡献
8116,、
9001,吉星高照奖励
9002,、
9003,您本周在吉星高照系统中获得了
9004,的奖励，请查收！
9005,您所在的仙盟在今天的吉星高照活动中积分达到了
9006,，全体成员奖励
9007,，请查收！
9008,恭喜玩家
9009,吉运亨通，在吉星高照活动命中大吉大利,获得丰厚奖励！
9010,吉运亨通，在吉星高照活动命中吉祥如意,获得丰厚奖励！
9011,在吉星高照活动全中六吉，赢得至尊奖励，吉星高照！
9101,荒古神域活动
9102,您在荒古神域活动中对boss造成了%.1f%%伤害，获得了奖励如下，请及时查收！
9103,本仙盟在荒古神域活动中，仙盟成员总伤害排名排在第1名，获得了
9104,，已放入仙盟仓库，仙盟成员可申请领取。
9105,仙盟的
9106,在活动[ff8400]荒古神域[-]中给了[df0000]上古蛮神[-]最后一击，获得了海量奖励。
9107,、
9201,竞猜奖励
9202,恭喜！您在跨服赛%s中竞猜成功，获得了%d铜钱奖励。请及时领取。
9203,8强争夺赛
9204,4强争夺赛
9205,半决赛
9206,决赛
9207,跨服赛奖励
9208,恭喜！您在跨服赛活动中表现英勇，取得了%s%s的好成绩。以下是您获得的奖励，请及时领取。
9209,天榜
9210,地榜
9211,您成功报名参与了跨服赛活动，以下是参与活动的奖励，请及时领取。
9212,跨服赛淘汰赛将在今天20点开启，请获得参赛资格的选手准时参赛。
9213,跨服赛淘汰赛将在1小时后开启，请获得参赛资格的选手准时参赛。
9214, 跨服赛淘汰赛将在30分钟后开启，请获得参赛资格的选手准时参赛。
9215,跨服赛淘汰赛已结束，本服共有%d位选手获得晋级赛参赛资格。未获得参赛资格的选手，可进行冠军竞猜，竞猜成功会获得奖励。
9216,跨服赛晋级赛将在1小时后开启，请获得参赛资格的选手准时参赛。
9217,跨服赛晋级赛将在30分钟后开启，请获得参赛资格的选手准时参赛。
9218,已结束，现在可参与新一轮的投注。
9219,所向无敌，勇夺本届跨服战冠军，赢得了丰厚的奖励！
9220,冠军
9221,亚军
9222,4强
9223,8强
9224,16强
9225,登顶跨服战巅峰的
9226,驾临三界，其神威震动寰宇！
9227,当前可参与跨服总决赛下注竞猜，赢取海量绑铜奖励！
9228,当前可进行本周跨服赛报名！
9229,跨服淘汰赛将于今晚8点举行，请获得参与资格的玩家准时参赛！
9230,当前可参与跨服八强赛下注竞猜，赢取海量绑铜奖励！
9231,当前可参与跨服四强赛下注竞猜，赢取海量绑铜奖励
9232,当前可参与跨服半决赛下注竞猜，赢取海量绑铜奖励！
9233,跨服总决赛已经开始，请参与跨服赛的玩家做好准备，进入战场！
9234,跨服淘汰赛已经开始，请参与跨服赛的玩家做好准备，进入战场！
9235,跨服八强争夺赛已经开始，请参与跨服赛的玩家做好准备，进入战场！
9236,跨服四强争夺赛已经开始，请参与跨服赛的玩家做好准备，进入战场！
9237,跨服半决赛已经开始，请参与跨服赛的玩家做好准备，进入战场！
9238,跨服总决赛已经结束，奖励已通过邮件发送
9239,距跨服赛报名截止还剩2个小时，未报名的玩家请抓紧时间！
9240,跨服淘汰赛已结束，明晚8点将举行八强赛。战斗数据以今晚24点记录的为准，24点后可下注竞猜。
9241,跨服八强赛已经结束，押注奖励已邮件发送。明晚8点将举行四强赛。战斗数据以今日24点记录的为准，24点后可下注竞猜。
9242,跨服四强赛已经结束，押注奖励已邮件发送。明晚8点将举行半决赛。战斗数据以今日24点记录的为准，24点后可下注竞猜。
9243,跨服半决赛已经结束，押注奖励已邮件发送。明晚8点将举行总决赛。战斗数据以今日24点记录的为准，24点后可下注竞猜。
9244,距跨服赛报名截止还剩5分钟,未报名玩家请抓紧时间
9245,跨服赛将于0点附近记录玩家战斗数据，请参与者保持最佳状态！
9246,跨服赛
9247,恭喜您获得跨服赛参赛资格，今晚8点将举行跨服淘汰赛，连输3场会被淘汰哦！
9248,恭喜您晋级跨服赛天榜，明晚8点开始八强争夺赛。
9249,恭喜您晋级跨服赛地榜，明晚8点开始八强争夺赛。
9250,恭喜您晋级跨服赛天榜八强，明晚8点将举行四强争夺赛。
9251,恭喜您晋级跨服赛地榜八强，明晚8点将举行四强争夺赛。
9252,恭喜您晋级跨服赛天榜四强，明晚8点将举行半决赛。
9253,恭喜您晋级跨服赛地榜四强，明晚8点将举行半决赛。
9254,恭喜您晋级跨服赛天榜半决赛，明晚8点将举行总决赛。
9255,恭喜您晋级跨服赛地榜半决赛，明晚8点将举行总决赛。
9266,【炎玉】
9300,%s[1c252c]宣布攻打[-][ff5fee]%s[-][1c252c]据点[-]
9301,[1c252c],最少筹集%d个[-]%s，[1c252c]筹集数量最多的仙盟将获得攻打资格！[-]
9302,[1c252c]跨服据点战[-]
9303,%s上交%d个%s.
9304,今天晚上19点30有跨服据点战，请仙盟玩家准时参加！
9305,[1c252c]进攻方:[-]
9306,[1c252c]防守方:[-]
9307,[1c252c]由于筹集的[-]%s[1c252c]不够或少于其他仙盟，没有获得攻打据点战资格！[-]
9308,[1c252c]筹集的[-]%s[1c252c]不足，没有获得攻打资格[-]
9309,跨服据点战已经开始，请仙盟玩家进入战场！
9310,[1c252c]获得攻打[ff5fee]%s[-][1c252c]资格,[-]
9311,[0ff1ff]%s[-][1c252c]选择攻打我方据点[-][ff5fee]%s[-]
9312,[1c252c]失去[-]
9313,[1c252c]获得[-]
9314,[ff5fee]%s[-][1c252c]据点的占有权[-]
9315,本周跨服据点战积分排名第%d名,获得周奖励！
9401,恭喜玩家
9402,激活[ffa200]苍穹之戒[-]！苍穹之念加身，其力锐不可当！
9403,激活[ffa200]冥渊之戒[-]！冥河天堑护体，防御固若金汤！
9501,[ffa200]人阶法宝[-]
9502,[ffa200]地阶法宝[-]
9503,[ffa200]天阶法宝[-]
9504,[ffa200]仙阶法宝[-]
9505,[ffa200]纯阳法宝[-]
9506,[ffa200]先天灵宝[-]
9507,[ffa200]混沌奇宝[-]
9508,[ffa200]道之神兵[-]
9509,[ffa200]永恒神兵[-]
9510,[ffa200]宇宙之宝[-]
9511,经过不懈努力，令道铠进阶为%s，掌握了更强大的力量！
9601,充值奖励
9602,学宫修行活动已结束。您参与的学宫修行充值奖励有未领取的奖励物品，现通过邮件将奖励物品发送给您，敬请期待下次活动的开启！
9701,难以置信！玩家
9702,居然在符文寻宝中获得了
9703,！这是何等强势的气运啊！
9704,玩家
9705,巧妙地控制力量的平衡，创造出
9706,符文，神奇的技艺令人叹为观止！
9707,竟已将
9708,提升至最高级！在他面前，符文一道已经再无秘密了么！
9709,牵引
9710,【符文秘钥】
9711,恭喜玩家%s解锁[008800]%d[-]阶足迹[ea00e8]%s[-]！步履神行百变，其势迅如疾风！
9712,恭喜玩家%s解锁[008800]%d[-]阶仙器[ea00e8]%s[-]！仙力移山倒海，其形变化万千！
9713,之力，额外开辟符文镶嵌孔，逆天之姿惊动世人！
9801,“开服活动”图标查看。
9802,“精彩活动”图标查看。
9803,坐骑升级
9804,宠物成长
9805,宝石合成
9806,装备强化
9807,神羽升级
9808,玄兵淬炼
9809,法宝活动
9810,足迹升阶
9811,仙器升阶
9812,领域提升
9813,坐骑培养活动震撼开启！今日充值赠送千烂神果、橙色精炼石、完美符等丰厚奖励，提升坐骑更有超值奖励返还，酷炫坐骑即刻拥有！详情点击主界面
9814,伙伴成长活动震撼开启！今日充值赠送大量修炼元液、橙色精炼石、完美符等丰厚奖励，提升伙伴更有超值奖励返还，提升战力快人一步！详情点击主界面
