id,kind,objectid,number,bind
178,8039,173304007,255,1
179,8040,173309003,100,1
180,8040,173304007,265,1
181,9001,215500001,999960,1
182,9002,215500001,1050000,1
183,9003,215500001,1102560,1
184,9004,215500001,1157640,1
185,9005,215500001,1215480,1
186,9006,215500001,1276200,1
187,9007,215500001,1340040,1
188,9008,215500001,1407000,1
189,9009,215500001,1477320,1
190,9010,215500001,1551240,1
191,9011,215500001,1628760,1
192,9012,215500001,1710240,1
193,9013,215500001,1795800,1
194,9014,215500001,1885560,1
195,9015,215500001,1979880,1
196,9016,215500001,2078880,1
197,9011,215500001,1628760,1
198,9012,215500001,1710240,1
199,9013,215500001,1795800,1
200,9014,215500001,1885560,1
201,9015,215500001,1979880,1
202,9016,215500001,2078880,1
203,9017,215500001,2182800,1
204,9018,215500001,2292000,1
205,9019,215500001,2406600,1
206,9020,215500001,2526960,1
207,9021,215500001,2653320,1
208,9022,215500001,2078880,1
209,9023,215500001,2182800,1
210,9024,215500001,2292000,1
211,9025,215500001,2406600,1
212,9026,215500001,2526960,1
213,9027,215500001,2653320,1
214,9028,215500001,2786040,1
215,9029,215500001,2925360,1
216,9030,215500001,3071640,1
217,9031,215500001,3225240,1
218,9032,215500001,3386520,1
219,9033,215500001,2653320,1
220,9034,215500001,2786040,1
221,9035,215500001,2925360,1
222,9036,215500001,3071640,1
223,9037,215500001,3225240,1
224,9038,215500001,3386520,1
225,9039,215500001,3555840,1
226,9040,215500001,3733680,1
227,9041,215500001,3920400,1
228,9042,215500001,4116480,1
229,9043,215500001,4322280,1
230,9044,215500001,3386520,1
231,9045,215500001,3555840,1
232,9046,215500001,3733680,1
233,9047,215500001,3920400,1
234,9048,215500001,4116480,1
235,9049,215500001,4322280,1
236,9050,215500001,4538400,1
237,9051,215500001,4765320,1
238,9052,215500001,5003640,1
239,9053,215500001,5253840,1
240,9054,215500001,5516520,1
241,9055,215500001,4322280,1
242,9056,215500001,4538400,1
243,9057,215500001,4765320,1
244,9058,215500001,5003640,1
245,9059,215500001,5253840,1
246,9060,215500001,5516520,1
247,9061,215500001,5792400,1
248,9062,215500001,6082080,1
249,9063,215500001,6386160,1
250,9064,215500001,6705480,1
251,9065,215500001,7040760,1
252,9066,215500001,5516520,1
253,9067,215500001,5792400,1
254,9068,215500001,6082080,1
255,9069,215500001,6386160,1
256,9070,215500001,6705480,1
257,9071,215500001,7040760,1
258,9072,215500001,7392840,1
259,9073,215500001,7762440,1
260,9074,215500001,8150520,1
261,9075,215500001,8558040,1
262,9076,215500001,8985960,1
263,9077,215500001,7040760,1
264,9078,215500001,7392840,1
265,9079,215500001,7762440,1
266,9080,215500001,8150520,1
267,9081,215500001,8558040,1
268,9082,215500001,8985960,1
269,9083,215500001,9435240,1
270,9084,215500001,9906960,1
271,9085,215500001,10402320,1
272,9086,215500001,10922400,1
273,9087,215500001,11468520,1
274,9088,215500001,8985960,1
275,9089,215500001,9435240,1
276,9090,215500001,9906960,1
277,9091,215500001,10402320,1
278,9092,215500001,10922400,1
279,9093,215500001,11468520,1
280,9094,215500001,12042000,1
281,9095,215500001,12644160,1
282,9096,215500001,13276320,1
283,9097,215500001,13940160,1
284,9098,215500001,14637120,1
285,9099,215500001,11468520,1
286,9100,215500001,12042000,1
287,9101,215500001,12644160,1
288,9102,215500001,13276320,1
289,9103,215500001,13940160,1
290,9104,215500001,14637120,1
291,9105,215500001,15369000,1
292,9106,215500001,16137480,1
293,9107,215500001,16944360,1
294,9108,215500001,17791560,1
295,9109,215500001,18681120,1
296,9110,215500001,14637120,1
297,9111,215500001,15369000,1
298,9112,215500001,16137480,1
299,9113,215500001,16944360,1
300,9114,215500001,17791560,1
301,9115,215500001,18681120,1
302,9116,215500001,19615200,1
303,9117,215500001,20595960,1
304,9118,215500001,21625800,1
305,9119,215500001,22707120,1
306,9120,215500001,23842440,1
307,9121,215500001,18681120,1
308,9122,215500001,19615200,1
309,9123,215500001,20595960,1
310,9124,215500001,21625800,1
311,9125,215500001,22707120,1
312,9126,215500001,23842440,1
313,9127,215500001,25034520,1
314,9128,215500001,26286240,1
315,9129,215500001,27600600,1
316,9130,215500001,28980600,1
317,9131,215500001,30429600,1
318,9132,215500001,23842440,1
319,9133,215500001,25034520,1
320,9134,215500001,26286240,1
321,9135,215500001,27600600,1
322,9136,215500001,28980600,1
323,9137,215500001,30429600,1
324,9138,215500001,31951080,1
325,9139,215500001,33548634,1
326,9140,215500001,35226065,1
327,9141,215500001,36987368,1
328,9142,215500001,38836737,1
329,9143,215500001,30429600,1
330,9144,215500001,31951080,1
331,9145,215500001,33548634,1
332,9146,215500001,35226065,1
333,9147,215500001,36987368,1
334,9148,215500001,38836737,1
335,9149,215500001,40778574,1
336,9150,215500001,42817503,1
337,9151,215500001,44958378,1
338,9152,215500001,47206297,1
339,9153,215500001,49566611,1
340,9154,215500001,38836737,1
341,9155,215500001,40778574,1
342,9156,215500001,42817503,1
343,9157,215500001,44958378,1
344,9158,215500001,47206297,1
345,9159,215500001,49566611,1
346,9160,215500001,52044942,1
347,9161,215500001,54647189,1
348,9162,215500001,57379549,1
349,9163,215500001,60248526,1
350,9164,215500001,63260952,1
351,9165,215500001,49566611,1
352,9166,215500001,52044942,1
353,9167,215500001,54647189,1
354,9168,215500001,57379549,1
355,9169,215500001,60248526,1
356,9170,215500001,63260952,1
357,9171,215500001,66424000,1
358,9172,215500001,69745200,1
359,9173,215500001,73232460,1
360,9174,215500001,76894083,1
361,9175,215500001,80738787,1
362,10001,215500001,415780,1
363,10002,215500001,415780,1
364,10003,215500001,415780,1
365,10004,215500001,415780,1
366,10005,215500001,415780,1
367,10006,215500001,415780,1
368,10007,215500001,415780,1
369,10008,215500001,415780,1
370,10009,215500001,415780,1
371,10010,215500001,415780,1
372,10011,215500001,415780,1
373,10012,215500001,415780,1
374,10013,215500001,415780,1
375,10014,215500001,415780,1
376,10015,215500001,415780,1
377,10016,215500001,415780,1
378,10017,215500001,831660,1
379,10018,215500001,831660,1
380,10019,215500001,831660,1
381,10020,215500001,831660,1
382,10021,215500001,831660,1
383,10022,215500001,831660,1
384,10023,215500001,831660,1
385,10024,215500001,831660,1
386,10025,215500001,831660,1
387,10026,215500001,831660,1
388,10027,215500001,831660,1
389,10028,215500001,831660,1
390,10029,215500001,831660,1
391,10030,215500001,831660,1
392,10031,215500001,831660,1
393,10032,215500001,831660,1
394,10033,215500001,831660,1
395,10034,215500001,831660,1
396,10035,215500001,831660,1
397,10036,215500001,831660,1
398,10037,215500001,831660,1
399,10038,215500001,831660,1
400,10039,215500001,831660,1
401,10040,215500001,831660,1
402,10041,215500001,831660,1
403,10042,215500001,831660,1
404,10043,215500001,831660,1
405,10044,215500001,831660,1
406,10045,215500001,853356,1
407,10046,215500001,896022,1
408,10047,215500001,940824,1
409,10048,215500001,987864,1
410,10049,215500001,1037262,1
411,10050,215500001,1037382,1
412,10051,215500001,1037502,1
413,10052,215500001,1037622,1
414,10053,215500001,1037742,1
415,10054,215500001,1037862,1
416,10055,215500001,1037982,1
417,10056,215500001,1089126,1
418,10057,215500001,1143582,1
419,10058,215500001,1200756,1
420,10059,215500001,1260798,1
421,10060,215500001,1323834,1
422,10061,215500001,1323954,1
423,10062,215500001,1324074,1
424,10063,215500001,1324194,1
425,10064,215500001,1324314,1
426,10065,215500001,1324434,1
427,10066,215500001,1324554,1
428,10067,215500001,1390026,1
429,10068,215500001,1459530,1
430,10069,215500001,1532508,1
431,10070,215500001,1609134,1
432,10071,215500001,1689588,1
433,10072,215500001,1689648,1
434,10073,215500001,1689708,1
435,10074,215500001,1689768,1
436,10075,215500001,1689828,1
437,10076,215500001,1689888,1
438,10077,215500001,1689948,1
439,10078,215500001,1774068,1
440,10079,215500001,1862772,1
441,10080,215500001,1955910,1
442,10081,215500001,2053704,1
443,10082,215500001,2156394,1
444,10083,215500001,2156514,1
445,10084,215500001,2156634,1
446,10085,215500001,2156754,1
447,10086,215500001,2156874,1
448,10087,215500001,2156994,1
449,10088,215500001,2157114,1
450,10089,215500001,2264208,1
451,10090,215500001,2377422,1
452,10091,215500001,2496294,1
453,10092,215500001,2621106,1
454,10093,215500001,2752164,1
455,10094,215500001,2752284,1
456,10095,215500001,2752404,1
457,10096,215500001,2752524,1
458,10097,215500001,2752644,1
459,10098,215500001,2752764,1
460,10099,215500001,2752884,1
461,10100,215500001,2889768,1
462,10101,215500001,3034260,1
463,10102,215500001,3185970,1
464,10103,215500001,3345270,1
465,10104,215500001,3512538,1
466,10105,215500001,3512658,1
467,10106,215500001,3512778,1
468,10107,215500001,3512898,1
469,10108,215500001,3513018,1
470,10109,215500001,3513138,1
471,10110,215500001,3513258,1
472,10111,215500001,3688164,1
473,10112,215500001,3872568,1
474,10113,215500001,4066200,1
475,10114,215500001,4269510,1
476,10115,215500001,4482984,1
477,10116,215500001,4483104,1
478,10117,215500001,4483224,1
479,10118,215500001,4483344,1
480,10119,215500001,4483464,1
481,10120,215500001,4483584,1
482,10121,215500001,4483704,1
483,10122,215500001,4707132,1
484,10123,215500001,4942488,1
485,10124,215500001,5189616,1
486,10125,215500001,5449098,1
487,10126,215500001,5721552,1
488,10127,215500001,5721672,1
489,10128,215500001,5721792,1
490,10129,215500001,5721912,1
491,10130,215500001,5722032,1
492,10131,215500001,5722152,1
493,10132,215500001,5722272,1
494,10133,215500001,6007626,1
495,10134,215500001,6308010,1
496,10135,215500001,6623412,1
497,10136,215500001,6954582,1
498,10137,215500001,7302312,1
499,10138,215500001,6085269,1
500,10139,215500001,6085269,1
501,10140,215500001,6085269,1
502,10141,215500001,6085269,1
503,10142,215500001,6085269,1
504,10143,215500001,6085269,1
505,10144,215500001,6389532,1
506,10145,215500001,6709009,1
507,10146,215500001,7044459,1
508,10147,215500001,7396682,1
509,10148,215500001,7766516,1
510,10149,215500001,7766516,1
511,10150,215500001,7766516,1
512,10151,215500001,7766516,1
513,10152,215500001,7766516,1
514,10153,215500001,7766516,1
515,10154,215500001,7766516,1
516,10155,215500001,8154842,1
517,10156,215500001,8562584,1
518,10157,215500001,8990713,1
519,10158,215500001,9440249,1
520,10159,215500001,9912261,1
521,10160,215500001,9912261,1
522,10161,215500001,9912261,1
523,10162,215500001,9912261,1
524,10163,215500001,9912261,1
525,10164,215500001,9912261,1
526,10165,215500001,9912261,1
527,10166,215500001,9912261,1
528,10167,215500001,10407875,1
529,10168,215500001,10928268,1
530,10169,215500001,11474682,1
531,10170,215500001,12048416,1
532,10171,215500001,12048416,1
533,10172,215500001,12048416,1
534,10173,215500001,12048416,1
535,10174,215500001,12048416,1
536,10175,215500001,12048416,1
537,10176,215500001,12048416,1
538,10177,215500001,12650837,1
539,10178,215500001,13283379,1
540,10179,215500001,13947548,1
541,10180,215500001,14644925,1
542,10181,215500001,15377171,1
543,11001,215500001,300000,1
544,11001,215514001,12000,1
545,11002,215500001,315000,1
546,11002,215514001,12400,1
547,11003,215500001,330750,1
548,11003,215514001,12800,1
549,11004,215500001,347287,1
550,11004,215514001,13200,1
551,11005,215500001,364651,1
552,11005,215514001,13600,1
553,11006,215500001,382884,1
554,11006,215514001,14000,1
555,11007,215500001,402028,1
556,11007,215514001,14400,1
557,11008,215500001,422128,1
558,11008,215514001,14800,1
559,11009,215500001,443235,1
560,11009,215514001,15200,1
561,11010,215500001,465397,1
562,11010,215514001,15600,1
563,11011,215500001,488667,1
564,11011,215514001,16000,1
565,11012,215500001,513100,1
566,11012,215514001,16400,1
567,11013,215500001,538755,1
568,11013,215514001,16800,1
569,11014,215500001,565693,1
570,11014,215514001,17200,1
571,11015,215500001,593977,1
572,11015,215514001,17600,1
573,11016,215500001,623677,1
574,11016,215514001,18000,1
575,11017,215500001,748413,1
576,11017,215514001,18000,1
577,11018,215500001,748413,1
578,11018,215514001,18400,1
579,11019,215500001,748413,1
580,11019,215514001,18800,1
581,11020,215500001,748413,1
582,11020,215514001,19200,1
583,11021,215500001,748413,1
584,11021,215514001,19600,1
585,11022,215500001,748413,1
586,11022,215514001,20000,1
587,11023,215500001,785833,1
588,11023,215514001,20400,1
589,11024,215500001,825125,1
590,11024,215514001,20800,1
591,11025,215500001,866381,1
592,11025,215514001,21200,1
593,11026,215500001,909700,1
594,11026,215514001,21600,1
595,11027,215500001,955184,1
596,11027,215514001,22000,1
597,11028,215500001,955184,1
598,11028,215514001,22000,1
599,11029,215500001,955184,1
600,11029,215514001,22400,1
601,11030,215500001,955184,1
602,11030,215514001,22800,1
603,11031,215500001,955184,1
604,11031,215514001,23200,1
605,11032,215500001,955184,1
606,11032,215514001,23600,1
607,11033,215500001,955184,1
608,11033,215514001,24000,1
609,11034,215500001,1002943,1
610,11034,215514001,24400,1
611,11035,215500001,1053091,1
612,11035,215514001,24800,1
613,11036,215500001,1105745,1
614,11036,215514001,25200,1
615,11037,215500001,1161032,1
616,11037,215514001,25600,1
617,11038,215500001,1219084,1
618,11038,215514001,26000,1
619,11039,215500001,1219084,1
620,11039,215514001,26000,1
621,11040,215500001,1219084,1
622,11040,215514001,26400,1
623,11041,215500001,1219084,1
624,11041,215514001,26800,1
625,11042,215500001,1219084,1
626,11042,215514001,27200,1
627,11043,215500001,1219084,1
628,11043,215514001,27600,1
629,11044,215500001,1219084,1
630,11044,215514001,28000,1
631,11045,215500001,1280039,1
632,11045,215514001,28400,1
633,11046,215500001,1344042,1
634,11046,215514001,28800,1
635,11047,215500001,1411243,1
636,11047,215514001,29200,1
637,11048,215500001,1481805,1
638,11048,215514001,29600,1
639,11049,215500001,1555894,1
640,11049,215514001,30000,1
641,11050,215500001,1555894,1
642,11050,215514001,30000,1
643,11051,215500001,1555894,1
644,11051,215514001,30400,1
645,11052,215500001,1555894,1
646,11052,215514001,30800,1
647,11053,215500001,1555894,1
648,11053,215514001,31200,1
649,11054,215500001,1555894,1
650,11054,215514001,31600,1
651,11055,215500001,1555894,1
652,11055,215514001,32000,1
653,11056,215500001,1633690,1
654,11056,215514001,32400,1
655,11057,215500001,1715374,1
656,11057,215514001,32800,1
657,11058,215500001,1801143,1
658,11058,215514001,33200,1
659,11059,215500001,1891200,1
660,11059,215514001,33600,1
661,11060,215500001,1985760,1
662,11060,215514001,34000,1
663,11061,215500001,1985760,1
664,11061,215514001,34000,1
665,11062,215500001,1985760,1
666,11062,215514001,34400,1
667,11063,215500001,1985760,1
668,11063,215514001,34800,1
669,11064,215500001,1985760,1
670,11064,215514001,35200,1
671,11065,215500001,1985760,1
672,11065,215514001,35600,1
673,11066,215500001,1985760,1
674,11066,215514001,36000,1
675,11067,215500001,2085048,1
676,11067,215514001,36400,1
677,11068,215500001,2189300,1
678,11068,215514001,36800,1
679,11069,215500001,2298765,1
680,11069,215514001,37200,1
681,11070,215500001,2413704,1
682,11070,215514001,37600,1
683,11071,215500001,2534389,1
684,11071,215514001,38000,1
685,11072,215500001,2534389,1
686,11072,215514001,38000,1
687,11073,215500001,2534389,1
688,11073,215514001,38400,1
689,11074,215500001,2534389,1
690,11074,215514001,38800,1
691,11075,215500001,2534389,1
692,11075,215514001,39200,1
693,11076,215500001,2534389,1
694,11076,215514001,39600,1
695,11077,215500001,2534389,1
696,11077,215514001,40000,1
697,11078,215500001,2661109,1
698,11078,215514001,40400,1
699,11079,215500001,2794165,1
700,11079,215514001,40800,1
701,11080,215500001,2933872,1
702,11080,215514001,41200,1
703,11081,215500001,3080566,1
704,11081,215514001,41600,1
705,11082,215500001,3234594,1
706,11082,215514001,42000,1
707,11083,215500001,3234594,1
708,11083,215514001,42000,1
709,11084,215500001,3234594,1
710,11084,215514001,42400,1
711,11085,215500001,3234594,1
712,11085,215514001,42800,1
713,11086,215500001,3234594,1
714,11086,215514001,43200,1
715,11087,215500001,3234594,1
716,11087,215514001,43600,1
717,11088,215500001,3234594,1
718,11088,215514001,44000,1
719,11089,215500001,3396324,1
720,11089,215514001,44400,1
721,11090,215500001,3566140,1
722,11090,215514001,44800,1
723,11091,215500001,3744448,1
724,11091,215514001,45200,1
725,11092,215500001,3931669,1
726,11092,215514001,45600,1
727,11093,215500001,4128253,1
728,11093,215514001,46000,1
729,11094,215500001,4128253,1
730,11094,215514001,46000,1
731,11095,215500001,4128253,1
732,11095,215514001,46400,1
733,11096,215500001,4128253,1
734,11096,215514001,46800,1
735,11097,215500001,4128253,1
736,11097,215514001,47200,1
737,11098,215500001,4128253,1
738,11098,215514001,47600,1
739,11099,215500001,4128253,1
740,11099,215514001,48000,1
741,11100,215500001,4334666,1
742,11100,215514001,48400,1
743,11101,215500001,4551399,1
744,11101,215514001,48800,1
745,11102,215500001,4778969,1
746,11102,215514001,49200,1
747,11103,215500001,5017917,1
748,11103,215514001,49600,1
749,11104,215500001,5268814,1
750,11104,215514001,50000,1
751,11105,215500001,5268814,1
752,11105,215514001,50000,1
753,11106,215500001,5268814,1
754,11106,215514001,50400,1
755,11107,215500001,5268814,1
756,11107,215514001,50800,1
757,11108,215500001,5268814,1
758,11108,215514001,51200,1
759,11109,215500001,5268814,1
760,11109,215514001,51600,1
761,11110,215500001,5268814,1
762,11110,215514001,52000,1
763,11111,215500001,5532255,1
764,11111,215514001,52400,1
765,11112,215500001,5808866,1
766,11112,215514001,52800,1
767,11113,215500001,6099310,1
768,11113,215514001,53200,1
769,11114,215500001,6404275,1
770,11114,215514001,53600,1
771,11115,215500001,6724490,1
772,11115,215514001,54000,1
773,11116,215500001,6724490,1
774,11116,215514001,54000,1
775,11117,215500001,6724490,1
776,11117,215514001,54400,1
777,11118,215500001,6724490,1
778,11118,215514001,54800,1
779,11119,215500001,6724490,1
780,11119,215514001,55200,1
781,11120,215500001,6724490,1
782,11120,215514001,55600,1
783,11121,215500001,6724490,1
784,11121,215514001,56000,1
785,11122,215500001,7060714,1
786,11122,215514001,56400,1
787,11123,215500001,7413750,1
788,11123,215514001,56800,1
789,11124,215500001,7784436,1
790,11124,215514001,57200,1
791,11125,215500001,8173659,1
792,11125,215514001,57600,1
793,11126,215500001,8582342,1
794,11126,215514001,58000,1
795,11127,215500001,8582342,1
796,11127,215514001,58000,1
797,11128,215500001,8582342,1
798,11128,215514001,58400,1
799,11129,215500001,8582342,1
800,11129,215514001,58800,1
801,11130,215500001,8582342,1
802,11130,215514001,59200,1
803,11131,215500001,8582342,1
804,11131,215514001,59600,1
805,11132,215500001,8582342,1
806,11132,215514001,60000,1
807,11133,215500001,9011458,1
808,11133,215514001,60400,1
809,11134,215500001,9462033,1
810,11134,215514001,60800,1
811,11135,215500001,9935134,1
812,11135,215514001,61200,1
813,11136,215500001,10431891,1
814,11136,215514001,61600,1
815,11137,215500001,10953484,1
816,11137,215514001,62000,1
817,11138,215500001,6085260,1
818,11139,215500001,6085260,1
819,11140,215500001,6085260,1
820,11141,215500001,6085260,1
821,11142,215500001,6085260,1
822,11143,215500001,6085260,1
823,11144,215500001,6389523,1
824,11145,215500001,6708999,1
825,11146,215500001,7044449,1
826,11147,215500001,7396671,1
827,11148,215500001,7766505,1
828,11149,215500001,7766505,1
829,11150,215500001,7766505,1
830,11151,215500001,7766505,1
831,11152,215500001,7766505,1
832,11153,215500001,7766505,1
833,11154,215500001,7766505,1
834,11155,215500001,8154830,1
835,11156,215500001,8562571,1
836,11157,215500001,8990700,1
837,11158,215500001,9440235,1
838,11159,215500001,9912247,1
839,11160,215500001,9912247,1
840,11161,215500001,9912247,1
841,11162,215500001,9912247,1
842,11163,215500001,9912247,1
843,11164,215500001,9912247,1
844,11165,215500001,9912247,1
845,11166,215500001,10407859,1
846,11167,215500001,10928252,1
847,11168,215500001,11474665,1
848,11169,215500001,12048398,1
849,11170,215500001,12650818,1
850,11171,215500001,12650818,1
851,11172,215500001,12650818,1
852,11173,215500001,12650818,1
853,11174,215500001,12650818,1
854,11175,215500001,12650818,1
855,11176,215500001,12650818,1
856,11177,215500001,13283359,1
857,11178,215500001,13947527,1
858,11179,215500001,14644903,1
859,11180,215500001,15377148,1
860,11181,215500001,16146006,1
861,12001,183366001,5,1
862,12001,215500001,500000,2
863,12002,183366001,6,1
864,12002,215500001,600000,2
865,12003,183366001,10,1
866,12003,215500001,700000,2
867,12004,183366001,12,1
868,12004,215500001,800000,2
869,13001,183366001,6,1
870,13001,215500001,500000,2
871,13002,183366001,7,1
872,13002,215500001,600000,2
873,13003,183366001,12,1
874,13003,215500001,700000,2
875,13004,183366001,15,1
876,13004,215500001,800000,2
877,14001,183371008,12,1
878,14001,215500001,400000,2
879,14002,183371008,18,1
880,14002,215500001,480000,2
881,14003,182371007,1,1
882,14003,183371008,10,1
883,14003,215500001,560000,2
884,14004,182371007,2,1
885,14004,183371008,7,1
886,14004,183371010,1,1
887,14004,215500001,640000,2
888,15001,183364003,5,1
889,15001,215500001,500000,2
890,15002,183364003,6,1
891,15002,215500001,600000,2
892,15003,183364003,5,1
893,15003,183364002,1,1
894,15003,215500001,700000,2
895,15004,183364003,2,1
896,15004,183364002,2,1
897,15004,215500001,800000,2
898,16001,173313001,2,1
899,16001,174313007,8,1
900,16001,182353002,1,1
901,16002,173313001,1,1
902,16002,173313002,1,1
903,16002,174313008,8,1
904,16002,182353002,1,1
905,16003,173313002,1,1
906,16003,173313003,1,1
907,16003,174313009,8,1
908,16003,182353002,1,1
909,16004,173313003,1,1
910,16004,173313004,1,1
911,16004,174313010,8,1
912,16004,182353002,1,1
913,17001,173313002,1,1
914,17001,173313003,1,1
915,17001,174313009,8,1
916,17001,182353002,1,1
917,17002,173313003,1,1
918,17002,173313004,1,1
919,17002,174313010,8,1
920,17002,182353002,1,1
921,17003,173313004,1,1
922,17003,173313005,1,1
923,17003,174313011,8,1
924,17003,182353002,1,1
925,17004,173313005,1,1
926,17004,173313006,1,1
927,17004,174313012,8,1
928,17004,182353002,1,1
929,18001,183359001,7,1
930,18001,176306025,4,1
931,18002,183359001,9,1
932,18002,176306025,5,1
933,18003,183359001,11,1
934,18003,176306025,6,1
935,18004,183359001,13,1
936,18004,176306025,7,1
937,19001,183351001,11,1
938,19002,183351001,13,1
939,19003,183351001,15,1
940,19004,183351001,17,1
941,20001,215500001,2100000,2
942,20002,215500001,2800000,2
943,20003,215500001,3500000,2
944,20004,215500001,4200000,2
945,21001,215500001,720000,2
946,21002,215500001,781200,2
947,21003,215500001,847600,2
948,21004,215500001,919600,2
949,21005,215500001,997800,2
950,21006,215500001,1082600,2
951,21007,215500001,1174600,2
952,21008,215500001,1274400,2
953,21009,215500001,1382700,2
954,21010,215500001,1500200,2
955,21011,215500001,1627700,2
956,21012,215500001,1766100,2
957,21013,215500001,1916200,2
958,21014,215500001,2079100,2
959,21015,215500001,2255800,2
960,21016,215500001,2447500,2
961,21017,215500001,1627700,2
962,21018,215500001,1766100,2
963,21019,215500001,1916200,2
964,21020,215500001,2079100,2
965,21021,215500001,2255800,2
966,21022,215500001,2447500,2
967,21023,215500001,2655500,2
968,21024,215500001,2881200,2
969,21025,215500001,3126100,2
970,21026,215500001,3391800,2
971,21027,215500001,3680100,2
972,21028,215500001,2447500,2
973,21029,215500001,2655500,2
974,21030,215500001,2881200,2
975,21031,215500001,3126100,2
976,21032,215500001,3391800,2
977,21033,215500001,3680100,2
