id,nowlv,nextlv,health,attack,defence,crit,hit,dodge,toughness,minprocess,name
91,1000,1001,213850,2143,2143,773,773,773,773,9050,天阳皓日
92,1001,1002,217580,2180,2180,786,786,786,786,9773,天阳皓日
93,1002,1003,221340,2218,2218,799,799,799,799,10539,天阳皓日
94,1003,1004,225130,2256,2256,812,812,812,812,11352,天阳皓日
95,1004,1005,228950,2294,2294,825,825,825,825,12000,天阳皓日
96,1005,1006,232800,2333,2333,839,839,839,839,13126,天阳皓日
97,1006,1007,236680,2372,2372,853,853,853,853,14093,天阳皓日
98,1007,1008,240590,2411,2411,867,867,867,867,15119,天阳皓日
99,1008,1009,244530,2450,2450,881,881,881,881,16206,天阳皓日
100,1009,1010,248500,2490,2490,895,895,895,895,22000,天阳皓日
101,1010,-1,252470,2530,2530,909,909,909,909,22000,天阳皓日
