id,monsterid,name,monster_type,level,hp,mp,minattack,maxattack,mindef,maxdef,hitrate,dodgerate,crit,critresistrate,luckyValue,damageadd,damageless,hurtless,finnaldamageladd,skillid,attacktype,followditance,movedistance,relivetime,attackcd,blood,resistbuff,dietimes,share,effect,autorecoverhp,levelup,speed
21,205002,毕方,1,45,14000,0,1400,1400,0,0,249,249,324,324,0,0,0,0,200,1,0,8,3,1,4000,-1,0,0,0,,0,0,3
22,205001,无间强者,1,50,17000,0,1400,1400,0,0,380,380,530,530,0,0,0,0,200,1,0,8,3,1,4000,-1,0,0,0,,0,0,3
23,205006,朱厌,1,49,16000,0,1400,1400,0,0,354,354,489,489,0,0,0,0,200,1,0,8,3,1,4000,-1,0,0,0,,0,0,3
24,205005,血云傀儡,1,48,15500,0,1400,1400,0,0,328,328,448,448,0,0,0,0,200,1,0,8,3,1,4000,-1,0,0,0,,0,0,3
25,205004,天神傀儡,1,47,15000,0,1400,1400,0,0,301,301,406,406,0,0,0,0,200,1,0,8,3,1,4000,-1,0,0,0,,0,0,3
26,205003,白脸蛟,1,46,14500,0,1400,1400,0,0,275,275,365,365,0,0,0,0,200,1,0,8,3,1,4000,-1,0,0,0,,0,0,3
27,205101,道祖傀儡,2,55,16000000,0,8000,8000,0,0,400,900,800,400,0,0,0,0,0,1,0,8,0,7200,4000,5,1,0,0,,0,0,3
28,206001,暗影豹,1,30,6400,0,300,300,0,0,50,300,100,50,0,0,0,0,300,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
29,206002,金毛罴妖王,2,30,260000,0,0,0,0,0,50,300,100,50,0,0,0,0,3000,1,0,8,3,600,4000,5,1,0,0,,0,0,3
30,206003,狱山灵猴,1,35,10000,0,600,600,0,0,75,400,150,75,0,0,0,0,500,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
31,206004,朱厌妖王,2,35,610000,0,0,0,0,0,75,400,150,75,0,0,0,0,4000,1,0,8,3,1200,4000,5,1,0,0,,0,0,3
32,206005,赤练蛇,1,40,14000,0,1000,1000,0,0,100,500,200,100,0,0,0,0,600,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
33,206006,巨翼蛇王,2,40,1100000,0,0,0,0,0,100,500,200,100,0,0,0,0,5000,1,0,8,3,1800,4000,5,1,0,0,,0,0,3
34,206007,下级神魔,1,45,24000,0,1800,1800,0,0,200,600,400,200,0,0,0,0,700,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
35,206008,火焰神魔,2,45,2500000,0,0,0,0,0,200,600,400,200,0,0,0,0,8000,1,0,8,3,2700,4000,5,1,0,0,,0,0,3
36,206009,犀魔怪,1,50,34000,0,2600,2600,0,0,300,800,600,300,0,0,0,0,800,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
37,206010,龙鲸大妖,2,50,4100000,0,0,0,0,0,300,800,600,300,0,0,0,0,10000,1,0,8,3,3600,4000,5,1,0,0,,0,0,3
38,206011,天机穷奇,1,55,45000,0,3200,3200,0,0,400,900,800,400,0,0,0,0,900,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
39,206012,妖魔相柳,2,55,6000000,0,0,0,0,0,400,900,800,400,0,0,0,0,18000,1,0,8,3,7200,4000,5,1,0,0,,0,0,3
40,206013,傀儡战将,1,60,54000,0,4000,4000,0,0,500,1000,1000,500,0,0,0,0,1000,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
41,206014,天狱魔傀,2,60,8400000,0,0,0,0,0,500,1000,1000,500,0,0,0,0,20000,1,0,8,3,9000,4000,5,1,0,0,,0,0,3
42,206015,弯角异妖,1,65,80000,0,5600,5600,0,0,600,1100,1200,600,0,0,0,0,1100,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
43,206016,煌罗蛛女,2,65,11800000,0,0,0,0,0,600,1100,1200,600,0,0,0,0,30000,1,0,8,3,10800,4000,5,1,0,0,,0,0,3
44,206017,血影魔傀,1,70,100000,0,6900,6900,0,0,700,1200,1400,700,0,0,0,0,1200,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
45,206018,神铁血蛛,2,70,16000000,0,0,0,0,0,700,1200,1400,700,0,0,0,0,35000,1,0,8,3,14400,4000,5,1,0,0,,0,0,3
46,206019,牛头魔,1,75,140000,0,8400,8400,0,0,800,1300,1600,800,0,0,0,0,1400,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
47,206020,罗睺,2,75,20000000,0,0,0,0,0,800,1300,1600,800,0,0,0,0,40000,1,0,8,3,18000,4000,5,1,0,0,,0,0,3
48,206021,无间门死士,1,80,190000,0,10000,10000,0,0,900,1400,1800,900,0,0,0,0,1500,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
49,206022,无间神王,2,80,25000000,0,0,0,0,0,900,1400,1800,900,0,0,0,0,50000,1,0,8,3,21600,4000,5,1,0,0,,0,0,3
50,206201,精英·暗影豹,2,30,50000,0,600,600,0,0,50,300,100,50,0,0,0,0,300,1,0,8,3,0,4000,-1,1,1800,0,BUFF_guaiwu,0,0,3
51,206203,精英·狱山灵猴,2,35,125000,0,1000,1000,0,0,75,400,150,75,0,0,0,0,400,1,0,8,3,0,4000,-1,1,1800,0,BUFF_guaiwu,0,0,3
52,206205,精英·赤练蛇,2,40,225000,0,1500,1500,0,0,100,500,200,100,0,0,0,0,500,1,0,8,3,0,4000,-1,1,1800,0,BUFF_guaiwu,0,0,3
53,206207,精英·下级神魔,2,45,500000,0,2800,2800,0,0,200,600,400,200,0,0,0,0,600,1,0,8,3,0,4000,-1,1,1800,0,BUFF_guaiwu,0,0,3
54,206209,精英·犀魔怪,2,50,800000,0,4000,4000,0,0,300,800,600,300,0,0,0,0,700,1,0,8,3,0,4000,-1,1,1800,0,BUFF_guaiwu,0,0,3
55,206211,精英·天机穷奇,2,55,1200000,0,5000,5000,0,0,400,900,800,400,0,0,0,0,800,1,0,8,3,0,4000,-1,1,1800,0,BUFF_guaiwu,0,0,3
56,206213,精英·傀儡战将,2,60,1700000,0,7000,7000,0,0,500,1000,1000,500,0,0,0,0,900,1,0,8,3,0,4000,-1,1,1800,0,BUFF_guaiwu,0,0,3
57,206215,精英·弯角异妖,2,65,2350000,0,10000,10000,0,0,600,1100,1200,600,0,0,0,0,1000,1,0,8,3,0,4000,-1,1,1800,0,BUFF_guaiwu,0,0,3
58,206217,精英·血影魔傀,2,70,3200000,0,15000,15000,0,0,700,1200,1400,700,0,0,0,0,1100,1,0,8,3,0,4000,-1,1,1800,0,BUFF_guaiwu,0,0,3
59,206219,精英·神铁血蛛,2,75,4000000,0,20000,20000,0,0,800,1300,1600,800,0,0,0,0,1200,1,0,8,3,0,4000,-1,1,1800,0,BUFF_guaiwu,0,0,3
60,206221,精英·无间门死士,2,80,5000000,0,25000,25000,0,0,900,1400,1800,900,0,0,0,0,1300,1,0,8,3,0,4000,-1,1,1800,0,BUFF_guaiwu,0,0,3
61,206101,暗影豹,1,30,6400,0,300,300,0,0,50,300,100,50,0,0,0,0,0,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
62,206103,狱山灵猴,1,35,10000,0,600,600,0,0,75,400,150,75,0,0,0,0,0,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
63,206105,赤练蛇,1,40,14000,0,1000,1000,0,0,100,500,200,100,0,0,0,0,0,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
64,206107,下级神魔,1,45,24000,0,1800,1800,0,0,200,600,400,200,0,0,0,0,0,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
65,206109,犀魔怪,1,50,34000,0,2600,2600,0,0,300,800,600,300,0,0,0,0,0,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
66,206111,天机穷奇,1,55,45000,0,3200,3200,0,0,400,900,800,400,0,0,0,0,0,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
67,206113,傀儡战将,1,60,54000,0,4000,4000,0,0,500,1000,1000,500,0,0,0,0,0,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
68,206115,弯角异妖,1,65,80000,0,5600,5600,0,0,600,1100,1200,600,0,0,0,0,0,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
69,206117,血影魔傀,1,70,100000,0,6900,6900,0,0,700,1200,1400,700,0,0,0,0,0,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
70,206119,神铁血蛛,1,75,140000,0,8400,8400,0,0,800,1300,1600,800,0,0,0,0,0,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
71,206121,无间门死士,1,80,190000,0,10000,10000,0,0,900,1400,1800,900,0,0,0,0,0,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
72,207001,真·金毛罴妖王,2,30,380000,0,2000,2000,0,0,50,300,100,50,0,0,0,0,1000,1,0,8,4,1800,4000,5,1,0,0,,0,0,3
73,207002,真·妖魔相柳,2,35,810000,0,3000,3000,0,0,75,400,150,75,0,0,0,0,1500,1,0,8,4,2700,4000,5,1,0,0,,0,0,3
74,207003,真·天狱魔傀,2,40,1400000,0,5000,5000,0,0,100,500,200,100,0,0,0,0,2500,1,0,8,4,3600,4000,5,1,0,0,,0,0,3
75,207004,真·煌罗蛛女,2,45,2900000,0,7000,7000,0,0,200,600,400,200,0,0,0,0,3500,1,0,8,4,5400,4000,5,1,0,0,,0,0,3
76,207005,真·神铁血蛛,2,50,4800000,0,10000,10000,0,0,300,800,600,300,0,0,0,0,5000,1,0,8,4,7200,4000,5,1,0,0,,0,0,3
77,207006,真·罗睺天王,2,55,7300000,0,30000,30000,0,0,400,900,800,400,0,0,0,0,15000,1,0,8,4,9000,4000,5,1,0,0,,0,0,3
78,207007,真·无间神王,2,60,10300000,0,40000,40000,0,0,500,1000,1000,500,0,0,0,0,20000,1,0,8,4,10800,4000,5,1,0,0,,0,0,3
79,208000,古域战灵,1,80,285000,0,15000,15000,0,0,900,1400,1800,900,0,0,0,0,0,1,0,8,3,20,4000,5,0,0,0,,0,0,3
80,208001,金毛古猿,1,30,9600,0,300,300,0,0,50,300,100,50,0,0,0,0,0,1,0,8,3,20,4000,-1,0,0,0,,0,0,3
81,208002,寒河犀妖,1,40,21000,0,1100,1100,0,0,100,500,200,100,0,0,0,0,0,1,0,8,3,20,4000,5,0,0,0,,0,0,3
82,208003,离火妖蛇,1,50,51000,0,3120,3744,0,0,300,800,600,300,0,0,0,0,0,1,0,8,3,20,4000,-1,0,0,0,,0,0,3
83,208004,赤皮裸猿,1,60,81000,0,5200,5200,0,0,500,1000,1000,500,0,0,0,0,0,1,0,8,3,20,4000,5,0,0,0,,0,0,3
84,208005,蛮骨妖灵,1,70,150000,0,9660,13524,0,0,700,1200,1400,700,0,0,0,0,0,1,0,8,3,20,4000,-1,0,0,0,,0,0,3
85,208006,食火鸟,1,60,81000,0,5200,5200,0,0,500,1000,1000,500,0,0,0,0,0,1,0,8,3,20,4000,5,0,0,0,,0,0,3
86,208007,上古凶兽,1,70,150000,0,6900,6900,0,0,700,1200,1400,700,0,0,0,0,0,1,0,8,3,20,4000,-1,0,0,0,,0,0,3
87,208008,蛮神信徒,1,70,150000,0,6900,6900,0,0,700,1200,1400,700,0,0,0,0,0,1,0,8,3,20,4000,5,0,0,0,,0,0,3
88,208009,古域魔灵,1,80,285000,0,15000,15000,0,0,900,1400,1800,900,0,0,0,0,0,1,0,8,3,20,4000,-1,0,0,0,,0,0,3
89,208010,朽木奇傀,1,80,285000,0,15000,15000,0,0,900,1400,1800,900,0,0,0,0,0,1,0,8,3,20,4000,5,0,0,0,,0,0,3
90,208011,蛮角牛魔,1,80,285000,0,15000,15000,0,0,900,1400,1800,900,0,0,0,0,0,1,0,8,3,20,4000,-1,0,0,0,,0,0,3
91,208012,蛮神蚩尤,2,80,30000000,0,30000,30000,0,0,900,1400,1800,900,0,0,0,0,0,1,0,8,3,0,4000,5,1,0,0,,0,0,3
92,209001,赤纹蛇,1,50,102000,0,2600,2600,0,0,300,800,600,300,0,0,0,0,0,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
93,209002,愤怒妖蛇,2,50,4100000,0,5600,5600,0,0,300,800,600,300,0,0,0,0,0,1,0,8,3,600,4000,5,1,0,0,,0,0,3
94,209003,青皮妖,1,60,162000,0,4000,4000,0,0,500,1000,1000,500,0,0,0,0,0,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
95,209004,愤怒角魔,2,60,8400000,0,11000,11000,0,0,500,1000,1000,500,0,0,0,0,0,1,0,8,3,900,4000,5,1,0,0,,0,0,3
96,209005,炎羽雀,1,70,300000,0,6900,6900,0,0,700,1200,1400,700,0,0,0,0,0,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
97,209006,愤怒神鹰,2,70,16000000,0,20000,20000,0,0,700,1200,1400,700,0,0,0,0,0,1,0,8,3,1200,4000,5,1,0,0,,0,0,3
98,209007,妖邪傀儡,1,80,570000,0,10000,10000,0,0,900,1400,1800,900,0,0,0,0,0,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
99,209008,愤怒邪蛛,2,80,25000000,0,30000,30000,0,0,900,1400,1800,900,0,0,0,0,0,1,0,8,3,1800,4000,5,1,0,0,,0,0,3
100,209009,赤皮妖,1,90,780000,0,15000,15000,0,0,1200,1700,2100,1200,0,0,0,0,0,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
101,209010,愤怒炎鬼,2,90,35000000,0,40000,40000,0,0,1200,1700,2100,1200,0,0,0,0,0,1,0,8,3,3600,4000,5,1,0,0,,0,0,3
102,209011,神王护卫,1,100,1200000,0,22500,22500,0,0,1500,2000,2500,1500,0,0,0,0,0,1,0,8,3,5,4000,-1,0,0,0,,0,0,3
103,209012,愤怒神王,2,100,50000000,0,60000,60000,0,0,1500,2000,2500,1500,0,0,0,0,0,1,0,8,3,4500,4000,5,1,0,0,,0,0,3
104,209102,妖蛇灵魂,8,30,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,-1,0,0,0,,0,0,0
105,209104,角魔灵魂,8,35,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,-1,0,0,0,,0,0,0
106,209106,神鹰灵魂,8,40,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,-1,0,0,0,,0,0,0
107,209108,邪蛛灵魂,8,45,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,-1,0,0,0,,0,0,0
108,209110,炎鬼灵魂,8,50,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,-1,0,0,0,,0,0,0
109,209112,神王灵魂,8,55,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,-1,0,0,0,,0,0,0
110,209101,真·道祖灵蛛,2,40,133333,0,4750,4750,974,974,118,294,367,142,0,0,0,0,0,1,1,10,3,0,4000,5,1,0,0,,0,1,3
111,209201,真·弯角母皇,2,40,266666,0,5225,5225,974,974,118,294,367,142,0,0,0,0,0,1,1,10,3,0,4000,5,1,0,0,,0,1,3
112,209301,真·古神罗睺,2,40,400000,0,5225,5225,974,974,118,294,367,142,0,0,0,0,0,1,1,10,3,0,4000,5,1,0,0,,0,1,3
113,219401,精英·赤火猴,2,50,250000,0,3000,3000,0,0,1000,500,500,1000,0,0,0,0,400,1,0,8,3,100,4000,3,1,0,0,BUFF_guaiwu,0,0,3
114,219402,白首狂猿,2,50,5000000,0,4200,4200,0,0,1000,500,500,1000,0,0,0,0,560,1,0,8,3,3600,4000,5,1,0,0,,0,0,3
115,219403,精英·黑心兽,2,55,300000,0,3750,3750,0,0,2000,1000,1000,2000,0,0,0,0,500,1,0,8,3,100,4000,3,1,0,0,BUFF_guaiwu,0,0,3
116,219404,豪腕战熊,2,55,6000000,0,5700,5700,0,0,2000,1000,1000,2000,0,0,0,0,760,1,0,8,3,5400,4000,5,1,0,0,,0,0,3
117,219405,精英·幻炎雀,2,60,350000,0,5250,5250,0,0,3000,1500,1500,3000,0,0,0,0,700,1,0,8,3,100,4000,3,1,0,0,BUFF_guaiwu,0,0,3
118,219406,金羽神鹰,2,60,7000000,0,8250,8250,0,0,3000,1500,1500,3000,0,0,0,0,1100,1,0,8,3,7200,4000,5,1,0,0,,0,0,3
119,219407,精英·牛头怪,2,65,400000,0,7500,7500,0,0,3500,1750,1750,3500,0,0,0,0,1000,1,0,8,3,100,4000,3,1,0,0,BUFF_guaiwu,0,0,3
120,219408,啸天兽王,2,65,8000000,0,11250,11250,0,0,3500,1750,1750,3500,0,0,0,0,1500,1,0,8,3,9000,4000,5,1,0,0,,0,0,3
121,219409,精英·奇面妖,2,70,450000,0,11250,11250,0,0,4000,2000,2000,4000,0,0,0,0,1500,1,0,8,3,100,4000,3,1,0,0,BUFF_guaiwu,0,0,3
122,219410,怒发炎魔,2,70,9000000,0,15000,15000,0,0,4000,2000,2000,4000,0,0,0,0,2000,1,0,8,3,10800,4000,5,1,0,0,,0,0,3
123,219411,精英·异面鬼,2,75,500000,0,15000,15000,0,0,4500,2250,2250,4500,0,0,0,0,2000,1,0,8,3,100,4000,3,1,0,0,BUFF_guaiwu,0,0,3
124,219412,异界邪灵,2,75,10000000,0,18750,18750,0,0,4500,2250,2250,4500,0,0,0,0,2500,1,0,8,3,12600,4000,5,1,0,0,,0,0,3
125,219413,精英·独角魔,2,80,600000,0,18750,18750,0,0,5500,2750,2750,5500,0,0,0,0,2500,1,0,8,3,100,4000,3,1,0,0,BUFF_guaiwu,0,0,3
126,219414,虚空影魔,2,80,12000000,0,22500,22500,0,0,5500,2750,2750,5500,0,0,0,0,3000,1,0,8,3,14400,4000,5,1,0,0,,0,0,3
127,219415,精英·半龙人,2,85,700000,0,22500,22500,0,0,6500,3250,3250,6500,0,0,0,0,3000,1,0,8,3,100,4000,3,1,0,0,BUFF_guaiwu,0,0,3
128,219416,钢铠龙士,2,85,14000000,0,26250,26250,0,0,6500,3250,3250,6500,0,0,0,0,3500,1,0,8,3,16200,4000,5,1,0,0,,0,0,3
129,219417,精英·苍尾狐,2,90,800000,0,27750,27750,0,0,7000,3500,3500,7000,0,0,0,0,3700,1,0,8,3,100,4000,3,1,0,0,BUFF_guaiwu,0,0,3
130,219418,腐域冥蛇,2,90,16000000,0,32250,32250,0,0,7000,3500,3500,7000,0,0,0,0,4300,1,0,8,3,18000,4000,5,1,0,0,,0,0,3
131,219419,精英·半鱼人,2,95,900000,0,33000,33000,0,0,7500,3750,3750,7500,0,0,0,0,4400,1,0,8,3,100,4000,3,1,0,0,BUFF_guaiwu,0,0,3
132,219420,古海灵将,2,95,18000000,0,38250,38250,0,0,7500,3750,3750,7500,0,0,0,0,5100,1,0,8,3,19800,4000,5,1,0,0,,0,0,3
133,219421,精英·苍斗士,2,100,1000000,0,38250,38250,0,0,8000,4000,4000,8000,0,0,0,0,5100,1,0,8,3,100,4000,3,1,0,0,BUFF_guaiwu,0,0,3
134,219422,苍茫斗神,2,100,20000000,0,45000,45000,0,0,8000,4000,4000,8000,0,0,0,0,6000,1,0,8,3,21600,4000,5,1,0,0,,0,0,3
135,229401,精英·赤涎蛇,2,50,250000,0,5000,5000,0,0,1000,500,500,1000,0,0,0,0,500,1,0,8,3,140,4000,3,1,0,0,BUFF_guaiwu,0,0,3
136,229402,炎河巨蟒,2,50,5000000,0,6720,6720,0,0,1000,500,500,1000,0,0,0,0,672,1,0,8,3,3600,4000,5,1,0,0,,0,0,3
137,229403,精英·地灵铠,2,60,350000,0,10000,10000,0,0,3000,1500,1500,3000,0,0,0,0,1000,1,0,8,3,150,4000,3,1,0,0,BUFF_guaiwu,0,0,3
138,229404,九首地龙,2,60,7000000,0,13200,13200,0,0,3000,1500,1500,3000,0,0,0,0,1320,1,0,8,3,3600,4000,5,1,0,0,,0,0,3
139,229405,精英·翼甲兽,2,70,450000,0,20000,20000,0,0,4000,2000,2000,4000,0,0,0,0,2000,1,0,8,3,160,4000,3,1,0,0,BUFF_guaiwu,0,0,3
140,229406,血刃灵蛛,2,70,9000000,0,24000,24000,0,0,4000,2000,2000,4000,0,0,0,0,2400,1,0,8,3,3600,4000,5,1,0,0,,0,0,3
141,229407,精英·双刃傀,2,80,600000,0,30000,30000,0,0,5500,2750,2750,5500,0,0,0,0,3000,1,0,8,3,170,4000,3,1,0,0,BUFF_guaiwu,0,0,3
142,229408,傀儡神机,2,80,12000000,0,36000,36000,0,0,5500,2750,2750,5500,0,0,0,0,3600,1,0,8,3,3600,4000,5,1,0,0,,0,0,3
143,229409,精英·虚魂怪,2,90,800000,0,40000,40000,0,0,7000,3500,3500,7000,0,0,0,0,4000,1,0,8,3,180,4000,3,1,0,0,BUFF_guaiwu,0,0,3
144,229410,虚空母神,2,90,16000000,0,51600,51600,0,0,7000,3500,3500,7000,0,0,0,0,5160,1,0,8,3,3600,4000,5,1,0,0,,0,0,3
145,229411,精英·异术师,2,100,1000000,0,65000,65000,0,0,8000,4000,4000,8000,0,0,0,0,6500,1,0,8,3,190,4000,3,1,0,0,BUFF_guaiwu,0,0,3
146,229412,异界之主,2,100,20000000,0,72000,72000,0,0,8000,4000,4000,8000,0,0,0,0,7200,1,0,8,3,3600,4000,5,1,0,0,,0,0,3
147,300001,翼蛇,2,15,13800,0,300,300,0,0,14,14,14,14,0,0,0,0,200,1,0,10,0,0,4000,1,1,0,0,waterbuff_big,0,0,3
148,300002,穷奇傀儡,1,25,5000,0,400,400,0,0,47,47,46,46,0,0,0,0,500,1,1,8,0,0,4000,1,0,0,0,,0,0,3
149,300003,相柳方,2,25,54960,0,1000,1000,0,0,47,47,46,46,0,0,0,0,500,1,0,50,0,0,4000,1,1,0,0,,0,0,3
150,300004,冬七,1,30,40000,0,1000,1000,0,0,52,52,51,51,0,0,0,0,750,1,0,50,0,0,4000,1,0,0,0,,0,0,3
151,300005,乌霄真身,2,35,43333,0,1333,1333,600,600,280,120,122,282,0,0,0,0,0,1,1,8,0,0,4000,3,1,0,0,,0,1,3
152,300006,万物使者,1,35,8666,0,1333,1333,3000,3000,280,120,122,282,0,0,0,0,0,1,0,20,0,0,4000,1,0,0,0,,0,1,3
153,300007,人鱼药师,1,35,8666,0,0,0,600,600,280,120,122,282,0,0,0,0,0,1,0,0,3,0,4000,1,0,0,0,,0,1,3
154,300008,牛头樵夫,1,35,43333,0,691,691,600,600,280,120,122,282,0,0,0,0,0,1,1,10,3,0,4000,1,0,0,0,,0,1,3
155,300009,鲛人工匠,1,35,43333,0,691,691,600,600,280,120,122,282,0,0,0,0,0,1,1,10,3,0,4000,1,0,0,0,,0,1,3
156,300010,白狼,1,35,260,0,0,0,600,600,280,120,122,282,0,0,0,0,0,1,2,0,3,3,4000,1,0,0,0,,0,1,3
157,300011,火凤,1,35,1733,0,0,0,600,600,280,120,122,282,0,0,0,0,0,1,2,0,3,5,4000,1,0,0,0,,0,1,3
158,300012,灵鼠,1,35,15600,0,0,0,600,600,280,120,122,282,0,0,0,0,0,1,2,0,3,10,4000,1,0,0,0,,0,1,3
159,300013,翼蛇,2,35,86666,0,1333,1333,600,600,280,120,122,282,0,0,0,0,0,1,1,50,0,0,4000,3,1,0,0,,0,1,3
160,300014,盗宝小妖,1,35,15000,0,0,0,600,600,280,120,122,282,0,0,0,0,0,1,2,50,0,0,4000,1,0,0,0,,0,1,1
161,300015,机关兽,1,35,15000,0,0,0,600,600,280,120,122,282,0,0,0,0,0,1,2,50,0,0,1000,1,0,0,0,,0,1,0
162,301000,纪宁,4,1,31500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,900000,-1,0,0,0,,0,0,3
163,301001,铠甲兵将,1,25,5000,0,105,105,75,75,100,30,20,20,0,0,0,0,200,1,0,9999,9999,0,4000,-1,0,0,0,,0,0,3
164,301002,傀儡人鱼,1,25,2468,0,126,126,90,90,105,35,25,25,0,0,0,0,200,1,0,9999,9999,0,4000,-1,0,0,0,,0,0,3
165,301003,铠甲兵将,1,26,3703,0,138,138,99,99,110,40,30,30,0,0,0,0,200,1,0,9999,9999,0,4000,-1,0,0,0,,0,0,3
166,301004,傀儡人鱼,1,26,3703,0,151,151,108,108,115,45,35,35,0,0,0,0,200,1,0,9999,9999,0,4000,-1,0,0,0,,0,0,3
167,301006,道铠灵神,2,30,17280,0,350,350,150,150,120,50,40,40,0,0,0,0,500,1,0,9999,9999,0,4000,2,1,0,0,,0,0,3
