id,level,nextlevel,health,attack,defence,crit,toughness,hit,dodge,speed,costid,costnumber,costmoney,minprocess,maxprocess,process,effect,scene_effect,idle_effect,name
154,624,625,90398,1476,743,328,328,174,174,12,183366001,1,3500,75,75,2990,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
155,625,626,91276,1490,750,331,331,176,176,12,183366001,1,3500,75,75,3029,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
156,626,627,92157,1504,757,334,334,178,178,12,183366001,1,3500,75,75,3067,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
157,627,628,93042,1518,764,337,337,180,180,12,183366001,1,3500,75,75,3106,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
158,628,629,93931,1532,771,340,340,182,182,12,183366001,1,3500,75,75,3144,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
159,629,630,94824,1546,778,343,343,184,184,12,183366001,1,3500,75,75,3182,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
160,630,701,95720,1561,785,346,346,186,186,12,183366001,1,3500,75,75,3500,ZUJI_bagua_UI,ZUJI_bagua,,大道太极
161,701,702,96620,1576,792,349,349,188,188,14,183366001,1,3500,75,75,3080,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
162,702,703,97524,1591,799,352,352,190,190,14,183366001,1,3500,75,75,3114,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
163,703,704,98432,1606,806,355,355,192,192,14,183366001,1,3500,75,75,3147,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
164,704,705,99343,1621,813,358,358,194,194,14,183366001,1,3500,75,75,3181,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
165,705,706,100258,1636,820,361,361,196,196,14,183366001,1,3500,75,75,3214,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
166,706,707,101177,1651,827,364,364,198,198,14,183366001,1,3500,75,75,3248,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
167,707,708,102100,1666,834,367,367,200,200,14,183366001,1,3500,75,75,3282,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
168,708,709,103026,1681,842,371,371,202,202,14,183366001,1,3500,75,75,3315,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
169,709,710,103956,1696,850,375,375,204,204,14,183366001,1,3500,75,75,3349,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
170,710,711,104890,1711,858,379,379,206,206,14,183366001,1,3500,75,75,3382,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
171,711,712,105828,1726,866,383,383,208,208,14,183366001,1,3500,75,75,3416,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
172,712,713,106769,1741,874,387,387,210,210,14,183366001,1,3500,75,75,3450,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
173,713,714,107714,1756,882,391,391,212,212,14,183366001,1,3500,75,75,3483,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
174,714,715,108663,1771,890,395,395,214,214,14,183366001,1,3500,75,75,3517,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
175,715,716,109616,1786,898,399,399,216,216,14,183366001,1,3500,75,75,3550,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
176,716,717,110572,1802,906,403,403,218,218,14,183366001,1,3500,75,75,3584,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
177,717,718,111532,1818,914,407,407,220,220,14,183366001,1,3500,75,75,3618,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
178,718,719,112496,1834,922,411,411,222,222,14,183366001,1,3500,75,75,3651,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
179,719,720,113464,1850,930,415,415,224,224,14,183366001,1,3500,75,75,3685,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
180,720,721,114435,1866,938,419,419,226,226,14,183366001,1,3500,75,75,3718,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
181,721,722,115410,1882,946,423,423,228,228,14,183366001,1,3500,75,75,3752,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
182,722,723,116389,1898,954,427,427,230,230,14,183366001,1,3500,75,75,3786,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
183,723,724,117372,1914,962,431,431,232,232,14,183366001,1,3500,75,75,3819,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
184,724,725,118358,1930,970,435,435,234,234,14,183366001,1,3500,75,75,3853,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
185,725,726,119348,1946,978,439,439,236,236,14,183366001,1,3500,75,75,3886,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
186,726,727,120342,1962,986,443,443,238,238,14,183366001,1,3500,75,75,3920,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
187,727,728,121340,1978,994,447,447,240,240,14,183366001,1,3500,75,75,3954,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
188,728,729,122341,1994,1002,451,451,242,242,14,183366001,1,3500,75,75,3987,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
189,729,730,123346,2010,1010,455,455,244,244,14,183366001,1,3500,75,75,4021,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
190,730,801,124355,2026,1018,459,459,246,246,14,183366001,1,3500,75,75,4500,ZUJI_fanyin_UI,ZUJI_fanyin,,净土梵音
191,801,802,125368,2042,1026,463,463,248,248,16,183366001,1,3500,75,75,4000,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
192,802,803,126384,2058,1034,467,467,250,250,16,183366001,1,3500,75,75,4042,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
193,803,804,127404,2075,1042,471,471,252,252,16,183366001,1,3500,75,75,4083,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
194,804,805,128428,2092,1050,475,475,254,254,16,183366001,1,3500,75,75,4125,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
195,805,806,129456,2109,1058,479,479,256,256,16,183366001,1,3500,75,75,4166,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
