id,monsterid,rank,objectid,bind,star
146,206018,2,182372002,1,0
147,206018,3,182371001,1,0
148,206018,4,182353002,1,0
149,206018,5,183370006,1,0
150,206018,6,173306007,1,0
151,206020,1,141165080,2,3
152,206020,2,182372002,1,0
153,206020,3,182371001,1,0
154,206020,4,182353002,1,0
155,206020,5,183370006,1,0
156,206020,6,173306007,1,0
157,206022,1,141165080,2,3
158,206022,2,182372002,1,0
159,206022,3,182371001,1,0
160,206022,4,182353002,1,0
161,206022,5,183370006,1,0
162,206022,6,173306007,1,0
163,207001,1,143152130,2,0
164,207001,2,143152230,2,0
165,207001,3,143152330,2,0
166,207001,4,182353002,1,0
167,207001,5,183371002,1,0
168,207001,6,215514001,1,0
169,207002,1,143152130,2,0
170,207002,2,143152230,2,0
171,207002,3,143152330,2,0
172,207002,4,182353002,1,0
173,207002,5,183371002,1,0
174,207002,6,215514001,1,0
175,207003,1,143152140,2,0
176,207003,2,143152240,2,0
177,207003,3,143152340,2,0
178,207003,4,182353002,1,0
179,207003,5,183371002,1,0
180,207003,6,215514001,1,0
181,207004,1,143152140,2,0
182,207004,2,143152240,2,0
183,207004,3,143152340,2,0
184,207004,4,182353002,1,0
185,207004,5,183370006,1,0
186,207004,6,173306007,1,0
187,207005,1,141165040,2,4
188,207005,2,182372002,1,0
189,207005,3,183371002,1,0
190,207005,4,182353002,1,0
191,207005,5,183370006,1,0
192,207005,6,173306007,1,0
193,207006,1,141165060,2,3
194,207006,2,182372002,1,0
195,207006,3,183371002,1,0
196,207006,4,182353002,1,0
197,207006,5,183370006,1,0
198,207006,6,173306007,1,0
199,207007,1,141165060,2,3
200,207007,2,182372002,1,0
201,207007,3,183371002,1,0
202,207007,4,182353002,1,0
203,207007,5,183370006,1,0
204,207007,6,173306007,1,0
205,209002,1,143161150,2,0
206,209002,2,143161250,2,0
207,209002,3,143161350,2,0
208,209002,4,183370006,2,0
209,209002,5,182370007,2,0
210,209002,6,183371002,2,0
211,209004,1,143161160,2,0
212,209004,2,143161260,2,0
213,209004,3,143161360,2,0
214,209004,4,183370006,2,0
215,209004,5,182370007,2,0
216,209004,6,183371002,2,0
217,209006,1,143161170,2,0
218,209006,2,143161270,2,0
219,209006,3,143161370,2,0
220,209006,4,183370006,2,0
221,209006,5,182370007,2,0
222,209006,6,183371002,2,0
223,209008,1,143161180,2,0
224,209008,2,143161280,2,0
225,209008,3,143161380,2,0
226,209008,4,183370006,2,0
227,209008,5,182370007,2,0
228,209008,6,183371002,2,0
229,209010,1,143161180,2,0
230,209010,2,143161280,2,0
231,209010,3,143161380,2,0
232,209010,4,183370006,2,0
233,209010,5,182370007,2,0
234,209010,6,182371001,2,0
235,209012,1,143161180,2,0
236,209012,2,143161280,2,0
237,209012,3,143161380,2,0
238,209012,4,183370006,2,0
239,209012,5,182370007,2,0
240,209012,6,182371001,2,0
