id,copy_id,one_time,two_time,three_time,total_time,die_count,relive_kind,relive_time,delay,countdown,state,pausecount,lock_type,killmaxmonster
34,20501,243,123,243,600,9999,0,10,30,1,1,3,2,0
35,20502,243,123,243,600,9999,0,10,30,1,1,3,2,0
36,20503,243,123,243,600,9999,0,10,30,1,1,3,2,0
37,20504,243,123,243,600,9999,0,10,30,1,1,3,2,0
38,30101,163,203,243,603,9999,1,10,30,1,1,0,2,0
39,30102,163,203,243,603,9999,1,10,30,1,1,0,2,0
40,30103,163,203,243,603,9999,1,10,30,1,1,0,2,0
41,30104,163,203,243,603,9999,1,10,30,1,1,0,2,0
42,30201,243,123,243,600,9999,0,10,30,1,1,0,2,0
43,30202,243,123,243,600,9999,0,10,30,1,1,0,2,0
44,30203,243,123,243,600,9999,0,10,30,1,1,0,2,0
45,30204,243,123,243,600,9999,0,10,30,1,1,0,2,0
46,30301,33,63,93,183,3,0,5,30,1,1,3,2,0
47,30302,33,63,93,183,3,0,5,30,1,1,3,2,0
48,30303,33,63,93,183,3,0,5,30,1,1,3,2,0
49,30304,33,63,93,183,3,0,5,30,1,1,3,2,0
50,40101,0,0,0,483,9999,0,15,30,1,1,0,2,0
51,40102,0,0,0,483,9999,0,15,30,1,1,0,2,0
52,40103,0,0,0,483,9999,0,15,30,1,1,0,2,0
53,40104,0,0,0,483,9999,0,15,30,1,1,0,2,0
54,40201,0,0,0,210,9999,0,15,30,1,2,0,2,0
55,40202,0,0,0,210,9999,0,15,30,1,2,0,2,0
56,40203,0,0,0,210,9999,0,15,30,1,2,0,2,0
57,40204,0,0,0,210,9999,0,15,30,1,2,0,2,0
58,40301,0,0,0,600,9999,0,15,30,1,2,0,2,0
59,40302,0,0,0,600,9999,0,15,30,1,2,0,2,0
60,40303,0,0,0,600,9999,0,15,30,1,2,0,2,0
61,40304,0,0,0,600,9999,0,15,30,1,2,0,2,0
62,50101,103,103,103,303,3,0,10,0,1,1,0,2,0
63,50102,103,103,103,303,3,0,10,0,1,3,0,2,0
64,50103,103,103,103,303,3,0,10,0,1,3,0,2,0
65,50104,103,103,103,303,3,0,10,0,1,3,0,2,0
66,50105,103,103,103,303,3,0,10,0,1,3,0,2,0
67,50106,103,103,103,303,3,0,10,0,1,3,0,2,0
68,50107,103,103,103,303,3,0,10,0,1,3,0,2,0
69,50201,103,103,103,303,3,0,10,0,1,1,0,2,0
70,50202,103,103,103,303,3,0,10,0,1,3,0,2,0
71,50203,103,103,103,303,3,0,10,0,1,3,0,2,0
72,50204,103,103,103,303,3,0,10,0,1,3,0,2,0
73,50205,103,103,103,303,3,0,10,0,1,3,0,2,0
74,50206,103,103,103,303,3,0,10,0,1,3,0,2,0
75,50207,103,103,103,303,3,0,10,0,1,3,0,2,0
76,50301,103,103,103,303,3,0,10,0,1,1,0,2,0
77,50302,103,103,103,303,3,0,10,0,1,3,0,2,0
78,50303,103,103,103,303,3,0,10,0,1,3,0,2,0
79,50304,103,103,103,303,3,0,10,0,1,3,0,2,0
80,50305,103,103,103,303,3,0,10,0,1,3,0,2,0
81,50306,103,103,103,303,3,0,10,0,1,3,0,2,0
82,50307,103,103,103,303,3,0,10,0,1,3,0,2,0
83,50401,103,103,103,303,3,0,10,0,1,1,0,2,0
84,50402,103,103,103,303,3,0,10,0,1,3,0,2,0
85,50403,103,103,103,303,3,0,10,0,1,3,0,2,0
86,50404,103,103,103,303,3,0,10,0,1,3,0,2,0
87,50405,103,103,103,303,3,0,10,0,1,3,0,2,0
88,50406,103,103,103,303,3,0,10,0,1,3,0,2,0
89,50407,103,103,103,303,3,0,10,0,1,3,0,2,0
90,60101,3,3,123,123,0,0,9,0,1,1,3,1,0
91,60102,3,3,123,123,0,0,9,0,1,1,3,1,0
92,60103,43,43,43,123,0,0,9,0,1,1,3,1,0
93,60104,43,43,43,123,0,0,9,0,1,1,3,1,0
94,60105,43,43,43,123,0,0,9,0,1,1,3,1,0
95,60106,43,43,43,123,0,0,9,0,1,1,3,1,0
96,60107,43,43,43,123,0,0,9,0,1,1,3,1,0
97,60108,43,43,43,123,0,0,9,0,1,1,3,1,0
98,60201,43,43,43,123,0,0,9,0,1,1,3,1,0
99,60202,43,43,43,123,0,0,9,0,1,1,3,1,0
100,60203,43,43,43,123,0,0,9,0,1,1,3,1,0
101,60204,43,43,43,123,0,0,9,0,1,1,3,1,0
102,60205,43,43,43,123,0,0,9,0,1,1,3,1,0
103,60206,43,43,43,123,0,0,9,0,1,1,3,1,0
104,60207,43,43,43,123,0,0,9,0,1,1,3,1,0
105,60208,43,43,43,123,0,0,9,0,1,1,3,1,0
106,60301,43,43,43,123,0,0,9,0,1,1,3,1,0
107,60302,43,43,43,123,0,0,9,0,1,1,3,1,0
108,60303,43,43,43,123,0,0,9,0,1,1,3,1,0
109,60304,43,43,43,123,0,0,9,0,1,1,3,1,0
110,60305,43,43,43,123,0,0,9,0,1,1,3,1,0
111,60306,43,43,43,123,0,0,9,0,1,1,3,1,0
112,60307,43,43,43,123,0,0,9,0,1,1,3,1,0
113,60308,43,43,43,123,0,0,9,0,1,1,3,1,0
114,60401,43,43,43,123,0,0,9,0,1,1,3,1,0
115,60402,43,43,43,123,0,0,9,0,1,1,3,1,0
116,60403,43,43,43,123,0,0,9,0,1,1,3,1,0
117,60404,43,43,43,123,0,0,9,0,1,1,3,1,0
118,60405,43,43,43,123,0,0,9,0,1,1,3,1,0
119,60406,43,43,43,123,0,0,9,0,1,1,3,1,0
120,60407,43,43,43,123,0,0,9,0,1,1,3,1,0
121,60408,43,43,43,123,0,0,9,0,1,1,3,1,0
122,60501,43,43,43,123,0,0,9,0,1,1,3,1,0
123,60502,43,43,43,123,0,0,9,0,1,1,3,1,0
124,60503,43,43,43,123,0,0,9,0,1,1,3,1,0
125,60504,43,43,43,123,0,0,9,0,1,1,3,1,0
126,60505,43,43,43,123,0,0,9,0,1,1,3,1,0
127,60506,43,43,43,123,0,0,9,0,1,1,3,1,0
128,60507,43,43,43,123,0,0,9,0,1,1,3,1,0
129,60508,43,43,43,123,0,0,9,0,1,1,3,1,0
130,60601,43,43,43,123,0,0,9,0,1,1,3,1,0
131,60602,43,43,43,123,0,0,9,0,1,1,3,1,0
132,60603,43,43,43,123,0,0,9,0,1,1,3,1,0
133,60604,43,43,43,123,0,0,9,0,1,1,3,1,0
134,60605,43,43,43,123,0,0,9,0,1,1,3,1,0
135,60606,43,43,43,123,0,0,9,0,1,1,3,1,0
136,60607,43,43,43,123,0,0,9,0,1,1,3,1,0
137,60608,43,43,43,123,0,0,9,0,1,1,3,1,0
138,60701,43,43,43,123,0,0,9,0,1,1,3,1,0
139,60702,43,43,43,123,0,0,9,0,1,1,3,1,0
140,60703,43,43,43,123,0,0,9,0,1,1,3,1,0
141,60704,43,43,43,123,0,0,9,0,1,1,3,1,0
142,60705,43,43,43,123,0,0,9,0,1,1,3,1,0
143,60706,43,43,43,123,0,0,9,0,1,1,3,1,0
144,60707,43,43,43,123,0,0,9,0,1,1,3,1,0
145,60708,43,43,43,123,0,0,9,0,1,1,3,1,0
146,80201,0,0,0,300,0,0,15,30,1,2,0,1,0
147,80301,0,0,0,900,0,0,9,30,1,1,0,2,0
148,80302,0,0,0,900,0,0,9,30,1,1,0,2,0
149,80303,0,0,0,900,0,0,9,30,1,1,0,2,0
150,80304,0,0,0,900,0,0,9,30,1,1,0,2,0
151,80305,0,0,0,900,0,0,9,30,1,1,0,2,0
152,80306,0,0,0,900,0,0,9,30,1,1,0,2,0
153,80307,0,0,0,900,0,0,9,30,1,1,0,2,0
154,80401,0,0,0,102,0,0,9,0,2,1,0,3,0
155,80402,0,0,0,1800,9999,1,10,0,0,2,0,2,0
156,80403,0,0,0,1200,9999,1,10,0,0,2,0,2,0
157,80404,0,0,0,1800,9999,0,1,0,0,1,0,3,0
158,80405,0,0,0,102,0,0,1,0,2,3,0,3,0
159,80406,0,0,0,1200,9999,1,15,0,0,2,0,1,0
160,80407,0,0,0,1200,9999,1,15,0,0,2,0,1,0
161,80408,0,0,0,720,9999,0,9,0,0,2,0,2,0
162,80409,0,0,0,960,9999,1,15,0,0,1,0,2,0
163,80410,0,0,0,960,9999,1,15,0,0,1,0,2,0
164,80411,0,0,0,960,9999,1,15,0,0,1,0,2,0
165,80412,0,0,0,1800,9999,1,5,0,0,2,0,1,0
166,80414,0,0,0,1800,9999,1,5,0,0,2,0,2,0
167,80415,0,0,0,1800,9999,1,5,0,0,3,0,2,0
168,80416,0,0,0,1800,9999,1,5,0,0,3,0,2,0
169,80417,0,0,0,1800,9999,1,5,0,0,3,0,2,0
170,80418,0,0,0,1800,9999,1,5,0,0,3,0,2,0
171,80419,0,0,0,10800,0,0,9,0,0,2,0,1,0
172,80420,0,0,303,303,0,0,9,0,1,1,0,3,0
173,80421,0,0,0,900,9999,0,9,0,0,2,0,2,0
174,10201,0,0,300,300,9999,0,3,0,0,2,0,2,0
175,10202,0,0,300,300,9999,0,3,0,0,2,0,2,0
176,10203,0,0,300,300,9999,0,3,0,0,2,0,2,0
177,10000,0,0,1800,1800,9999,0,3,0,0,2,0,2,0
178,80422,0,0,600,600,9999,1,15,0,0,2,0,1,0
179,90101,0,0,0,300,9999,1,10,3,0,2,3,1,0
180,90102,0,0,0,300,9999,1,10,3,0,2,3,1,0
181,90103,0,0,0,300,9999,1,10,3,0,2,3,1,0
182,90104,0,0,0,300,9999,1,10,3,0,2,3,1,0
183,90105,0,0,0,300,9999,1,10,3,0,2,3,1,0
184,90106,0,0,0,300,9999,1,10,3,0,2,3,1,0
185,90107,0,0,0,300,9999,1,10,3,0,2,3,1,0
186,90108,0,0,0,300,9999,1,10,3,0,2,3,1,0
187,90201,0,0,0,600,9999,1,10,30,1,1,0,2,0
188,90202,0,0,0,600,9999,1,10,30,1,1,0,2,0
189,90203,0,0,0,600,9999,1,10,30,1,1,0,2,0
190,90204,0,0,0,600,9999,1,10,30,1,1,0,2,0
191,90205,0,0,0,600,9999,1,10,30,1,1,0,2,0
192,90206,0,0,0,600,9999,1,10,30,1,1,0,2,0
193,90207,0,0,0,600,9999,1,10,30,1,1,0,2,0
194,90208,0,0,0,600,9999,1,10,30,1,1,0,2,0
195,90301,0,0,0,600,9999,1,10,30,1,1,0,2,0
196,90302,0,0,0,600,9999,1,10,30,1,1,0,2,0
197,90303,0,0,0,600,9999,1,10,30,1,1,0,2,0
198,90304,0,0,0,600,9999,1,10,30,1,1,0,2,0
199,90305,0,0,0,600,9999,1,10,30,1,1,0,2,0
200,90306,0,0,0,600,9999,1,10,30,1,1,0,2,0
201,90307,0,0,0,600,9999,1,10,30,1,1,0,2,0
202,90308,0,0,0,600,9999,1,10,30,1,1,0,2,0
203,80423,0,0,0,1800,9999,1,15,0,0,2,0,1,0
204,70101,0,0,0,120,3,0,10,0,1,1,0,2,0
205,70102,0,0,0,120,3,0,10,0,1,1,0,2,0
206,70103,0,0,0,120,3,0,10,0,1,1,0,2,0
207,70104,0,0,0,120,3,0,10,0,1,1,0,2,0
208,70105,0,0,0,120,3,0,10,0,1,1,0,2,0
209,70106,0,0,0,120,3,0,10,0,1,1,0,2,0
210,70107,0,0,0,120,3,0,10,0,1,1,0,2,0
211,70108,0,0,0,120,3,0,10,0,1,1,0,2,0
212,70109,0,0,0,120,3,0,10,0,1,1,0,2,0
213,70110,0,0,0,120,3,0,10,0,1,1,0,2,0
214,70111,0,0,0,120,3,0,10,0,1,1,0,2,0
215,70112,0,0,0,120,3,0,10,0,1,1,0,2,0
216,70113,0,0,0,120,3,0,10,0,1,1,0,2,0
217,70114,0,0,0,120,3,0,10,0,1,1,0,2,0
218,70115,0,0,0,120,3,0,10,0,1,1,0,2,0
219,70116,0,0,0,120,3,0,10,0,1,1,0,2,0
220,70117,0,0,0,120,3,0,10,0,1,1,0,2,0
221,70118,0,0,0,120,3,0,10,0,1,1,0,2,0
222,70119,0,0,0,120,3,0,10,0,1,1,0,2,0
223,70120,0,0,0,120,3,0,10,0,1,1,0,2,0
224,70121,0,0,0,120,3,0,10,0,1,1,0,2,0
225,70122,0,0,0,120,3,0,10,0,1,1,0,2,0
226,70123,0,0,0,120,3,0,10,0,1,1,0,2,0
227,70124,0,0,0,120,3,0,10,0,1,1,0,2,0
228,70125,0,0,0,120,3,0,10,0,1,1,0,2,0
229,70126,0,0,0,120,3,0,10,0,1,1,0,2,0
230,70127,0,0,0,120,3,0,10,0,1,1,0,2,0
231,70128,0,0,0,120,3,0,10,0,1,1,0,2,0
232,70129,0,0,0,120,3,0,10,0,1,1,0,2,0
233,70130,0,0,0,120,3,0,10,0,1,1,0,2,0
234,70131,0,0,0,120,3,0,10,0,1,1,0,2,0
235,70132,0,0,0,120,3,0,10,0,1,1,0,2,0
236,70133,0,0,0,120,3,0,10,0,1,1,0,2,0
237,70134,0,0,0,120,3,0,10,0,1,1,0,2,0
238,70135,0,0,0,120,3,0,10,0,1,1,0,2,0
239,70136,0,0,0,120,3,0,10,0,1,1,0,2,0
240,70137,0,0,0,120,3,0,10,0,1,1,0,2,0
241,70138,0,0,0,120,3,0,10,0,1,1,0,2,0
242,70139,0,0,0,120,3,0,10,0,1,1,0,2,0
243,70140,0,0,0,120,3,0,10,0,1,1,0,2,0
244,80424,0,0,0,180,0,0,9,0,2,2,0,3,0
245,80425,0,0,0,1800,-1,0,10,0,0,1,0,1,0
246,80426,0,0,0,1200,-1,1,10,0,1,1,0,2,0
247,80427,0,0,0,1200,-1,1,10,0,1,1,0,2,0
248,80428,0,0,0,1200,-1,1,10,0,1,1,0,2,0
249,80429,0,0,0,1200,-1,1,10,0,1,1,0,2,0
250,80430,0,0,0,1200,-1,1,10,0,1,1,0,2,0
251,80431,0,0,0,300,-1,0,5,0,1,1,3,2,0
252,80432,0,0,0,300,-1,0,5,0,1,1,3,2,0
253,80433,0,0,0,300,-1,0,5,0,1,1,3,2,0
254,80434,0,0,0,300,-1,0,5,0,1,1,3,2,0
255,80435,0,0,0,300,-1,0,5,0,1,1,3,2,0
256,80436,0,0,0,300,-1,0,10,30,1,1,3,2,0
257,80437,0,0,0,300,-1,0,10,30,1,1,3,2,0
258,80438,0,0,0,300,-1,0,10,30,1,1,3,2,0
259,80439,0,0,0,0,9999,0,10,0,0,2,0,1,0
260,80440,0,0,0,108,0,0,9,0,2,1,0,3,0
261,70201,0,0,0,1200,3,0,10,30,0,2,10,2,0
262,70202,0,0,0,1200,3,0,10,30,0,2,0,2,0
263,70203,0,0,0,1200,3,0,10,30,0,2,0,2,0
264,70204,0,0,0,1200,3,0,10,30,0,2,0,2,0
265,70205,0,0,0,1200,3,0,10,30,0,2,0,2,0
266,70206,0,0,0,1200,3,0,10,30,0,2,0,2,0
267,70207,0,0,0,1200,3,0,10,30,0,2,0,2,0
268,70208,0,0,0,1200,3,0,10,30,0,2,0,2,0
269,70209,0,0,0,1200,3,0,10,30,0,2,0,2,0
270,70210,0,0,0,1200,3,0,10,30,0,2,0,2,0
271,70211,0,0,0,1200,3,0,10,30,0,2,0,2,0
272,70212,0,0,0,1200,3,0,10,30,0,2,0,2,0
273,70213,0,0,0,1200,3,0,10,30,0,2,0,2,0
274,70214,0,0,0,1200,3,0,10,30,0,2,0,2,0
275,20600,63,123,123,303,3,0,5,30,1,1,3,2,0
276,40100,0,0,0,483,9999,0,15,30,1,1,0,2,0
277,40200,0,0,0,210,9999,0,15,30,1,2,0,2,0
278,40300,0,0,0,600,9999,0,15,30,1,2,0,2,0
279,80441,0,0,0,0,9999,0,5,0,0,2,0,1,0
280,80442,0,0,0,0,9999,0,5,0,0,2,0,1,0
281,80443,0,0,0,0,9999,0,5,0,0,2,0,1,0
282,80444,0,0,0,600,9999,1,10,30,1,1,0,2,0
283,80445,0,0,0,600,9999,1,10,30,1,1,0,2,0
284,80446,0,0,0,600,9999,1,10,30,1,1,0,2,0
285,80447,0,0,0,600,9999,1,10,30,1,1,0,2,0
286,80448,0,0,0,600,9999,1,10,30,1,1,0,2,0
287,80449,0,0,0,480,9999,0,10,0,0,2,0,2,0
288,80450,0,0,0,102,0,0,1,0,2,3,0,3,0
289,20701,123,123,183,423,9999,1,10,30,1,1,3,2,0
290,20702,123,123,183,423,9999,1,10,30,1,1,3,2,0
291,20703,123,123,183,423,9999,1,10,30,1,1,3,2,0
292,20704,123,123,183,423,9999,1,10,30,1,1,3,2,0
293,20801,123,123,183,423,9999,1,10,30,1,1,3,2,0
294,20802,123,123,183,423,9999,1,10,30,1,1,3,2,0
295,20803,123,123,183,423,9999,1,10,30,1,1,3,2,0
296,20804,123,123,183,423,9999,1,10,30,1,1,3,2,0
297,20901,123,123,183,423,9999,1,10,30,1,1,3,2,0
298,20902,123,123,183,423,9999,1,10,30,1,1,3,2,0
299,20903,123,123,183,423,9999,1,10,30,1,1,3,2,0
300,20904,123,123,183,423,9999,1,10,30,1,1,3,2,0
301,21001,123,123,183,423,9999,1,10,30,1,1,3,2,0
302,21002,123,123,183,423,9999,1,10,30,1,1,3,2,0
303,21003,123,123,183,423,9999,1,10,30,1,1,3,2,0
304,21004,123,123,183,423,9999,1,10,30,1,1,3,2,0
305,21101,0,0,0,363,-1,0,9,30,0,1,0,2,1000
306,21102,0,0,0,363,-1,0,9,30,0,1,0,2,1000
307,21103,0,0,0,363,-1,0,9,30,0,1,0,2,1000
308,21104,0,0,0,363,-1,0,9,30,0,1,0,2,1000
309,70301,0,0,0,7200,-1,0,9,0,0,1,0,2,0
310,70302,0,0,0,7200,-1,0,9,0,0,1,0,2,0
311,70303,0,0,0,7200,-1,0,9,0,0,1,0,2,0
312,70304,0,0,0,7200,-1,0,9,0,0,1,0,2,0
313,70305,0,0,0,7200,-1,0,9,0,0,1,0,2,0
314,70306,0,0,0,7200,-1,0,9,0,0,1,0,2,0
315,70307,0,0,0,7200,-1,0,9,0,0,1,0,2,0
316,70308,0,0,0,7200,-1,0,9,0,0,1,0,2,0
