id,monsterid,rank_mix,rank_max,bag_id,number,person,profession,level
61,209101,0,0,10364,1,1,0,80
62,209101,0,0,10364,1,1,0,85
63,209101,0,0,10365,1,1,0,90
64,209101,0,0,10365,1,1,0,95
65,209101,0,0,10366,1,1,0,100
66,209201,0,0,10401,1,1,0,40
67,209201,0,0,10402,1,1,0,45
68,209201,0,0,10403,1,1,0,50
69,209201,0,0,10404,1,1,0,55
70,209201,0,0,10405,1,1,0,60
71,209201,0,0,10406,1,1,0,65
72,209201,0,0,10407,1,1,0,70
73,209201,0,0,10408,1,1,0,75
74,209201,0,0,10409,1,1,0,80
75,209201,0,0,10410,1,1,0,85
76,209201,0,0,10411,1,1,0,90
77,209201,0,0,10412,1,1,0,95
78,209201,0,0,10413,1,1,0,100
79,209201,0,0,10427,1,1,0,40
80,209201,0,0,10427,1,1,0,45
81,209201,0,0,10427,1,1,0,50
82,209201,0,0,10427,1,1,0,55
83,209201,0,0,10427,1,1,0,60
84,209201,0,0,10427,1,1,0,65
85,209201,0,0,10427,1,1,0,70
86,209201,0,0,10427,1,1,0,75
87,209201,0,0,10427,1,1,0,80
88,209201,0,0,10427,1,1,0,85
89,209201,0,0,10427,1,1,0,90
90,209201,0,0,10427,1,1,0,95
91,209201,0,0,10427,1,1,0,100
92,209201,0,0,10428,1,1,0,40
93,209201,0,0,10428,1,1,0,45
94,209201,0,0,10428,1,1,0,50
95,209201,0,0,10428,1,1,0,55
96,209201,0,0,10428,1,1,0,60
97,209201,0,0,10428,1,1,0,65
98,209201,0,0,10428,1,1,0,70
99,209201,0,0,10428,1,1,0,75
100,209201,0,0,10428,1,1,0,80
101,209201,0,0,10428,1,1,0,85
102,209201,0,0,10428,1,1,0,90
103,209201,0,0,10428,1,1,0,95
104,209201,0,0,10428,1,1,0,100
105,209201,0,0,10431,10,1,0,40
106,209201,0,0,10431,10,1,0,45
107,209201,0,0,10431,10,1,0,50
108,209201,0,0,10431,10,1,0,55
109,209201,0,0,10431,10,1,0,60
110,209201,0,0,10431,10,1,0,65
111,209201,0,0,10431,10,1,0,70
112,209201,0,0,10431,10,1,0,75
113,209201,0,0,10431,10,1,0,80
114,209201,0,0,10431,10,1,0,85
115,209201,0,0,10431,10,1,0,90
116,209201,0,0,10431,10,1,0,95
117,209201,0,0,10431,10,1,0,100
118,209201,0,0,10367,1,1,0,40
119,209201,0,0,10367,1,1,0,45
120,209201,0,0,10368,1,1,0,50
121,209201,0,0,10368,1,1,0,55
122,209201,0,0,10369,1,1,0,60
123,209201,0,0,10369,1,1,0,65
124,209201,0,0,10370,1,1,0,70
125,209201,0,0,10370,1,1,0,75
126,209201,0,0,10371,1,1,0,80
127,209201,0,0,10371,1,1,0,85
128,209201,0,0,10372,1,1,0,90
129,209201,0,0,10372,1,1,0,95
130,209201,0,0,10373,1,1,0,100
131,209201,0,0,10353,2,1,0,40
132,209201,0,0,10353,2,1,0,45
133,209201,0,0,10354,2,1,0,50
134,209201,0,0,10354,2,1,0,55
135,209201,0,0,10355,2,1,0,60
136,209201,0,0,10355,2,1,0,65
137,209201,0,0,10356,2,1,0,70
138,209201,0,0,10356,2,1,0,75
139,209201,0,0,10357,2,1,0,80
140,209201,0,0,10357,2,1,0,85
141,209201,0,0,10358,2,1,0,90
142,209201,0,0,10358,2,1,0,95
143,209201,0,0,10359,2,1,0,100
144,209301,0,0,10429,1,1,0,40
145,209301,0,0,10429,1,1,0,45
146,209301,0,0,10429,1,1,0,50
147,209301,0,0,10429,1,1,0,55
148,209301,0,0,10429,1,1,0,60
149,209301,0,0,10429,1,1,0,65
150,209301,0,0,10429,1,1,0,70
151,209301,0,0,10429,1,1,0,75
152,209301,0,0,10429,1,1,0,80
153,209301,0,0,10429,1,1,0,85
154,209301,0,0,10429,1,1,0,90
155,209301,0,0,10429,1,1,0,95
156,209301,0,0,10429,1,1,0,100
157,209301,0,0,10430,1,1,0,40
158,209301,0,0,10430,1,1,0,45
159,209301,0,0,10430,1,1,0,50
160,209301,0,0,10430,1,1,0,55
161,209301,0,0,10430,1,1,0,60
162,209301,0,0,10430,1,1,0,65
163,209301,0,0,10430,1,1,0,70
164,209301,0,0,10430,1,1,0,75
165,209301,0,0,10430,1,1,0,80
166,209301,0,0,10430,1,1,0,85
167,209301,0,0,10430,1,1,0,90
168,209301,0,0,10430,1,1,0,95
169,209301,0,0,10430,1,1,0,100
170,209301,0,0,10431,20,1,0,40
171,209301,0,0,10431,20,1,0,45
172,209301,0,0,10431,20,1,0,50
173,209301,0,0,10431,20,1,0,55
174,209301,0,0,10431,20,1,0,60
175,209301,0,0,10431,20,1,0,65
176,209301,0,0,10431,20,1,0,70
177,209301,0,0,10431,20,1,0,75
178,209301,0,0,10431,20,1,0,80
179,209301,0,0,10431,20,1,0,85
180,209301,0,0,10431,20,1,0,90
181,209301,0,0,10431,20,1,0,95
182,209301,0,0,10431,20,1,0,100
183,209301,0,0,10427,1,1,0,40
184,209301,0,0,10427,1,1,0,45
185,209301,0,0,10427,1,1,0,50
186,209301,0,0,10427,1,1,0,55
187,209301,0,0,10427,1,1,0,60
188,209301,0,0,10427,1,1,0,65
189,209301,0,0,10427,1,1,0,70
190,209301,0,0,10427,1,1,0,75
191,209301,0,0,10427,1,1,0,80
192,209301,0,0,10427,1,1,0,85
193,209301,0,0,10427,1,1,0,90
194,209301,0,0,10427,1,1,0,95
195,209301,0,0,10427,1,1,0,100
196,209301,0,0,10414,1,1,0,40
197,209301,0,0,10415,1,1,0,45
198,209301,0,0,10416,1,1,0,50
199,209301,0,0,10417,1,1,0,55
200,209301,0,0,10418,1,1,0,60
201,209301,0,0,10419,1,1,0,65
202,209301,0,0,10420,1,1,0,70
203,209301,0,0,10421,1,1,0,75
204,209301,0,0,10422,1,1,0,80
205,209301,0,0,10423,1,1,0,85
206,209301,0,0,10424,1,1,0,90
207,209301,0,0,10425,1,1,0,95
208,209301,0,0,10426,1,1,0,100
209,209301,0,0,10353,3,1,0,40
210,209301,0,0,10353,3,1,0,45
211,209301,0,0,10354,3,1,0,50
212,209301,0,0,10354,3,1,0,55
213,209301,0,0,10355,3,1,0,60
214,209301,0,0,10355,3,1,0,65
215,209301,0,0,10356,3,1,0,70
216,209301,0,0,10356,3,1,0,75
217,209301,0,0,10357,3,1,0,80
218,209301,0,0,10357,3,1,0,85
219,209301,0,0,10358,3,1,0,90
220,209301,0,0,10358,3,1,0,95
221,209301,0,0,10359,3,1,0,100
222,209301,0,0,10374,1,1,0,40
223,209301,0,0,10374,1,1,0,45
224,209301,0,0,10375,1,1,0,50
225,209301,0,0,10375,1,1,0,55
226,209301,0,0,10376,1,1,0,60
227,209301,0,0,10376,1,1,0,65
228,209301,0,0,10377,1,1,0,70
229,209301,0,0,10377,1,1,0,75
230,209301,0,0,10378,1,1,0,80
231,209301,0,0,10378,1,1,0,85
232,209301,0,0,10379,1,1,0,90
233,209301,0,0,10379,1,1,0,95
234,209301,0,0,10380,1,1,0,100
235,209301,0,0,10381,1,1,0,40
236,209301,0,0,10381,1,1,0,45
237,209301,0,0,10382,1,1,0,50
238,209301,0,0,10382,1,1,0,55
239,209301,0,0,10383,1,1,0,60
240,209301,0,0,10383,1,1,0,65
241,209301,0,0,10384,1,1,0,70
242,209301,0,0,10384,1,1,0,75
243,209301,0,0,10385,1,1,0,80
244,209301,0,0,10385,1,1,0,85
245,209301,0,0,10386,1,1,0,90
246,209301,0,0,10386,1,1,0,95
247,209301,0,0,10387,1,1,0,100
