id,kind,rank,levelmin,number,levelmax
122,1,1,10091,15690440,10091
123,1,1,10092,16474960,10092
124,1,1,10093,17298720,10093
125,1,1,10094,18163660,10094
126,1,1,10095,19071840,10095
127,1,1,11090,19072240,11090
128,1,1,11091,19072640,11091
129,1,1,11092,19073040,11092
130,1,1,11093,19073440,11093
131,1,1,11094,19073840,11094
132,1,1,11095,19074240,11095
133,1,1,11096,20025420,11096
134,1,1,11097,21026700,11097
135,1,1,11098,22078040,11098
136,1,1,11099,23181940,11099
137,1,1,11100,24341040,11100
138,1,2,30,400000,30
139,1,2,31,420000,31
140,1,2,32,441000,32
141,1,2,33,463050,33
142,1,2,34,486202,34
143,1,2,35,510512,35
144,1,2,36,536038,36
145,1,2,37,562838,37
146,1,2,38,590980,38
147,1,2,39,620530,39
148,1,2,40,651556,40
149,1,2,41,684134,41
150,1,2,42,718340,42
151,1,2,43,754258,43
152,1,2,44,791970,44
153,1,2,45,831570,45
154,1,2,1040,997884,1040
155,1,2,1041,997884,1041
156,1,2,1042,997884,1042
157,1,2,1043,997884,1043
158,1,2,1044,997884,1044
159,1,2,1045,997884,1045
160,1,2,1046,1047778,1046
161,1,2,1047,1100167,1047
162,1,2,1048,1155175,1048
163,1,2,1049,1212934,1049
164,1,2,1050,1273579,1050
165,1,2,2045,1273579,2045
166,1,2,2046,1273579,2046
167,1,2,2047,1273579,2047
168,1,2,2048,1273579,2048
169,1,2,2049,1273579,2049
170,1,2,2050,1273579,2050
171,1,2,2051,1337258,2051
172,1,2,2052,1404122,2052
173,1,2,2053,1474327,2053
174,1,2,2054,1548043,2054
175,1,2,2055,1625446,2055
176,1,2,3050,1625446,3050
177,1,2,3051,1625446,3051
178,1,2,3052,1625446,3052
179,1,2,3053,1625446,3053
180,1,2,3054,1625446,3054
181,1,2,3055,1625446,3055
182,1,2,3056,1706719,3056
183,1,2,3057,1792056,3057
184,1,2,3058,1881658,3058
185,1,2,3059,1975740,3059
186,1,2,3060,2074526,3060
187,1,2,4055,2074526,4055
188,1,2,4056,2074526,4056
189,1,2,4057,2074526,4057
190,1,2,4058,2074526,4058
191,1,2,4059,2074526,4059
192,1,2,4060,2074526,4060
193,1,2,4061,2178254,4061
194,1,2,4062,2287166,4062
195,1,2,4063,2401524,4063
196,1,2,4064,2521601,4064
197,1,2,4065,2647680,4065
198,1,2,5060,2647680,5060
199,1,2,5061,2647680,5061
200,1,2,5062,2647680,5062
201,1,2,5063,2647680,5063
202,1,2,5064,2647680,5064
203,1,2,5065,2647680,5065
204,1,2,5066,2780064,5066
205,1,2,5067,2919067,5067
206,1,2,5068,3065021,5068
207,1,2,5069,3218273,5069
208,1,2,5070,3379186,5070
209,1,2,6065,3379186,6065
210,1,2,6066,3379186,6066
211,1,2,6067,3379186,6067
212,1,2,6068,3379186,6068
213,1,2,6069,3379186,6069
214,1,2,6070,3379186,6070
215,1,2,6071,3548146,6071
216,1,2,6072,3725554,6072
217,1,2,6073,3911830,6073
218,1,2,6074,4107422,6074
219,1,2,6075,4312793,6075
220,1,2,7070,4312793,7070
221,1,2,7071,4312793,7071
222,1,2,7072,4312793,7072
223,1,2,7073,4312793,7073
224,1,2,7074,4312793,7074
225,1,2,7075,4312793,7075
226,1,2,7076,4528433,7076
227,1,2,7077,4754854,7077
228,1,2,7078,4992598,7078
229,1,2,7079,5242226,7079
230,1,2,7080,5504338,7080
231,1,2,8075,5504338,8075
232,1,2,8076,5504338,8076
233,1,2,8077,5504338,8077
234,1,2,8078,5504338,8078
235,1,2,8079,5504338,8079
236,1,2,8080,5504338,8080
237,1,2,8081,5779555,8081
238,1,2,8082,6068532,8082
239,1,2,8083,6371959,8083
240,1,2,8084,6690557,8084
241,1,2,8085,7025086,8085
242,1,2,9080,7025086,9080
243,1,2,9081,7025086,9081
244,1,2,9082,7025086,9082
245,1,2,9083,7025086,9083
246,1,2,9084,7025086,9084
247,1,2,9085,7025086,9085
248,1,2,9086,7376340,9086
249,1,2,9087,7745155,9087
250,1,2,9088,8132414,9088
251,1,2,9089,8539034,9089
252,1,2,9090,8965987,9090
253,1,2,10085,8965987,10085
254,1,2,10086,8965987,10086
255,1,2,10087,8965987,10087
256,1,2,10088,8965987,10088
257,1,2,10089,8965987,10089
258,1,2,10090,8965987,10090
259,1,2,10091,9414286,10091
260,1,2,10092,9885000,10092
261,1,2,10093,10379249,10093
262,1,2,10094,10898213,10094
263,1,2,10095,11443123,10095
264,1,2,11090,11443123,11090
265,1,2,11091,11443123,11091
266,1,2,11092,11443123,11092
267,1,2,11093,11443123,11093
268,1,2,11094,11443123,11094
269,1,2,11095,11443123,11095
270,1,2,11096,12015278,11096
271,1,2,11097,12616044,11097
272,1,2,11098,13246846,11098
273,1,2,11099,13909188,11099
274,1,2,11100,14604646,11100
275,1,3,30,75000,30
276,1,3,31,75000,31
277,1,3,32,75000,32
278,1,3,33,75000,33
279,1,3,34,75000,34
280,1,3,35,75000,35
281,1,3,36,75000,36
282,1,3,37,75000,37
283,1,3,38,75000,38
284,1,3,39,75000,39
285,1,3,40,200000,40
286,1,3,41,200000,41
287,1,3,42,200000,42
288,1,3,43,200000,43
289,1,3,44,200000,44
290,1,3,45,200000,45
291,1,3,1040,200000,1040
292,1,3,1041,200000,1041
293,1,3,1042,200000,1042
294,1,3,1043,200000,1043
295,1,3,1044,200000,1044
296,1,3,1045,200000,1045
297,1,3,1046,200000,1046
298,1,3,1047,200000,1047
299,1,3,1048,200000,1048
300,1,3,1049,200000,1049
301,1,3,1050,550000,1050
302,1,3,2045,550000,2045
303,1,3,2046,550000,2046
304,1,3,2047,550000,2047
305,1,3,2048,550000,2048
306,1,3,2049,550000,2049
307,1,3,2050,550000,2050
308,1,3,2051,550000,2051
309,1,3,2052,550000,2052
310,1,3,2053,550000,2053
311,1,3,2054,550000,2054
312,1,3,2055,550000,2055
313,1,3,3050,550000,3050
314,1,3,3051,550000,3051
315,1,3,3052,550000,3052
316,1,3,3053,550000,3053
317,1,3,3054,550000,3054
318,1,3,3055,550000,3055
319,1,3,3056,550000,3056
320,1,3,3057,550000,3057
321,1,3,3058,550000,3058
322,1,3,3059,550000,3059
323,1,3,3060,1500000,3060
324,1,3,4055,1500000,4055
325,1,3,4056,1500000,4056
326,1,3,4057,1500000,4057
327,1,3,4058,1500000,4058
328,1,3,4059,1500000,4059
329,1,3,4060,1500000,4060
330,1,3,4061,1500000,4061
331,1,3,4062,1500000,4062
332,1,3,4063,1500000,4063
333,1,3,4064,1500000,4064
334,1,3,4065,1500000,4065
335,1,3,5060,1500000,5060
336,1,3,5061,1500000,5061
337,1,3,5062,1500000,5062
338,1,3,5063,1500000,5063
339,1,3,5064,1500000,5064
340,1,3,5065,1500000,5065
341,1,3,5066,1500000,5066
342,1,3,5067,1500000,5067
343,1,3,5068,1500000,5068
344,1,3,5069,1500000,5069
345,1,3,5070,4000000,5070
346,1,3,6065,4000000,6065
347,1,3,6066,4000000,6066
348,1,3,6067,4000000,6067
349,1,3,6068,4000000,6068
350,1,3,6069,4000000,6069
351,1,3,6070,4000000,6070
352,1,3,6071,4000000,6071
353,1,3,6072,4000000,6072
354,1,3,6073,4000000,6073
355,1,3,6074,4000000,6074
356,1,3,6075,4000000,6075
357,1,3,7070,4000000,7070
358,1,3,7071,4000000,7071
359,1,3,7072,4000000,7072
360,1,3,7073,4000000,7073
361,1,3,7074,4000000,7074
362,1,3,7075,4000000,7075
363,1,3,7076,4000000,7076
364,1,3,7077,4000000,7077
365,1,3,7078,4000000,7078
366,1,3,7079,4000000,7079
367,1,3,7080,9000000,7080
368,1,3,8075,9000000,8075
369,1,3,8076,9000000,8076
370,1,3,8077,9000000,8077
371,1,3,8078,9000000,8078
372,1,3,8079,9000000,8079
373,1,3,8080,9000000,8080
374,1,3,8081,9000000,8081
375,1,3,8082,9000000,8082
376,1,3,8083,9000000,8083
377,1,3,8084,9000000,8084
378,1,3,8085,9000000,8085
379,1,3,9080,9000000,9080
380,1,3,9081,9000000,9081
381,1,3,9082,9000000,9082
382,1,3,9083,9000000,9083
383,1,3,9084,9000000,9084
384,1,3,9085,9000000,9085
385,1,3,9086,9000000,9086
386,1,3,9087,9000000,9087
387,1,3,9088,9000000,9088
388,1,3,9089,9000000,9089
389,1,3,9090,18000000,9090
390,1,3,10085,18000000,10085
391,1,3,10086,18000000,10086
392,1,3,10087,18000000,10087
393,1,3,10088,18000000,10088
394,1,3,10089,18000000,10089
395,1,3,10090,18000000,10090
396,1,3,10091,18000000,10091
397,1,3,10092,18000000,10092
398,1,3,10093,18000000,10093
399,1,3,10094,18000000,10094
400,1,3,10095,18000000,10095
401,1,3,11090,18000000,11090
402,1,3,11091,18000000,11091
403,1,3,11092,18000000,11092
404,1,3,11093,18000000,11093
405,1,3,11094,18000000,11094
406,1,3,11095,18000000,11095
407,1,3,11096,18000000,11096
408,1,3,11097,18000000,11097
409,1,3,11098,18000000,11098
410,1,3,11099,18000000,11099
411,1,3,11100,18000000,11100
412,1,4,30,60000,30
413,1,4,31,60000,31
414,1,4,32,60000,32
415,1,4,33,60000,33
416,1,4,34,60000,34
417,1,4,35,60000,35
418,1,4,36,60000,36
419,1,4,37,60000,37
420,1,4,38,60000,38
421,1,4,39,60000,39
422,1,4,40,140000,40
423,1,4,41,140000,41
424,1,4,42,140000,42
425,1,4,43,140000,43
426,1,4,44,140000,44
427,1,4,45,140000,45
428,1,4,1040,140000,1040
429,1,4,1041,140000,1041
430,1,4,1042,140000,1042
431,1,4,1043,140000,1043
432,1,4,1044,140000,1044
433,1,4,1045,140000,1045
434,1,4,1046,140000,1046
435,1,4,1047,140000,1047
436,1,4,1048,140000,1048
437,1,4,1049,140000,1049
438,1,4,1050,370000,1050
439,1,4,2045,370000,2045
440,1,4,2046,370000,2046
441,1,4,2047,370000,2047
442,1,4,2048,370000,2048
443,1,4,2049,370000,2049
444,1,4,2050,370000,2050
445,1,4,2051,370000,2051
446,1,4,2052,370000,2052
447,1,4,2053,370000,2053
448,1,4,2054,370000,2054
449,1,4,2055,370000,2055
450,1,4,3050,370000,3050
451,1,4,3051,370000,3051
452,1,4,3052,370000,3052
453,1,4,3053,370000,3053
454,1,4,3054,370000,3054
455,1,4,3055,370000,3055
456,1,4,3056,370000,3056
457,1,4,3057,370000,3057
458,1,4,3058,370000,3058
459,1,4,3059,370000,3059
460,1,4,3060,900000,3060
461,1,4,4055,900000,4055
462,1,4,4056,900000,4056
463,1,4,4057,900000,4057
464,1,4,4058,900000,4058
465,1,4,4059,900000,4059
466,1,4,4060,900000,4060
467,1,4,4061,900000,4061
468,1,4,4062,900000,4062
469,1,4,4063,900000,4063
470,1,4,4064,900000,4064
471,1,4,4065,900000,4065
472,1,4,5060,900000,5060
473,1,4,5061,900000,5061
474,1,4,5062,900000,5062
475,1,4,5063,900000,5063
476,1,4,5064,900000,5064
477,1,4,5065,900000,5065
478,1,4,5066,900000,5066
479,1,4,5067,900000,5067
480,1,4,5068,900000,5068
481,1,4,5069,900000,5069
482,1,4,5070,2500000,5070
483,1,4,6065,2500000,6065
484,1,4,6066,2500000,6066
485,1,4,6067,2500000,6067
486,1,4,6068,2500000,6068
487,1,4,6069,2500000,6069
488,1,4,6070,2500000,6070
489,1,4,6071,2500000,6071
490,1,4,6072,2500000,6072
491,1,4,6073,2500000,6073
492,1,4,6074,2500000,6074
493,1,4,6075,2500000,6075
494,1,4,7070,2500000,7070
495,1,4,7071,2500000,7071
496,1,4,7072,2500000,7072
497,1,4,7073,2500000,7073
498,1,4,7074,2500000,7074
499,1,4,7075,2500000,7075
500,1,4,7076,2500000,7076
501,1,4,7077,2500000,7077
502,1,4,7078,2500000,7078
503,1,4,7079,2500000,7079
504,1,4,7080,6300000,7080
505,1,4,8075,6300000,8075
506,1,4,8076,6300000,8076
507,1,4,8077,6300000,8077
508,1,4,8078,6300000,8078
509,1,4,8079,6300000,8079
510,1,4,8080,6300000,8080
511,1,4,8081,6300000,8081
512,1,4,8082,6300000,8082
513,1,4,8083,6300000,8083
514,1,4,8084,6300000,8084
515,1,4,8085,6300000,8085
516,1,4,9080,6300000,9080
517,1,4,9081,6300000,9081
518,1,4,9082,6300000,9082
519,1,4,9083,6300000,9083
520,1,4,9084,6300000,9084
521,1,4,9085,6300000,9085
522,1,4,9086,6300000,9086
523,1,4,9087,6300000,9087
524,1,4,9088,6300000,9088
525,1,4,9089,6300000,9089
526,1,4,9090,12600000,9090
527,1,4,10085,12600000,10085
528,1,4,10086,12600000,10086
529,1,4,10087,12600000,10087
530,1,4,10088,12600000,10088
531,1,4,10089,12600000,10089
532,1,4,10090,12600000,10090
533,1,4,10091,12600000,10091
534,1,4,10092,12600000,10092
535,1,4,10093,12600000,10093
536,1,4,10094,12600000,10094
537,1,4,10095,12600000,10095
538,1,4,11090,12600000,11090
539,1,4,11091,12600000,11091
540,1,4,11092,12600000,11092
541,1,4,11093,12600000,11093
542,1,4,11094,12600000,11094
543,1,4,11095,12600000,11095
544,1,4,11096,12600000,11096
545,1,4,11097,12600000,11097
546,1,4,11098,12600000,11098
547,1,4,11099,12600000,11099
548,1,4,11100,12600000,11100
549,1,5,30,720000,30
550,1,5,31,781200,31
551,1,5,32,847600,32
552,1,5,33,919600,33
553,1,5,34,997800,34
554,1,5,35,1082600,35
555,1,5,36,1174600,36
556,1,5,37,1274400,37
557,1,5,38,1382700,38
558,1,5,39,1500200,39
559,1,5,40,1627700,40
560,1,5,41,1766100,41
561,1,5,42,1916200,42
562,1,5,43,2079100,43
563,1,5,44,2255800,44
564,1,5,45,2447500,45
565,1,5,1040,1627700,1040
566,1,5,1041,1766100,1041
567,1,5,1042,1916200,1042
568,1,5,1043,2079100,1043
569,1,5,1044,2255800,1044
570,1,5,1045,2447500,1045
571,1,5,1046,2655500,1046
572,1,5,1047,2881200,1047
573,1,5,1048,3126100,1048
574,1,5,1049,3391800,1049
575,1,5,1050,3680100,1050
576,1,5,2045,2447500,2045
577,1,5,2046,2655500,2046
578,1,5,2047,2881200,2047
579,1,5,2048,3126100,2048
580,1,5,2049,3391800,2049
581,1,5,2050,3680100,2050
582,1,5,2051,3992900,2051
583,1,5,2052,4332300,2052
584,1,5,2053,4700500,2053
585,1,5,2054,5100000,2054
586,1,5,2055,5533500,2055
587,1,5,3050,3680100,3050
588,1,5,3051,3992900,3051
589,1,5,3052,4332300,3052
590,1,5,3053,4700500,3053
591,1,5,3054,5100000,3054
592,1,5,3055,5533500,3055
593,1,5,3056,6003800,3056
594,1,5,3057,6514100,3057
595,1,5,3058,7067800,3058
596,1,5,3059,7668600,3059
597,1,5,3060,8320400,3060
598,1,5,4055,5533500,4055
599,1,5,4056,6003800,4056
600,1,5,4057,6514100,4057
601,1,5,4058,7067800,4058
602,1,5,4059,7668600,4059
603,1,5,4060,8320400,4060
604,1,5,4061,9027600,4061
605,1,5,4062,9794900,4062
606,1,5,4063,10627500,4063
607,1,5,4064,11530800,4064
608,1,5,4065,12510900,4065
609,1,5,5060,8320400,5060
610,1,5,5061,9027600,5061
611,1,5,5062,9794900,5062
612,1,5,5063,10627500,5063
613,1,5,5064,11530800,5064
614,1,5,5065,12510900,5065
615,1,5,5066,13574300,5066
616,1,5,5067,14728100,5067
617,1,5,5068,15980000,5068
618,1,5,5069,17338300,5069
619,1,5,5070,18812100,5070
620,1,5,6065,12510900,6065
621,1,5,6066,13574300,6066
622,1,5,6067,14728100,6067
623,1,5,6068,15980000,6068
624,1,5,6069,17338300,6069
625,1,5,6070,18812100,6070
626,1,5,6071,20411100,6071
627,1,5,6072,22146000,6072
628,1,5,6073,24028400,6073
629,1,5,6074,26070800,6074
630,1,5,6075,28286800,6075
631,1,5,7070,18812100,7070
632,1,5,7071,20411100,7071
633,1,5,7072,22146000,7072
634,1,5,7073,24028400,7073
635,1,5,7074,26070800,7074
636,1,5,7075,28286800,7075
637,1,5,7076,30691200,7076
638,1,5,7077,33300000,7077
639,1,5,7078,36130500,7078
640,1,5,7079,39201600,7079
641,1,5,7080,42533700,7080
642,1,5,8075,28286800,8075
643,1,5,8076,30691200,8076
644,1,5,8077,33300000,8077
645,1,5,8078,36130500,8078
646,1,5,8079,39201600,8079
647,1,5,8080,42533700,8080
648,1,5,8081,46149100,8081
649,1,5,8082,50071800,8082
650,1,5,8083,54327900,8083
651,1,5,8084,58945800,8084
652,1,5,8085,63956200,8085
653,1,5,9080,42533700,9080
654,1,5,9081,46149100,9081
655,1,5,9082,50071800,9082
656,1,5,9083,54327900,9083
657,1,5,9084,58945800,9084
658,1,5,9085,63956200,9085
659,1,5,9086,69392500,9086
660,1,5,9087,75290900,9087
661,1,5,9088,81690600,9088
662,1,5,9089,88634300,9089
663,1,5,9090,96168200,9090
664,1,5,10085,63956200,10085
665,1,5,10086,69392500,10086
666,1,5,10087,75290900,10087
667,1,5,10088,81690600,10088
668,1,5,10089,88634300,10089
669,1,5,10090,96168200,10090
670,1,5,10091,104342500,10091
671,1,5,10092,113211600,10092
672,1,5,10093,122834600,10093
673,1,5,10094,133275500,10094
674,1,5,10095,144603900,10095
675,1,5,11090,96168200,11090
676,1,5,11091,104342500,11091
677,1,5,11092,113211600,11092
678,1,5,11093,122834600,11093
679,1,5,11094,133275500,11094
680,1,5,11095,144603900,11095
681,1,5,11096,156895200,11096
682,1,5,11097,170231300,11097
683,1,5,11098,184701000,11098
684,1,5,11099,200400600,11099
685,1,5,11100,217434700,11100
686,1,6,30,2699892,30
687,1,6,31,2835000,31
688,1,6,32,2976912,32
689,1,6,33,3125628,33
690,1,6,34,3281796,34
691,1,6,35,3445740,35
692,1,6,36,3618108,36
693,1,6,37,3798900,37
694,1,6,38,3988764,38
695,1,6,39,4188348,39
696,1,6,40,4397652,40
697,1,6,41,4617648,41
698,1,6,42,4848660,42
699,1,6,43,5091012,43
700,1,6,44,5345676,44
701,1,6,45,5612976,45
702,1,6,1040,4397652,1040
703,1,6,1041,4617648,1041
704,1,6,1042,4848660,1042
705,1,6,1043,5091012,1043
706,1,6,1044,5345676,1044
707,1,6,1045,5612976,1045
708,1,6,1046,5893560,1046
709,1,6,1047,6188400,1047
710,1,6,1048,6497820,1048
711,1,6,1049,6822792,1049
712,1,6,1050,7163964,1050
713,1,6,2045,5612976,2045
714,1,6,2046,5893560,2046
715,1,6,2047,6188400,2047
716,1,6,2048,6497820,2048
717,1,6,2049,6822792,2049
718,1,6,2050,7163964,2050
719,1,6,2051,7522308,2051
720,1,6,2052,7898472,2052
721,1,6,2053,8293428,2053
722,1,6,2054,8708148,2054
723,1,6,2055,9143604,2055
724,1,6,3050,7163964,3050
725,1,6,3051,7522308,3051
726,1,6,3052,7898472,3052
727,1,6,3053,8293428,3053
728,1,6,3054,8708148,3054
729,1,6,3055,9143604,3055
730,1,6,3056,9600768,3056
731,1,6,3057,10080936,3057
732,1,6,3058,10585080,3058
733,1,6,3059,11114496,3059
734,1,6,3060,11670156,3060
735,1,6,4055,9143604,4055
736,1,6,4056,9600768,4056
737,1,6,4057,10080936,4057
738,1,6,4058,10585080,4058
739,1,6,4059,11114496,4059
740,1,6,4060,11670156,4060
741,1,6,4061,12253680,4061
742,1,6,4062,12866364,4062
743,1,6,4063,13509828,4063
744,1,6,4064,14185368,4064
745,1,6,4065,14894604,4065
746,1,6,5060,11670156,5060
747,1,6,5061,12253680,5061
748,1,6,5062,12866364,5062
749,1,6,5063,13509828,5063
750,1,6,5064,14185368,5064
751,1,6,5065,14894604,5065
752,1,6,5066,15639480,5066
753,1,6,5067,16421616,5067
754,1,6,5068,17242632,5068
755,1,6,5069,18104796,5069
756,1,6,5070,19010052,5070
757,1,6,6065,14894604,6065
758,1,6,6066,15639480,6066
759,1,6,6067,16421616,6067
760,1,6,6068,17242632,6068
761,1,6,6069,18104796,6069
762,1,6,6070,19010052,6070
763,1,6,6071,19960668,6071
764,1,6,6072,20958588,6072
765,1,6,6073,22006404,6073
766,1,6,6074,23106708,6074
767,1,6,6075,24262092,6075
768,1,6,7070,19010052,7070
769,1,6,7071,19960668,7071
770,1,6,7072,20958588,7072
771,1,6,7073,22006404,7073
772,1,6,7074,23106708,7074
773,1,6,7075,24262092,7075
774,1,6,7076,25475148,7076
775,1,6,7077,26748792,7077
776,1,6,7078,28086264,7078
777,1,6,7079,29490480,7079
778,1,6,7080,30965004,7080
779,1,6,8075,24262092,8075
780,1,6,8076,25475148,8076
781,1,6,8077,26748792,8077
782,1,6,8078,28086264,8078
783,1,6,8079,29490480,8079
784,1,6,8080,30965004,8080
785,1,6,8081,32513400,8081
786,1,6,8082,34139232,8082
787,1,6,8083,35846064,8083
788,1,6,8084,37638432,8084
789,1,6,8085,39520224,8085
790,1,6,9080,30965004,9080
791,1,6,9081,32513400,9081
792,1,6,9082,34139232,9082
793,1,6,9083,35846064,9083
794,1,6,9084,37638432,9084
795,1,6,9085,39520224,9085
796,1,6,9086,41496300,9086
797,1,6,9087,43571196,9087
798,1,6,9088,45749772,9088
799,1,6,9089,48037212,9089
800,1,6,9090,50439024,9090
801,1,6,10085,39520224,10085
802,1,6,10086,41496300,10086
803,1,6,10087,43571196,10087
804,1,6,10088,45749772,10088
805,1,6,10089,48037212,10089
806,1,6,10090,50439024,10090
807,1,6,10091,52961040,10091
808,1,6,10092,55609092,10092
809,1,6,10093,58389660,10093
810,1,6,10094,61309224,10094
811,1,6,10095,64374588,10095
812,1,6,11090,50439024,11090
813,1,6,11091,52961040,11091
814,1,6,11092,55609092,11092
815,1,6,11093,58389660,11093
816,1,6,11094,61309224,11094
817,1,6,11095,64374588,11095
818,1,6,11096,67593204,11096
819,1,6,11097,70972848,11097
820,1,6,11098,74521620,11098
821,1,6,11099,78247620,11099
822,1,6,11100,82159920,11100
823,1,7,30,33750,30
824,1,7,31,36038,31
825,1,7,32,38400,32
826,1,7,33,40838,33
827,1,7,34,43350,34
828,1,7,35,45938,35
829,1,7,36,48600,36
830,1,7,37,51338,37
831,1,7,38,54150,38
832,1,7,39,57038,39
833,1,7,40,60000,40
834,1,7,41,63038,41
835,1,7,42,66150,42
836,1,7,43,69338,43
837,1,7,44,72600,44
838,1,7,45,75938,45
839,1,7,1040,60000,1040
840,1,7,1041,63038,1041
841,1,7,1042,66150,1042
842,1,7,1043,69338,1043
843,1,7,1044,72600,1044
844,1,7,1045,75938,1045
845,1,7,1046,79350,1046
846,1,7,1047,82838,1047
847,1,7,1048,86400,1048
848,1,7,1049,90038,1049
849,1,7,1050,93750,1050
850,1,7,2045,75938,2045
851,1,7,2046,79350,2046
852,1,7,2047,82838,2047
853,1,7,2048,86400,2048
854,1,7,2049,90038,2049
855,1,7,2050,93750,2050
856,1,7,2051,97538,2051
857,1,7,2052,101400,2052
858,1,7,2053,105338,2053
859,1,7,2054,109350,2054
860,1,7,2055,113438,2055
861,1,7,3050,93750,3050
862,1,7,3051,97538,3051
863,1,7,3052,101400,3052
864,1,7,3053,105338,3053
865,1,7,3054,109350,3054
866,1,7,3055,113438,3055
867,1,7,3056,117600,3056
868,1,7,3057,121838,3057
869,1,7,3058,126150,3058
870,1,7,3059,130538,3059
871,1,7,3060,135000,3060
872,1,7,4055,113438,4055
873,1,7,4056,117600,4056
874,1,7,4057,121838,4057
875,1,7,4058,126150,4058
876,1,7,4059,130538,4059
877,1,7,4060,135000,4060
878,1,7,4061,139538,4061
879,1,7,4062,144150,4062
880,1,7,4063,148838,4063
881,1,7,4064,153600,4064
882,1,7,4065,158438,4065
883,1,7,5060,135000,5060
884,1,7,5061,139538,5061
885,1,7,5062,144150,5062
886,1,7,5063,148838,5063
887,1,7,5064,153600,5064
888,1,7,5065,158438,5065
889,1,7,5066,163350,5066
890,1,7,5067,168338,5067
891,1,7,5068,173400,5068
892,1,7,5069,178538,5069
893,1,7,5070,183750,5070
894,1,7,6065,158438,6065
895,1,7,6066,163350,6066
896,1,7,6067,168338,6067
897,1,7,6068,173400,6068
898,1,7,6069,178538,6069
899,1,7,6070,183750,6070
900,1,7,6071,189038,6071
901,1,7,6072,194400,6072
