id,rank,number,levelmin,levelmax,vipmin,vipmax
147,4,15,3056,4055,2,4
148,4,20,3056,4055,5,7
149,4,30,3056,4055,8,11
150,4,30,3056,4055,12,15
151,4,20,4056,5060,0,5
152,4,32,4056,5060,6,9
153,4,40,4056,5060,10,15
154,4,30,5061,5065,0,5
155,4,48,5061,5065,6,9
156,4,60,5061,5065,10,15
157,4,40,5066,5070,0,5
158,4,64,5066,5070,6,9
159,4,80,5066,5070,10,15
160,4,50,6065,6070,0,5
161,4,80,6065,6070,6,9
162,4,100,6065,6070,10,15
163,4,60,6071,6075,0,5
164,4,96,6071,6075,6,9
165,4,120,6071,6075,10,15
166,4,70,7070,7075,0,5
167,4,112,7070,7075,6,9
168,4,140,7070,7075,10,15
169,4,80,7076,7080,0,5
170,4,128,7076,7080,6,9
171,4,160,7076,7080,10,15
172,4,90,8075,8080,0,5
173,4,144,8075,8080,6,9
174,4,180,8075,8080,10,15
175,4,100,8081,8085,0,5
176,4,160,8081,8085,6,9
177,4,200,8081,8085,10,15
178,4,110,9080,9085,0,5
179,4,176,9080,9085,6,9
180,4,220,9080,9085,10,15
181,4,120,9086,9090,0,5
182,4,192,9086,9090,6,9
183,4,240,9086,9090,10,15
184,4,125,10085,10090,0,5
185,4,200,10085,10090,6,9
186,4,250,10085,10090,10,15
187,4,130,10091,10095,0,5
188,4,208,10091,10095,6,9
189,4,260,10091,10095,10,15
190,4,135,11090,11095,0,5
191,4,216,11090,11095,6,9
192,4,270,11090,11095,10,15
193,4,140,11096,110100,0,5
194,4,224,11096,110100,6,9
195,4,280,11096,110100,10,15
196,5,0,0,1045,0,1
197,5,0,0,1045,2,4
198,5,20,0,1045,5,7
199,5,30,0,1045,8,11
200,5,40,0,1045,12,15
201,5,10,1046,2050,0,1
202,5,20,1046,2050,2,4
203,5,30,1046,2050,5,7
204,5,40,1046,2050,8,11
205,5,50,1046,2050,12,15
206,5,20,2051,3055,0,1
207,5,30,2051,3055,2,4
208,5,40,2051,3055,5,7
209,5,50,2051,3055,8,11
210,5,60,2051,3055,12,15
211,5,20,3056,4055,0,1
212,5,30,3056,4055,2,4
213,5,40,3056,4055,5,7
214,5,50,3056,4055,8,11
215,5,70,3056,4055,12,15
216,5,18,4056,5060,0,5
217,5,70,4056,5060,6,9
218,5,80,4056,5060,10,15
219,5,26,5061,5065,0,5
220,5,85,5061,5065,6,9
221,5,110,5061,5065,10,15
222,5,34,5066,5070,0,5
223,5,100,5066,5070,6,9
224,5,140,5066,5070,10,15
225,5,42,6065,6070,0,5
226,5,115,6065,6070,6,9
227,5,170,6065,6070,10,15
228,5,50,6071,6075,0,5
229,5,130,6071,6075,6,9
230,5,200,6071,6075,10,15
231,5,58,7070,7075,0,5
232,5,145,7070,7075,6,9
233,5,230,7070,7075,10,15
234,5,66,7076,7080,0,5
235,5,160,7076,7080,6,9
236,5,260,7076,7080,10,15
237,5,74,8075,8080,0,5
238,5,175,8075,8080,6,9
239,5,290,8075,8080,10,15
240,5,82,8081,8085,0,5
241,5,190,8081,8085,6,9
242,5,320,8081,8085,10,15
243,5,90,9080,9085,0,5
244,5,205,9080,9085,6,9
245,5,350,9080,9085,10,15
246,5,98,9086,9090,0,5
247,5,220,9086,9090,6,9
248,5,380,9086,9090,10,15
249,5,106,10085,10090,0,5
250,5,235,10085,10090,6,9
251,5,410,10085,10090,10,15
252,5,114,10091,10095,0,5
253,5,250,10091,10095,6,9
254,5,440,10091,10095,10,15
255,5,122,11090,11095,0,5
256,5,265,11090,11095,6,9
257,5,470,11090,11095,10,15
258,5,130,11096,110100,0,5
259,5,280,11096,110100,6,9
260,5,500,11096,110100,10,15
261,6,0,0,1045,0,1
262,6,0,0,1045,2,4
263,6,0,0,1045,5,7
264,6,0,0,1045,8,11
265,6,0,0,1045,12,15
266,6,0,1046,2050,0,1
267,6,0,1046,2050,2,4
268,6,0,1046,2050,5,7
269,6,0,1046,2050,8,11
270,6,0,1046,2050,12,15
271,6,5,2051,3055,0,1
272,6,7,2051,3055,2,4
273,6,10,2051,3055,5,7
274,6,15,2051,3055,8,11
275,6,20,2051,3055,12,15
276,6,10,3056,4055,0,1
277,6,15,3056,4055,2,4
278,6,20,3056,4055,5,7
279,6,30,3056,4055,8,11
280,6,40,3056,4055,12,15
281,6,35,4056,5060,0,5
282,6,49,4056,5060,6,9
283,6,70,4056,5060,10,15
284,6,50,5061,5065,0,5
285,6,70,5061,5065,6,9
286,6,100,5061,5065,10,15
287,6,65,5066,5070,0,5
288,6,91,5066,5070,6,9
289,6,130,5066,5070,10,15
290,6,80,6065,6070,0,5
291,6,112,6065,6070,6,9
292,6,160,6065,6070,10,15
293,6,90,6071,6075,0,5
294,6,126,6071,6075,6,9
295,6,180,6071,6075,10,15
296,6,95,7070,7075,0,5
297,6,133,7070,7075,6,9
298,6,190,7070,7075,10,15
299,6,100,7076,7080,0,5
300,6,140,7076,7080,6,9
301,6,200,7076,7080,10,15
302,6,105,8075,8080,0,5
303,6,147,8075,8080,6,9
304,6,210,8075,8080,10,15
305,6,110,8081,8085,0,5
306,6,154,8081,8085,6,9
307,6,220,8081,8085,10,15
308,6,115,9080,9085,0,5
309,6,161,9080,9085,6,9
310,6,230,9080,9085,10,15
311,6,120,9086,9090,0,5
312,6,168,9086,9090,6,9
313,6,240,9086,9090,10,15
314,6,125,10085,10090,0,5
315,6,175,10085,10090,6,9
316,6,250,10085,10090,10,15
317,6,130,10091,10095,0,5
318,6,182,10091,10095,6,9
319,6,260,10091,10095,10,15
320,6,135,11090,11095,0,5
321,6,189,11090,11095,6,9
322,6,270,11090,11095,10,15
323,6,140,11096,110100,0,5
324,6,200,11096,110100,6,9
325,6,280,11096,110100,10,15
326,7,25,0,1045,0,1
327,7,30,0,1045,2,4
328,7,40,0,1045,5,7
329,7,50,0,1045,8,11
330,7,60,0,1045,12,15
331,7,30,1046,2050,0,1
332,7,35,1046,2050,2,4
333,7,45,1046,2050,5,7
334,7,50,1046,2050,8,11
335,7,60,1046,2050,12,15
336,7,30,2051,3055,0,1
337,7,40,2051,3055,2,4
338,7,45,2051,3055,5,7
339,7,50,2051,3055,8,11
340,7,60,2051,3055,12,15
341,7,35,3056,4055,0,1
342,7,40,3056,4055,2,4
343,7,45,3056,4055,5,7
344,7,55,3056,4055,8,11
345,7,60,3056,4055,12,15
346,7,45,4056,5060,0,5
347,7,55,4056,5060,6,9
348,7,60,4056,5060,10,15
349,7,45,5061,5065,0,5
350,7,60,5061,5065,6,9
351,7,65,5061,5065,10,15
352,7,50,5066,5070,0,5
353,7,60,5066,5070,6,9
354,7,65,5066,5070,10,15
355,7,55,6065,6070,0,5
356,7,60,6065,6070,6,9
357,7,65,6065,6070,10,15
358,7,55,6071,6075,0,5
359,7,65,6071,6075,6,9
360,7,70,6071,6075,10,15
361,7,55,7070,7075,0,5
362,7,65,7070,7075,6,9
363,7,75,7070,7075,10,15
364,7,55,7076,7080,0,5
365,7,70,7076,7080,6,9
366,7,75,7076,7080,10,15
367,7,60,8075,8080,0,5
368,7,70,8075,8080,6,9
369,7,80,8075,8080,10,15
370,7,60,8081,8085,0,5
371,7,75,8081,8085,6,9
372,7,85,8081,8085,10,15
373,7,65,9080,9085,0,5
374,7,80,9080,9085,6,9
375,7,90,9080,9085,10,15
376,7,65,9086,9090,0,5
377,7,85,9086,9090,6,9
378,7,95,9086,9090,10,15
379,7,70,10085,10090,0,5
380,7,85,10085,10090,6,9
381,7,10,10085,10090,10,15
382,7,70,10091,10095,0,5
383,7,90,10091,10095,6,9
384,7,105,10091,10095,10,15
385,7,75,11090,11095,0,5
386,7,95,11090,11095,6,9
387,7,110,11090,11095,10,15
388,7,80,11096,110100,0,5
389,7,100,11096,110100,6,9
390,7,119,11096,110100,10,15
391,8,8,0,1045,0,1
392,8,16,0,1045,2,4
393,8,24,0,1045,5,7
394,8,40,0,1045,8,11
395,8,80,0,1045,12,15
396,8,12,1046,2050,0,1
397,8,24,1046,2050,2,4
398,8,36,1046,2050,5,7
399,8,60,1046,2050,8,11
400,8,120,1046,2050,12,15
401,8,20,2051,3055,0,1
402,8,30,2051,3055,2,4
403,8,60,2051,3055,5,7
404,8,100,2051,3055,8,11
405,8,200,2051,3055,12,15
406,8,40,3056,4055,0,1
407,8,80,3056,4055,2,4
408,8,120,3056,4055,5,7
409,8,200,3056,4055,8,11
410,8,400,3056,4055,12,15
411,8,72,4056,5060,0,5
412,8,240,4056,5060,6,9
413,8,600,4056,5060,10,15
414,8,96,5061,5065,0,5
415,8,320,5061,5065,6,9
416,8,800,5061,5065,10,15
417,8,120,5066,5070,0,5
418,8,400,5066,5070,6,9
419,8,1000,5066,5070,10,15
420,8,240,6065,6070,0,5
421,8,800,6065,6070,6,9
422,8,2000,6065,6070,10,15
423,8,360,6071,6075,0,5
424,8,1200,6071,6075,6,9
425,8,3000,6071,6075,10,15
426,8,480,7070,7075,0,5
427,8,1600,7070,7075,6,9
428,8,4000,7070,7075,10,15
429,8,600,7076,7080,0,5
430,8,2000,7076,7080,6,9
431,8,5000,7076,7080,10,15
432,8,900,8075,8080,0,5
433,8,3000,8075,8080,6,9
434,8,7500,8075,8080,10,15
435,8,1200,8081,8085,0,5
436,8,4000,8081,8085,6,9
437,8,10000,8081,8085,10,15
438,8,1500,9080,9085,0,5
439,8,5000,9080,9085,6,9
440,8,12500,9080,9085,10,15
441,8,1800,9086,9090,0,5
442,8,6000,9086,9090,6,9
443,8,15000,9086,9090,10,15
444,8,2100,10085,10090,0,5
445,8,7000,10085,10090,6,9
446,8,17500,10085,10090,10,15
447,8,2400,10091,10095,0,5
448,8,8000,10091,10095,6,9
449,8,20000,10091,10095,10,15
450,8,2700,11090,11095,0,5
451,8,9000,11090,11095,6,9
452,8,22500,11090,11095,10,15
453,8,3000,11096,110100,0,5
454,8,10000,11096,110100,6,9
455,8,25000,11096,110100,10,15
456,9,8,0,1045,0,1
457,9,10,0,1045,2,4
458,9,12,0,1045,5,7
459,9,15,0,1045,8,11
460,9,20,0,1045,12,15
461,9,15,1046,2050,0,1
462,9,19,1046,2050,2,4
463,9,23,1046,2050,5,7
464,9,27,1046,2050,8,11
465,9,30,1046,2050,12,15
466,9,20,2051,3055,0,1
467,9,25,2051,3055,2,4
468,9,30,2051,3055,5,7
469,9,40,2051,3055,8,11
470,9,50,2051,3055,12,15
471,9,30,3056,4055,0,1
472,9,40,3056,4055,2,4
473,9,50,3056,4055,5,7
474,9,60,3056,4055,8,11
475,9,70,3056,4055,12,15
476,9,50,4056,5060,0,5
477,9,70,4056,5060,6,9
478,9,90,4056,5060,10,15
479,9,60,5061,5065,0,5
480,9,80,5061,5065,6,9
481,9,100,5061,5065,10,15
482,9,65,5066,5070,0,5
483,9,90,5066,5070,6,9
484,9,110,5066,5070,10,15
485,9,70,6065,6070,0,5
486,9,95,6065,6070,6,9
487,9,120,6065,6070,10,15
488,9,75,6071,6075,0,5
489,9,100,6071,6075,6,9
490,9,130,6071,6075,10,15
491,9,80,7070,7075,0,5
492,9,105,7070,7075,6,9
493,9,140,7070,7075,10,15
494,9,85,7076,7080,0,5
495,9,110,7076,7080,6,9
496,9,150,7076,7080,10,15
497,9,90,8075,8080,0,5
498,9,115,8075,8080,6,9
499,9,160,8075,8080,10,15
500,9,95,8081,8085,0,5
501,9,120,8081,8085,6,9
502,9,170,8081,8085,10,15
503,9,97,9080,9085,0,5
504,9,123,9080,9085,6,9
505,9,175,9080,9085,10,15
506,9,99,9086,9090,0,5
507,9,126,9086,9090,6,9
508,9,180,9086,9090,10,15
509,9,101,10085,10090,0,5
510,9,129,10085,10090,6,9
511,9,185,10085,10090,10,15
512,9,103,10091,10095,0,5
513,9,132,10091,10095,6,9
514,9,190,10091,10095,10,15
515,9,105,11090,11095,0,5
516,9,135,11090,11095,6,9
517,9,195,11090,11095,10,15
518,9,107,11096,110100,0,5
519,9,138,11096,110100,6,9
520,9,200,11096,110100,10,15
521,10,5,0,1045,0,1
522,10,10,0,1045,2,4
523,10,15,0,1045,5,7
524,10,30,0,1045,8,11
525,10,60,0,1045,12,15
526,10,10,1046,2050,0,1
527,10,15,1046,2050,2,4
528,10,25,1046,2050,5,7
529,10,40,1046,2050,8,11
530,10,70,1046,2050,12,15
531,10,15,2051,3055,0,1
532,10,20,2051,3055,2,4
533,10,30,2051,3055,5,7
534,10,50,2051,3055,8,11
535,10,80,2051,3055,12,15
536,10,20,3056,4055,0,1
537,10,25,3056,4055,2,4
538,10,30,3056,4055,5,7
539,10,60,3056,4055,8,11
540,10,90,3056,4055,12,15
541,10,50,4056,5060,0,5
542,10,110,4056,5060,6,9
543,10,100,4056,5060,10,15
544,10,55,5061,5065,0,5
545,10,115,5061,5065,6,9
546,10,110,5061,5065,10,15
547,10,60,5066,5070,0,5
548,10,120,5066,5070,6,9
549,10,120,5066,5070,10,15
550,10,65,6065,6070,0,5
551,10,125,6065,6070,6,9
552,10,130,6065,6070,10,15
553,10,70,6071,6075,0,5
554,10,130,6071,6075,6,9
555,10,140,6071,6075,10,15
556,10,75,7070,7075,0,5
557,10,135,7070,7075,6,9
558,10,150,7070,7075,10,15
559,10,80,7076,7080,0,5
560,10,140,7076,7080,6,9
561,10,168,7076,7080,10,15
562,10,85,8075,8080,0,5
563,10,145,8075,8080,6,9
564,10,170,8075,8080,10,15
565,10,90,8081,8085,0,5
566,10,150,8081,8085,6,9
567,10,189,8081,8085,10,15
568,10,95,9080,9085,0,5
569,10,155,9080,9085,6,9
570,10,200,9080,9085,10,15
571,10,100,9086,9090,0,5
572,10,160,9086,9090,6,9
573,10,210,9086,9090,10,15
574,10,105,10085,10090,0,5
575,10,165,10085,10090,6,9
576,10,220,10085,10090,10,15
577,10,110,10091,10095,0,5
578,10,170,10091,10095,6,9
579,10,231,10091,10095,10,15
580,10,115,11090,11095,0,5
581,10,175,11090,11095,6,9
582,10,241,11090,11095,10,15
583,10,120,11096,110100,0,5
584,10,180,11096,110100,6,9
585,10,252,11096,110100,10,15
586,11,31,0,1045,0,1
587,11,31,0,1045,2,4
588,11,37,0,1045,5,7
589,11,40,0,1045,8,11
590,11,40,0,1045,12,15
591,11,51,1046,2050,0,1
592,11,51,1046,2050,2,4
593,11,57,1046,2050,5,7
594,11,70,1046,2050,8,11
595,11,70,1046,2050,12,15
596,11,56,2051,3055,0,1
597,11,56,2051,3055,2,4
598,11,57,2051,3055,5,7
599,11,90,2051,3055,8,11
600,11,90,2051,3055,12,15
601,11,64,3056,4055,0,1
602,11,64,3056,4055,2,4
603,11,70,3056,4055,5,7
604,11,90,3056,4055,8,11
605,11,110,3056,4055,12,15
606,11,71,4056,5060,0,5
607,11,101,4056,5060,6,9
608,11,130,4056,5060,10,15
609,11,80,5061,5065,0,5
610,11,101,5061,5065,6,9
611,11,140,5061,5065,10,15
612,11,86,5066,5070,0,5
613,11,116,5066,5070,6,9
614,11,150,5066,5070,10,15
615,11,90,6065,6070,0,5
616,11,130,6065,6070,6,9
617,11,160,6065,6070,10,15
618,11,97,6071,6075,0,5
619,11,140,6071,6075,6,9
620,11,180,6071,6075,10,15
621,11,108,7070,7075,0,5
622,11,150,7070,7075,6,9
623,11,190,7070,7075,10,15
624,11,115,7076,7080,0,5
625,11,160,7076,7080,6,9
626,11,200,7076,7080,10,15
627,11,124,8075,8080,0,5
628,11,170,8075,8080,6,9
629,11,210,8075,8080,10,15
630,11,131,8081,8085,0,5
631,11,180,8081,8085,6,9
632,11,220,8081,8085,10,15
633,11,179,9080,9085,0,5
634,11,190,9080,9085,6,9
635,11,230,9080,9085,10,15
636,11,187,9086,9090,0,5
637,11,200,9086,9090,6,9
638,11,240,9086,9090,10,15
639,11,195,10085,10090,0,5
640,11,210,10085,10090,6,9
641,11,250,10085,10090,10,15
642,11,209,10091,10095,0,5
643,11,220,10091,10095,6,9
644,11,260,10091,10095,10,15
645,11,218,11090,11095,0,5
646,11,230,11090,11095,6,9
647,11,270,11090,11095,10,15
648,11,238,11096,110100,0,5
649,11,240,11096,110100,6,9
650,11,280,11096,110100,10,15
651,12,0,0,1045,0,1
652,12,0,0,1045,2,4
653,12,0,0,1045,5,7
654,12,0,0,1045,8,11
655,12,0,0,1045,12,15
656,12,12,1046,2050,0,1
657,12,12,1046,2050,2,4
658,12,12,1046,2050,5,7
659,12,16,1046,2050,8,11
660,12,20,1046,2050,12,15
661,12,15,2051,3055,0,1
662,12,15,2051,3055,2,4
663,12,15,2051,3055,5,7
664,12,22,2051,3055,8,11
665,12,30,2051,3055,12,15
666,12,17,3056,4055,0,1
667,12,17,3056,4055,2,4
668,12,17,3056,4055,5,7
669,12,30,3056,4055,8,11
670,12,36,3056,4055,12,15
671,12,20,4056,5060,0,5
672,12,28,4056,5060,6,9
673,12,44,4056,5060,10,15
674,12,30,5061,5065,0,5
675,12,38,5061,5065,6,9
676,12,53,5061,5065,10,15
677,12,35,5066,5070,0,5
678,12,40,5066,5070,6,9
679,12,66,5066,5070,10,15
680,12,39,6065,6070,0,5
681,12,48,6065,6070,6,9
682,12,74,6065,6070,10,15
683,12,46,6071,6075,0,5
684,12,54,6071,6075,6,9
685,12,86,6071,6075,10,15
686,12,50,7070,7075,0,5
687,12,60,7070,7075,6,9
688,12,92,7070,7075,10,15
689,12,56,7076,7080,0,5
690,12,68,7076,7080,6,9
691,12,98,7076,7080,10,15
692,12,62,8075,8080,0,5
693,12,76,8075,8080,6,9
694,12,104,8075,8080,10,15
695,12,68,8081,8085,0,5
696,12,86,8081,8085,6,9
697,12,110,8081,8085,10,15
698,12,72,9080,9085,0,5
699,12,94,9080,9085,6,9
700,12,116,9080,9085,10,15
701,12,76,9086,9090,0,5
702,12,100,9086,9090,6,9
703,12,120,9086,9090,10,15
704,12,80,10085,10090,0,5
705,12,106,10085,10090,6,9
706,12,126,10085,10090,10,15
707,12,84,10091,10095,0,5
708,12,110,10091,10095,6,9
709,12,134,10091,10095,10,15
710,12,88,11090,11095,0,5
711,12,114,11090,11095,6,9
712,12,138,11090,11095,10,15
713,12,92,11096,110100,0,5
714,12,118,11096,110100,6,9
715,12,140,11096,110100,10,15
716,13,0,0,1045,0,1
717,13,0,0,1045,2,4
718,13,0,0,1045,5,7
719,13,0,0,1045,8,11
720,13,0,0,1045,12,15
721,13,0,1046,2050,0,1
722,13,0,1046,2050,2,4
723,13,0,1046,2050,5,7
724,13,1,1046,2050,8,11
725,13,1,1046,2050,12,15
726,13,2,2051,3055,0,1
727,13,2,2051,3055,2,4
728,13,2,2051,3055,5,7
729,13,3,2051,3055,8,11
730,13,3,2051,3055,12,15
731,13,3,3056,4055,0,1
732,13,3,3056,4055,2,4
733,13,3,3056,4055,5,7
734,13,4,3056,4055,8,11
735,13,4,3056,4055,12,15
736,13,5,4056,5060,0,5
737,13,5,4056,5060,6,9
738,13,6,4056,5060,10,15
739,13,6,5061,5065,0,5
740,13,6,5061,5065,6,9
741,13,6,5061,5065,10,15
742,13,6,5066,5070,0,5
743,13,6,5066,5070,6,9
744,13,7,5066,5070,10,15
745,13,7,6065,6070,0,5
746,13,8,6065,6070,6,9
747,13,10,6065,6070,10,15
748,13,8,6071,6075,0,5
749,13,8,6071,6075,6,9
750,13,6,6071,6075,10,15
751,13,9,7070,7075,0,5
752,13,10,7070,7075,6,9
753,13,22,7070,7075,10,15
754,13,10,7076,7080,0,5
755,13,14,7076,7080,6,9
756,13,26,7076,7080,10,15
757,13,12,8075,8080,0,5
758,13,16,8075,8080,6,9
759,13,28,8075,8080,10,15
760,13,14,8081,8085,0,5
761,13,19,8081,8085,6,9
762,13,30,8081,8085,10,15
763,13,16,9080,9085,0,5
764,13,21,9080,9085,6,9
765,13,32,9080,9085,10,15
766,13,18,9086,9090,0,5
767,13,25,9086,9090,6,9
768,13,34,9086,9090,10,15
769,13,20,10085,10090,0,5
770,13,24,10085,10090,6,9
771,13,36,10085,10090,10,15
772,13,22,10091,10095,0,5
773,13,26,10091,10095,6,9
774,13,38,10091,10095,10,15
775,13,24,11090,11095,0,5
776,13,28,11090,11095,6,9
777,13,39,11090,11095,10,15
778,13,25,11096,110100,0,5
779,13,30,11096,110100,6,9
780,13,40,11096,110100,10,15
781,14,0,0,1045,0,1
782,14,0,0,1045,2,4
783,14,0,0,1045,5,7
784,14,0,0,1045,8,11
785,14,0,0,1045,12,15
786,14,0,1046,2050,0,1
787,14,0,1046,2050,2,4
788,14,0,1046,2050,5,7
789,14,0,1046,2050,8,11
790,14,0,1046,2050,12,15
791,14,6,2051,3055,0,1
792,14,7,2051,3055,2,4
793,14,9,2051,3055,5,7
794,14,12,2051,3055,8,11
795,14,15,2051,3055,12,15
796,14,9,3056,4055,0,1
797,14,9,3056,4055,2,4
798,14,10,3056,4055,5,7
799,14,9,3056,4055,8,11
800,14,21,3056,4055,12,15
801,14,12,4056,5060,0,5
802,14,19,4056,5060,6,9
803,14,27,4056,5060,10,15
804,14,16,5061,5065,0,5
805,14,22,5061,5065,6,9
806,14,32,5061,5065,10,15
807,14,19,5066,5070,0,5
808,14,26,5066,5070,6,9
809,14,36,5066,5070,10,15
810,14,23,6065,6070,0,5
811,14,29,6065,6070,6,9
812,14,39,6065,6070,10,15
813,14,28,6071,6075,0,5
814,14,36,6071,6075,6,9
815,14,45,6071,6075,10,15
816,14,31,7070,7075,0,5
817,14,39,7070,7075,6,9
818,14,50,7070,7075,10,15
819,14,38,7076,7080,0,5
820,14,45,7076,7080,6,9
821,14,56,7076,7080,10,15
822,14,41,8075,8080,0,5
823,14,49,8075,8080,6,9
824,14,61,8075,8080,10,15
825,14,46,8081,8085,0,5
826,14,54,8081,8085,6,9
827,14,66,8081,8085,10,15
828,14,49,9080,9085,0,5
829,14,58,9080,9085,6,9
830,14,69,9080,9085,10,15
831,14,54,9086,9090,0,5
832,14,63,9086,9090,6,9
833,14,74,9086,9090,10,15
834,14,58,10085,10090,0,5
835,14,68,10085,10090,6,9
836,14,79,10085,10090,10,15
837,14,61,10091,10095,0,5
838,14,71,10091,10095,6,9
839,14,83,10091,10095,10,15
840,14,63,11090,11095,0,5
841,14,75,11090,11095,6,9
842,14,87,11090,11095,10,15
843,14,66,11096,110100,0,5
844,14,78,11096,110100,6,9
845,14,100,11096,110100,10,15
846,15,144,0,1045,0,1
847,15,204,0,1045,2,4
848,15,276,0,1045,5,7
849,15,360,0,1045,8,11
850,15,456,0,1045,12,15
851,15,204,1046,2050,0,1
852,15,276,1046,2050,2,4
853,15,360,1046,2050,5,7
854,15,456,1046,2050,8,11
855,15,564,1046,2050,12,15
856,15,360,2051,3055,0,1
857,15,456,2051,3055,2,4
858,15,564,2051,3055,5,7
859,15,684,2051,3055,8,11
860,15,816,2051,3055,12,15
861,15,456,3056,4055,0,1
862,15,564,3056,4055,2,4
863,15,684,3056,4055,5,7
864,15,816,3056,4055,8,11
865,15,960,3056,4055,12,15
866,15,564,4056,5060,0,5
867,15,816,4056,5060,6,9
868,15,1116,4056,5060,10,15
869,15,664,5061,5065,0,5
870,15,916,5061,5065,6,9
871,15,1216,5061,5065,10,15
872,15,764,5066,5070,0,5
873,15,1016,5066,5070,6,9
