id,type,objectid,number,bind
260,17015,215513001,500,2
261,17016,215513001,500,2
262,17017,215513001,500,2
263,17018,215513001,500,2
264,17019,215513001,500,2
265,17020,215513001,500,2
266,64,215513001,500,2
267,17022,215513001,500,2
268,17023,215513001,500,2
269,17024,215513001,500,2
270,17025,215513001,500,2
271,17026,215513001,500,2
272,17027,215513001,500,2
273,17028,215513001,500,2
274,65,215513001,500,2
275,71,215513001,400,2
276,18002,215513001,400,2
277,18003,215513001,500,2
278,18004,215513001,500,2
279,18005,215513001,500,2
280,72,215513001,500,2
281,18007,215513001,500,2
282,18008,215513001,500,2
283,18009,215513001,500,2
284,73,215513001,500,2
285,18011,215513001,500,2
286,18012,215513001,500,2
287,18013,215513001,500,2
288,18014,215513001,500,2
289,18015,215513001,500,2
290,18016,215513001,500,2
291,18017,215513001,500,2
292,18018,215513001,500,2
293,18019,215513001,500,2
294,18020,215513001,500,2
295,74,215513001,500,2
296,18022,215513001,500,2
297,18023,215513001,500,2
298,18024,215513001,500,2
299,18025,215513001,500,2
300,18026,215513001,500,2
301,18027,215513001,500,2
302,18028,215513001,500,2
303,18029,215513001,500,2
304,18030,215513001,500,2
305,18031,215513001,500,2
306,75,215513001,500,2
307,81,215513001,400,2
308,19002,215513001,500,2
309,82,215513001,500,2
310,19004,215513001,500,2
311,83,215513001,500,2
312,19006,215513001,500,2
313,19007,215513001,500,2
314,84,215513001,500,2
315,19009,215513001,500,2
316,19010,215513001,500,2
317,19011,215513001,500,2
318,19012,215513001,500,2
319,19013,215513001,500,2
320,85,215513001,500,2
321,21001,215513001,100,2
322,21002,215513001,200,2
323,21003,215513001,400,2
324,21004,215513001,400,2
325,21005,215513001,500,2
326,21006,215513001,500,2
327,21007,215513001,500,2
328,21008,215513001,500,2
329,21009,215513001,500,2
330,21010,215513001,500,2
331,21011,215513001,500,2
332,21012,215513001,500,2
333,21013,215513001,500,2
334,21014,215513001,500,2
335,21015,215513001,500,2
336,21016,215513001,500,2
337,22001,215513001,100,2
338,22002,215513001,200,2
339,22003,215513001,400,2
340,22004,215513001,400,2
341,22005,215513001,500,2
342,22006,215513001,500,2
343,22007,215513001,500,2
344,22008,215513001,500,2
345,22009,215513001,500,2
346,22010,215513001,500,2
347,22011,215513001,500,2
348,22012,215513001,500,2
349,22013,215513001,500,2
350,22014,215513001,500,2
351,22015,215513001,500,2
352,22016,215513001,500,2
353,22017,215513001,500,2
354,22018,215513001,500,2
355,23001,215513001,100,2
356,23002,215513001,200,2
357,23003,215513001,400,2
358,23004,215513001,400,2
359,23005,215513001,500,2
360,23006,215513001,500,2
361,23007,215513001,500,2
362,23008,215513001,500,2
363,23009,215513001,500,2
364,23010,215513001,500,2
365,23011,215513001,500,2
366,23012,215513001,500,2
367,23013,215513001,500,2
368,23014,215513001,500,2
369,23015,215513001,500,2
370,23016,215513001,500,2
371,23017,215513001,500,2
372,23018,215513001,500,2
373,23019,215513001,500,2
374,23020,215513001,500,2
375,24001,215513001,100,2
376,24002,215513001,400,2
377,24003,215513001,500,2
378,24004,215513001,500,2
379,24005,215513001,500,2
380,24006,215513001,500,2
381,24007,215513001,500,2
382,24008,215513001,500,2
383,24009,215513001,500,2
384,24010,215513001,500,2
385,24011,215513001,500,2
386,24012,215513001,500,2
387,24013,215513001,500,2
388,24014,215513001,500,2
389,24015,215513001,500,2
390,24016,215513001,500,2
391,24017,215513001,500,2
392,24018,215513001,500,2
393,24019,215513001,500,2
394,24020,215513001,500,2
395,25001,215513001,100,2
396,25002,215513001,100,2
397,25003,215513001,100,2
398,25004,215513001,400,2
399,25005,215513001,400,2
400,25006,215513001,500,2
401,25007,215513001,500,2
402,25008,215513001,500,2
403,25009,215513001,500,2
404,25010,215513001,500,2
405,25011,215513001,500,2
406,25012,215513001,500,2
407,25013,215513001,500,2
408,25014,215513001,500,2
409,25015,215513001,500,2
410,25016,215513001,500,2
411,25017,215513001,500,2
412,25018,215513001,500,2
413,25019,215513001,500,2
414,25020,215513001,500,2
415,26001,215513001,100,2
416,26002,215513001,200,2
417,26003,215513001,400,2
418,26004,215513001,400,2
419,26005,215513001,500,2
420,26006,215513001,500,2
421,26007,215513001,500,2
422,26008,215513001,500,2
423,26009,215513001,500,2
424,26010,215513001,500,2
425,26011,215513001,500,2
426,26012,215513001,500,2
427,26013,215513001,500,2
428,26014,215513001,500,2
429,26015,215513001,500,2
430,26016,215513001,500,2
431,26017,215513001,500,2
432,26018,215513001,500,2
433,26019,215513001,500,2
434,26020,215513001,500,2
435,27001,215513001,100,2
436,27002,215513001,100,2
437,27003,215513001,100,2
438,27004,215513001,200,2
439,27005,215513001,300,2
440,27006,215513001,400,2
441,27007,215513001,400,2
442,141,215513001,500,2
443,27009,215513001,500,2
444,27010,215513001,500,2
445,27011,215513001,500,2
446,27012,215513001,500,2
447,27013,215513001,500,2
448,142,215513001,500,2
449,27015,215513001,500,2
450,27016,215513001,500,2
451,27017,215513001,500,2
452,27018,215513001,500,2
453,143,215513001,500,2
454,144,215513001,500,2
455,145,215513001,500,2
456,28001,215513001,100,2
457,28002,215513001,400,2
458,28003,215513001,500,2
459,28004,215513001,500,2
460,28005,215513001,500,2
461,28006,215513001,500,2
462,28007,215513001,500,2
463,28008,215513001,500,2
464,28009,215513001,500,2
465,28010,215513001,500,2
466,28011,215513001,500,2
467,28012,215513001,500,2
468,28013,215513001,500,2
469,28014,215513001,500,2
470,28015,215513001,500,2
471,28016,215513001,500,2
472,28017,215513001,500,2
473,28018,215513001,500,2
474,28019,215513001,500,2
475,28020,215513001,500,2
476,28021,215513001,500,2
477,28022,215513001,500,2
478,29001,215513001,100,2
479,29001,195402001,10,1
480,29002,215513001,400,2
481,29003,215513001,500,2
482,29004,215513001,500,2
483,29005,215513001,500,2
484,29006,215513001,500,2
485,29007,215513001,500,2
486,29008,215513001,500,2
487,29009,215513001,500,2
488,29010,215513001,500,2
489,29011,215513001,500,2
490,29012,215513001,500,2
491,29013,215513001,500,2
492,29014,215513001,500,2
493,29015,215513001,500,2
494,29016,215513001,500,2
495,29017,215513001,500,2
496,29018,215513001,500,2
497,29019,215513001,500,2
498,29020,215513001,500,2
499,29021,215513001,500,2
500,29022,215513001,500,2
501,30001,215513001,200,2
502,30001,195402001,10,1
503,30002,215513001,400,2
504,30002,182353001,1,1
505,30003,215513001,400,2
506,30004,215513001,500,2
507,30005,215513001,500,2
508,30006,215513001,500,2
509,30007,215513001,500,2
510,30008,215513001,500,2
511,30009,215513001,500,2
512,30010,215513001,500,2
513,30011,215513001,500,2
514,30012,215513001,500,2
515,30013,215513001,500,2
516,30014,215513001,500,2
517,30015,215513001,500,2
518,30016,215513001,500,2
519,30017,215513001,500,2
520,30018,215513001,500,2
521,30019,215513001,500,2
522,30020,215513001,500,2
523,30021,215513001,500,2
524,31001,215513001,100,2
525,31002,215513001,400,2
526,31003,215513001,500,2
527,31004,215513001,500,2
528,31005,215513001,500,2
529,31006,215513001,500,2
530,31007,215513001,500,2
531,31008,215513001,500,2
532,31009,215513001,500,2
533,31010,215513001,500,2
534,31011,215513001,500,2
535,31012,215513001,500,2
536,31013,215513001,500,2
537,31014,215513001,500,2
538,31015,215513001,500,2
539,31016,215513001,500,2
540,31017,215513001,500,2
541,31018,215513001,500,2
542,31019,215513001,500,2
543,31020,215513001,500,2
544,33001,215513001,200,2
545,33002,215513001,400,2
546,33003,215513001,500,2
547,33004,215513001,500,2
548,33005,215513001,500,2
549,33006,215513001,500,2
550,33007,215513001,500,2
551,33008,215513001,500,2
552,33009,215513001,500,2
553,33010,215513001,500,2
554,33011,215513001,500,2
555,33012,215513001,500,2
556,33013,215513001,500,2
557,33014,215513001,500,2
558,33015,215513001,500,2
559,33016,215513001,500,2
560,33017,215513001,500,2
561,33018,215513001,500,2
562,33019,215513001,500,2
563,33020,215513001,500,2
564,34001,215513001,200,2
565,34002,215513001,400,2
566,34003,215513001,500,2
567,34004,215513001,500,2
568,34005,215513001,500,2
569,34006,215513001,500,2
570,34007,215513001,500,2
571,34008,215513001,500,2
572,34009,215513001,500,2
573,34010,215513001,500,2
574,34011,215513001,500,2
575,34012,215513001,500,2
576,34013,215513001,500,2
577,34014,215513001,500,2
578,34015,215513001,500,2
579,34016,215513001,500,2
580,34017,215513001,500,2
581,34018,215513001,500,2
582,34019,215513001,500,2
583,34020,215513001,500,2
584,151,215513001,100,2
585,35002,215513001,300,2
586,152,215513001,400,2
587,153,215513001,500,2
588,154,215513001,500,2
589,35006,215513001,500,2
590,35007,215513001,500,2
591,35008,215513001,500,2
592,155,215513001,500,2
593,36001,215513001,300,2
594,36002,215513001,400,2
595,36003,215513001,400,2
596,36004,215513001,500,2
597,36005,215513001,500,2
598,36006,215513001,500,2
599,36007,215513001,500,2
600,36008,215513001,500,2
601,36009,215513001,500,2
602,36010,215513001,500,2
603,36011,215513001,500,2
604,36012,215513001,500,2
605,36013,215513001,500,2
606,36014,215513001,500,2
607,36015,215513001,500,2
608,36016,215513001,500,2
609,36017,215513001,500,2
610,36018,215513001,500,2
611,36019,215513001,500,2
612,36020,215513001,500,2
613,36021,215513001,500,2
614,52001,215513001,100,2
615,52002,215513001,200,2
616,52002,195402001,10,1
617,52003,215513001,400,2
618,52004,215513001,400,2
619,52005,215513001,500,2
620,52006,215513001,500,2
621,52007,215513001,500,2
622,52008,215513001,500,2
623,52009,215513001,500,2
624,52010,215513001,500,2
625,52011,215513001,500,2
626,52012,215513001,500,2
627,52013,215513001,500,2
628,52014,215513001,500,2
629,52015,215513001,500,2
630,37001,215513001,100,2
631,37002,215513001,200,2
632,37002,182353001,1,1
633,37003,215513001,400,2
634,37004,215513001,400,2
635,37005,215513001,400,2
636,37006,215513001,500,2
637,37007,215513001,500,2
638,37008,215513001,500,2
639,37009,215513001,500,2
640,37010,215513001,500,2
641,37011,215513001,500,2
642,37012,215513001,500,2
643,37013,215513001,500,2
644,37014,215513001,500,2
645,37015,215513001,500,2
646,37016,215513001,500,2
647,37017,215513001,500,2
648,38001,215513001,100,2
649,38002,215513001,400,2
650,131,215513001,400,2
651,38004,215513001,500,2
652,132,215513001,500,2
653,38006,215513001,500,2
654,38007,215513001,500,2
655,38008,215513001,500,2
656,38009,215513001,500,2
657,38010,215513001,500,2
658,38011,215513001,500,2
659,38012,215513001,500,2
660,133,215513001,500,2
661,38014,215513001,500,2
662,38015,215513001,500,2
663,38016,215513001,500,2
664,38017,215513001,500,2
665,38018,215513001,500,2
666,38019,215513001,500,2
667,134,215513001,500,2
668,38021,215513001,500,2
669,38022,215513001,500,2
670,135,215513001,500,2
671,51001,215513001,100,2
672,51002,215513001,200,2
673,51003,215513001,400,2
674,51004,215513001,400,2
675,51004,195402001,10,1
676,51005,215513001,400,2
677,51006,215513001,500,2
678,51007,215513001,500,2
679,51008,215513001,500,2
680,51009,215513001,500,2
681,51010,215513001,500,2
682,51011,215513001,500,2
683,51012,215513001,500,2
684,51013,215513001,500,2
685,39001,215513001,100,2
686,39002,215513001,100,2
687,39003,215513001,400,2
688,39004,215513001,400,2
689,39005,215513001,500,2
690,39006,215513001,500,2
691,39007,215513001,500,2
692,39008,215513001,500,2
693,39009,215513001,500,2
694,39010,215513001,500,2
695,39011,215513001,500,2
696,40001,215513001,100,2
697,40002,215513001,200,2
698,40003,215513001,400,2
699,40004,215513001,400,2
700,40005,215513001,500,2
701,40006,215513001,500,2
702,40007,215513001,500,2
703,40008,215513001,500,2
704,40009,215513001,500,2
705,40010,215513001,500,2
706,40011,215513001,500,2
707,40012,215513001,500,2
708,40013,215513001,500,2
709,40014,215513001,500,2
710,40015,215513001,500,2
711,40016,215513001,500,2
712,40017,215513001,500,2
713,40018,215513001,500,2
714,40019,215513001,500,2
715,40020,215513001,500,2
716,40021,215513001,500,2
717,43001,215513001,500,2
718,43002,215513001,500,2
719,43003,215513001,500,2
720,43004,215513001,500,2
721,43005,215513001,500,2
722,43006,215513001,500,2
723,43007,215513001,500,2
724,43008,215513001,500,2
725,43009,215513001,500,2
726,43010,215513001,500,2
727,43011,215513001,500,2
728,43012,215513001,500,2
729,43013,215513001,500,2
730,43014,215513001,500,2
731,43015,215513001,500,2
732,43016,215513001,500,2
733,43017,215513001,500,2
734,43018,215513001,500,2
735,43019,215513001,500,2
736,43020,215513001,500,2
737,43021,215513001,500,2
738,43022,215513001,500,2
739,43023,215513001,500,2
740,44001,215513001,100,2
741,44002,215513001,100,2
742,44003,215513001,100,2
743,44004,215513001,500,2
744,44005,215513001,500,2
745,44006,215513001,500,2
746,44007,215513001,500,2
747,44008,215513001,500,2
748,44009,215513001,500,2
749,44010,215513001,500,2
750,44011,215513001,500,2
751,44012,215513001,500,2
752,44013,215513001,500,2
753,44014,215513001,500,2
754,44015,215513001,500,2
755,44016,215513001,500,2
756,44017,215513001,500,2
757,44018,215513001,500,2
758,44019,215513001,500,2
759,44020,215513001,500,2
760,45001,215513001,200,2
761,45002,215513001,300,2
762,45003,215513001,400,2
763,45004,215513001,500,2
764,45005,215513001,500,2
765,45006,215513001,500,2
766,45007,215513001,500,2
767,45008,215513001,500,2
768,45009,215513001,500,2
769,45010,215513001,500,2
770,45011,215513001,500,2
771,45012,215513001,500,2
772,45013,215513001,500,2
773,45014,215513001,500,2
774,45015,215513001,500,2
775,45016,215513001,500,2
776,45017,215513001,500,2
777,45018,215513001,500,2
778,45019,215513001,500,2
779,45020,215513001,500,2
780,46001,215513001,200,2
781,46002,215513001,300,2
782,46003,215513001,400,2
783,46004,215513001,500,2
784,46005,215513001,500,2
785,46006,215513001,500,2
786,46007,215513001,500,2
787,46008,215513001,500,2
788,46009,215513001,500,2
789,46010,215513001,500,2
790,46011,215513001,500,2
791,46012,215513001,500,2
792,46013,215513001,500,2
793,46014,215513001,500,2
794,46015,215513001,500,2
795,46016,215513001,500,2
796,46017,215513001,500,2
797,46018,215513001,500,2
798,46019,215513001,500,2
799,46020,215513001,500,2
800,47001,215513001,100,2
801,47002,215513001,100,2
802,47003,215513001,200,2
803,11,215513001,200,2
804,47005,215513001,400,2
805,47006,215513001,500,2
806,47007,215513001,500,2
807,47008,215513001,500,2
808,47009,215513001,500,2
809,47010,215513001,500,2
810,12,215513001,500,2
811,47012,215513001,500,2
812,47013,215513001,500,2
813,47014,215513001,500,2
814,47015,215513001,500,2
815,47016,215513001,500,2
816,13,215513001,500,2
817,47018,215513001,500,2
818,47019,215513001,500,2
819,47020,215513001,500,2
820,47021,215513001,500,2
821,47022,215513001,500,2
822,14,215513001,500,2
823,15,215513001,500,2
824,48001,215513001,100,2
825,48002,215513001,200,2
826,48003,215513001,300,2
827,48004,215513001,400,2
828,48005,215513001,400,2
829,48006,215513001,500,2
830,48007,215513001,500,2
831,48008,215513001,500,2
832,48009,215513001,500,2
833,48010,215513001,500,2
834,48011,215513001,500,2
835,48012,215513001,500,2
836,48013,215513001,500,2
837,48014,215513001,500,2
838,48015,215513001,500,2
839,48016,215513001,500,2
840,48017,215513001,500,2
841,48018,215513001,500,2
842,48019,215513001,500,2
843,48020,215513001,500,2
844,48021,215513001,500,2
845,48022,215513001,500,2
846,48023,215513001,500,2
847,48024,215513001,500,2
848,49001,215513001,100,2
849,49002,215513001,100,2
850,49003,215513001,400,2
851,49004,215513001,400,2
852,49005,215513001,500,2
853,49006,215513001,500,2
854,49007,215513001,500,2
855,49008,215513001,500,2
856,49009,215513001,500,2
857,49010,215513001,500,2
858,49011,215513001,500,2
859,49012,215513001,500,2
860,53001,215513001,100,2
861,53002,215513001,100,2
862,53003,215513001,200,2
863,53004,215513001,200,2
864,53005,215513001,300,2
865,53006,215513001,300,2
866,53007,215513001,400,2
867,53008,215513001,400,2
868,53009,215513001,500,2
869,53010,215513001,500,2
870,53011,215513001,500,2
871,53012,215513001,500,2
872,53013,215513001,500,2
873,54001,215513001,100,2
874,54002,215513001,200,2
875,54003,215513001,400,2
876,54004,215513001,500,2
