id,copyid,name,chapterid,chapter_name,fighting,copy_rank,battletype,limitlevel,parentcopyid,copy_xmlname,copy_icon,copy_type,music,copykind,pet,ride,recover,near,broadcast,notifytype,battleover,map,assistant,locked_range,change_range,kind
17,40200,妖魔冰谷,402,妖魔冰谷,0,1,146,3051,-1,YMBG-0.txt,-1,2,pvp.ogg,CK_XIANQICOPY,1,1,2,0,50,0,0,-1,0,100,8,2
18,40300,四象灵域,403,四象灵域,0,1,146,1050,-1,SXLY-0.txt,-1,2,pvp.ogg,CK_SHENBINGCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
19,20101,水府试炼[单·普通],201,水府试炼,32200,1,101,25,-1,DHQ-1.txt,-1,1,pve.ogg,CK_DHQ,1,1,2,0,50,0,0,-1,0,100,8,2
20,20102,水府试炼[单·困难],201,水府试炼,68600,2,101,41,-1,DHQ-2.txt,-1,1,pve.ogg,CK_DHQ,1,1,2,0,50,0,0,-1,0,100,8,2
21,20103,水府试炼[单·地狱],201,水府试炼,168000,3,101,2045,-1,DHQ-3.txt,-1,1,pve.ogg,CK_DHQ,1,1,2,0,50,0,0,-1,0,100,8,2
22,20104,水府试炼[单·噩梦],201,水府试炼,324100,4,101,3055,-1,DHQ-4.txt,-1,1,pve.ogg,CK_DHQ,1,1,2,0,50,0,0,-1,0,100,8,2
23,20201,明月山水图[单·普通],202,明月山水图,52500,1,101,32,-1,WLSD-1.txt,-1,1,pve.ogg,CK_WULIANGSHENGDI,1,1,2,0,50,0,0,-1,0,100,8,2
24,20202,明月山水图[单·困难],202,明月山水图,126000,2,101,1042,-1,WLSD-2.txt,-1,1,pve.ogg,CK_WULIANGSHENGDI,1,1,2,0,50,0,0,-1,0,100,8,2
25,20203,明月山水图[单·地狱],202,明月山水图,273000,3,101,2052,-1,WLSD-3.txt,-1,1,pve.ogg,CK_WULIANGSHENGDI,1,1,2,0,50,0,0,-1,0,100,8,2
26,20204,明月山水图[单·噩梦],202,明月山水图,441000,4,101,4056,-1,WLSD-4.txt,-1,1,pve.ogg,CK_WULIANGSHENGDI,1,1,2,0,50,0,0,-1,0,100,8,2
27,20301,寂灭之域[单·普通],203,寂灭之域,122500,1,101,42,-1,LSD-1.txt,-1,1,pvp.ogg,CK_LINGSHOUDAO,1,1,2,0,50,0,0,-1,0,100,8,2
28,20302,寂灭之域[单·困难],203,寂灭之域,245000,2,101,2046,-1,LSD-2.txt,-1,1,pvp.ogg,CK_LINGSHOUDAO,1,1,2,0,50,0,0,-1,0,100,8,2
29,20303,寂灭之域[单·地狱],203,寂灭之域,318500,3,101,3056,-1,LSD-3.txt,-1,1,pvp.ogg,CK_LINGSHOUDAO,1,1,2,0,50,0,0,-1,0,100,8,2
30,20304,寂灭之域[单·噩梦],203,寂灭之域,409500,4,101,5060,-1,LSD-4.txt,-1,1,pvp.ogg,CK_LINGSHOUDAO,1,1,2,0,50,0,0,-1,0,100,8,2
31,20401,东林宗[单·普通],204,东林宗,182000,1,101,1049,-1,SWHM-1.txt,-1,1,pvp.ogg,CK_SIWANGHUANGMO,1,1,2,0,50,0,0,-1,0,100,8,2
32,20402,东林宗[单·困难],204,东林宗,315000,2,101,3053,-1,SWHM-2.txt,-1,1,pvp.ogg,CK_SIWANGHUANGMO,1,1,2,0,50,0,0,-1,0,100,8,2
33,20403,东林宗[单·地狱],204,东林宗,483000,3,101,4063,-1,SWHM-3.txt,-1,1,pvp.ogg,CK_SIWANGHUANGMO,1,1,2,0,50,0,0,-1,0,100,8,2
34,20404,东林宗[单·噩梦],204,东林宗,623000,4,101,6067,-1,SWHM-4.txt,-1,1,pvp.ogg,CK_SIWANGHUANGMO,1,1,2,0,50,0,0,-1,0,100,8,2
35,20501,无间战场[单·普通],205,无间战场,196000,1,101,1048,-1,HBLY-1.txt,-1,1,pve.ogg,CK_HBLY,1,1,2,0,50,0,0,-1,0,100,8,2
36,20502,无间战场[单·困难],205,无间战场,287000,2,101,3052,-1,HBLY-2.txt,-1,1,pve.ogg,CK_HBLY,1,1,2,0,50,0,0,-1,0,100,8,2
37,20503,无间战场[单·地狱],205,无间战场,455000,3,101,4062,-1,HBLY-3.txt,-1,1,pve.ogg,CK_HBLY,1,1,2,0,50,0,0,-1,0,100,8,2
38,20504,无间战场[单·噩梦],205,无间战场,644000,4,101,6066,-1,HBLY-4.txt,-1,1,pve.ogg,CK_HBLY,1,1,2,0,50,0,0,-1,0,100,8,2
39,20601,莲花幻界[单·普通],206,莲花幻界,105000,1,101,36,-1,LHHJ-1.txt,-1,1,pve.ogg,CK_FOOTCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
40,20602,莲花幻界[单·困难],206,莲花幻界,224000,2,101,1046,-1,LHHJ-2.txt,-1,1,pve.ogg,CK_FOOTCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
41,20603,莲花幻界[单·地狱],206,莲花幻界,322000,3,101,3050,-1,LHHJ-3.txt,-1,1,pve.ogg,CK_FOOTCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
42,20604,莲花幻界[单·噩梦],206,莲花幻界,350000,4,101,4060,-1,LHHJ-4.txt,-1,1,pve.ogg,CK_FOOTCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
43,20701,精炼福地[单·普通],207,精炼福地,200000,1,101,43,-1,ZBFB-1.txt,-1,1,pve.ogg,CK_EQUIPCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
44,20702,精炼福地[单·困难],207,精炼福地,420000,2,101,2047,-1,ZBFB-2.txt,-1,1,pve.ogg,CK_EQUIPCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
45,20703,精炼福地[单·地狱],207,精炼福地,650000,3,101,3057,-1,ZBFB-3.txt,-1,1,pve.ogg,CK_EQUIPCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
46,20704,精炼福地[单·噩梦],207,精炼福地,980000,4,101,5061,-1,ZBFB-4.txt,-1,1,pve.ogg,CK_EQUIPCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
47,20801,精炼福地·高级[单·普通],208,精炼福地,730000,1,101,4057,-1,ZBHB-1.txt,-1,1,pve.ogg,CK_EQUIPCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
48,20802,精炼福地·高级[单·困难],208,精炼福地,1160000,2,101,5067,-1,ZBHB-2.txt,-1,1,pve.ogg,CK_EQUIPCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
49,20803,精炼福地·高级[单·地狱],208,精炼福地,1570000,3,101,7071,-1,ZBHB-3.txt,-1,1,pve.ogg,CK_EQUIPCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
50,20804,精炼福地·高级[单·噩梦],208,精炼福地,2150000,4,101,8081,-1,ZBHB-4.txt,-1,1,pve.ogg,CK_EQUIPCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
51,20901,羽化洞天[单·普通],209,羽化洞天,440000,1,101,2049,-1,CBFB-1.txt,-1,1,pve.ogg,CK_WINGCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
52,20902,羽化洞天[单·困难],209,羽化洞天,657000,2,101,3059,-1,CBFB-2.txt,-1,1,pve.ogg,CK_WINGCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
53,20903,羽化洞天[单·地狱],209,羽化洞天,1030000,3,101,5063,-1,CBFB-3.txt,-1,1,pve.ogg,CK_WINGCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
54,20904,羽化洞天[单·噩梦],209,羽化洞天,1430000,4,101,6073,-1,CBFB-4.txt,-1,1,pve.ogg,CK_WINGCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
55,21001,骑兽猎场[单·普通],210,骑兽猎场,220000,1,101,44,-1,ZQFB-1.txt,-1,1,pve.ogg,CK_RIDECOPY,1,1,2,0,50,0,0,-1,0,100,8,2
56,21002,骑兽猎场[单·困难],210,骑兽猎场,430000,2,101,2048,-1,ZQFB-2.txt,-1,1,pve.ogg,CK_RIDECOPY,1,1,2,0,50,0,0,-1,0,100,8,2
57,21003,骑兽猎场[单·地狱],210,骑兽猎场,670000,3,101,3058,-1,ZQFB-3.txt,-1,1,pve.ogg,CK_RIDECOPY,1,1,2,0,50,0,0,-1,0,100,8,2
58,21004,骑兽猎场[单·噩梦],210,骑兽猎场,1000000,4,101,5062,-1,ZQFB-4.txt,-1,1,pve.ogg,CK_RIDECOPY,1,1,2,0,50,0,0,-1,0,100,8,2
59,21101,经验秘地[单·普通],211,经验秘地,140000,1,101,40,-1,JYFB-1.txt,-1,1,pve.ogg,CK_EXPCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
60,21102,经验秘地[单·困难],211,经验秘地,350000,2,101,2050,-1,JYFB-2.txt,-1,1,pve.ogg,CK_EXPCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
61,21103,经验秘地[单·地狱],211,经验秘地,600000,3,101,3060,-1,JYFB-3.txt,-1,1,pve.ogg,CK_EXPCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
62,21104,经验秘地[单·噩梦],211,经验秘地,1050000,4,101,5065,-1,JYFB-4.txt,-1,1,pve.ogg,CK_EXPCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
63,30101,水府试炼[多·普通],301,水府试炼,32200,1,102,41,-1,DHQ1-1.txt,-1,2,pve.ogg,CK_DHQ,1,1,2,0,50,1,1,-1,0,100,8,2
64,30102,水府试炼[多·困难],301,水府试炼,68600,2,102,2045,-1,DHQ1-2.txt,-1,2,pve.ogg,CK_DHQ,1,1,2,0,50,1,1,-1,0,100,8,2
65,30103,水府试炼[多·地狱],301,水府试炼,168000,3,102,3055,-1,DHQ1-3.txt,-1,2,pve.ogg,CK_DHQ,1,1,2,0,50,1,1,-1,0,100,8,2
66,30104,水府试炼[多·噩梦],301,水府试炼,324100,4,102,4065,-1,DHQ1-4.txt,-1,2,pve.ogg,CK_DHQ,1,1,2,0,50,1,1,-1,0,100,8,2
67,30201,无间战场[多·普通],302,无间战场,196000,1,102,3052,-1,HBLY1-1.txt,-1,2,pve.ogg,CK_HBLY,1,1,2,0,50,1,1,-1,0,100,8,2
68,30202,无间战场[多·困难],302,无间战场,287000,2,102,4062,-1,HBLY1-2.txt,-1,2,pve.ogg,CK_HBLY,1,1,2,0,50,1,1,-1,0,100,8,2
69,30203,无间战场[多·地狱],302,无间战场,455000,3,102,6066,-1,HBLY1-3.txt,-1,2,pve.ogg,CK_HBLY,1,1,2,0,50,1,1,-1,0,100,8,2
70,30204,无间战场[多·噩梦],302,无间战场,644000,4,102,7076,-1,HBLY1-4.txt,-1,2,pve.ogg,CK_HBLY,1,1,2,0,50,1,1,-1,0,100,8,2
71,30301,莲花幻界[多·普通],303,莲花幻界,105000,1,102,1046,-1,LHHJ1-1.txt,-1,2,pve.ogg,CK_FOOTCOPY,1,1,2,0,50,1,1,-1,0,100,8,2
72,30302,莲花幻界[多·困难],303,莲花幻界,224000,2,102,3050,-1,LHHJ1-2.txt,-1,2,pve.ogg,CK_FOOTCOPY,1,1,2,0,50,1,1,-1,0,100,8,2
73,30303,莲花幻界[多·地狱],303,莲花幻界,322000,3,102,4060,-1,LHHJ1-3.txt,-1,2,pve.ogg,CK_FOOTCOPY,1,1,2,0,50,1,1,-1,0,100,8,2
74,30304,莲花幻界[多·噩梦],303,莲花幻界,350000,4,102,5070,-1,LHHJ1-4.txt,-1,2,pve.ogg,CK_FOOTCOPY,1,1,2,0,50,1,1,-1,0,100,8,2
75,40101,巫江仙府[普通],401,巫江仙府,0,1,105,3057,-1,ZLK-1.txt,-1,2,pve.ogg,CK_ZHUILONGKU,1,1,2,0,50,1,1,-1,0,100,8,2
76,40102,巫江仙府[困难],401,巫江仙府,0,2,105,5061,-1,ZLK-2.txt,-1,2,pve.ogg,CK_ZHUILONGKU,1,1,2,0,50,1,1,-1,0,100,8,2
77,40103,巫江仙府[地狱],401,巫江仙府,0,3,105,6071,-1,ZLK-3.txt,-1,2,pve.ogg,CK_ZHUILONGKU,1,1,2,0,50,1,1,-1,0,100,8,2
78,40104,巫江仙府[噩梦],401,巫江仙府,0,4,105,8075,-1,ZLK-4.txt,-1,2,pve.ogg,CK_ZHUILONGKU,1,1,2,0,50,1,1,-1,0,100,8,2
79,40201,妖魔冰谷[普通],402,妖魔冰谷,0,1,140,3051,-1,YMBG-1.txt,-1,2,pve.ogg,CK_XIANQICOPY,1,1,2,0,50,1,1,-1,0,100,8,2
80,40202,妖魔冰谷[困难],402,妖魔冰谷,0,2,140,4061,-1,YMBG-2.txt,-1,2,pve.ogg,CK_XIANQICOPY,1,1,2,0,50,1,1,-1,0,100,8,2
81,40203,妖魔冰谷[地狱],402,妖魔冰谷,0,3,140,6065,-1,YMBG-3.txt,-1,2,pve.ogg,CK_XIANQICOPY,1,1,2,0,50,1,1,-1,0,100,8,2
82,40204,妖魔冰谷[噩梦],402,妖魔冰谷,0,4,140,7075,-1,YMBG-4.txt,-1,2,pve.ogg,CK_XIANQICOPY,1,1,2,0,50,1,1,-1,0,100,8,2
83,40301,四象灵域[普通],403,四象灵域,0,1,141,1050,-1,SXLY-1.txt,-1,2,pve.ogg,CK_SHENBINGCOPY,1,1,2,0,50,1,1,-1,0,100,8,2
84,40302,四象灵域[困难],403,四象灵域,0,2,141,3054,-1,SXLY-2.txt,-1,2,pve.ogg,CK_SHENBINGCOPY,1,1,2,0,50,1,1,-1,0,100,8,2
85,40303,四象灵域[地狱],403,四象灵域,0,3,141,4064,-1,SXLY-3.txt,-1,2,pve.ogg,CK_SHENBINGCOPY,1,1,2,0,50,1,1,-1,0,100,8,2
86,40304,四象灵域[噩梦],403,四象灵域,0,4,141,6068,-1,SXLY-4.txt,-1,2,pve.ogg,CK_SHENBINGCOPY,1,1,2,0,50,1,1,-1,0,100,8,2
87,50101,战神殿[一层·凡劫],501,战神殿,175000,1,103,2047,-1,ZMT1-1.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
88,50102,战神殿[二层·凡劫],501,战神殿,175000,1,103,2047,50101,ZMT1-2.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
89,50103,战神殿[三层·凡劫],501,战神殿,175000,1,103,2047,50102,ZMT1-3.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
90,50104,战神殿[四层·凡劫],501,战神殿,175000,1,103,2047,50105,ZMT1-4.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
91,50105,战神殿[五层·凡劫],501,战神殿,175000,1,103,2047,50104,ZMT1-5.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
92,50106,战神殿[六层·凡劫],501,战神殿,175000,1,103,2047,50105,ZMT1-6.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
93,50107,战神殿[七层·凡劫],501,战神殿,175000,1,103,2047,50106,ZMT1-7.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
94,50201,战神殿[一层·幽冥],501,战神殿,462000,1,103,2055,-1,ZMT2-1.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
95,50202,战神殿[二层·幽冥],501,战神殿,462000,1,103,2055,50201,ZMT2-2.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
96,50203,战神殿[三层·幽冥],501,战神殿,462000,1,103,2055,50202,ZMT2-3.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
97,50204,战神殿[四层·幽冥],501,战神殿,462000,1,103,2055,50205,ZMT2-4.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
98,50205,战神殿[五层·幽冥],501,战神殿,462000,1,103,2055,50204,ZMT2-5.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
99,50206,战神殿[六层·幽冥],501,战神殿,462000,1,103,2055,50205,ZMT2-6.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
100,50207,战神殿[七层·幽冥],501,战神殿,462000,1,103,2055,50206,ZMT2-7.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
101,50301,战神殿[一层·血狱],501,战神殿,875000,1,103,3060,-1,ZMT3-1.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
102,50302,战神殿[二层·血狱],501,战神殿,875000,1,103,3060,50501,ZMT3-2.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
103,50303,战神殿[三层·血狱],501,战神殿,875000,1,103,3060,50502,ZMT3-3.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
104,50304,战神殿[四层·血狱],501,战神殿,875000,1,103,3060,50505,ZMT3-4.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
105,50305,战神殿[五层·血狱],501,战神殿,875000,1,103,3060,50504,ZMT3-5.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
106,50306,战神殿[六层·血狱],501,战神殿,875000,1,103,3060,50505,ZMT3-6.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
107,50307,战神殿[七层·血狱],501,战神殿,875000,1,103,3060,50506,ZMT3-7.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
108,50401,战神殿[一层·修罗],501,战神殿,1400000,1,103,4065,-1,ZMT4-1.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
109,50402,战神殿[二层·修罗],501,战神殿,1400000,1,103,4065,50401,ZMT4-2.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
110,50403,战神殿[三层·修罗],501,战神殿,1400000,1,103,4065,50402,ZMT4-3.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
111,50404,战神殿[四层·修罗],501,战神殿,1400000,1,103,4065,50405,ZMT4-4.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
112,50405,战神殿[五层·修罗],501,战神殿,1400000,1,103,4065,50404,ZMT4-5.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
113,50406,战神殿[六层·修罗],501,战神殿,1400000,1,103,4065,50405,ZMT4-6.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
114,50407,战神殿[七层·修罗],501,战神殿,1400000,1,103,4065,50406,ZMT4-7.txt,-1,2,pvp.ogg,CK_ZHENMOTA,1,1,2,0,50,2,0,-1,0,100,8,2
115,60101,第一章第一关,601,第一章,14000,1,104,20,-1,WJSL1-1.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
116,60102,第一章第二关,601,第一章,35000,1,104,22,60101,WJSL1-2.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
117,60103,第一章第三关,601,第一章,49000,1,104,24,60102,WJSL1-3.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
118,60104,第一章第四关,601,第一章,63000,1,104,26,60103,WJSL1-4.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
119,60105,第一章第五关,601,第一章,84000,1,104,26,60104,WJSL1-5.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
120,60106,第一章第六关,601,第一章,105000,1,104,26,60105,WJSL1-6.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
121,60107,第一章第七关,601,第一章,126000,1,104,26,60106,WJSL1-7.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
122,60108,第一章第八关,601,第一章,147000,1,104,26,60107,WJSL1-8.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
123,60201,第二章第一关,602,第二章,175000,1,104,26,60108,WJSL2-1.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
124,60202,第二章第二关,602,第二章,203000,1,104,26,60201,WJSL2-2.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
125,60203,第二章第三关,602,第二章,231000,1,104,26,60202,WJSL2-3.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
126,60204,第二章第四关,602,第二章,259000,1,104,26,60203,WJSL2-4.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
127,60205,第二章第五关,602,第二章,294000,1,104,26,60204,WJSL2-5.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
128,60206,第二章第六关,602,第二章,329000,1,104,26,60205,WJSL2-6.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
129,60207,第二章第七关,602,第二章,364000,1,104,26,60206,WJSL2-7.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
130,60208,第二章第八关,602,第二章,399000,1,104,26,60207,WJSL2-8.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
131,60301,第三章第一关,603,第三章,441000,1,104,26,60208,WJSL3-1.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
132,60302,第三章第二关,603,第三章,483000,1,104,26,60301,WJSL3-2.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
133,60303,第三章第三关,603,第三章,525000,1,104,26,60302,WJSL3-3.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
134,60304,第三章第四关,603,第三章,567000,1,104,26,60303,WJSL3-4.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
135,60305,第三章第五关,603,第三章,609000,1,104,26,60304,WJSL3-5.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
136,60306,第三章第六关,603,第三章,651000,1,104,26,60305,WJSL3-6.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
137,60307,第三章第七关,603,第三章,693000,1,104,26,60306,WJSL3-7.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
138,60308,第三章第八关,603,第三章,735000,1,104,26,60307,WJSL3-8.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
139,60401,第四章第一关,604,第四章,784000,1,104,26,60308,WJSL4-1.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
140,60402,第四章第二关,604,第四章,833000,1,104,26,60401,WJSL4-2.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
141,60403,第四章第三关,604,第四章,882000,1,104,26,60402,WJSL4-3.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
142,60404,第四章第四关,604,第四章,931000,1,104,26,60403,WJSL4-4.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
143,60405,第四章第五关,604,第四章,980000,1,104,26,60404,WJSL4-5.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
144,60406,第四章第六关,604,第四章,1029000,1,104,26,60405,WJSL4-6.txt,-1,1,pve.ogg,CK_WULIANZHIDAO,1,1,2,0,50,0,0,-1,0,100,8,2
