id,monsterid,blood,resource,interval,monstertype,objectid
191,2110601,3,10,3,-1,-1
192,2110701,3,10,3,-1,-1
193,2110801,3,10,3,-1,-1
194,2110901,3,10,3,-1,-1
195,2111001,10,60,2,3,173312011
196,2111101,1,3,1,-1,-1
197,2111201,1,3,1,-1,-1
198,2111301,1,3,1,-1,-1
199,2111401,1,3,1,-1,-1
200,2111501,10,60,2,3,173312012
201,2111601,2,6,2,2,-1
202,2111701,2,6,2,2,-1
203,2111801,2,6,2,2,-1
204,2111901,2,6,2,2,-1
205,2112001,10,60,2,3,173312013
206,2112101,2,8,2,-1,-1
207,2112201,2,8,2,-1,-1
208,2112301,2,8,2,-1,-1
209,2112401,2,8,2,-1,-1
210,2112501,10,80,2,3,173312014
211,2112601,2,8,2,-1,-1
212,2112701,2,8,2,-1,-1
213,2112801,2,8,2,-1,-1
214,2112901,2,8,2,-1,-1
215,2113001,10,80,2,3,173312015
216,2120101,2,6,2,-1,-1
217,2120201,2,6,2,-1,-1
218,2120301,2,6,2,-1,-1
219,2120401,2,6,2,-1,-1
220,2120501,10,60,2,3,173312010
221,2120601,2,6,2,2,-1
222,2120701,2,6,2,2,-1
223,2120801,2,6,2,2,-1
224,2120901,2,6,2,2,-1
225,2121001,10,60,2,3,173312011
226,2121101,2,6,3,2,-1
227,2121201,2,6,3,2,-1
228,2121301,2,6,3,2,-1
229,2121401,2,6,3,2,-1
230,2121501,10,60,2,3,173312012
231,2121601,1,3,1,-1,-1
232,2121701,1,3,1,-1,-1
233,2121801,1,3,1,-1,-1
234,2121901,1,3,1,-1,-1
235,2122001,10,60,2,3,173312013
236,2122101,1,4,1,2,-1
237,2122201,1,4,1,2,-1
238,2122301,1,4,1,2,-1
239,2122401,1,4,1,2,-1
240,2122501,10,80,2,3,173312014
241,2122601,1,4,1,2,-1
242,2122701,1,4,1,2,-1
243,2122801,1,4,1,2,-1
244,2122901,1,4,1,2,-1
245,2123001,10,80,2,3,173312015
246,2130101,2,6,2,-1,-1
247,2130201,2,6,2,-1,-1
248,2130301,2,6,2,-1,-1
249,2130401,2,6,2,-1,-1
250,2130501,10,60,2,3,173312012
251,2130601,2,6,3,-1,-1
252,2130701,2,6,3,-1,-1
253,2130801,2,6,3,-1,-1
254,2130901,2,6,3,-1,-1
255,2131001,10,60,2,3,173312013
256,2131101,2,6,3,-1,-1
257,2131201,2,6,3,-1,-1
258,2131301,2,6,3,-1,-1
259,2131401,2,6,3,-1,-1
260,2131501,10,60,2,3,173312014
261,2131601,2,6,3,2,-1
262,2131701,2,6,3,2,-1
263,2131801,2,6,3,2,-1
264,2131901,2,6,3,2,-1
265,2132001,10,60,2,3,173312015
266,2132101,2,8,3,2,-1
267,2132201,2,8,3,2,-1
268,2132301,2,8,3,2,-1
269,2132401,2,8,3,2,-1
270,2132501,10,80,2,3,173312016
271,2132601,2,8,4,1,-1
272,2132701,2,8,4,1,-1
273,2132801,2,8,4,1,-1
274,2132901,2,8,4,1,-1
275,2133001,10,80,2,3,173312017
276,2140101,2,6,2,-1,-1
277,2140201,2,6,2,-1,-1
278,2140301,2,6,2,-1,-1
279,2140401,2,6,2,-1,-1
280,2140501,2,60,2,3,173312012
281,2140601,3,10,3,-1,-1
282,2140701,3,10,3,-1,-1
283,2140801,3,10,3,-1,-1
284,2140901,3,10,3,-1,-1
285,2141001,10,60,2,3,173312013
286,2141101,2,6,3,2,-1
287,2141201,2,6,3,2,-1
288,2141301,2,6,3,2,-1
289,2141401,2,6,3,2,-1
290,2141501,10,60,2,3,173312014
291,2141601,1,3,1,2,-1
292,2141701,1,3,1,2,-1
293,2141801,1,3,1,2,-1
294,2141901,1,3,1,2,-1
295,2142001,10,60,2,3,173312015
296,2142101,2,8,3,1,-1
297,2142201,2,8,3,1,-1
298,2142301,2,8,3,1,-1
299,2142401,2,8,3,1,-1
300,2142501,10,80,2,3,173312016
301,2142601,2,8,3,1,-1
302,2142701,2,8,3,1,-1
303,2142801,2,8,3,1,-1
304,2142901,2,8,3,1,-1
305,2143001,10,80,2,3,173312017
