id,copyid,towerid,nextid,costresource,destory,level,percent,towerkind,describe
80,70207,1072101,1072201,20,12,1,2000,2,可同时攻击范围内的3个敌人，并降低10%的移动速度持续2秒\n[ffdf00]建造消耗：[-]20
81,70207,1073101,1073201,30,18,1,2000,3,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]30
82,70207,1074101,1074201,40,24,1,2000,4,可攻击范围内的所有敌人\n[ffdf00]建造消耗：[-]40
83,70207,1071201,1071301,30,30,2,2000,1,单体攻击，场上所有防御塔攻击增加5%，上限30%\n[ffdf00]升级消耗：[-]30
84,70207,1072201,1072301,40,36,2,2000,2,可同时攻击范围内的4个敌人，并降低20%的移动速度持续2秒\n[ffdf00]升级消耗：[-]40
85,70207,1073201,1073301,50,48,2,2000,3,单体攻击，有25%的暴击率\n[ffdf00]升级消耗：[-]50
86,70207,1074201,1074301,60,60,2,2000,4,可攻击范围内的所有敌人，攻击范围增加10%\n[ffdf00]升级消耗：[-]60
87,70207,1071301,-1,50,60,3,2000,1,单体攻击，场上所有防御塔攻击增加10%，上限30%\n[ffdf00]升级消耗：[-]50
88,70207,1072301,-1,70,78,3,2000,2,可同时攻击范围内的5个敌人，并降低30%的移动速度持续2秒\n[ffdf00]升级消耗：[-]70
89,70207,1073301,-1,90,102,3,2000,3,单体攻击，有70%的暴击率。并有30%的概率将敌人眩晕1秒\n[ffdf00]升级消耗：[-]90
90,70207,1074301,-1,100,120,3,2000,4,可攻击范围内的所有敌人，攻击范围增加20%\n[ffdf00]升级消耗：[-]100
91,70207,1075101,-1,-1,-1,1,0,5,单体攻击，拥有超高攻击力，有50%的暴击率。并有30%的概率将敌人眩晕1秒
92,70208,1081101,1081201,20,12,1,2000,1,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]20
93,70208,1082101,1082201,20,12,1,2000,2,可同时攻击范围内的3个敌人，并降低10%的移动速度持续2秒\n[ffdf00]建造消耗：[-]20
94,70208,1083101,1083201,30,18,1,2000,3,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]30
95,70208,1084101,1084201,40,24,1,2000,4,可攻击范围内的所有敌人\n[ffdf00]建造消耗：[-]40
96,70208,1081201,1081301,30,30,2,2000,1,单体攻击，场上所有防御塔攻击增加5%，上限30%\n[ffdf00]升级消耗：[-]30
97,70208,1082201,1082301,40,36,2,2000,2,可同时攻击范围内的4个敌人，并降低20%的移动速度持续2秒\n[ffdf00]升级消耗：[-]40
98,70208,1083201,1083301,50,48,2,2000,3,单体攻击，有25%的暴击率\n[ffdf00]升级消耗：[-]50
99,70208,1084201,1084301,60,60,2,2000,4,可攻击范围内的所有敌人，攻击范围增加10%\n[ffdf00]升级消耗：[-]60
100,70208,1081301,-1,50,60,3,2000,1,单体攻击，场上所有防御塔攻击增加10%，上限30%\n[ffdf00]升级消耗：[-]50
101,70208,1082301,-1,70,78,3,2000,2,可同时攻击范围内的5个敌人，并降低30%的移动速度持续2秒\n[ffdf00]升级消耗：[-]70
102,70208,1083301,-1,90,102,3,2000,3,单体攻击，有70%的暴击率。并有30%的概率将敌人眩晕1秒\n[ffdf00]升级消耗：[-]90
103,70208,1084301,-1,100,120,3,2000,4,可攻击范围内的所有敌人，攻击范围增加20%\n[ffdf00]升级消耗：[-]100
104,70208,1085101,-1,-1,-1,1,0,5,单体攻击，拥有超高攻击力，有50%的暴击率。并有30%的概率将敌人眩晕1秒
105,70209,1091101,1091201,20,12,1,3000,1,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]20
106,70209,1092101,1092201,20,12,1,3000,2,可同时攻击范围内的3个敌人，并降低10%的移动速度持续2秒\n[ffdf00]建造消耗：[-]20
107,70209,1093101,1093201,30,18,1,3000,3,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]30
108,70209,1094101,1094201,40,24,1,3000,4,可攻击范围内的所有敌人\n[ffdf00]建造消耗：[-]40
109,70209,1091201,1091301,30,30,2,3000,1,单体攻击，场上所有防御塔攻击增加5%，上限30%\n[ffdf00]升级消耗：[-]30
110,70209,1092201,1092301,40,36,2,3000,2,可同时攻击范围内的4个敌人，并降低20%的移动速度持续2秒\n[ffdf00]升级消耗：[-]40
111,70209,1093201,1093301,50,48,2,3000,3,单体攻击，有25%的暴击率\n[ffdf00]升级消耗：[-]50
112,70209,1094201,1094301,60,60,2,3000,4,可攻击范围内的所有敌人，攻击范围增加10%\n[ffdf00]升级消耗：[-]60
113,70209,1091301,-1,50,60,3,3000,1,单体攻击，场上所有防御塔攻击增加10%，上限30%\n[ffdf00]升级消耗：[-]50
114,70209,1092301,-1,70,78,3,3000,2,可同时攻击范围内的5个敌人，并降低30%的移动速度持续2秒\n[ffdf00]升级消耗：[-]70
115,70209,1093301,-1,90,102,3,3000,3,单体攻击，有70%的暴击率。并有30%的概率将敌人眩晕1秒\n[ffdf00]升级消耗：[-]90
116,70209,1094301,-1,100,120,3,3000,4,可攻击范围内的所有敌人，攻击范围增加20%\n[ffdf00]升级消耗：[-]100
117,70209,1095101,-1,-1,-1,1,0,5,单体攻击，拥有超高攻击力，有50%的暴击率。并有30%的概率将敌人眩晕1秒
118,70210,1101101,1101201,20,12,1,3000,1,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]20
119,70210,1102101,1102201,20,12,1,3000,2,可同时攻击范围内的3个敌人，并降低10%的移动速度持续2秒\n[ffdf00]建造消耗：[-]20
120,70210,1103101,1103201,30,18,1,3000,3,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]30
121,70210,1104101,1104201,40,24,1,3000,4,可攻击范围内的所有敌人\n[ffdf00]建造消耗：[-]40
122,70210,1101201,1101301,30,30,2,3000,1,单体攻击，场上所有防御塔攻击增加5%，上限30%\n[ffdf00]升级消耗：[-]30
123,70210,1102201,1102301,40,36,2,3000,2,可同时攻击范围内的4个敌人，并降低20%的移动速度持续2秒\n[ffdf00]升级消耗：[-]40
124,70210,1103201,1103301,50,48,2,3000,3,单体攻击，有25%的暴击率\n[ffdf00]升级消耗：[-]50
125,70210,1104201,1104301,60,60,2,3000,4,可攻击范围内的所有敌人，攻击范围增加10%\n[ffdf00]升级消耗：[-]60
126,70210,1101301,-1,50,60,3,3000,1,单体攻击，场上所有防御塔攻击增加10%，上限30%\n[ffdf00]升级消耗：[-]50
127,70210,1102301,-1,70,78,3,3000,2,可同时攻击范围内的5个敌人，并降低30%的移动速度持续2秒\n[ffdf00]升级消耗：[-]70
128,70210,1103301,-1,90,102,3,3000,3,单体攻击，有70%的暴击率。并有30%的概率将敌人眩晕1秒\n[ffdf00]升级消耗：[-]90
129,70210,1104301,-1,100,120,3,3000,4,可攻击范围内的所有敌人，攻击范围增加20%\n[ffdf00]升级消耗：[-]100
130,70210,1105101,-1,-1,-1,1,0,5,单体攻击，拥有超高攻击力，有50%的暴击率。并有30%的概率将敌人眩晕1秒
131,70211,1111101,1111201,20,12,1,3000,1,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]20
132,70211,1112101,1112201,20,12,1,3000,2,可同时攻击范围内的3个敌人，并降低10%的移动速度持续2秒\n[ffdf00]建造消耗：[-]20
133,70211,1113101,1113201,30,18,1,3000,3,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]30
134,70211,1114101,1114201,40,24,1,3000,4,可攻击范围内的所有敌人\n[ffdf00]建造消耗：[-]40
135,70211,1111201,1111301,30,30,2,3000,1,单体攻击，场上所有防御塔攻击增加5%，上限30%\n[ffdf00]升级消耗：[-]30
136,70211,1112201,1112301,40,36,2,3000,2,可同时攻击范围内的4个敌人，并降低20%的移动速度持续2秒\n[ffdf00]升级消耗：[-]40
137,70211,1113201,1113301,50,48,2,3000,3,单体攻击，有25%的暴击率\n[ffdf00]升级消耗：[-]50
138,70211,1114201,1114301,60,60,2,3000,4,可攻击范围内的所有敌人，攻击范围增加10%\n[ffdf00]升级消耗：[-]60
139,70211,1111301,-1,50,60,3,3000,1,单体攻击，场上所有防御塔攻击增加10%，上限30%\n[ffdf00]升级消耗：[-]50
140,70211,1112301,-1,70,78,3,3000,2,可同时攻击范围内的5个敌人，并降低30%的移动速度持续2秒\n[ffdf00]升级消耗：[-]70
141,70211,1113301,-1,90,102,3,3000,3,单体攻击，有70%的暴击率。并有30%的概率将敌人眩晕1秒\n[ffdf00]升级消耗：[-]90
142,70211,1114301,-1,100,120,3,3000,4,可攻击范围内的所有敌人，攻击范围增加20%\n[ffdf00]升级消耗：[-]100
143,70211,1115101,-1,-1,-1,1,0,5,单体攻击，拥有超高攻击力，有50%的暴击率。并有30%的概率将敌人眩晕1秒
144,70212,1121101,1121201,20,12,1,3000,1,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]20
145,70212,1122101,1122201,20,12,1,3000,2,可同时攻击范围内的3个敌人，并降低10%的移动速度持续2秒\n[ffdf00]建造消耗：[-]20
146,70212,1123101,1123201,30,18,1,3000,3,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]30
147,70212,1124101,1124201,40,24,1,3000,4,可攻击范围内的所有敌人\n[ffdf00]建造消耗：[-]40
148,70212,1121201,1121301,30,30,2,3000,1,单体攻击，场上所有防御塔攻击增加5%，上限30%\n[ffdf00]升级消耗：[-]30
149,70212,1122201,1122301,40,36,2,3000,2,可同时攻击范围内的4个敌人，并降低20%的移动速度持续2秒\n[ffdf00]升级消耗：[-]40
150,70212,1123201,1123301,50,48,2,3000,3,单体攻击，有25%的暴击率\n[ffdf00]升级消耗：[-]50
151,70212,1124201,1124301,60,60,2,3000,4,可攻击范围内的所有敌人，攻击范围增加10%\n[ffdf00]升级消耗：[-]60
152,70212,1121301,-1,50,60,3,3000,1,单体攻击，场上所有防御塔攻击增加10%，上限30%\n[ffdf00]升级消耗：[-]50
153,70212,1122301,-1,70,78,3,3000,2,可同时攻击范围内的5个敌人，并降低30%的移动速度持续2秒\n[ffdf00]升级消耗：[-]70
154,70212,1123301,-1,90,102,3,3000,3,单体攻击，有70%的暴击率。并有30%的概率将敌人眩晕1秒\n[ffdf00]升级消耗：[-]90
155,70212,1124301,-1,100,120,3,3000,4,可攻击范围内的所有敌人，攻击范围增加20%\n[ffdf00]升级消耗：[-]100
156,70212,1125101,-1,-1,-1,1,0,5,单体攻击，拥有超高攻击力，有50%的暴击率。并有30%的概率将敌人眩晕1秒
157,70213,1131101,1131201,20,12,1,3000,1,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]20
158,70213,1132101,1132201,20,12,1,3000,2,可同时攻击范围内的3个敌人，并降低10%的移动速度持续2秒\n[ffdf00]建造消耗：[-]20
159,70213,1133101,1133201,30,18,1,3000,3,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]30
160,70213,1134101,1134201,40,24,1,3000,4,可攻击范围内的所有敌人\n[ffdf00]建造消耗：[-]40
161,70213,1131201,1131301,30,30,2,3000,1,单体攻击，场上所有防御塔攻击增加5%，上限30%\n[ffdf00]升级消耗：[-]30
162,70213,1132201,1132301,40,36,2,3000,2,可同时攻击范围内的4个敌人，并降低20%的移动速度持续2秒\n[ffdf00]升级消耗：[-]40
163,70213,1133201,1133301,50,48,2,3000,3,单体攻击，有25%的暴击率\n[ffdf00]升级消耗：[-]50
164,70213,1134201,1134301,60,60,2,3000,4,可攻击范围内的所有敌人，攻击范围增加10%\n[ffdf00]升级消耗：[-]60
165,70213,1131301,-1,50,60,3,3000,1,单体攻击，场上所有防御塔攻击增加10%，上限30%\n[ffdf00]升级消耗：[-]50
166,70213,1132301,-1,70,78,3,3000,2,可同时攻击范围内的5个敌人，并降低30%的移动速度持续2秒\n[ffdf00]升级消耗：[-]70
167,70213,1133301,-1,90,102,3,3000,3,单体攻击，有70%的暴击率。并有30%的概率将敌人眩晕1秒\n[ffdf00]升级消耗：[-]90
168,70213,1134301,-1,100,120,3,3000,4,可攻击范围内的所有敌人，攻击范围增加20%\n[ffdf00]升级消耗：[-]100
169,70213,1135101,-1,-1,-1,1,0,5,单体攻击，拥有超高攻击力，有50%的暴击率。并有30%的概率将敌人眩晕1秒
170,70214,1141101,1141201,20,12,1,3000,1,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]20
171,70214,1142101,1142201,20,12,1,3000,2,可同时攻击范围内的3个敌人，并降低10%的移动速度持续2秒\n[ffdf00]建造消耗：[-]20
172,70214,1143101,1143201,30,18,1,3000,3,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]30
173,70214,1144101,1144201,40,24,1,3000,4,可攻击范围内的所有敌人\n[ffdf00]建造消耗：[-]40
174,70214,1141201,1141301,30,30,2,3000,1,单体攻击，场上所有防御塔攻击增加5%，上限30%\n[ffdf00]升级消耗：[-]30
175,70214,1142201,1142301,40,36,2,3000,2,可同时攻击范围内的4个敌人，并降低20%的移动速度持续2秒\n[ffdf00]升级消耗：[-]40
176,70214,1143201,1143301,50,48,2,3000,3,单体攻击，有25%的暴击率\n[ffdf00]升级消耗：[-]50
177,70214,1144201,1144301,60,60,2,3000,4,可攻击范围内的所有敌人，攻击范围增加10%\n[ffdf00]升级消耗：[-]60
178,70214,1141301,-1,50,60,3,3000,1,单体攻击，场上所有防御塔攻击增加10%，上限30%\n[ffdf00]升级消耗：[-]50
179,70214,1142301,-1,70,78,3,3000,2,可同时攻击范围内的5个敌人，并降低30%的移动速度持续2秒\n[ffdf00]升级消耗：[-]70
180,70214,1143301,-1,90,102,3,3000,3,单体攻击，有70%的暴击率。并有30%的概率将敌人眩晕1秒\n[ffdf00]升级消耗：[-]90
181,70214,1144301,-1,100,120,3,3000,4,可攻击范围内的所有敌人，攻击范围增加20%\n[ffdf00]升级消耗：[-]100
182,70214,1145101,-1,-1,-1,1,0,5,单体攻击，拥有超高攻击力，有50%的暴击率。并有30%的概率将敌人眩晕1秒
