id,item_type,nowlv,nextlv,health,attack,defence,crit,toughness,dodge,hit,process,mix_process,max_process
95,3,12,13,10505,225,123,99,84,118,68,468,168,312
96,3,13,14,10967,237,130,102,86,120,70,583,168,312
97,3,14,15,11454,250,137,105,88,123,73,676,168,312
98,3,15,16,11967,264,145,108,90,126,76,767,168,312
99,3,16,17,12506,279,153,111,92,129,79,885,168,312
100,3,17,18,13070,294,162,115,94,132,82,1001,168,312
101,3,18,19,13660,310,171,119,96,135,85,1112,168,312
102,3,19,20,14276,326,180,123,98,138,88,1278,168,312
103,3,20,21,14917,343,190,127,100,141,91,1390,168,312
104,3,21,22,15584,361,200,131,102,144,94,1512,144,336
105,3,22,23,16277,379,210,136,104,147,97,1694,144,336
106,3,23,24,16995,398,221,141,107,150,100,1950,144,336
107,3,24,25,17739,418,232,146,110,154,104,2142,144,336
108,3,25,26,18509,439,244,151,113,158,108,2286,144,336
109,3,26,27,19304,460,256,156,116,162,112,2507,144,336
110,3,27,28,20125,482,268,162,119,166,116,2746,144,336
111,3,28,29,20972,505,281,168,122,170,120,2930,144,336
112,3,29,30,21844,528,294,174,125,174,124,3363,144,336
113,3,30,31,22742,552,308,180,128,179,129,3526,144,336
114,3,31,32,23666,577,322,186,131,184,134,3642,120,360
115,3,32,33,24602,602,336,192,134,189,139,3763,120,360
116,3,33,34,25551,627,350,198,137,194,144,3976,120,360
117,3,34,35,26513,653,365,204,140,199,149,4107,120,360
118,3,35,36,27488,679,380,210,143,204,154,4290,120,360
119,3,36,37,28476,706,395,216,146,209,159,4480,120,360
120,3,37,38,29477,733,410,223,149,214,164,4627,120,360
121,3,38,39,30490,760,425,230,152,219,169,4779,120,360
122,3,39,40,31516,787,440,237,155,224,174,5536,120,360
123,3,40,-1,32619,817,457,244,159,230,180,5536,120,360
124,4,0,1,7378,130,86,108,54,80,80,120,192,288
125,4,1,2,7532,134,88,109,54,81,81,141,192,288
126,4,2,3,7712,139,91,110,54,82,82,163,192,288
127,4,3,4,7917,145,94,111,55,83,83,176,192,288
128,4,4,5,8148,151,97,113,56,84,84,197,192,288
129,4,5,6,8405,158,101,115,57,85,85,210,192,288
130,4,6,7,8687,166,105,117,58,86,86,257,192,288
131,4,7,8,8995,174,110,119,59,88,88,270,192,288
132,4,8,9,9329,183,115,121,60,90,90,291,192,288
133,4,9,10,9688,192,121,124,61,92,92,304,192,288
134,4,10,11,10073,202,127,127,62,94,94,349,192,288
135,4,11,12,10483,213,133,130,63,96,96,399,168,312
136,4,12,13,10919,225,139,133,64,98,98,468,168,312
137,4,13,14,11381,237,146,136,66,100,100,583,168,312
138,4,14,15,11868,250,153,139,68,103,103,676,168,312
139,4,15,16,12381,264,161,142,70,106,106,767,168,312
140,4,16,17,12920,279,169,145,72,109,109,885,168,312
141,4,17,18,13484,294,178,149,74,112,112,1001,168,312
142,4,18,19,14074,310,187,153,76,115,115,1112,168,312
143,4,19,20,14690,326,196,157,78,118,118,1278,168,312
144,4,20,21,15331,343,206,161,80,121,121,1390,168,312
145,4,21,22,15998,361,216,165,82,124,124,1512,144,336
146,4,22,23,16691,379,226,170,84,127,127,1694,144,336
147,4,23,24,17409,398,237,175,87,130,130,1950,144,336
148,4,24,25,18153,418,248,180,90,134,134,2142,144,336
149,4,25,26,18923,439,260,185,93,138,138,2286,144,336
150,4,26,27,19718,460,272,190,96,142,142,2507,144,336
151,4,27,28,20539,482,284,196,99,146,146,2746,144,336
152,4,28,29,21386,505,297,202,102,150,150,2930,144,336
153,4,29,30,22258,528,310,208,105,154,154,3363,144,336
154,4,30,31,23156,552,324,214,108,159,159,3526,144,336
155,4,31,32,24080,577,338,220,111,164,164,3642,120,360
156,4,32,33,25016,602,352,226,114,169,169,3763,120,360
157,4,33,34,25965,627,366,232,117,174,174,3976,120,360
158,4,34,35,26927,653,381,238,120,179,179,4107,120,360
159,4,35,36,27902,679,396,244,123,184,184,4290,120,360
160,4,36,37,28890,706,411,250,126,189,189,4480,120,360
161,4,37,38,29891,733,426,257,129,194,194,4627,120,360
162,4,38,39,30904,760,441,264,132,199,199,4779,120,360
163,4,39,40,31930,787,456,271,135,204,204,5536,120,360
164,4,40,-1,33033,817,473,278,139,210,210,5536,120,360
165,5,0,1,15538,410,172,138,48,104,84,240,192,288
166,5,1,2,15955,419,180,139,50,106,86,269,192,288
167,5,2,3,16442,429,189,140,53,108,88,318,192,288
168,5,3,4,16998,441,201,142,56,110,90,386,192,288
169,5,4,5,17624,455,214,144,61,113,93,409,192,288
170,5,5,6,18319,470,228,146,66,116,96,431,192,288
171,5,6,7,19084,486,243,148,71,119,99,526,192,288
172,5,7,8,19918,505,259,150,77,124,104,568,192,288
173,5,8,9,20822,525,278,153,83,129,109,597,192,288
174,5,9,10,21795,546,298,156,90,134,114,653,192,288
175,5,10,11,22838,569,319,159,97,140,120,731,192,288
176,5,11,12,23950,593,341,162,104,146,126,825,168,312
177,5,12,13,25132,618,364,165,112,152,132,954,168,312
178,5,13,14,26383,645,389,170,120,158,138,1126,168,312
179,5,14,15,27704,674,416,175,129,165,145,1252,168,312
180,5,15,16,29094,704,444,180,138,172,152,1390,168,312
181,5,16,17,30554,735,473,185,147,179,159,1623,168,312
182,5,17,18,32083,769,503,190,157,187,167,1823,168,312
183,5,18,19,33682,804,535,196,167,195,175,2059,168,312
184,5,19,20,35350,840,569,202,179,203,183,2349,168,312
185,5,20,21,37088,878,604,208,191,212,192,2595,168,312
186,5,21,22,38895,917,640,214,203,221,201,2900,144,336
187,5,22,23,40772,958,677,220,216,230,210,3237,144,336
188,5,23,24,42718,1000,716,227,229,239,219,3709,144,336
189,5,24,25,44734,1044,757,234,243,249,229,4086,144,336
190,5,25,26,46819,1089,799,241,257,259,239,4500,144,336
191,5,26,27,48974,1135,842,248,271,269,249,5232,144,336
192,5,27,28,51198,1184,886,255,286,281,261,5808,144,336
193,5,28,29,53492,1234,932,263,301,293,273,6414,144,336
194,5,29,30,55855,1285,979,271,317,305,285,7240,144,336
195,5,30,31,58288,1338,1028,279,333,318,298,7569,144,336
196,5,31,32,60790,1392,1078,287,349,331,311,7887,120,360
197,5,32,33,63327,1446,1129,295,366,344,324,8218,120,360
198,5,33,34,65899,1502,1180,303,383,357,337,8598,120,360
199,5,34,35,68506,1559,1232,312,400,370,350,8918,120,360
200,5,35,36,71147,1616,1285,321,417,383,363,9403,120,360
201,5,36,37,73823,1674,1338,330,434,397,377,9869,120,360
202,5,37,38,76534,1733,1392,339,453,411,391,10194,120,360
203,5,38,39,79280,1792,1446,348,472,425,405,10653,120,360
204,5,39,40,82060,1852,1502,357,491,439,419,11796,120,360
205,5,40,-1,85049,1917,1562,367,511,454,434,11796,120,360
206,6,0,1,15742,392,232,48,140,104,84,240,192,288
207,6,1,2,16159,401,240,49,142,106,86,269,192,288
208,6,2,3,16646,411,249,50,145,108,88,318,192,288
209,6,3,4,17202,423,261,52,148,110,90,386,192,288
210,6,4,5,17828,437,274,54,153,113,93,409,192,288
211,6,5,6,18523,452,288,56,158,116,96,431,192,288
212,6,6,7,19288,468,303,58,163,119,99,526,192,288
213,6,7,8,20122,487,319,60,169,124,104,568,192,288
214,6,8,9,21026,507,338,63,175,129,109,597,192,288
215,6,9,10,21999,528,358,66,182,134,114,653,192,288
216,6,10,11,23042,551,379,69,189,140,120,731,192,288
217,6,11,12,24154,575,401,72,196,146,126,825,168,312
218,6,12,13,25336,600,424,75,204,152,132,954,168,312
219,6,13,14,26587,627,449,80,212,158,138,1126,168,312
220,6,14,15,27908,656,476,85,221,165,145,1252,168,312
221,6,15,16,29298,686,504,90,230,172,152,1390,168,312
222,6,16,17,30758,717,533,95,239,179,159,1623,168,312
223,6,17,18,32287,751,563,100,249,187,167,1823,168,312
224,6,18,19,33886,786,595,106,259,195,175,2059,168,312
225,6,19,20,35554,822,629,112,271,203,183,2349,168,312
226,6,20,21,37292,860,664,118,283,212,192,2595,168,312
227,6,21,22,39099,899,700,124,295,221,201,2900,144,336
228,6,22,23,40976,940,737,130,308,230,210,3237,144,336
229,6,23,24,42922,982,776,137,321,239,219,3709,144,336
230,6,24,25,44938,1026,817,144,335,249,229,4086,144,336
231,6,25,26,47023,1071,859,151,349,259,239,4500,144,336
232,6,26,27,49178,1117,902,158,363,269,249,5232,144,336
233,6,27,28,51402,1166,946,165,378,281,261,5808,144,336
234,6,28,29,53696,1216,992,173,393,293,273,6414,144,336
235,6,29,30,56059,1267,1039,181,409,305,285,7240,144,336
236,6,30,31,58492,1320,1088,189,425,318,298,7569,144,336
237,6,31,32,60994,1374,1138,197,441,331,311,7887,120,360
238,6,32,33,63531,1428,1189,205,458,344,324,8218,120,360
239,6,33,34,66103,1484,1240,213,475,357,337,8598,120,360
240,6,34,35,68710,1541,1292,222,492,370,350,8918,120,360
241,6,35,36,71351,1598,1345,231,509,383,363,9403,120,360
242,6,36,37,74027,1656,1398,240,526,397,377,9869,120,360
243,6,37,38,76738,1715,1452,249,545,411,391,10194,120,360
244,6,38,39,79484,1774,1506,258,564,425,405,10653,120,360
245,6,39,40,82264,1834,1562,267,583,439,419,11796,120,360
246,6,40,-1,85253,1899,1622,277,603,454,434,11796,120,360
247,7,0,1,16974,498,282,110,120,110,120,240,192,288
248,7,1,2,17391,507,290,111,122,112,122,269,192,288
249,7,2,3,17878,517,299,112,125,114,124,318,192,288
250,7,3,4,18434,529,311,114,128,116,126,386,192,288
251,7,4,5,19060,543,324,116,133,119,129,409,192,288
252,7,5,6,19755,558,338,118,138,122,132,431,192,288
253,7,6,7,20520,574,353,120,143,125,135,526,192,288
254,7,7,8,21354,593,369,122,149,130,140,568,192,288
255,7,8,9,22258,613,388,125,155,135,145,597,192,288
256,7,9,10,23231,634,408,128,162,140,150,653,192,288
257,7,10,11,24274,657,429,131,169,146,156,731,192,288
258,7,11,12,25386,681,451,134,176,152,162,825,168,312
259,7,12,13,26568,706,474,137,184,158,168,954,168,312
260,7,13,14,27819,733,499,142,192,164,174,1126,168,312
261,7,14,15,29140,762,526,147,201,171,181,1252,168,312
262,7,15,16,30530,792,554,152,210,178,188,1390,168,312
263,7,16,17,31990,823,583,157,219,185,195,1623,168,312
264,7,17,18,33519,857,613,162,229,193,203,1823,168,312
265,7,18,19,35118,892,645,168,239,201,211,2059,168,312
266,7,19,20,36786,928,679,174,251,209,219,2349,168,312
267,7,20,21,38524,966,714,180,263,218,228,2595,168,312
268,7,21,22,40331,1005,750,186,275,227,237,2900,144,336
269,7,22,23,42208,1046,787,192,288,236,246,3237,144,336
270,7,23,24,44154,1088,826,199,301,245,255,3709,144,336
271,7,24,25,46170,1132,867,206,315,255,265,4086,144,336
272,7,25,26,48255,1177,909,213,329,265,275,4500,144,336
273,7,26,27,50410,1223,952,220,343,275,285,5232,144,336
274,7,27,28,52634,1272,996,227,358,287,297,5808,144,336
275,7,28,29,54928,1322,1042,235,373,299,309,6414,144,336
276,7,29,30,57291,1373,1089,243,389,311,321,7240,144,336
277,7,30,31,59724,1426,1138,251,405,324,334,7569,144,336
278,7,31,32,62226,1480,1188,259,421,337,347,7887,120,360
279,7,32,33,64763,1534,1239,267,438,350,360,8218,120,360
280,7,33,34,67335,1590,1290,275,455,363,373,8598,120,360
281,7,34,35,69942,1647,1342,284,472,376,386,8918,120,360
282,7,35,36,72583,1704,1395,293,489,389,399,9403,120,360
283,7,36,37,75259,1762,1448,302,506,403,413,9869,120,360
284,7,37,38,77970,1821,1502,311,525,417,427,10194,120,360
285,7,38,39,80716,1880,1556,320,544,431,441,10653,120,360
286,7,39,40,83496,1940,1612,329,563,445,455,11796,120,360
287,7,40,-1,86485,2005,1672,339,583,460,470,11796,120,360
288,8,0,1,29076,706,598,86,166,110,182,360,192,288
289,8,1,2,29908,727,612,91,171,113,185,463,192,288
290,8,2,3,30878,751,629,97,176,117,190,561,192,288
291,8,3,4,31987,779,648,103,181,123,195,698,192,288
292,8,4,5,33235,810,670,111,187,130,202,788,192,288
293,8,5,6,34621,845,693,119,193,137,209,913,192,288
294,8,6,7,36146,883,720,128,200,144,216,1049,192,288
295,8,7,8,37810,925,748,137,207,151,225,1243,192,288
296,8,8,9,39612,970,779,148,215,161,234,1386,192,288
297,8,9,10,41553,1018,811,159,223,171,244,1591,192,288
298,8,10,11,43633,1070,847,171,234,181,254,1729,192,288
299,8,11,12,45851,1125,884,183,245,191,264,1986,168,312
300,8,12,13,48208,1184,924,197,257,202,276,2198,168,312
301,8,13,14,50703,1246,966,211,269,215,288,2487,168,312
302,8,14,15,53337,1312,1011,226,282,229,302,2682,168,312
303,8,15,16,56110,1381,1057,241,295,243,316,2958,168,312
304,8,16,17,59021,1454,1107,258,308,257,330,3231,168,312
305,8,17,18,62071,1530,1158,275,321,271,346,3609,168,312
306,8,18,19,65260,1610,1212,293,335,288,362,3915,168,312
307,8,19,20,68587,1693,1268,311,349,305,379,4309,168,312
308,8,20,21,72053,1780,1327,331,366,322,396,4533,168,312
309,8,21,22,75658,1870,1387,351,383,339,413,4936,144,336
310,8,22,23,79401,1964,1451,372,401,357,432,5243,144,336
311,8,23,24,83283,2061,1516,393,419,377,451,5669,144,336
312,8,24,25,87303,2161,1584,416,438,398,472,5961,144,336
313,8,25,26,91462,2265,1653,439,457,419,493,6329,144,336
314,8,26,27,95760,2372,1726,463,477,440,514,6713,144,336
315,8,27,28,100196,2483,1800,487,497,461,537,7200,144,336
316,8,28,29,104771,2597,1877,513,517,485,560,7606,144,336
317,8,29,30,109485,2715,1956,539,537,509,584,8065,144,336
318,8,30,31,114337,2836,2038,566,560,533,608,8451,144,336
319,8,31,32,119328,2961,2121,593,583,557,632,8923,120,360
320,8,32,33,124388,3089,2205,620,606,582,658,9337,120,360
321,8,33,34,129518,3217,2292,649,630,607,684,9788,120,360
322,8,34,35,134717,3349,2378,678,654,634,710,10152,120,360
323,8,35,36,139985,3481,2466,707,678,661,736,10573,120,360
324,8,36,37,145323,3616,2555,736,702,688,762,11144,120,360
325,8,37,38,150730,3751,2646,766,727,716,790,11578,120,360
326,8,38,39,156206,3890,2736,796,752,744,818,12029,120,360
327,8,39,40,161752,4029,2829,826,777,772,846,13394,120,360
328,8,40,-1,167713,4178,2930,859,804,803,876,13394,120,360
329,9,0,1,29270,670,642,186,112,112,146,360,192,288
330,9,1,2,30102,691,656,191,117,115,149,463,192,288
331,9,2,3,31072,715,673,197,122,119,154,561,192,288
332,9,3,4,32181,743,692,203,127,125,159,698,192,288
333,9,4,5,33429,774,714,211,133,132,166,788,192,288
334,9,5,6,34815,809,737,219,139,139,173,913,192,288
335,9,6,7,36340,847,764,228,146,146,180,1049,192,288
336,9,7,8,38004,889,792,237,153,153,189,1243,192,288
337,9,8,9,39806,934,823,248,161,163,198,1386,192,288
338,9,9,10,41747,982,855,259,169,173,208,1591,192,288
339,9,10,11,43827,1034,891,271,180,183,218,1729,192,288
340,9,11,12,46045,1089,928,283,191,193,228,1986,168,312
341,9,12,13,48402,1148,968,297,203,204,240,2198,168,312
342,9,13,14,50897,1210,1010,311,215,217,252,2487,168,312
343,9,14,15,53531,1276,1055,326,228,231,266,2682,168,312
344,9,15,16,56304,1345,1101,341,241,245,280,2958,168,312
345,9,16,17,59215,1418,1151,358,254,259,294,3231,168,312
346,9,17,18,62265,1494,1202,375,267,273,310,3609,168,312
347,9,18,19,65454,1574,1256,393,281,290,326,3915,168,312
348,9,19,20,68781,1657,1312,411,295,307,343,4309,168,312
349,9,20,21,72247,1744,1371,431,312,324,360,4533,168,312
350,9,21,22,75852,1834,1431,451,329,341,377,4936,144,336
351,9,22,23,79595,1928,1495,472,347,359,396,5243,144,336
352,9,23,24,83477,2025,1560,493,365,379,415,5669,144,336
353,9,24,25,87497,2125,1628,516,384,400,436,5961,144,336
354,9,25,26,91656,2229,1697,539,403,421,457,6329,144,336
355,9,26,27,95954,2336,1770,563,423,442,478,6713,144,336
356,9,27,28,100390,2447,1844,587,443,463,501,7200,144,336
357,9,28,29,104965,2561,1921,613,463,487,524,7606,144,336
358,9,29,30,109679,2679,2000,639,483,511,548,8065,144,336
359,9,30,31,114531,2800,2082,666,506,535,572,8451,144,336
360,9,31,32,119522,2925,2165,693,529,559,596,8923,120,360
361,9,32,33,124582,3053,2249,720,552,584,622,9337,120,360
362,9,33,34,129712,3181,2336,749,576,609,648,9788,120,360
363,9,34,35,134911,3313,2422,778,600,636,674,10152,120,360
364,9,35,36,140179,3445,2510,807,624,663,700,10573,120,360
365,9,36,37,145517,3580,2599,836,648,690,726,11144,120,360
366,9,37,38,150924,3715,2690,866,673,718,754,11578,120,360
367,9,38,39,156400,3854,2780,896,698,746,782,12029,120,360
368,9,39,40,161946,3993,2873,926,723,774,810,13394,120,360
369,9,40,-1,167907,4142,2974,959,750,805,840,13394,120,360
370,10,0,1,31946,764,754,218,110,120,198,360,192,288
371,10,1,2,32778,785,768,223,115,123,201,463,192,288
372,10,2,3,33748,809,785,229,120,127,206,561,192,288
373,10,3,4,34857,837,804,235,125,133,211,698,192,288
374,10,4,5,36105,868,826,243,131,140,218,788,192,288
375,10,5,6,37491,903,849,251,137,147,225,913,192,288
376,10,6,7,39016,941,876,260,144,154,232,1049,192,288
377,10,7,8,40680,983,904,269,151,161,241,1243,192,288
378,10,8,9,42482,1028,935,280,159,171,250,1386,192,288
379,10,9,10,44423,1076,967,291,167,181,260,1591,192,288
380,10,10,11,46503,1128,1003,303,178,191,270,1729,192,288
381,10,11,12,48721,1183,1040,315,189,201,280,1986,168,312
382,10,12,13,51078,1242,1080,329,201,212,292,2198,168,312
383,10,13,14,53573,1304,1122,343,213,225,304,2487,168,312
384,10,14,15,56207,1370,1167,358,226,239,318,2682,168,312
385,10,15,16,58980,1439,1213,373,239,253,332,2958,168,312
386,10,16,17,61891,1512,1263,390,252,267,346,3231,168,312
387,10,17,18,64941,1588,1314,407,265,281,362,3609,168,312
388,10,18,19,68130,1668,1368,425,279,298,378,3915,168,312
389,10,19,20,71457,1751,1424,443,293,315,395,4309,168,312
390,10,20,21,74923,1838,1483,463,310,332,412,4533,168,312
391,10,21,22,78528,1928,1543,483,327,349,429,4936,144,336
392,10,22,23,82271,2022,1607,504,345,367,448,5243,144,336
393,10,23,24,86153,2119,1672,525,363,387,467,5669,144,336
394,10,24,25,90173,2219,1740,548,382,408,488,5961,144,336
395,10,25,26,94332,2323,1809,571,401,429,509,6329,144,336
396,10,26,27,98630,2430,1882,595,421,450,530,6713,144,336
397,10,27,28,103066,2541,1956,619,441,471,553,7200,144,336
398,10,28,29,107641,2655,2033,645,461,495,576,7606,144,336
399,10,29,30,112355,2773,2112,671,481,519,600,8065,144,336
400,10,30,31,117207,2894,2194,698,504,543,624,8451,144,336
401,10,31,32,122198,3019,2277,725,527,567,648,8923,120,360
402,10,32,33,127258,3147,2361,752,550,592,674,9337,120,360
403,10,33,34,132388,3275,2448,781,574,617,700,9788,120,360
404,10,34,35,137587,3407,2534,810,598,644,726,10152,120,360
405,10,35,36,142855,3539,2622,839,622,671,752,10573,120,360
406,10,36,37,148193,3674,2711,868,646,698,778,11144,120,360
407,10,37,38,153600,3809,2802,898,671,726,806,11578,120,360
408,10,38,39,159076,3948,2892,928,696,754,834,12029,120,360
409,10,39,40,164622,4087,2985,958,721,782,862,13394,120,360
410,10,40,-1,170583,4236,3086,991,748,813,892,13394,120,360
