id,bagid,objectid,star,percent
237,10849,143165040,2,3000
238,10849,143165040,3,1000
239,10849,143165040,4,1000
240,10849,143165040,5,0
241,10849,143164040,0,0
242,10849,143164040,1,5000
243,10849,143164040,2,3000
244,10849,143164040,3,1000
245,10849,143164040,4,1000
246,10849,143164040,5,0
247,10849,143163040,0,0
248,10849,143163040,1,5000
249,10849,143163040,2,3000
250,10849,143163040,3,1000
251,10849,143163040,4,1000
252,10849,143163040,5,0
253,10849,142166040,0,0
254,10849,142166040,1,5000
255,10849,142166040,2,3000
256,10849,142166040,3,1000
257,10849,142166040,4,1000
258,10849,142166040,5,0
259,10849,142165040,0,0
260,10849,142165040,1,5000
261,10849,142165040,2,3000
262,10849,142165040,3,1000
263,10849,142165040,4,1000
264,10849,142165040,5,0
265,10849,142164040,0,0
266,10849,142164040,1,5000
267,10849,142164040,2,3000
268,10849,142164040,3,1000
269,10849,142164040,4,1000
270,10849,142164040,5,0
271,10849,142163040,0,0
272,10849,142163040,1,5000
273,10849,142163040,2,3000
274,10849,142163040,3,1000
275,10849,142163040,4,1000
276,10849,142163040,5,0
277,10849,141166040,0,0
278,10849,141166040,1,5000
279,10849,141166040,2,3000
280,10849,141166040,3,1000
281,10849,141166040,4,1000
282,10849,141166040,5,0
283,10849,141165040,0,0
284,10849,141165040,1,5000
285,10849,141165040,2,3000
286,10849,141165040,3,1000
287,10849,141165040,4,1000
288,10849,141165040,5,0
289,10849,141164040,0,0
290,10849,141164040,1,5000
291,10849,141164040,2,3000
292,10849,141164040,3,1000
293,10849,141164040,4,1000
294,10849,141164040,5,0
295,10849,141163040,0,0
296,10849,141163040,1,5000
297,10849,141163040,2,3000
298,10849,141163040,3,1000
299,10849,141163040,4,1000
300,10849,141163040,5,0
301,10850,144166060,0,0
302,10850,144166060,1,5000
303,10850,144166060,2,4000
304,10850,144166060,3,1000
305,10850,144166060,4,0
306,10850,144166060,5,0
307,10850,144165060,0,0
308,10850,144165060,1,5000
309,10850,144165060,2,4000
310,10850,144165060,3,1000
311,10850,144165060,4,0
312,10850,144165060,5,0
313,10850,144164060,0,0
314,10850,144164060,1,5000
315,10850,144164060,2,4000
316,10850,144164060,3,1000
317,10850,144164060,4,0
318,10850,144164060,5,0
319,10850,144163060,0,0
320,10850,144163060,1,5000
321,10850,144163060,2,4000
322,10850,144163060,3,1000
323,10850,144163060,4,0
324,10850,144163060,5,0
325,10850,143166060,0,0
326,10850,143166060,1,5000
327,10850,143166060,2,4000
328,10850,143166060,3,1000
329,10850,143166060,4,0
330,10850,143166060,5,0
331,10850,143165060,0,0
332,10850,143165060,1,5000
333,10850,143165060,2,4000
334,10850,143165060,3,1000
335,10850,143165060,4,0
336,10850,143165060,5,0
337,10850,143164060,0,0
338,10850,143164060,1,5000
339,10850,143164060,2,4000
340,10850,143164060,3,1000
341,10850,143164060,4,0
342,10850,143164060,5,0
343,10850,143163060,0,0
344,10850,143163060,1,5000
345,10850,143163060,2,4000
346,10850,143163060,3,1000
347,10850,143163060,4,0
348,10850,143163060,5,0
349,10850,142166060,0,0
350,10850,142166060,1,5000
351,10850,142166060,2,4000
352,10850,142166060,3,1000
353,10850,142166060,4,0
354,10850,142166060,5,0
355,10850,142165060,0,0
356,10850,142165060,1,5000
357,10850,142165060,2,4000
358,10850,142165060,3,1000
359,10850,142165060,4,0
360,10850,142165060,5,0
361,10850,142164060,0,0
362,10850,142164060,1,5000
363,10850,142164060,2,4000
364,10850,142164060,3,1000
365,10850,142164060,4,0
366,10850,142164060,5,0
367,10850,142163060,0,0
368,10850,142163060,1,5000
369,10850,142163060,2,4000
370,10850,142163060,3,1000
371,10850,142163060,4,0
372,10850,142163060,5,0
