id,rank,answer,istrue
323,81,大拇指,0
324,81,食指,0
325,82,琵琶,1
326,82,起重机,0
327,82,缝纫机,0
328,82,挖掘机,0
329,83,诗经,1
330,83,劲歌金曲,0
331,83,欧美金曲,0
332,83,流行金曲,0
333,84,蚊子,1
334,84,独角兽,0
335,84,美人鱼,0
336,84,大鹏鸟,0
337,85,曹操,1
338,85,斯大林,0
339,85,罗斯福,0
340,85,杜鲁门,0
341,86,孙武,1
342,86,爷爷,0
343,86,爸爸,0
344,86,哥哥,0
345,87,2008年,1
346,87,233年,0
347,87,109年,0
348,87,801年,0
349,88,嘿嘿嘿,1
350,88,更高,0
351,88,更快,0
352,88,更强,0
353,89,金刚石,1
354,89,豆腐,0
355,89,凉粉,0
356,89,豆花,0
357,90,黄鼠狼,1
358,90,凤凰,0
359,90,神龙,0
360,90,玄武,0
361,91,道家,1
362,91,我家,0
363,91,你家,0
364,91,别人家,0
365,92,石墨,1
366,92,萝卜,0
367,92,白菜,0
368,92,豆芽,0
369,93,灵芝,1
370,93,美元,0
371,93,人民币,0
372,93,日元,0
373,94,蜗牛,1
374,94,兔子,0
375,94,猫,0
376,94,狗,0
377,95,欧阳修,1
378,95,哆啦A梦,0
379,95,毛利小五郎,0
380,95,蜡笔小新,0
381,96,玄奘,1
382,96,阿大,0
383,96,阿二,0
384,96,阿三,0
385,97,孙思邈,1
386,97,爱因斯坦,0
387,97,南丁格尔,0
388,97,白求恩,0
389,98,聂耳,1
390,98,曹操,0
391,98,刘备,0
392,98,孙权,0
393,99,24个,1
394,99,1个,0
395,99,100个,0
396,99,1000个,0
397,100,鸟,1
398,100,轰炸机,0
399,100,机器人,0
400,100,挖掘机,0
401,101,勾践,1
402,101,米老鼠,0
403,101,唐老鸭,0
404,101,汤姆猫,0
405,102,新疆,1
406,102,冰岛,0
407,102,波兰,0
408,102,奥地利,0
409,103,跑步,1
410,103,坐飞机,0
411,103,坐火车,0
412,103,坐船,0
413,104,驾车,1
414,104,玩电脑,0
415,104,玩手机,0
416,104,玩游戏,0
417,105,口吃,1
418,105,跳舞,0
419,105,骂人,0
420,105,打人,0
421,106,王子,1
422,106,路人甲,0
423,106,路人乙,0
424,106,路人丙,0
425,107,舅舅,1
426,107,妈妈,0
427,107,姐姐,0
428,107,奶奶,0
429,108,谭嗣同,1
430,108,朱可夫,0
431,108,隆美尔,0
432,108,麦克阿瑟,0
433,109,曹操,1
434,109,亚瑟王,0
435,109,兰斯洛特,0
436,109,邓布利多,0
437,110,黑白灰色,1
438,110,红色,0
439,110,绿色,0
440,110,金色,0
441,111,莲花,1
442,111,狮子,0
443,111,老虎,0
444,111,豹子,0
445,112,狗,1
446,112,板砖,0
447,112,塑料,0
448,112,钢板,0
449,113,莱特兄弟,1
450,113,关羽,0
451,113,张飞,0
452,113,刘备,0
453,114,阿姆斯特朗,1
454,114,武松,0
455,114,鲁智深,0
456,114,林冲,0
457,115,超声波,1
458,115,魔法,0
459,115,机械,0
460,115,超能力,0
461,116,美国,1
462,116,古埃及,0
463,116,古印度,0
464,116,古巴比伦,0
465,117,屈原,1
466,117,哈利波特,0
467,117,邓布利多,0
468,117,甘道夫,0
469,118,119,1
470,118,10000,0
471,118,12306,0
472,118,10086,0
473,119,4个,1
474,119,1个,0
475,119,12个,0
476,119,24个,0
477,120,大熊猫,1
478,120,鲨鱼,0
479,120,浣熊,0
480,120,袋鼠,0
481,121,鼠,1
482,121,猪,0
483,121,龙,0
484,121,牛,0
485,122,和氏璧,1
486,122,砖墙,0
487,122,柏林墙,0
488,122,承重墙,0
489,123,南昌起义,1
490,123,太平天国,0
491,123,巴黎公社,0
492,123,黄巾起义,0
493,124,关羽,1
494,124,西方失败,0
495,124,北方常败,0
496,124,东方不败,0
497,125,宋太祖,1
498,125,纪晓岚,0
499,125,刘罗锅,0
500,125,和珅,0
501,126,李世民,1
502,126,查理曼,0
503,126,亚瑟,0
504,126,基辛格,0
505,127,秦始皇,1
506,127,希特勒,0
507,127,墨索里尼,0
508,127,东条英机,0
509,128,木乃伊,1
510,128,木姨奶,0
511,128,僵尸,0
512,128,丧尸,0
513,129,北京,1
514,129,多伦多,0
515,129,悉尼,0
516,129,巴西利亚,0
517,130,定海神针,1
518,130,定山神针,0
519,130,定河神针,0
520,130,定界神针,0
521,131,铁扇公主,1
522,131,铁琵琶公主,0
523,131,铁甲面公主,0
524,131,铁人公主,0
525,132,萧敬腾,1
526,132,野比大雄,0
527,132,哆啦A梦,0
528,132,胖虎,0
529,133,蛇妖,1
530,133,可乐妖,0
531,133,薯片妖,0
532,133,汉堡妖,0
533,134,铁木真,1
534,134,铜木真,0
535,134,铁石真,0
536,134,铜石真,0
537,135,道教,1
538,135,犹太教,0
539,135,印度教,0
540,135,基督教,0
541,136,摩西,1
542,136,摩东,0
543,136,摩南,0
544,136,摩北,0
545,137,菩提树,1
546,137,苹果树,0
547,137,椰子树,0
548,137,李子树,0
549,138,培根,1
550,138,腊肉,0
551,138,熏肉,0
552,138,咸肉,0
553,139,维纳斯,1
554,139,元始天尊,0
555,139,灵宝天尊,0
556,139,道德天尊,0
557,140,紫禁城,1
558,140,黄金城,0
559,140,蓝禁城,0
560,140,白金城,0
561,141,蓝鲸,1
562,141,人类,0
563,141,老鼠,0
564,141,兔子,0
565,142,鸵鸟,1
566,142,蜗牛,0
567,142,乌龟,0
568,142,树懒,0
569,143,浮游生物,1
570,143,鞋子,0
571,143,铁罐,0
572,143,钢管,0
573,144,月亮,1
574,144,天狗,0
575,144,飞机,0
576,144,鸟类,0
577,145,一个月,1
578,145,一秒,0
579,145,一分,0
580,145,一百年,0
581,146,鹦鹉,1
582,146,鸵鸟,0
583,146,企鹅,0
584,146,乌鸦,0
585,147,袋鼠,1
586,147,蚊子,0
587,147,苍蝇,0
588,147,蟑螂,0
589,148,猎豹,1
590,148,松鼠,0
591,148,仓鼠,0
592,148,老鼠,0
593,149,塞万提斯,1
594,149,塞百提斯,0
595,149,塞千提斯,0
596,149,塞亿提斯,0
597,150,英国,1
598,150,孟加拉国,0
599,150,梵蒂冈,0
600,150,刚果,0
601,151,1991年,1
602,151,2077年,0
603,151,1900年,0
604,151,1046年,0
605,152,陈寿,1
606,152,雨果,0
607,152,大仲马,0
608,152,小仲马,0
609,153,蹴鞠,1
610,153,摔跤,0
611,153,赛马,0
612,153,射箭,0
613,154,六分之一,1
614,154,百分之一,0
615,154,千分之一,0
616,154,万分之一,0
617,155,飞机,1
618,155,指南针,0
619,155,火药,0
620,155,造纸术,0
621,156,长江,1
622,156,赣江,0
623,156,岷江,0
624,156,黑龙江,0
625,157,100度,1
626,157,1000度,0
627,157,0度,0
628,157,10度,0
629,158,蝌蚪,1
630,158,阿斗,0
631,158,魂斗罗,0
632,158,豆豆,0
633,159,张果老,1
634,159,耶稣,0
635,159,保罗,0
636,159,彼得,0
637,160,肺,1
638,160,氧气罩,0
639,160,魔法,0
640,160,符咒,0
641,161,东海,1
642,161,死海,0
643,161,爱琴海,0
644,161,地中海,0
645,162,葡萄糖,1
646,162,火药,0
647,162,面粉,0
648,162,洗衣粉,0
649,163,张道陵,1
650,163,耶稣,0
651,163,穆罕穆德,0
652,163,乔达摩悉达多,0
653,164,蟠桃,1
654,164,火炮,0
655,164,刀剑,0
656,164,键盘,0
657,165,圣诞老人,1
658,165,张角,0
659,165,张宝,0
660,165,张梁,0
661,166,神魔小说,1
662,166,现代小说,0
663,166,网络小说,0
664,166,当代小说,0
665,167,苏妲己,1
666,167,王矮虎,0
667,167,猪八戒,0
668,167,武大郎,0
669,168,褒姒,1
670,168,刘德华,0
671,168,张学友,0
672,168,黎明,0
673,169,四川,1
674,169,柬埔寨,0
675,169,越南,0
676,169,老挝,0
677,170,西王母,1
678,170,奥特曼,0
679,170,铁血战士,0
680,170,异形,0
681,171,牛,1
682,171,葡萄,0
683,171,李子,0
684,171,桃子,0
685,172,袁绍,1
686,172,威廉华莱士,0
687,172,织田信长,0
688,172,萨拉丁,0
689,173,吕布,1
690,173,通天教主,0
691,173,玉皇大帝,0
692,173,托塔天王,0
693,174,元始天尊,1
694,174,苏格拉底,0
695,174,耶稣,0
696,174,诸葛亮,0
697,175,秦王嬴政,1
698,175,袁世凯,0
699,175,丰臣秀吉,0
700,175,俾斯麦,0
701,176,隋朝,1
702,176,夏朝,0
703,176,商朝,0
704,176,周朝,0
705,177,华佗,1
706,177,孟德尔,0
707,177,佛洛伊德,0
708,177,爱因斯坦,0
709,178,苏轼,1
710,178,巴斯光年,0
711,178,蛋头先生,0
712,178,警长胡迪,0
713,179,豹子头,1
714,179,狮子头,0
715,179,老虎头,0
716,179,熊猫头,0
717,180,道教,1
718,180,佛教,0
719,180,基督教,0
720,180,伊斯兰教,0
721,181,0,1
722,181,50,0
723,181,100,0
724,181,1000,0
725,182,时间,1
726,182,金,0
727,182,木,0
728,182,水,0
729,183,东北虎,1
730,183,狸花猫,0
731,183,花豹,0
732,183,猞猁,0
733,184,楚汉战争,1
734,184,波黑战争,0
735,184,海湾战争,0
736,184,鸦片战争,0
737,185,晚上,1
738,185,一千年后,0
739,185,一万年后,0
740,185,百万年后,0
741,186,李靖,1
742,186,扎克伯格,0
743,186,G胖,0
744,186,比尔盖茨,0
745,187,陈胜,1
746,187,斯巴达克斯,0
747,187,甘地,0
748,187,华莱士,0
749,188,六耳猕猴,1
750,188,百耳猕猴桃,0
751,188,千耳猕猴桃,0
752,188,万耳猕猴桃,0
753,189,太阳,1
754,189,天璇,0
755,189,天玑,0
756,189,天权,0
757,190,岳阳楼记,1
758,190,星球大战,0
759,190,哈利波特,0
760,190,魔戒,0
761,191,大都,1
762,191,纽约,0
763,191,香港,0
764,191,瑞士,0
765,192,西汉,1
766,192,现代,0
767,192,清朝,0
768,192,民国,0
769,193,黄帝内经,1
770,193,金刚经,0
771,193,易筋经,0
772,193,天魔经,0
773,194,马六甲海峡,1
774,194,巫峡,0
775,194,瞿塘峡,0
776,194,西陵峡,0
777,195,打击乐器,1
778,195,吹奏乐器,0
779,195,拉弦乐器,0
780,195,电子乐器,0
781,196,青龙偃月刀,1
782,196,如意金箍棒,0
783,196,AK47,0
784,196,加特林,0
785,197,燧人氏,1
786,197,普罗米修斯,0
787,197,阿胡拉玛兹达,0
788,197,湿婆,0
789,198,阿拉丁,1
790,198,阿拉甲,0
791,198,阿拉乙,0
792,198,阿拉丙,0
793,199,九个,1
794,199,零个,0
795,199,五十个,0
796,199,一百个,0
797,200,五色石,1
798,200,胆结石,0
799,200,肾结石,0
800,200,膀胱结石,0
