id,skillid,profession,name,icon,typeId,cd,distance,luaname,skilltime,islock,picture,pciture_enemy
58,300007,0,给主人加血,0,4,10000,100000,skill_300007,1,0,-1,-1
59,300008,0,天火（战神殿三层）,0,4,25000,100000,skill_300008,1,0,-1,-1
60,300009,0,降防（战神殿四层）,0,4,25000,100000,skill_300009,1,0,-1,-1
61,300010,0,召唤（战神殿五层）,0,4,25000,100000,skill_300010,1,0,-1,-1
62,300011,0,变身（战神殿六层）,0,4,25000,100000,skill_300011,1,0,-1,-1
63,300012,0,石化（战神殿七层）,0,4,20000,100000,skill_300012,1,0,-1,-1
64,300013,0,新手本,0,4,15000,100000,skill_300013,1,0,-1,-1
65,300014,0,轮回塔一层,-1,4,20000,8,skill_300014,2000,0,-1,-1
66,300015,0,轮回塔二层,-1,4,45000,8,skill_300015,3000,0,-1,-1
67,300016,0,轮回塔三层,-1,4,20000,8,skill_300016,1,0,-1,-1
68,300017,0,轮回塔四层,-1,4,45000,8,skill_300017,1,0,-1,-1
69,300018,0,轮回塔五层,-1,4,30000,8,skill_300018,6500,0,-1,-1
70,300019,0,轮回塔六层,-1,4,45000,8,skill_300019,1,0,-1,-1
71,300024,0,轮回塔七层技能1,-1,4,30000,10,skill_300024,4000,1,-1,-1
72,300025,0,轮回塔七层技能2,-1,4,120000,10,skill_300025,2000,1,-1,-1
73,300026,0,轮回塔八层技能1,-1,4,30000,10,skill_300026,2000,1,-1,-1
74,300027,0,轮回塔八层技能2,-1,4,20000,10,skill_300027,0,1,-1,-1
75,300020,0,终极囚天,-1,4,30000,8,skill_300020,6000,0,-1,-1
76,700001,0,极·雷泽,0,4,15000,2,skill_700001,0,1,-1,-1
77,700002,0,真·雷泽,0,4,15000,2,skill_700001,0,1,-1,-1
78,700003,0,强·雷泽,0,4,15000,2,skill_700001,0,1,-1,-1
79,700004,0,初·雷泽,0,4,15000,2,skill_700001,0,1,-1,-1
80,700005,0,极·滴水,0,4,20000,2,skill_700005,0,1,-1,-1
81,700006,0,真·滴水,0,4,20000,2,skill_700005,0,1,-1,-1
82,700007,0,强·滴水,0,4,20000,2,skill_700005,0,1,-1,-1
83,700008,0,初·滴水,0,4,20000,2,skill_700005,0,1,-1,-1
84,700009,0,极·雷神,0,4,15000,2,skill_700009,0,1,-1,-1
85,700010,0,真·雷神,0,4,15000,2,skill_700009,0,1,-1,-1
86,700011,0,强·雷神,0,4,15000,2,skill_700009,0,1,-1,-1
87,700012,0,初·雷神,0,4,15000,2,skill_700009,0,1,-1,-1
88,700013,0,极·炼魔,0,4,15000,2,skill_700013,0,1,-1,-1
89,700014,0,真·炼魔,0,4,15000,2,skill_700013,0,1,-1,-1
90,700015,0,强·炼魔,0,4,15000,2,skill_700013,0,1,-1,-1
91,700016,0,初·炼魔,0,4,15000,2,skill_700013,0,1,-1,-1
92,700017,0,极·九元,0,4,10000,2,skill_700017,0,1,-1,-1
93,700018,0,真·九元,0,4,10000,2,skill_700017,0,1,-1,-1
94,700019,0,强·九元,0,4,10000,2,skill_700017,0,1,-1,-1
95,700020,0,初·九元,0,4,10000,2,skill_700017,0,1,-1,-1
96,700021,0,极·水元,0,4,15000,2,skill_700021,0,1,-1,-1
97,700022,0,真·水元,0,4,15000,2,skill_700021,0,1,-1,-1
98,700023,0,强·水元,0,4,15000,2,skill_700021,0,1,-1,-1
99,700024,0,初·水元,0,4,15000,2,skill_700021,0,1,-1,-1
100,700025,0,极·烈火,0,4,20000,2,skill_700025,0,1,-1,-1
101,700026,0,真·烈火,0,4,20000,2,skill_700025,0,1,-1,-1
102,700027,0,强·烈火,0,4,20000,2,skill_700025,0,1,-1,-1
103,700028,0,初·烈火,0,4,20000,2,skill_700025,0,1,-1,-1
104,700029,0,极·幻星,0,4,10000,2,skill_700029,0,1,-1,-1
105,700030,0,真·幻星,0,4,10000,2,skill_700029,0,1,-1,-1
106,700031,0,强·幻星,0,4,10000,2,skill_700029,0,1,-1,-1
107,700032,0,初·幻星,0,4,10000,2,skill_700029,0,1,-1,-1
108,700033,0,极·撼神,0,4,25000,2,skill_700033,0,1,-1,-1
109,700034,0,真·撼神,0,4,25000,2,skill_700033,0,1,-1,-1
110,700035,0,强·撼神,0,4,25000,2,skill_700033,0,1,-1,-1
111,700036,0,初·撼神,0,4,25000,2,skill_700033,0,1,-1,-1
112,700037,0,极·羽裳,0,4,30000,2,skill_700037,0,1,-1,-1
113,700038,0,真·羽裳,0,4,30000,2,skill_700037,0,1,-1,-1
114,700039,0,强·羽裳,0,4,30000,2,skill_700037,0,1,-1,-1
115,700040,0,初·羽裳,0,4,30000,2,skill_700037,0,1,-1,-1
116,900,0,熊攻击,-1,0,3000,3,skill_900,1000,1,-1,-1
117,901,0,熊攻击,-1,0,3000,3,skill_901,1000,1,-1,-1
118,902,0,熊攻击,-1,0,3000,5,skill_902,1000,1,-1,-1
119,903,0,熊攻击,-1,0,3000,4,skill_903,1000,1,-1,-1
120,904,0,熊攻击,-1,0,3000,5,skill_904,1000,1,-1,-1
121,905,0,熊攻击,-1,0,3000,5,skill_905,1000,1,-1,-1
122,906,0,熊攻击,-1,0,3000,3,skill_906,1000,1,-1,-1
123,907,0,熊攻击,-1,0,3000,5,skill_907,1000,1,-1,-1
124,908,0,熊攻击,-1,0,3000,3,skill_908,1000,1,-1,-1
125,909,0,熊攻击,-1,0,3000,4,skill_909,1000,1,-1,-1
126,910,0,熊攻击,-1,0,3000,2,skill_910,1000,1,-1,-1
127,911,0,熊攻击,-1,0,3000,4,skill_911,1000,1,-1,-1
128,912,0,熊攻击,-1,0,3000,2,skill_912,1000,1,-1,-1
129,913,0,熊攻击,-1,0,3000,5,skill_913,1000,1,-1,-1
130,914,0,熊攻击,-1,0,3000,5,skill_914,1000,1,-1,-1
131,915,0,熊攻击,-1,0,3000,5,skill_915,1000,1,-1,-1
132,916,0,熊攻击,-1,0,3000,13,skill_916,1000,1,-1,-1
133,919,0,熊攻击,-1,0,3000,3,skill_919,1000,1,-1,-1
134,917,0,熊攻击,-1,0,3000,4,skill_917,1000,1,-1,-1
135,918,0,熊攻击,-1,0,3000,4,skill_918,1000,1,-1,-1
136,800001,0,神念荡魂,800001,5,60000,8,skill_800001,0,1,100004,200004
137,800002,0,狂心戮魔,800002,5,60000,-1,skill_800002,0,0,100005,200005
138,800003,0,不破金像,800003,5,60000,-1,skill_800003,0,0,100006,200006
139,800004,0,混沌禁制,800004,6,30000,-1,skill_800004,0,1,100007,200007
140,800005,0,破军灵言,800005,6,60000,-1,skill_800005,0,1,100008,200008
141,800006,0,会心一击,800006,6,0,-1,skill_800006,0,1,100009,200009
142,800007,0,九转玄功,800007,6,0,-1,skill_800007,0,1,-1,-1
143,800008,0,盘古神力,800008,6,0,-1,skill_800008,0,1,-1,-1
144,810001,0,魔戒技能增加经验,810001,7,-1,-1,skill_810001,0,0,-1,-1
145,810002,0,魔戒技能增加对野外boss伤害,810002,7,-1,-1,skill_810002,0,0,-1,-1
146,300021,0,打碎雕像，周围小怪防御降低{0},-1,4,20000,-1,skill_300021,0,0,-1,-1
147,300022,0,周任务:恢复周围怪物血量,-1,4,20000,-1,skill_300022,0,0,-1,-1
148,300023,0,周任务:boss伤害技能,-1,4,20000,10,skill_300023,0,1,-1,-1
149,401001,0,金守卫攻击,暴击率固定为75%（与敌方韧性无关），被攻击的敌方单位有50%几率眩晕1秒,-1,4,2000,6,skill_401001,0,1,-1,-1
150,400101,0,守卫1.1,-1,4,2000,6,skill_400101,0,1,-1,-1
151,400102,0,守卫1.2 所有塔的攻击力百分比提高,-1,4,2000,6,skill_400102,0,1,-1,-1
152,400103,0,守卫1.3 攻击间隔缩短, 所有塔的攻击力百分比提高（加法）,-1,4,2000,6,skill_400103,0,1,-1,-1
153,400201,0,守卫2.1 攻击范围内攻击的敌人数量为3，被攻击的敌人会被减速10% 3秒 不叠加,-1,4,2000,6,skill_400201,0,0,-1,-1
154,400202,0,守卫2.2 攻击范围内攻击的敌人数量为4，被攻击的敌人会被减速20% 3秒 不叠加,-1,4,2000,6,skill_400202,0,0,-1,-1
155,400203,0,守卫2.3 攻击范围内攻击的敌人数量为5，被攻击的敌人会被减速30% 3秒 不叠加,-1,4,2000,6,skill_400203,0,0,-1,-1
156,400301,0,守卫3.1,-1,4,2000,6,skill_400301,0,1,-1,-1
157,400302,0,守卫3.2 守卫暴击率固定为50%（与敌方韧性无关）,-1,4,2000,6,skill_400302,0,1,-1,-1
158,400303,0,守卫3.3 守卫暴击率固定为75%（与敌方韧性无关），被攻击的敌方单位有50%几率眩晕1秒,-1,4,2000,6,skill_400303,0,1,-1,-1
159,400401,0,守卫4.1 攻击范围内的所有敌人,-1,4,2000,6,skill_400401,0,1,-1,-1
160,400402,0,守卫4.2 攻击范围内所有敌人，范围扩大,-1,4,2000,6,skill_400402,0,1,-1,-1
161,400403,0,守卫4.3 攻击范围内所有敌人，范围扩大，无视敌方防御,-1,4,2000,6,skill_400403,0,1,-1,-1
162,300028,0,在脚底召唤出1个减攻击的阵法，停留在区域内的玩家攻击减少50%，半径为6，持续10s，cd15s。法阵不随boss移动,延迟10s,-1,4,15000,10,skill_300028,2000,1,-1,-1
163,300029,0,随机其中一个玩家脚底出现一个半径为2的区域，5秒预警，之后区域内的话将会被强制移动到地图上的一点。cd15s,延迟10s,-1,4,15000,10,skill_300029,0,1,-1,-1
164,300030,0,boss形成15s的保护罩，然后将10秒内受到的伤害反弹给半径为6内的玩家.15秒内boss不会移动不会攻击，cd20s，延迟10s,-1,4,20000,10,skill_300030,12000,1,-1,-1
165,300031,0,8秒预警，全屏释放冲击波，在场景中有一块半径为3区域可以躲避，在区域外的玩家被冰冻5秒，cd20s，延迟20s,-1,4,20000,10,skill_300031,9000,1,-1,-1
166,300032,0,预警5秒，半径为5的范围内的玩家被沉默5秒，cd20s，延迟10s,-1,4,20000,10,skill_300032,6000,1,-1,-1
167,300033,0,在半径为8的圆内随机选择5个半径为3的范围预警5秒，然后爆炸，造成伤害并眩晕敌人，cd20s，延迟10s,-1,4,20000,10,skill_300033,6000,1,-1,-1
168,300034,0,扇形喷吐,-1,4,4000,8,skill_300034,0,1,-1,-1
169,700086,0,红雪天神主动:对目标造成200%伤害，并降低目标20%防御，持续5s,-1,4,30000,5,skill_700086,1,1,-1,-1
170,700087,0,余薇主动:对圆形范围内敌人造成150%伤害，并附带灼烧，每秒减少1%生命上限的血量，持续5s,-1,4,30000,5,skill_700087,1,1,-1,-1
171,700088,0,九莲主动:给玩家增加回血buff,每秒回复2000+最大生命值1%的血量，持续5s,-1,4,30000,0,skill_700088,1,0,-1,-1
172,700089,0,孙悟空主动:对目标造成320%的伤害，并眩晕敌人，持续2s,-1,4,30000,3,skill_700089,1,1,-1,-1
173,700091,0,纪宁主动:对圆形范围内敌人造成250%伤害，并使目标沉默4s,-1,4,30000,4,skill_700091,1,1,-1,-1
174,700095,0,木子朔主动:召唤攻击傀儡，每秒对目标造成100%的伤害，持续10s,-1,4,30000,5,skill_700095,1,1,-1,-1
