id,profession,equipid,equipsuit,equipplace,hp,minAttack,maxAttack,minDef,maxDef,strengthmax,kind,fire,ice,poison,dark,wind,resistance,atk_percent
127,3,145151320,1,1,0,0,0,13,30,32,1,0,0,0,0,0,0,0
128,1,143151120,1,1,0,0,0,63,147,32,1,0,0,0,0,0,0,0
129,1,144162120,2,12,0,43,100,0,0,32,1,0,0,0,0,0,0,0
130,2,144159220,2,9,0,32,75,0,0,32,1,0,0,0,0,0,0,0
131,2,145155220,1,5,1350,0,0,0,0,32,1,0,0,0,0,0,0,0
132,2,142153220,1,3,5400,0,0,64,151,32,1,0,0,0,0,0,0,0
133,1,145161120,2,11,0,40,93,0,0,32,1,0,0,0,0,0,0,0
134,1,145153120,1,3,675,0,0,7,18,32,1,0,0,0,0,0,0,0
135,2,142158220,2,8,0,151,352,0,0,32,1,0,0,0,0,0,0,0
136,1,143159120,2,9,0,75,176,0,0,32,1,0,0,0,0,0,0,0
137,2,144162220,2,12,0,43,100,0,0,32,1,0,0,0,0,0,0,0
138,1,144155120,1,5,2700,0,0,0,0,32,1,0,0,0,0,0,0,0
139,3,143161320,2,11,0,189,441,0,0,32,1,0,0,0,0,0,0,0
140,2,143162220,2,12,0,100,235,0,0,32,1,0,0,0,0,0,0,0
141,1,143160120,2,10,0,75,176,0,0,32,1,0,0,0,0,0,0,0
142,2,145161220,2,11,0,40,93,0,0,32,1,0,0,0,0,0,0,0
143,3,145162320,2,12,0,21,50,0,0,32,1,0,0,0,0,0,0,0
144,1,145158120,2,8,0,18,43,0,0,32,1,0,0,0,0,0,0,0
145,1,144156120,1,6,2250,0,0,0,0,32,1,0,0,0,0,0,0,0
146,2,145160220,2,10,0,16,37,0,0,32,1,0,0,0,0,0,0,0
147,2,144155220,1,5,2700,0,0,0,0,32,1,0,0,0,0,0,0,0
148,1,145162120,2,12,0,21,50,0,0,32,1,0,0,0,0,0,0,0
149,1,144160120,2,10,0,32,75,0,0,32,1,0,0,0,0,0,0,0
150,1,143162120,2,12,0,100,235,0,0,32,1,0,0,0,0,0,0,0
151,1,143153120,1,3,3150,0,0,37,88,32,1,0,0,0,0,0,0,0
152,1,142152120,1,2,10800,0,0,129,302,32,1,0,0,0,0,0,0,0
153,1,143161120,2,11,0,189,441,0,0,32,1,0,0,0,0,0,0,0
154,2,142160220,2,10,0,129,302,0,0,32,1,0,0,0,0,0,0,0
155,1,144159120,2,9,0,32,75,0,0,32,1,0,0,0,0,0,0,0
156,2,144156220,1,6,2250,0,0,0,0,32,1,0,0,0,0,0,0,0
157,2,142162230,2,12,0,345,806,0,0,32,1,0,0,0,0,0,0,0
158,1,142160130,2,10,0,259,604,0,0,32,1,0,0,0,0,0,0,0
159,2,142161230,2,11,0,648,1512,0,0,32,1,0,0,0,0,0,0,0
160,3,142161330,2,11,0,648,1512,0,0,32,1,0,0,0,0,0,0,0
161,3,142162330,2,12,0,345,806,0,0,32,1,0,0,0,0,0,0,0
162,1,142158130,2,8,0,302,705,0,0,32,1,0,0,0,0,0,0,0
163,3,142158330,2,8,0,302,705,0,0,32,1,0,0,0,0,0,0,0
164,3,142153330,1,3,10800,0,0,129,302,32,1,0,0,0,0,0,0,0
165,1,145156130,1,6,2250,0,0,0,0,32,1,0,0,0,0,0,0,0
166,2,143158230,2,8,0,176,411,0,0,32,1,0,0,0,0,0,0,0
167,2,145159230,2,9,0,32,75,0,0,32,1,0,0,0,0,0,0,0
168,3,144156330,1,6,4500,0,0,0,0,32,1,0,0,0,0,0,0,0
169,3,145151330,1,1,0,0,0,27,63,32,1,0,0,0,0,0,0,0
170,1,144160130,2,10,0,64,151,0,0,32,1,0,0,0,0,0,0,0
171,1,144155130,1,5,5400,0,0,0,0,32,1,0,0,0,0,0,0,0
172,3,145159330,2,9,0,32,75,0,0,32,1,0,0,0,0,0,0,0
173,1,144159130,2,9,0,64,151,0,0,32,1,0,0,0,0,0,0,0
174,3,144152330,1,2,5400,0,0,64,151,32,1,0,0,0,0,0,0,0
175,1,142151130,1,1,0,0,0,216,504,32,1,0,0,0,0,0,0,0
176,2,145156230,1,6,2250,0,0,0,0,32,1,0,0,0,0,0,0,0
177,1,143159130,2,9,0,151,352,0,0,32,1,0,0,0,0,0,0,0
178,1,143152130,1,2,12600,0,0,151,352,32,1,0,0,0,0,0,0,0
179,3,145161330,2,11,0,81,189,0,0,32,1,0,0,0,0,0,0,0
180,1,143158130,2,8,0,176,411,0,0,32,1,0,0,0,0,0,0,0
181,2,143152230,1,2,12600,0,0,151,352,32,1,0,0,0,0,0,0,0
182,1,145160130,2,10,0,32,75,0,0,32,1,0,0,0,0,0,0,0
183,2,143161230,2,11,0,378,882,0,0,32,1,0,0,0,0,0,0,0
184,3,143162330,2,12,0,201,470,0,0,32,1,0,0,0,0,0,0,0
185,2,144161230,2,11,0,162,378,0,0,32,1,0,0,0,0,0,0,0
186,3,143153330,1,3,6300,0,0,75,176,32,1,0,0,0,0,0,0,0
187,3,142156330,1,6,18000,0,0,0,0,32,1,0,0,0,0,0,0,0
188,3,142159330,2,9,0,259,604,0,0,32,1,0,0,0,0,0,0,0
189,1,142159130,2,9,0,259,604,0,0,32,1,0,0,0,0,0,0,0
190,3,143160330,2,10,0,151,352,0,0,32,1,0,0,0,0,0,0,0
191,1,145159130,2,9,0,32,75,0,0,32,1,0,0,0,0,0,0,0
192,2,145152230,1,2,2700,0,0,32,75,32,1,0,0,0,0,0,0,0
193,2,142156230,1,6,18000,0,0,0,0,32,1,0,0,0,0,0,0,0
194,3,144153330,1,3,2700,0,0,32,75,32,1,0,0,0,0,0,0,0
195,2,143159230,2,9,0,151,352,0,0,32,1,0,0,0,0,0,0,0
196,2,145153230,1,3,1350,0,0,16,37,32,1,0,0,0,0,0,0,0
197,1,142162130,2,12,0,345,806,0,0,32,1,0,0,0,0,0,0,0
198,3,143159330,2,9,0,151,352,0,0,32,1,0,0,0,0,0,0,0
199,2,142151230,1,1,0,0,0,216,504,32,1,0,0,0,0,0,0,0
200,2,144152230,1,2,5400,0,0,64,151,32,1,0,0,0,0,0,0,0
201,1,143153130,1,3,6300,0,0,75,176,32,1,0,0,0,0,0,0,0
202,3,144160330,2,10,0,64,151,0,0,32,1,0,0,0,0,0,0,0
203,3,142151330,1,1,0,0,0,216,504,32,1,0,0,0,0,0,0,0
204,2,143156230,1,6,10500,0,0,0,0,32,1,0,0,0,0,0,0,0
205,1,144153130,1,3,2700,0,0,32,75,32,1,0,0,0,0,0,0,0
206,2,142159230,2,9,0,259,604,0,0,32,1,0,0,0,0,0,0,0
207,2,143155230,1,5,12600,0,0,0,0,32,1,0,0,0,0,0,0,0
208,3,145158330,2,8,0,37,88,0,0,32,1,0,0,0,0,0,0,0
209,2,144153230,1,3,2700,0,0,32,75,32,1,0,0,0,0,0,0,0
210,2,145158230,2,8,0,37,88,0,0,32,1,0,0,0,0,0,0,0
211,1,145151130,1,1,0,0,0,27,63,32,1,0,0,0,0,0,0,0
212,3,143152330,1,2,12600,0,0,151,352,32,1,0,0,0,0,0,0,0
213,3,145155330,1,5,2700,0,0,0,0,32,1,0,0,0,0,0,0,0
214,1,143155130,1,5,12600,0,0,0,0,32,1,0,0,0,0,0,0,0
215,3,145153330,1,3,1350,0,0,16,37,32,1,0,0,0,0,0,0,0
216,2,144155230,1,5,5400,0,0,0,0,32,1,0,0,0,0,0,0,0
217,2,144160230,2,10,0,64,151,0,0,32,1,0,0,0,0,0,0,0
218,3,145160330,2,10,0,32,75,0,0,32,1,0,0,0,0,0,0,0
219,2,145151230,1,1,0,0,0,27,63,32,1,0,0,0,0,0,0,0
220,3,142160330,2,10,0,259,604,0,0,32,1,0,0,0,0,0,0,0
221,3,144151330,1,1,0,0,0,54,126,32,1,0,0,0,0,0,0,0
222,1,142156130,1,6,18000,0,0,0,0,32,1,0,0,0,0,0,0,0
223,3,143151330,1,1,0,0,0,126,294,32,1,0,0,0,0,0,0,0
224,2,143151230,1,1,0,0,0,126,294,32,1,0,0,0,0,0,0,0
225,2,142155230,1,5,21600,0,0,0,0,32,1,0,0,0,0,0,0,0
226,2,143153230,1,3,6300,0,0,75,176,32,1,0,0,0,0,0,0,0
227,1,144161130,2,11,0,162,378,0,0,32,1,0,0,0,0,0,0,0
228,1,144151130,1,1,0,0,0,54,126,32,1,0,0,0,0,0,0,0
229,3,142152330,1,2,21600,0,0,259,604,32,1,0,0,0,0,0,0,0
230,3,142155330,1,5,21600,0,0,0,0,32,1,0,0,0,0,0,0,0
231,1,142155130,1,5,21600,0,0,0,0,32,1,0,0,0,0,0,0,0
232,1,144152130,1,2,5400,0,0,64,151,32,1,0,0,0,0,0,0,0
233,3,143156330,1,6,10500,0,0,0,0,32,1,0,0,0,0,0,0,0
234,2,145162230,2,12,0,43,100,0,0,32,1,0,0,0,0,0,0,0
235,1,145155130,1,5,2700,0,0,0,0,32,1,0,0,0,0,0,0,0
236,2,143160230,2,10,0,151,352,0,0,32,1,0,0,0,0,0,0,0
237,2,142152230,1,2,21600,0,0,259,604,32,1,0,0,0,0,0,0,0
238,2,144151230,1,1,0,0,0,54,126,32,1,0,0,0,0,0,0,0
239,1,142153130,1,3,10800,0,0,129,302,32,1,0,0,0,0,0,0,0
240,3,144162330,2,12,0,86,201,0,0,32,1,0,0,0,0,0,0,0
241,1,144158130,2,8,0,75,176,0,0,32,1,0,0,0,0,0,0,0
242,1,143156130,1,6,10500,0,0,0,0,32,1,0,0,0,0,0,0,0
243,3,144158330,2,8,0,75,176,0,0,32,1,0,0,0,0,0,0,0
244,3,143155330,1,5,12600,0,0,0,0,32,1,0,0,0,0,0,0,0
245,2,144159230,2,9,0,64,151,0,0,32,1,0,0,0,0,0,0,0
246,2,145155230,1,5,2700,0,0,0,0,32,1,0,0,0,0,0,0,0
247,1,142161130,2,11,0,648,1512,0,0,32,1,0,0,0,0,0,0,0
248,1,145153130,1,3,1350,0,0,16,37,32,1,0,0,0,0,0,0,0
249,2,142158230,2,8,0,302,705,0,0,32,1,0,0,0,0,0,0,0
250,3,145152330,1,2,2700,0,0,32,75,32,1,0,0,0,0,0,0,0
251,2,142153230,1,3,10800,0,0,129,302,32,1,0,0,0,0,0,0,0
252,1,145152130,1,2,2700,0,0,32,75,32,1,0,0,0,0,0,0,0
253,2,144162230,2,12,0,86,201,0,0,32,1,0,0,0,0,0,0,0
254,3,143161330,2,11,0,378,882,0,0,32,1,0,0,0,0,0,0,0
255,2,143162230,2,12,0,201,470,0,0,32,1,0,0,0,0,0,0,0
256,1,145161130,2,11,0,81,189,0,0,32,1,0,0,0,0,0,0,0
257,1,143160130,2,10,0,151,352,0,0,32,1,0,0,0,0,0,0,0
258,2,145161230,2,11,0,81,189,0,0,32,1,0,0,0,0,0,0,0
259,1,143151130,1,1,0,0,0,126,294,32,1,0,0,0,0,0,0,0
260,3,144155330,1,5,5400,0,0,0,0,32,1,0,0,0,0,0,0,0
261,3,145162330,2,12,0,43,100,0,0,32,1,0,0,0,0,0,0,0
262,2,145160230,2,10,0,32,75,0,0,32,1,0,0,0,0,0,0,0
263,1,145158130,2,8,0,37,88,0,0,32,1,0,0,0,0,0,0,0
264,1,144156130,1,6,4500,0,0,0,0,32,1,0,0,0,0,0,0,0
265,1,144162130,2,12,0,86,201,0,0,32,1,0,0,0,0,0,0,0
266,3,145156330,1,6,2250,0,0,0,0,32,1,0,0,0,0,0,0,0
267,1,145162130,2,12,0,43,100,0,0,32,1,0,0,0,0,0,0,0
268,3,143158330,2,8,0,176,411,0,0,32,1,0,0,0,0,0,0,0
269,1,143162130,2,12,0,201,470,0,0,32,1,0,0,0,0,0,0,0
270,1,142152130,1,2,21600,0,0,259,604,32,1,0,0,0,0,0,0,0
271,3,144159330,2,9,0,64,151,0,0,32,1,0,0,0,0,0,0,0
272,3,144161330,2,11,0,162,378,0,0,32,1,0,0,0,0,0,0,0
273,1,143161130,2,11,0,378,882,0,0,32,1,0,0,0,0,0,0,0
274,2,144156230,1,6,4500,0,0,0,0,32,1,0,0,0,0,0,0,0
275,2,142160230,2,10,0,259,604,0,0,32,1,0,0,0,0,0,0,0
276,2,144158230,2,8,0,75,176,0,0,32,1,0,0,0,0,0,0,0
277,2,142162240,2,12,0,518,1209,0,0,32,1,0,0,0,0,0,0,0
278,3,142155340,1,5,32400,0,0,0,0,32,1,0,0,0,0,0,0,0
279,2,143151240,1,1,0,0,0,189,441,32,1,0,0,0,0,0,0,0
280,1,142160140,2,10,0,388,907,0,0,32,1,0,0,0,0,0,0,0
281,2,142161240,2,11,0,972,2268,0,0,32,1,0,0,0,0,0,0,0
282,3,142161340,2,11,0,972,2268,0,0,32,1,0,0,0,0,0,0,0
283,3,142162340,2,12,0,518,1209,0,0,32,1,0,0,0,0,0,0,0
284,1,142158140,2,8,0,453,1058,0,0,32,1,0,0,0,0,0,0,0
285,3,142158340,2,8,0,453,1058,0,0,32,1,0,0,0,0,0,0,0
286,3,142153340,1,3,16200,0,0,194,453,32,1,0,0,0,0,0,0,0
287,1,145156140,1,6,3375,0,0,0,0,32,1,0,0,0,0,0,0,0
288,2,143158240,2,8,0,264,617,0,0,32,1,0,0,0,0,0,0,0
289,3,144156340,1,6,6750,0,0,0,0,32,1,0,0,0,0,0,0,0
290,3,145151340,1,1,0,0,0,40,93,32,1,0,0,0,0,0,0,0
291,3,143156340,1,6,15750,0,0,0,0,32,1,0,0,0,0,0,0,0
292,1,142162140,2,12,0,518,1209,0,0,32,1,0,0,0,0,0,0,0
293,1,144155140,1,5,8100,0,0,0,0,32,1,0,0,0,0,0,0,0
294,3,145159340,2,9,0,48,113,0,0,32,1,0,0,0,0,0,0,0
295,2,145160240,2,10,0,48,113,0,0,32,1,0,0,0,0,0,0,0
296,2,145159240,2,9,0,48,113,0,0,32,1,0,0,0,0,0,0,0
297,2,145156240,1,6,3375,0,0,0,0,32,1,0,0,0,0,0,0,0
298,1,143159140,2,9,0,226,529,0,0,32,1,0,0,0,0,0,0,0
299,1,143152140,1,2,18900,0,0,226,529,32,1,0,0,0,0,0,0,0
300,3,145161340,2,11,0,121,282,0,0,32,1,0,0,0,0,0,0,0
301,1,143158140,2,8,0,264,617,0,0,32,1,0,0,0,0,0,0,0
302,1,145160140,2,10,0,48,113,0,0,32,1,0,0,0,0,0,0,0
303,2,143161240,2,11,0,567,1323,0,0,32,1,0,0,0,0,0,0,0
304,3,143162340,2,12,0,302,705,0,0,32,1,0,0,0,0,0,0,0
305,2,144161240,2,11,0,243,567,0,0,32,1,0,0,0,0,0,0,0
306,3,143153340,1,3,9450,0,0,113,264,32,1,0,0,0,0,0,0,0
307,3,143155340,1,5,18900,0,0,0,0,32,1,0,0,0,0,0,0,0
308,3,142156340,1,6,27000,0,0,0,0,32,1,0,0,0,0,0,0,0
309,3,142159340,2,9,0,388,907,0,0,32,1,0,0,0,0,0,0,0
310,1,142159140,2,9,0,388,907,0,0,32,1,0,0,0,0,0,0,0
311,1,142161140,2,11,0,972,2268,0,0,32,1,0,0,0,0,0,0,0
312,3,143160340,2,10,0,226,529,0,0,32,1,0,0,0,0,0,0,0
313,1,145159140,2,9,0,48,113,0,0,32,1,0,0,0,0,0,0,0
314,2,142156240,1,6,27000,0,0,0,0,32,1,0,0,0,0,0,0,0
315,2,143159240,2,9,0,226,529,0,0,32,1,0,0,0,0,0,0,0
316,2,145153240,1,3,2025,0,0,24,56,32,1,0,0,0,0,0,0,0
317,1,144160140,2,10,0,97,226,0,0,32,1,0,0,0,0,0,0,0
318,3,143151340,1,1,0,0,0,189,441,32,1,0,0,0,0,0,0,0
319,1,142153140,1,3,16200,0,0,194,453,32,1,0,0,0,0,0,0,0
320,3,144153340,1,3,4050,0,0,48,113,32,1,0,0,0,0,0,0,0
321,3,144159340,2,9,0,97,226,0,0,32,1,0,0,0,0,0,0,0
322,3,143159340,2,9,0,226,529,0,0,32,1,0,0,0,0,0,0,0
323,2,142151240,1,1,0,0,0,324,756,32,1,0,0,0,0,0,0,0
324,2,144152240,1,2,8100,0,0,97,226,32,1,0,0,0,0,0,0,0
325,1,143153140,1,3,9450,0,0,113,264,32,1,0,0,0,0,0,0,0
326,3,144160340,2,10,0,97,226,0,0,32,1,0,0,0,0,0,0,0
327,3,142151340,1,1,0,0,0,324,756,32,1,0,0,0,0,0,0,0
328,2,143156240,1,6,15750,0,0,0,0,32,1,0,0,0,0,0,0,0
329,1,144156140,1,6,6750,0,0,0,0,32,1,0,0,0,0,0,0,0
330,1,145153140,1,3,2025,0,0,24,56,32,1,0,0,0,0,0,0,0
331,3,144152340,1,2,8100,0,0,97,226,32,1,0,0,0,0,0,0,0
332,2,142159240,2,9,0,388,907,0,0,32,1,0,0,0,0,0,0,0
333,1,145152140,1,2,4050,0,0,48,113,32,1,0,0,0,0,0,0,0
334,2,144153240,1,3,4050,0,0,48,113,32,1,0,0,0,0,0,0,0
335,2,143155240,1,5,18900,0,0,0,0,32,1,0,0,0,0,0,0,0
336,3,145158340,2,8,0,56,131,0,0,32,1,0,0,0,0,0,0,0
337,1,142152140,1,2,32400,0,0,388,907,32,1,0,0,0,0,0,0,0
338,1,145151140,1,1,0,0,0,40,93,32,1,0,0,0,0,0,0,0
339,3,143152340,1,2,18900,0,0,226,529,32,1,0,0,0,0,0,0,0
340,3,145155340,1,5,4050,0,0,0,0,32,1,0,0,0,0,0,0,0
341,1,143155140,1,5,18900,0,0,0,0,32,1,0,0,0,0,0,0,0
342,2,144155240,1,5,8100,0,0,0,0,32,1,0,0,0,0,0,0,0
