id,nowobjectid,nextobjectid,stoneid,stonenum,goldnum
86,143152250,142152250,182353001,12,3600000
87,143153250,142153250,182353001,6,1800000
88,143154250,142154250,182353001,6,1800000
89,143155250,142155250,182353001,6,1800000
90,143156250,142156250,182353001,6,1800000
91,143157250,142157250,182353001,6,1800000
92,143158250,142158250,182353001,6,1800000
93,143159250,142159250,182353001,6,1800000
94,143160250,142160250,182353001,6,1800000
95,143161250,142161250,182353001,12,3600000
96,143162250,142162250,182353001,6,1800000
97,143151350,142151350,182353001,6,1800000
98,143152350,142152350,182353001,12,3600000
99,143153350,142153350,182353001,6,1800000
100,143154350,142154350,182353001,6,1800000
101,143155350,142155350,182353001,6,1800000
102,143156350,142156350,182353001,6,1800000
103,143157350,142157350,182353001,6,1800000
104,143158350,142158350,182353001,6,1800000
105,143159350,142159350,182353001,6,1800000
106,143160350,142160350,182353001,6,1800000
107,143161350,142161350,182353001,12,3600000
108,143162350,142162350,182353001,6,1800000
109,142151150,141151150,181354001,1,3000000
110,142152150,141152150,181354001,2,6000000
111,142153150,141153150,181354001,1,3000000
112,142154150,141154150,181354001,1,3000000
113,142155150,141155150,181354001,1,3000000
114,142156150,141156150,181354001,1,3000000
115,142157150,141157150,181354001,1,3000000
116,142158150,141158150,181354001,1,3000000
117,142159150,141159150,181354001,1,3000000
118,142160150,141160150,181354001,1,3000000
119,142161150,141161150,181354001,2,6000000
120,142162150,141162150,181354001,1,3000000
121,142151250,141151250,181354001,1,3000000
122,142152250,141152250,181354001,2,6000000
123,142153250,141153250,181354001,1,3000000
124,142154250,141154250,181354001,1,3000000
125,142155250,141155250,181354001,1,3000000
126,142156250,141156250,181354001,1,3000000
127,142157250,141157250,181354001,1,3000000
128,142158250,141158250,181354001,1,3000000
129,142159250,141159250,181354001,1,3000000
130,142160250,141160250,181354001,1,3000000
131,142161250,141161250,181354001,2,6000000
132,142162250,141162250,181354001,1,3000000
133,142151350,141151350,181354001,1,3000000
134,142152350,141152350,181354001,2,6000000
135,142153350,141153350,181354001,1,3000000
136,142154350,141154350,181354001,1,3000000
137,142155350,141155350,181354001,1,3000000
138,142156350,141156350,181354001,1,3000000
139,142157350,141157350,181354001,1,3000000
140,142158350,141158350,181354001,1,3000000
141,142159350,141159350,181354001,1,3000000
142,142160350,141160350,181354001,1,3000000
143,142161350,141161350,181354001,2,6000000
144,142162350,141162350,181354001,1,3000000
145,143151160,142151160,182353001,11,3300000
146,143152160,142152160,182353001,22,6600000
147,143153160,142153160,182353001,11,3300000
148,143154160,142154160,182353001,11,3300000
149,143155160,142155160,182353001,11,3300000
150,143156160,142156160,182353001,11,3300000
151,143157160,142157160,182353001,11,3300000
152,143158160,142158160,182353001,11,3300000
153,143159160,142159160,182353001,11,3300000
154,143160160,142160160,182353001,11,3300000
155,143161160,142161160,182353001,22,6600000
156,143162160,142162160,182353001,11,3300000
157,143151260,142151260,182353001,11,3300000
158,143152260,142152260,182353001,22,6600000
159,143153260,142153260,182353001,11,3300000
160,143154260,142154260,182353001,11,3300000
161,143155260,142155260,182353001,11,3300000
162,143156260,142156260,182353001,11,3300000
163,143157260,142157260,182353001,11,3300000
164,143158260,142158260,182353001,11,3300000
165,143159260,142159260,182353001,11,3300000
166,143160260,142160260,182353001,11,3300000
167,143161260,142161260,182353001,22,6600000
168,143162260,142162260,182353001,11,3300000
169,143151360,142151360,182353001,11,3300000
170,143152360,142152360,182353001,22,6600000
171,143153360,142153360,182353001,11,3300000
172,143154360,142154360,182353001,11,3300000
173,143155360,142155360,182353001,11,3300000
174,143156360,142156360,182353001,11,3300000
175,143157360,142157360,182353001,11,3300000
176,143158360,142158360,182353001,11,3300000
177,143159360,142159360,182353001,11,3300000
178,143160360,142160360,182353001,11,3300000
179,143161360,142161360,182353001,22,6600000
180,143162360,142162360,182353001,11,3300000
181,142151160,141151160,181354001,2,6000000
182,142152160,141152160,181354001,4,12000000
183,142153160,141153160,181354001,2,6000000
184,142154160,141154160,181354001,2,6000000
185,142155160,141155160,181354001,2,6000000
186,142156160,141156160,181354001,2,6000000
187,142157160,141157160,181354001,2,6000000
188,142158160,141158160,181354001,2,6000000
189,142159160,141159160,181354001,2,6000000
190,142160160,141160160,181354001,2,6000000
191,142161160,141161160,181354001,4,12000000
192,142162160,141162160,181354001,2,6000000
193,142151260,141151260,181354001,2,6000000
194,142152260,141152260,181354001,4,12000000
195,142153260,141153260,181354001,2,6000000
196,142154260,141154260,181354001,2,6000000
197,142155260,141155260,181354001,2,6000000
198,142156260,141156260,181354001,2,6000000
199,142157260,141157260,181354001,2,6000000
200,142158260,141158260,181354001,2,6000000
201,142159260,141159260,181354001,2,6000000
202,142160260,141160260,181354001,2,6000000
203,142161260,141161260,181354001,4,12000000
204,142162260,141162260,181354001,2,6000000
205,142151360,141151360,181354001,2,6000000
206,142152360,141152360,181354001,4,12000000
207,142153360,141153360,181354001,2,6000000
208,142154360,141154360,181354001,2,6000000
209,142155360,141155360,181354001,2,6000000
210,142156360,141156360,181354001,2,6000000
211,142157360,141157360,181354001,2,6000000
212,142158360,141158360,181354001,2,6000000
213,142159360,141159360,181354001,2,6000000
214,142160360,141160360,181354001,2,6000000
215,142161360,141161360,181354001,4,12000000
216,142162360,141162360,181354001,2,6000000
217,143151170,142151170,182353001,18,6300000
218,143152170,142152170,182353001,36,12600000
219,143153170,142153170,182353001,18,6300000
220,143154170,142154170,182353001,18,6300000
221,143155170,142155170,182353001,18,6300000
222,143156170,142156170,182353001,18,6300000
223,143157170,142157170,182353001,18,6300000
224,143158170,142158170,182353001,18,6300000
225,143159170,142159170,182353001,18,6300000
226,143160170,142160170,182353001,18,6300000
227,143161170,142161170,182353001,36,12600000
228,143162170,142162170,182353001,18,6300000
229,143151270,142151270,182353001,18,6300000
230,143152270,142152270,182353001,36,12600000
231,143153270,142153270,182353001,18,6300000
232,143154270,142154270,182353001,18,6300000
233,143155270,142155270,182353001,18,6300000
234,143156270,142156270,182353001,18,6300000
235,143157270,142157270,182353001,18,6300000
236,143158270,142158270,182353001,18,6300000
237,143159270,142159270,182353001,18,6300000
238,143160270,142160270,182353001,18,6300000
239,143161270,142161270,182353001,36,12600000
240,143162270,142162270,182353001,18,6300000
241,143151370,142151370,182353001,18,6300000
242,143152370,142152370,182353001,36,12600000
243,143153370,142153370,182353001,18,6300000
244,143154370,142154370,182353001,18,6300000
245,143155370,142155370,182353001,18,6300000
246,143156370,142156370,182353001,18,6300000
247,143157370,142157370,182353001,18,6300000
248,143158370,142158370,182353001,18,6300000
249,143159370,142159370,182353001,18,6300000
250,143160370,142160370,182353001,18,6300000
251,143161370,142161370,182353001,36,12600000
252,143162370,142162370,182353001,18,6300000
253,142151170,141151170,181354001,4,9000000
254,142152170,141152170,181354001,8,18000000
255,142153170,141153170,181354001,4,9000000
256,142154170,141154170,181354001,4,9000000
257,142155170,141155170,181354001,4,9000000
258,142156170,141156170,181354001,4,9000000
259,142157170,141157170,181354001,4,9000000
260,142158170,141158170,181354001,4,9000000
261,142159170,141159170,181354001,4,9000000
262,142160170,141160170,181354001,4,9000000
263,142161170,141161170,181354001,8,18000000
264,142162170,141162170,181354001,4,9000000
265,142151270,141151270,181354001,4,9000000
266,142152270,141152270,181354001,8,18000000
267,142153270,141153270,181354001,4,9000000
268,142154270,141154270,181354001,4,9000000
269,142155270,141155270,181354001,4,9000000
270,142156270,141156270,181354001,4,9000000
271,142157270,141157270,181354001,4,9000000
272,142158270,141158270,181354001,4,9000000
273,142159270,141159270,181354001,4,9000000
274,142160270,141160270,181354001,4,9000000
275,142161270,141161270,181354001,8,18000000
276,142162270,141162270,181354001,4,9000000
277,142151370,141151370,181354001,4,9000000
278,142152370,141152370,181354001,8,18000000
279,142153370,141153370,181354001,4,9000000
280,142154370,141154370,181354001,4,9000000
281,142155370,141155370,181354001,4,9000000
282,142156370,141156370,181354001,4,9000000
283,142157370,141157370,181354001,4,9000000
284,142158370,141158370,181354001,4,9000000
285,142159370,141159370,181354001,4,9000000
286,142160370,141160370,181354001,4,9000000
287,142161370,141161370,181354001,8,18000000
288,142162370,141162370,181354001,4,9000000
289,143151180,142151180,182353001,27,11300000
290,143152180,142152180,182353001,54,22600000
291,143153180,142153180,182353001,27,11300000
292,143154180,142154180,182353001,27,11300000
293,143155180,142155180,182353001,27,11300000
294,143156180,142156180,182353001,27,11300000
295,143157180,142157180,182353001,27,11300000
296,143158180,142158180,182353001,27,11300000
297,143159180,142159180,182353001,27,11300000
298,143160180,142160180,182353001,27,11300000
299,143161180,142161180,182353001,54,22600000
300,143162180,142162180,182353001,27,11300000
301,143151280,142151280,182353001,27,11300000
302,143152280,142152280,182353001,54,22600000
303,143153280,142153280,182353001,27,11300000
304,143154280,142154280,182353001,27,11300000
305,143155280,142155280,182353001,27,11300000
306,143156280,142156280,182353001,27,11300000
307,143157280,142157280,182353001,27,11300000
308,143158280,142158280,182353001,27,11300000
309,143159280,142159280,182353001,27,11300000
310,143160280,142160280,182353001,27,11300000
311,143161280,142161280,182353001,54,22600000
312,143162280,142162280,182353001,27,11300000
313,143151380,142151380,182353001,27,11300000
314,143152380,142152380,182353001,54,22600000
315,143153380,142153380,182353001,27,11300000
316,143154380,142154380,182353001,27,11300000
317,143155380,142155380,182353001,27,11300000
318,143156380,142156380,182353001,27,11300000
319,143157380,142157380,182353001,27,11300000
320,143158380,142158380,182353001,27,11300000
321,143159380,142159380,182353001,27,11300000
322,143160380,142160380,182353001,27,11300000
323,143161380,142161380,182353001,54,22600000
324,143162380,142162380,182353001,27,11300000
325,142151180,141151180,181354001,7,18500000
326,142152180,141152180,181354001,14,37000000
327,142153180,141153180,181354001,7,18500000
328,142154180,141154180,181354001,7,18500000
329,142155180,141155180,181354001,7,18500000
330,142156180,141156180,181354001,7,18500000
331,142157180,141157180,181354001,7,18500000
332,142158180,141158180,181354001,7,18500000
333,142159180,141159180,181354001,7,18500000
334,142160180,141160180,181354001,7,18500000
335,142161180,141161180,181354001,14,37000000
336,142162180,141162180,181354001,7,18500000
337,142151280,141151280,181354001,7,18500000
338,142152280,141152280,181354001,14,37000000
339,142153280,141153280,181354001,7,18500000
340,142154280,141154280,181354001,7,18500000
341,142155280,141155280,181354001,7,18500000
342,142156280,141156280,181354001,7,18500000
343,142157280,141157280,181354001,7,18500000
344,142158280,141158280,181354001,7,18500000
345,142159280,141159280,181354001,7,18500000
346,142160280,141160280,181354001,7,18500000
347,142161280,141161280,181354001,14,37000000
348,142162280,141162280,181354001,7,18500000
349,142151380,141151380,181354001,7,18500000
350,142152380,141152380,181354001,14,37000000
351,142153380,141153380,181354001,7,18500000
352,142154380,141154380,181354001,7,18500000
353,142155380,141155380,181354001,7,18500000
354,142156380,141156380,181354001,7,18500000
355,142157380,141157380,181354001,7,18500000
356,142158380,141158380,181354001,7,18500000
357,142159380,141159380,181354001,7,18500000
358,142160380,141160380,181354001,7,18500000
359,142161380,141161380,181354001,14,37000000
360,142162380,141162380,181354001,7,18500000
361,143151190,142151190,182353001,39,19300000
362,143152190,142152190,182353001,78,38600000
363,143153190,142153190,182353001,39,19300000
364,143154190,142154190,182353001,39,19300000
365,143155190,142155190,182353001,39,19300000
366,143156190,142156190,182353001,39,19300000
367,143157190,142157190,182353001,39,19300000
368,143158190,142158190,182353001,39,19300000
369,143159190,142159190,182353001,39,19300000
370,143160190,142160190,182353001,39,19300000
371,143161190,142161190,182353001,78,38600000
372,143162190,142162190,182353001,39,19300000
373,143151290,142151290,182353001,39,19300000
374,143152290,142152290,182353001,78,38600000
375,143153290,142153290,182353001,39,19300000
376,143154290,142154290,182353001,39,19300000
377,143155290,142155290,182353001,39,19300000
378,143156290,142156290,182353001,39,19300000
379,143157290,142157290,182353001,39,19300000
380,143158290,142158290,182353001,39,19300000
381,143159290,142159290,182353001,39,19300000
382,143160290,142160290,182353001,39,19300000
383,143161290,142161290,182353001,78,38600000
384,143162290,142162290,182353001,39,19300000
385,143151390,142151390,182353001,39,19300000
386,143152390,142152390,182353001,78,38600000
387,143153390,142153390,182353001,39,19300000
388,143154390,142154390,182353001,39,19300000
389,143155390,142155390,182353001,39,19300000
390,143156390,142156390,182353001,39,19300000
391,143157390,142157390,182353001,39,19300000
392,143158390,142158390,182353001,39,19300000
393,143159390,142159390,182353001,39,19300000
394,143160390,142160390,182353001,39,19300000
395,143161390,142161390,182353001,78,38600000
396,143162390,142162390,182353001,39,19300000
397,142151190,141151190,181354001,11,32500000
398,142152190,141152190,181354001,22,65000000
399,142153190,141153190,181354001,11,32500000
400,142154190,141154190,181354001,11,32500000
401,142155190,141155190,181354001,11,32500000
402,142156190,141156190,181354001,11,32500000
403,142157190,141157190,181354001,11,32500000
404,142158190,141158190,181354001,11,32500000
405,142159190,141159190,181354001,11,32500000
406,142160190,141160190,181354001,11,32500000
407,142161190,141161190,181354001,22,65000000
408,142162190,141162190,181354001,11,32500000
409,142151290,141151290,181354001,11,32500000
410,142152290,141152290,181354001,22,65000000
411,142153290,141153290,181354001,11,32500000
412,142154290,141154290,181354001,11,32500000
413,142155290,141155290,181354001,11,32500000
414,142156290,141156290,181354001,11,32500000
415,142157290,141157290,181354001,11,32500000
416,142158290,141158290,181354001,11,32500000
417,142159290,141159290,181354001,11,32500000
418,142160290,141160290,181354001,11,32500000
419,142161290,141161290,181354001,22,65000000
420,142162290,141162290,181354001,11,32500000
421,142151390,141151390,181354001,11,32500000
422,142152390,141152390,181354001,22,65000000
423,142153390,141153390,181354001,11,32500000
424,142154390,141154390,181354001,11,32500000
425,142155390,141155390,181354001,11,32500000
426,142156390,141156390,181354001,11,32500000
427,142157390,141157390,181354001,11,32500000
428,142158390,141158390,181354001,11,32500000
429,142159390,141159390,181354001,11,32500000
430,142160390,141160390,181354001,11,32500000
431,142161390,141161390,181354001,22,65000000
432,142162390,141162390,181354001,11,32500000
433,143151200,142151200,182353001,55,29300000
434,143152200,142152200,182353001,110,58600000
435,143153200,142153200,182353001,55,29300000
436,143154200,142154200,182353001,55,29300000
437,143155200,142155200,182353001,55,29300000
438,143156200,142156200,182353001,55,29300000
439,143157200,142157200,182353001,55,29300000
440,143158200,142158200,182353001,55,29300000
441,143159200,142159200,182353001,55,29300000
442,143160200,142160200,182353001,55,29300000
443,143161200,142161200,182353001,110,58600000
444,143162200,142162200,182353001,55,29300000
445,143151300,142151300,182353001,55,29300000
446,143152300,142152300,182353001,110,58600000
447,143153300,142153300,182353001,55,29300000
448,143154300,142154300,182353001,55,29300000
449,143155300,142155300,182353001,55,29300000
450,143156300,142156300,182353001,55,29300000
451,143157300,142157300,182353001,55,29300000
452,143158300,142158300,182353001,55,29300000
453,143159300,142159300,182353001,55,29300000
454,143160300,142160300,182353001,55,29300000
455,143161300,142161300,182353001,110,58600000
456,143162300,142162300,182353001,55,29300000
457,143151400,142151400,182353001,55,29300000
458,143152400,142152400,182353001,110,58600000
459,143153400,142153400,182353001,55,29300000
460,143154400,142154400,182353001,55,29300000
461,143155400,142155400,182353001,55,29300000
462,143156400,142156400,182353001,55,29300000
463,143157400,142157400,182353001,55,29300000
464,143158400,142158400,182353001,55,29300000
465,143159400,142159400,182353001,55,29300000
466,143160400,142160400,182353001,55,29300000
467,143161400,142161400,182353001,110,58600000
468,143162400,142162400,182353001,55,29300000
469,142151200,141151200,181354001,16,50000000
470,142152200,141152200,181354001,32,100000000
471,142153200,141153200,181354001,16,50000000
472,142154200,141154200,181354001,16,50000000
473,142155200,141155200,181354001,16,50000000
474,142156200,141156200,181354001,16,50000000
475,142157200,141157200,181354001,16,50000000
476,142158200,141158200,181354001,16,50000000
477,142159200,141159200,181354001,16,50000000
478,142160200,141160200,181354001,16,50000000
479,142161200,141161200,181354001,32,100000000
480,142162200,141162200,181354001,16,50000000
481,142151300,141151300,181354001,16,50000000
482,142152300,141152300,181354001,32,100000000
483,142153300,141153300,181354001,16,50000000
484,142154300,141154300,181354001,16,50000000
485,142155300,141155300,181354001,16,50000000
486,142156300,141156300,181354001,16,50000000
487,142157300,141157300,181354001,16,50000000
488,142158300,141158300,181354001,16,50000000
489,142159300,141159300,181354001,16,50000000
490,142160300,141160300,181354001,16,50000000
491,142161300,141161300,181354001,32,100000000
492,142162300,141162300,181354001,16,50000000
493,142151400,141151400,181354001,16,50000000
494,142152400,141152400,181354001,32,100000000
495,142153400,141153400,181354001,16,50000000
496,142154400,141154400,181354001,16,50000000
497,142155400,141155400,181354001,16,50000000
498,142156400,141156400,181354001,16,50000000
499,142157400,141157400,181354001,16,50000000
500,142158400,141158400,181354001,16,50000000
501,142159400,141159400,181354001,16,50000000
502,142160400,141160400,181354001,16,50000000
503,142161400,141161400,181354001,32,100000000
504,142162400,141162400,181354001,16,50000000
