id,level,growth,percent
173,58,4,1400
174,59,10,4600
175,59,5,3800
176,59,4,1600
177,60,10,4400
178,60,5,3800
179,60,4,1800
180,61,10,4200
181,61,5,3800
182,61,4,2000
183,62,10,4000
184,62,5,3800
185,62,4,2200
186,63,10,3800
187,63,5,3800
188,63,4,2400
189,64,10,3600
190,64,5,3800
191,64,4,2600
192,65,10,3400
193,65,5,3800
194,65,4,2800
195,66,10,3200
196,66,5,3800
197,66,4,3000
198,67,10,3000
199,67,5,3800
200,67,4,3200
201,68,10,2800
202,68,5,3800
203,68,4,3400
204,69,10,2600
205,69,5,3800
206,69,4,3600
207,70,10,2400
208,70,5,3800
209,70,4,3800
210,71,10,2200
211,71,5,3800
212,71,4,4000
213,72,10,2000
214,72,5,3800
215,72,4,4200
216,73,10,1800
217,73,5,3800
218,73,4,4400
219,74,10,1600
220,74,5,3800
221,74,4,4600
222,75,10,1400
223,75,5,3800
224,75,4,4800
225,76,10,1200
226,76,5,3800
227,76,4,5000
228,77,10,1000
229,77,5,3800
230,77,4,5200
231,78,10,800
232,78,5,3800
233,78,4,5400
234,79,10,600
235,79,5,3800
236,79,4,5600
237,80,10,400
238,80,5,3800
239,80,4,5800
240,81,10,200
241,81,5,3800
242,81,4,6000
243,82,5,3800
244,82,4,6200
245,83,5,3600
246,83,4,6000
247,83,3,200
248,83,2,200
249,84,5,3400
250,84,4,5800
251,84,3,400
252,84,2,400
253,85,5,3200
254,85,4,5600
255,85,3,600
256,85,2,600
257,86,5,3000
258,86,4,5400
259,86,3,800
260,86,2,800
261,87,5,2800
262,87,4,5200
263,87,3,1000
264,87,2,1000
265,88,5,2600
266,88,4,5000
267,88,3,1200
268,88,2,1200
269,89,5,2400
270,89,4,4800
271,89,3,1400
272,89,2,1400
273,90,5,2200
274,90,4,4600
275,90,3,1600
276,90,2,1600
277,91,5,2000
278,91,4,4400
279,91,3,1800
280,91,2,1800
281,92,5,1800
282,92,4,4200
283,92,3,2000
284,92,2,2000
285,93,5,1600
286,93,4,4000
287,93,3,2200
288,93,2,2200
289,94,5,1400
290,94,4,3800
291,94,3,2400
292,94,2,2400
293,95,5,1200
294,95,4,3600
295,95,3,2600
296,95,2,2600
297,96,5,1000
298,96,4,3400
299,96,3,2800
300,96,2,2800
301,97,5,800
302,97,4,3200
303,97,3,3000
304,97,2,3000
305,98,5,600
306,98,4,3000
307,98,3,3200
308,98,2,3200
309,99,5,400
310,99,4,2800
311,99,3,3400
312,99,2,3400
313,100,5,200
314,100,4,2600
315,100,3,3600
316,100,2,3600
317,101,4,2400
318,101,3,3800
319,101,2,3800
320,102,4,2200
321,102,3,3600
322,102,2,4000
323,102,1,200
324,103,4,2000
325,103,3,3400
326,103,2,4200
327,103,1,400
328,104,4,1800
329,104,3,3200
330,104,2,4400
331,104,1,600
332,105,4,1600
333,105,3,3000
334,105,2,4600
335,105,1,800
336,106,4,1400
337,106,3,2800
338,106,2,4800
339,106,1,1000
340,107,4,1200
341,107,3,2600
342,107,2,5000
343,107,1,1200
344,108,4,1000
345,108,3,2400
346,108,2,5200
347,108,1,1400
348,109,4,800
349,109,3,2200
350,109,2,5400
351,109,1,1600
352,110,4,600
353,110,3,2000
354,110,2,5600
355,110,1,1800
356,111,4,400
357,111,3,1800
358,111,2,5800
359,111,1,2000
360,112,4,200
361,112,3,1600
362,112,2,6000
363,112,1,2200
364,113,3,1400
365,113,2,6200
366,113,1,2400
367,114,3,1300
368,114,2,6000
369,114,1,2700
370,115,3,1200
371,115,2,5900
372,115,1,2900
373,116,3,1100
374,116,2,5800
375,116,1,3100
376,117,3,1000
377,117,2,5700
378,117,1,3300
379,118,3,900
380,118,2,5600
381,118,1,3500
382,119,3,800
383,119,2,5500
384,119,1,3700
385,120,3,700
386,120,2,5400
387,120,1,3900
388,121,3,600
389,121,2,5300
390,121,1,4100
391,122,3,500
392,122,2,5200
393,122,1,4300
394,123,3,400
395,123,2,5100
396,123,1,4500
397,124,3,300
398,124,2,5000
399,124,1,4700
400,125,3,200
401,125,2,4900
402,125,1,4900
403,126,3,100
404,126,2,4800
405,126,1,5100
406,127,2,4700
407,127,1,5300
408,128,2,4600
409,128,1,5300
410,128,-1,100
411,129,2,4500
412,129,1,5350
413,129,-1,150
414,130,2,4400
415,130,1,5400
416,130,-1,200
417,131,2,4300
418,131,1,5450
419,131,-1,250
420,132,2,4200
421,132,1,5500
422,132,-1,300
423,133,2,4100
424,133,1,5550
425,133,-1,350
426,134,2,4000
427,134,1,5600
428,134,-1,400
429,135,2,3900
430,135,1,5650
431,135,-1,450
432,136,2,3800
433,136,1,5700
434,136,-1,500
435,137,2,3700
436,137,1,5750
437,137,-1,550
438,138,2,3600
439,138,1,5800
440,138,-1,600
441,139,2,3500
442,139,1,5850
443,139,-1,650
444,140,2,3400
445,140,1,5900
446,140,-1,700
447,141,2,3300
448,141,1,5950
449,141,-1,750
450,142,2,3200
451,142,1,6000
452,142,-1,800
453,143,2,3100
454,143,1,6050
455,143,-1,850
456,144,2,3000
457,144,1,6100
458,144,-1,900
459,145,2,2900
460,145,1,6150
461,145,-1,950
462,146,2,2800
463,146,1,6200
464,146,-1,1000
465,147,2,2700
466,147,1,6250
467,147,-1,1050
468,148,2,2600
469,148,1,6300
470,148,-1,1100
471,149,2,2500
472,149,1,6350
473,149,-1,1150
474,150,2,2400
475,150,1,6400
476,150,-1,1200
477,151,2,2300
478,151,1,6450
479,151,-1,1250
480,152,2,2200
481,152,1,6500
482,152,-1,1300
483,153,2,2100
484,153,1,6550
485,153,-1,1350
486,154,2,2000
487,154,1,6600
488,154,-1,1400
489,155,2,2000
490,155,1,6550
491,155,-1,1450
492,156,2,1800
493,156,1,6700
494,156,-1,1500
495,157,2,1700
496,157,1,6750
497,157,-1,1550
498,158,2,1600
499,158,1,6800
500,158,-1,1600
501,159,2,1500
502,159,1,6850
503,159,-1,1650
504,160,2,1500
505,160,1,6800
506,160,-1,1700
507,161,2,1500
508,161,1,6750
509,161,-1,1750
510,162,2,1500
511,162,1,6700
512,162,-1,1800
513,163,2,1500
514,163,1,6650
515,163,-1,1850
516,164,2,1500
517,164,1,6600
518,164,-1,1900
519,165,2,1500
520,165,1,6550
521,165,-1,1950
522,166,2,1500
523,166,1,6500
524,166,-1,2000
525,167,2,1500
526,167,1,6450
527,167,-1,2050
528,168,2,1500
529,168,1,6400
530,168,-1,2100
531,169,2,1500
532,169,1,6350
533,169,-1,2150
534,170,2,1500
535,170,1,6300
536,170,-1,2200
537,171,2,1500
538,171,1,6250
539,171,-1,2250
540,172,2,1500
541,172,1,6200
542,172,-1,2300
543,173,2,1500
544,173,1,6150
545,173,-1,2350
546,174,2,1500
547,174,1,6100
548,174,-1,2400
549,175,2,1500
550,175,1,6050
551,175,-1,2450
552,176,2,1500
553,176,1,6000
554,176,-1,2500
555,177,2,1500
556,177,1,5950
557,177,-1,2550
558,178,2,1500
559,178,1,5900
560,178,-1,2600
561,179,2,1500
562,179,1,5850
563,179,-1,2650
564,180,2,1500
565,180,1,5800
566,180,-1,2700
567,181,2,1500
568,181,1,5750
569,181,-1,2750
570,182,2,1500
571,182,1,5700
572,182,-1,2800
573,183,2,1500
574,183,1,5650
575,183,-1,2850
576,184,2,1500
577,184,1,5600
578,184,-1,2900
579,185,2,1500
580,185,1,5550
581,185,-1,2950
582,186,2,1500
583,186,1,5500
584,186,-1,3000
585,187,2,1500
586,187,1,5450
587,187,-1,3050
588,188,2,1500
589,188,1,5400
590,188,-1,3100
591,189,2,1500
592,189,1,5350
593,189,-1,3150
594,190,2,1500
595,190,1,5300
596,190,-1,3200
597,191,2,1500
598,191,1,5250
599,191,-1,3250
600,192,2,1500
601,192,1,5200
602,192,-1,3300
603,193,2,1500
604,193,1,5150
605,193,-1,3350
606,194,2,1500
607,194,1,5100
608,194,-1,3400
609,195,2,1500
610,195,1,5050
611,195,-1,3450
612,196,2,1500
613,196,1,5000
614,196,-1,3500
615,197,2,1500
616,197,1,4950
617,197,-1,3550
618,198,2,1500
619,198,1,4900
620,198,-1,3600
621,199,2,1500
622,199,1,4850
623,199,-1,3650
624,200,0,10000
