id,monsterid,typeid,objectid,bind,profession,levelmin,levelmax
49,209101,1,184390001,1,0,9090,11099
50,209101,1,173304007,1,0,9090,11099
51,209101,2,143161190,2,1,9090,11099
52,209101,2,143161290,2,2,9090,11099
53,209101,2,143161390,2,3,9090,11099
54,209101,2,182353001,1,0,9090,11099
55,209101,1,143161190,2,1,11100,11100
56,209101,1,143161290,2,2,11100,11100
57,209101,1,143161390,2,3,11100,11100
58,209101,1,184390001,1,0,11100,11100
59,209101,1,173304007,1,0,11100,11100
60,209101,2,143161200,2,1,11100,11100
61,209101,2,143161300,2,2,11100,11100
62,209101,2,143161400,2,3,11100,11100
63,209101,2,182353001,1,0,11100,11100
64,209201,1,143161130,2,1,40,1049
65,209201,1,143161230,2,2,40,1049
66,209201,1,143161330,2,3,40,1049
67,209201,1,184390001,1,0,40,1049
68,209201,1,173304007,1,0,40,1049
69,209201,2,143161140,2,1,40,1049
70,209201,2,143161240,2,2,40,1049
71,209201,2,143161340,2,3,40,1049
72,209201,2,182353001,1,0,40,1049
73,209201,2,183390002,1,0,40,1049
74,209201,1,143161140,2,1,1050,3059
75,209201,1,143161240,2,2,1050,3059
76,209201,1,143161340,2,3,1050,3059
77,209201,1,184390001,1,0,1050,3059
78,209201,1,173304007,1,0,1050,3059
79,209201,2,143161150,2,1,1050,3059
80,209201,2,143161250,2,2,1050,3059
81,209201,2,143161350,2,3,1050,3059
82,209201,2,182353001,1,0,1050,3059
83,209201,2,183390002,1,0,1050,3059
84,209201,1,143161150,2,1,3060,5069
85,209201,1,143161250,2,2,3060,5069
86,209201,1,143161350,2,3,3060,5069
87,209201,1,184390001,1,0,3060,5069
88,209201,1,173304007,1,0,3060,5069
89,209201,2,143161160,2,1,3060,5069
90,209201,2,143161260,2,2,3060,5069
91,209201,2,143161360,2,3,3060,5069
92,209201,2,182353001,1,0,3060,5069
93,209201,2,183390002,1,0,3060,5069
94,209201,1,143161160,2,1,5070,7079
95,209201,1,143161260,2,2,5070,7079
96,209201,1,143161360,2,3,5070,7079
97,209201,1,184390001,1,0,5070,7079
98,209201,1,173304007,1,0,5070,7079
99,209201,2,143161170,2,1,5070,7079
100,209201,2,143161270,2,2,5070,7079
101,209201,2,143161370,2,3,5070,7079
102,209201,2,182353001,1,0,5070,7079
103,209201,2,183390002,1,0,5070,7079
104,209201,1,143161170,2,1,7080,9089
105,209201,1,143161270,2,2,7080,9089
106,209201,1,143161370,2,3,7080,9089
107,209201,1,184390001,1,0,7080,9089
108,209201,1,173304007,1,0,7080,9089
109,209201,2,143161180,2,1,7080,9089
110,209201,2,143161280,2,2,7080,9089
111,209201,2,143161380,2,3,7080,9089
112,209201,2,182353001,1,0,7080,9089
113,209201,2,183390002,1,0,7080,9089
114,209201,1,143161180,2,1,9090,11099
115,209201,1,143161280,2,2,9090,11099
116,209201,1,143161380,2,3,9090,11099
117,209201,1,184390001,1,0,9090,11099
118,209201,1,173304007,1,0,9090,11099
119,209201,2,143161190,2,1,9090,11099
120,209201,2,143161290,2,2,9090,11099
121,209201,2,143161390,2,3,9090,11099
122,209201,2,182353001,1,0,9090,11099
123,209201,2,183390002,1,0,9090,11099
124,209201,1,143161190,2,1,11100,11100
125,209201,1,143161290,2,2,11100,11100
126,209201,1,143161390,2,3,11100,11100
127,209201,1,184390001,1,0,11100,11100
128,209201,1,173304007,1,0,11100,11100
129,209201,2,143161200,2,1,11100,11100
130,209201,2,143161300,2,2,11100,11100
131,209201,2,143161400,2,3,11100,11100
132,209201,2,182353001,1,0,11100,11100
133,209201,2,183390002,1,0,11100,11100
134,209301,1,143161140,2,1,40,1049
135,209301,1,143161240,2,2,40,1049
136,209301,1,143161340,2,3,40,1049
137,209301,1,143161130,2,1,40,1049
138,209301,1,143161230,2,2,40,1049
139,209301,1,143161330,2,3,40,1049
140,209301,1,184390001,1,0,40,1049
141,209301,1,183390002,1,0,40,1049
142,209301,2,143161150,2,1,40,1049
143,209301,2,143161250,2,2,40,1049
144,209301,2,143161350,2,3,40,1049
145,209301,2,182353001,1,0,40,1049
146,209301,2,182390003,1,0,40,1049
147,209301,1,143161150,2,1,1050,3059
148,209301,1,143161250,2,2,1050,3059
149,209301,1,143161350,2,3,1050,3059
150,209301,1,143161140,2,1,1050,3059
151,209301,1,143161240,2,2,1050,3059
152,209301,1,143161340,2,3,1050,3059
153,209301,1,184390001,1,0,1050,3059
154,209301,1,183390002,1,0,1050,3059
155,209301,2,143161160,2,1,1050,3059
156,209301,2,143161260,2,2,1050,3059
157,209301,2,143161360,2,3,1050,3059
158,209301,2,182353001,1,0,1050,3059
159,209301,2,182390003,1,0,1050,3059
160,209301,1,143161160,2,1,3060,5069
161,209301,1,143161260,2,2,3060,5069
162,209301,1,143161360,2,3,3060,5069
163,209301,1,143161150,2,1,3060,5069
164,209301,1,143161250,2,2,3060,5069
165,209301,1,143161350,2,3,3060,5069
166,209301,1,184390001,1,0,3060,5069
167,209301,1,183390002,1,0,3060,5069
168,209301,2,143161170,2,1,3060,5069
169,209301,2,143161270,2,2,3060,5069
170,209301,2,143161370,2,3,3060,5069
171,209301,2,182353001,1,0,3060,5069
172,209301,2,182390003,1,0,3060,5069
173,209301,1,143161170,2,1,5070,7079
174,209301,1,143161270,2,2,5070,7079
175,209301,1,143161370,2,3,5070,7079
176,209301,1,143161160,2,1,5070,7079
177,209301,1,143161260,2,2,5070,7079
178,209301,1,143161360,2,3,5070,7079
179,209301,1,184390001,1,0,5070,7079
180,209301,1,183390002,1,0,5070,7079
181,209301,2,143161180,2,1,5070,7079
182,209301,2,143161280,2,2,5070,7079
183,209301,2,143161380,2,3,5070,7079
184,209301,2,182353001,1,0,5070,7079
185,209301,2,182390003,1,0,5070,7079
186,209301,1,143161180,2,1,7080,9089
187,209301,1,143161280,2,2,7080,9089
188,209301,1,143161380,2,3,7080,9089
189,209301,1,143161170,2,1,7080,9089
190,209301,1,143161270,2,2,7080,9089
191,209301,1,143161370,2,3,7080,9089
192,209301,1,184390001,1,0,7080,9089
193,209301,1,183390002,1,0,7080,9089
194,209301,2,143161190,2,1,7080,9089
195,209301,2,143161290,2,2,7080,9089
196,209301,2,143161390,2,3,7080,9089
197,209301,2,182353001,1,0,7080,9089
198,209301,2,182390003,1,0,7080,9089
199,209301,1,143161190,2,1,9090,11099
200,209301,1,143161290,2,2,9090,11099
201,209301,1,143161390,2,3,9090,11099
202,209301,1,143161180,2,1,9090,11099
203,209301,1,143161280,2,2,9090,11099
204,209301,1,143161380,2,3,9090,11099
205,209301,1,184390001,1,0,9090,11099
206,209301,1,183390002,1,0,9090,11099
207,209301,2,143161200,2,1,9090,11099
208,209301,2,143161300,2,2,9090,11099
209,209301,2,143161400,2,3,9090,11099
210,209301,2,182353001,1,0,9090,11099
211,209301,2,182390003,1,0,9090,11099
212,209301,1,143161200,2,1,11100,11100
213,209301,1,143161300,2,2,11100,11100
214,209301,1,143161400,2,3,11100,11100
215,209301,1,143161190,2,1,11100,11100
216,209301,1,143161290,2,2,11100,11100
217,209301,1,143161390,2,3,11100,11100
218,209301,1,184390001,1,0,11100,11100
219,209301,1,183390002,1,0,11100,11100
220,209301,2,143161200,2,1,11100,11100
221,209301,2,143161300,2,2,11100,11100
222,209301,2,143161400,2,3,11100,11100
223,209301,2,182353001,1,0,11100,11100
224,209301,2,182390003,1,0,11100,11100
